canonical_key,htm,qtm,exhaustive,optimal_algs
14ez0y39,13,14,false,"[""U F' R L' U' L' U R' U' L2 U' F U'""]"
14fhvblf,16,22,false,"[""U2 F' U2 D R2 U2 F R2 F' R2 D' R' F' R U' F'""]"
14fr7mkm,15,18,false,"[""R U B2 U L U2 L' F B2 D' R D F' U R'""]"
14frfsq9,14,18,false,"[""F' R2 L' B2 R' B U2 B R2 L U' F U R""]"
14je9kav,13,19,false,"[""U2 B' U' B U' L2 B2 D F' D' B2 L2 U2""]"
14jwwtid,14,18,false,"[""U B' R2 U' R2 U R2 B2 U' F' U B' F U'""]"
14jx0uva,8,10,false,"[""B' R' U' R2 U R' B U2""]"
14r7az6f,14,19,false,"[""U2 R2 B' R' B2 U2 B' U2 B U B' U' R' U""]"
14r7ch37,15,18,false,"[""U2 L F' U F' U2 R U L' U R' L F2 L' U""]"
14t0u7mp,14,17,false,"[""R' U L U' R U2 L' F' L U' L' U2 F U2""]"
14vmktqr,13,17,false,"[""U' F U2 F U' F2 U F' U2 R' F' R U2""]"
14xfz1w9,13,15,false,"[""R' F' R L' U' L U' R U2 R' U' F U2""]"
154qewdf,15,20,false,"[""R2 L' B2 D B' D B L B' L' D2 B' R2 L U2""]"
16e8uuk4,15,18,false,"[""U2 R U' R B' R' B R2 F R F' U2 R U' R'""]"
16qh1hs7,14,20,false,"[""L2 U' F2 U F2 U L2 F U2 F2 U' F U' F'""]"
16qh3nrr,13,21,false,"[""U2 F U2 L D2 B2 R2 D2 L' D2 R' D2 F""]"
16w79wr6,15,15,false,"[""L' F' B' R B' R' B' F L F' L' B' U L F""]"
16wia0dx,13,15,false,"[""L' U R2 B L' B' R2 L' D F' D' L' U""]"
16zbo4qv,15,20,false,"[""U' R U R' U' F U2 L F2 L' U2 F2 U F U2""]"
1703hqqf,15,17,false,"[""U F' R' U' F U F' R U2 L F' L' F U2 F""]"
1703re5x,15,19,false,"[""U' R2 B L2 B R' B2 D' B D L' U2 L' U R'""]"
173qjxjp,14,20,false,"[""U B2 L2 F R2 F D' F2 L2 B R2 U B U'""]"
177wm9hs,14,20,false,"[""R' L F2 R U2 F2 U' F' U F' U2 F2 L' U2""]"
177wpc7m,15,18,false,"[""R F' L F' D2 L D B L B L2 D L' F2 U""]"
1787veps,14,22,false,"[""F2 D' L2 D F2 R2 B' R' B' U2 B2 U2 B2 R'""]"
19yymm50,15,17,false,"[""U' F' R' F' L F R L' F R' F R F2 U2 F""]"
19yypc9v,13,17,false,"[""R U' F U F' R' U F U2 F2 U2 F U2""]"
19zj1a44,16,19,false,"[""B' R U2 R' B R B U B2 U B U2 B U' B' R'""]"
1a3fmbva,13,13,false,"[""L U' R U L' B U L U L' B' U R'""]"
1aw9cydj,14,17,false,"[""U' F' U F2 R' F B2 L F L' B2 F R U'""]"
