# Scramble Extremes — eo / eo_cross / O / bin 9 (max)
# Population in this bin: 5274
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

4332279001,R D2 U B2 F2 U' B2 D' U2 B D L U F U L2 D' B L2,O
5217056001,L2 F D2 B F2 R2 B F2 L B2 F2 L B2 D' U F' L' R U2,O
4910973001,F' D2 R2 B' L2 U2 B2 F' L2 B' U' R2 B L2 D F' U' L F' R',O
3706361001,B D U2 R2 U L2 R2 U F2 U2 R' U2 B' D2 L2 F2 L2 R B' R,O
3938711001,B' L' U' R B2 U2 F' U2 F R2 D2 F' R2 D' R2 B' R U' F D2,O
557172001,L' U' F R F2 B' L D' F2 U2 F2 R2 B L2 U2 D2 B2 L2 U2,O
4937108001,F' L2 B' R D R2 D' R2 D2 F2 U2 B2 L F' R' U F D' L,O
3240153020,F R2 L' F' D' B' D2 L' U' B2 R' F' U2 F' L2 U2 F2 D2 F2 L B2,O
300369001,R2 L U F U L B' D2 F' U R D2 L' B2 R2 U2 B2 R2 U2 L2,O
3752132001,F2 U' B R' B2 L' B2 R U2 L2 B2 U2 L U' R2 F' L2 R D U L2 U',O
1696253033,B' L D2 R U' L2 U' F' D2 L2 B2 U L2 B2 U B U' L2,O
1858020001,D F L U L' D' L F' R L' F R2 U2 D2 F D2 R2 L,O
3562806001,B2 L2 U2 L' U2 L' U2 B R2 U2 L' R' B D R' D2 U' L2,O
5126737001,U' R L U2 R D' F' B' R' D2 R2 B2 R B2 R F2 D2 F2,O
1174001028,F2 D2 L F2 R B2 L2 U2 R D2 R2 B' D' L D2 R' D2 B2 F' D U' L B2,O
675515001,R' U L' B D F' B' R L2 D' R2 F2 R B2 U2 L' F2 R2 U2,O
845931001,U L2 U B2 L2 U' B2 R2 B2 L2 F2 R' U L2 F' D2 R' U2 F L' D',O
1488048001,R2 D2 B2 L2 B F2 L2 U B2 R' D2 L2 B' D' B L2 D2 U,O
891747001,B' F' L2 U2 F2 L2 U2 B F2 L2 U' L' D B' R D2 B' R2 U' F' U,O
3835521001,D2 L' B R2 F U2 B F2 L2 B2 L' D B' D F U L R,O
1058131001,B U2 B D B2 R B D' F2 U' B2 U2 F2 D2 B U2 F' U2 D2,O
1802388001,L F' U B' D2 L' D' B U' L2 F2 U' R2 D' B2 D B D' F',O
635118001,U B2 R F U F2 L' D' B R U2 R2 F2 U2 F R2 D2 B D2 L2,O
2703097001,R2 U2 R2 B U2 F2 R2 U2 F2 U2 L B' U F R2 F D L' D',O
328761001,D B2 L2 D R2 D2 U R2 U2 B R' D2 L' B' F2 D2 L' D F R2,O
3770007001,L U' R2 F' D2 R2 U2 R D2 B2 L2 B F R' D2 L U' B' L2 U,O
5031984033,D' B2 U F2 U' B2 R2 B' U L2 D F' U2 L D U' R F D2 L' F2,O
2148305001,U2 L2 D' L F2 L2 D' B2 L2 D U R2 B' L' R' F' D B R2,O
730374001,L F2 U2 D F' R L U B' R B U' B2 D B2 U' F2 D' F2 D',O
675770001,B2 D2 L2 R2 D' B2 F2 U' F2 D L F R B' R B2 U F' U2 L B',O
3503901001,B D2 B2 L U2 R2 B2 L' B2 D U' L' B F2 L2 D2 B F2 D,O
836491001,D R L F' U R B2 L2 B' R2 L2 B2 D' F2 U' R2 U2 B2 R2 D2,O
5158333001,F' D R2 D U2 B2 L2 F2 U' R2 U2 L U' F D2 U F' D R' B,O
1187268001,F2 U2 R' U2 L2 D2 R' F2 L' B2 U R' D L2 U L2 F D2 B U,O
2814211005,L F' R' B2 D2 L' D L' B' U' L2 B2 D2 F2 B' U2 B U' B R',O
