# Scramble Extremes — eo / eo_cross / Y / bin 9 (max)
# Population in this bin: 5333
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

4956100028,U2 F2 U B2 D R2 U' R2 B' L R B' F' D' F2 U R D' B L B,Y
4526187001,R F' D B' L U2 F R' B L2 B' R2 U2 L2 D2 B D B D',Y
3141316001,D R2 B' U' R L' F' U' D B' L2 U D2 B2 L2 F2 R2 U2 D',Y
681086001,U' B2 D' L2 B2 L2 D2 L2 D' B2 U' R B D2 U' R' B' L' R2 U',Y
4337640001,D' R U2 R D2 B2 R' F2 R U2 L B U2 R D F' R B' L2 D,Y
923407011,U' B2 D' R2 B2 U2 R2 D' R2 F2 U B' R' F' L D' B' L' U R F L' F',Y
2836362001,R F L2 U D' B' D' F' U F R' L2 U2 B2 L' F2 R' D2 L' F,Y
1266333001,U2 F' R2 F L2 B U2 F R2 F2 L D B R2 B L' F2 D' L' R2,Y
4180784049,D' U R2 B2 U2 R2 F R' B2 D' B2 F D2 B F' L' D U' B,Y
877018001,D' L' F D2 L' U2 R U2 F' R F' R2 F2 L2 B2 D' L2 F2 U2,Y
4890364001,L2 B U B2 L2 B L2 U2 R' D' L2 F2 B' L2 F U2 F2 R2 L2,Y
2018574004,L2 F R' U' L2 U L2 U L2 U F2 R2 U L R' U F D' F L' B,Y
5113298001,D F' D2 R2 B' D2 U2 B R2 D2 B' L U F' R U' B L2 F' U',Y
2404307001,F' L2 F2 D2 R2 U2 F2 R' B2 F' L U F U' B' D' R2 F',Y
552029001,D2 R2 B2 U2 L2 D B2 R F R' D L' B F2 D U2 F2 R2 F2,Y
373323001,L' U' L F R U D L' F R U R2 U' B2 D' F2 B2 D' R2 D F2,Y
323959001,L2 B2 F' L2 B U2 B' D2 L R2 D' U R' U2 B' R' U' L' R' B' L,Y
1387240001,L B2 R' U2 F2 R2 B2 L U2 B2 F' L U R F' L' D R2 F2 L',Y
702162001,F2 U2 B U2 R' D F D2 F2 B L B2 U2 R2 D' F2 D' L2 D' F2,Y
3256048022,L' U D' L2 B' D2 B' U D2 L F2 B2 U' R2 D' R2 F2 B2 D2 L' F',Y
1090412001,U' R2 F R' L' D F R D B' U' F2 L2 F2 L2 U R2 U F2 L2,Y
4328185001,F2 D B' D2 L' U R' L' B' R L2 U2 R U2 D2 F2 L2 D,Y
561573001,R2 U2 B D' B2 L' U' L2 B R L2 F2 L2 U2 F2 U2 F2 U L2 D,Y
2977693001,D R U2 D' R2 F2 B R' L2 B R2 L2 B U2 B D2 R' U' F',Y
954328001,R' F' U' D' L' B L2 U' R' F L2 D' F2 U F2 D2 L2 B2 D F2 D',Y
2992676001,L' F' R F2 B2 D2 B D' R2 U2 D2 R2 U F D' L B2,Y
2614635001,F2 D2 L2 B2 D2 L R D2 R B L R B' L2 D2 F U B F' D,Y
3158145001,F' R D2 L U2 L' B2 R' D2 L F2 B' D' U' R2 F2 L' F' L',Y
766873047,L2 F2 U2 B2 D' B2 F2 D' L2 F' L B2 R U' B2 L2 U2 F L B' D,Y
3888176038,U' F' L2 D2 B2 R F2 R B2 F' L F' R' B2 F2 U' B2 F2 D',Y
660871019,F2 L2 F2 U B2 D' L2 B2 D2 R2 B L F2 R' U B' D2 L U B' D',Y
4130985001,R B2 U' B' U' L2 F2 B' U' F' B2 U2 D2 L B2 D2 L2 D2 R',Y
1906001001,F L D2 B' R' F U' B2 U2 L B2 R2 L' D2 L2 F U2 L D',Y
240406001,B2 L' R' B2 D2 U2 L F2 L' D' R F L B L F D' L' U F,Y
990960001,B2 L2 R B2 U2 R2 U2 L F2 R' U2 B L F2 U2 B D U' L' U' F',Y
3313148001,U2 L' F2 U2 L2 R U2 R B2 R B' U' F' R' B U' L D' B2,Y
1242681001,R2 L' B' D' R F D L' B2 D' L' F2 R' U2 F2 L F2 U2 L D2 L,Y
5096319001,F2 U F2 U2 R F2 D2 R F2 D2 L D B' U B' F D L' F,Y
2509959011,R2 U B L2 F B U' L' D L2 D' R2 D' F2 L2 B R2 B L' F2,Y
462075001,B2 D R2 U B2 D' B2 U' L2 U2 L2 F D' B2 L B U L' R' U2 B',Y
2217937038,F' L D' B2 F2 U' B2 L' D L2 R' F' D' L2 U' B L2 B R2,Y
2120185001,U2 B R2 F2 R2 U B2 U2 B2 U2 L' U2 B F' U' L2 D' L' F2,Y
5035660015,B' D R B2 R U B L U' F R2 F' B2 D2 L2 F B2 L' B',Y
34167001,B2 L2 D2 B2 R2 U2 B' F' R' U2 R D' L F' U2 L' B' L U,Y
947224001,L U2 R2 D2 U2 R2 U2 L' B2 R' U' L D' R' B' L' F' R F' R,Y
462108001,U' L2 F2 U2 F2 U' B2 F2 D' F2 U' L' B R' U' F2 R' B F U' B,Y
4779705001,U' F R' U2 B L' B R D' B' R F2 D2 B R2 F' L2 F' U2 L2,Y
246089001,F2 R2 F2 L2 R' F2 D2 L' D2 R2 B' U2 F2 R D B' F' U2 R' U',Y
4332384001,D R' D2 F L B U R D2 R L2 F U2 D2 B2 L2 U2 L2 F,Y
176762001,U F2 R2 D2 R2 D F2 L2 R B' F2 L U L2 U2 B D2 B' R D' L,Y
482139001,D B2 D F2 D2 R2 D U' F' L U' F2 D' B2 D' R2 B' L U2,Y
348698001,R2 D' L2 D' B2 F2 D F2 U' B U L D B' R B2 F U' R2 F2,Y
272909001,L2 B' L2 F' U2 B D2 B' F D' F2 L' R2 F' R2 F D2 R U' F D',Y
3186966001,D2 B U L2 B2 F2 U B2 L2 D2 R2 F2 L B F' D' L' R B' R2,Y
4618940001,R L D B' U2 L2 U F2 R' F B R2 U R2 D2 L2 F2 D2 L2 U',Y
42929001,L2 F2 R2 U L2 D2 R2 F' R' B' F2 L' U' B2 F' L B F R,Y
2257148005,L2 U' F2 D' B2 L2 B2 U' B2 L2 R B' R2 F' U B2 D B L D' L B2,Y
822375001,U2 R F2 U2 L' R' F2 R' F' U2 R2 D' R B L' U' L2 D' L,Y
279804001,R2 F2 U2 F U2 B L2 R2 F R2 D R F' U F2 U B F2 L D R,Y
49826001,L2 R2 D2 L2 F' D2 F U2 F D2 F2 U B' L' R D' F2 U' L' F2,Y
364728001,L' F2 R' F2 U2 R' F2 R' D2 B2 F D' U L U B2 U R' D2 B' F2,Y
4706924001,F D2 B' D2 F' U2 F L U D B' F2 U2 L F2 B2 D2 F2 D2,Y
225717001,R D' F2 L B' R L' D2 F' L' F2 D' B2 U B2 U2 L2 D' F2 D2,Y
1410540001,L2 F' U2 B' D2 B U2 F D B R' F2 R' D R' F2 U' F' L',Y
5040705001,B D R2 U2 R' U B2 L' U2 R U2 F2 U2 L U2 F2 B' L' F,Y
661437026,D U2 B2 R2 B2 R2 D U' L' B U F D' L2 F2 L' F L2 B' U B' L,Y
1549335001,B2 U' B2 R2 F2 U' F2 U F2 R2 F' R2 F' R U2 L B U F' D' B,Y
3389136001,D' F U L B2 L2 U L2 F2 L2 U F2 D' B L U2 F' R B2 U2,Y
486811001,D R' B R2 U' D B R F D' R2 F R2 F2 L2 U2 B2 D2 B' L2 F2,Y
296567001,U L2 U B2 R2 B2 R2 F L B R' F2 D F2 L' D2 B' L U,Y
4127048004,B L D F' B' R2 L' D2 L' F L' U2 D' R2 D' B2 U B2 L2 B R',Y
4214127001,U' B L B2 U R F D' R L F' B' R2 B L2 B U2 L',Y
327852001,R2 D2 L2 F2 D B2 F2 U' F L' R' B' U F2 D B2 L2 F D2,Y
2723337046,B2 D' L2 B' D2 L B' D B' U2 F L2 F' R2 F R2 F2 R' D' F2 L' F,Y
3021521001,U B2 F2 U' F2 U' B2 D' L2 D2 F' L R2 B L U L' R D2,Y
2722409027,R2 U L' U2 B' L2 D2 R2 F D2 B F' D' L' R D' U2 L' D B2 L',Y
588848001,D2 B2 D2 R2 B' F L2 R D' R D F2 U B U2 L F' R',Y
3303632001,D2 F' L B2 D2 U2 R F2 D2 R' F2 D2 B U' R' D' U2 B2 L B',Y
3611206001,D L2 B' D' R' F' L' D2 F' U B U2 L2 B' L2 D2 F' D2 B2,Y
3318957001,R' D2 L B2 U2 B2 F2 L2 U2 L F R2 U' L' D2 F' D B' R' D,Y
627826024,U F2 U2 F2 B R B2 L F' B' U L2 B R2 B R2 L2 B2 D2 F,Y
3753090001,R D2 L2 F U2 F2 R2 U2 B2 F' U' F' D' R' B2 U' R' U L D2,Y
