# Scramble Extremes — eo / eo_xxcross / Y / bin 12 (max)
# Population in this bin: 1093
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

3280151001,F' B' R2 B2 R' B2 U' L2 F L' D' R U2 F2 B2 D2 R D2 L2,Y
1071063001,F R2 F2 L2 B L2 B U2 L2 U B D2 L R B2 D U2 F' D2 B,Y
1756087001,R' F2 D2 R2 F2 R U2 L2 R' D2 R F' D U' B2 L' F2 R' F' U,Y
4674808001,D2 L D L B2 R' D2 F2 U2 R' U2 F' D' R2 B' F' R D' L' B',Y
2482647001,U R' L2 U' D' F2 R2 B L' F D2 B L2 F' U2 L2 D2 L' U L' F,Y
5050269001,D' F2 U B2 F2 D L' B' D2 L' U' B2 F2 D' R' D' F D L B',Y
1696513001,U F U R2 F2 U R2 B2 D' U2 L F2 L B' R' F R' D L',Y
2528490008,F2 L2 B2 R F2 L' F2 R' B' D' R U' L' B' F' L2 R B2 D,Y
2038366001,U R2 U F R2 D' U2 R2 U R2 F2 U2 L2 F D2 F R B F L',Y
1848740001,D2 F2 R' B2 L' D2 R2 D2 R2 B2 R D' U R U B U F D L U,Y
4180822030,F L2 B' D B U B R' D U2 F' R2 D2 R2 D2 F L' D2 L2 U2,Y
1353656001,B2 D L2 D B2 U2 B2 U2 R2 U B2 L B' U R' D2 F2 D L' B D2,Y
4139793001,R' U R2 B2 F2 U2 L2 U L2 B2 R' D2 B F2 U' R' D' L2 B F,Y
5092080106,D L D2 R D2 R U2 R B2 L2 B' R2 U L' F' U B' R2 B2 D,Y
1948965001,B2 D' L F U R2 B' U' R' D' U2 R2 U2 F2 D2 R' B2 L2 B,Y
64574001,F2 R2 F2 L' U2 B2 R D2 L2 B2 F' L R B' D B' R2 U F D2 R,Y
647311001,R2 F2 U2 F L2 D2 F2 D2 R2 F2 U' L2 B R' U' L R' D' B2 R2,Y
2636379001,U2 F' R2 B' U2 B F U2 R F' D L2 R' D' L' B U' L D2,Y
1606172001,L R D2 F2 U2 B2 L' U2 B2 D' B R' D F' L' U2 L' D L2 U,Y
2454630001,L F2 D F2 D' R2 D2 L2 D' F' U R B L F2 D' U2 L2 F,Y
661185009,L2 U2 R2 D F2 D B2 F2 R' B2 U' L R2 U' B' U' F' L2 U L' B R',Y
4344407001,R' D2 U2 L D2 L2 U2 R U2 D' L U' R U2 F R' U2 R2 D,Y
84617001,R B2 L R' B2 D2 L U2 R B D R2 B L2 B D2 L' D' U2 R' B',Y
88968001,L2 D2 B2 F2 L' R F2 D2 R' F' U' R F' D' R U B' L2 U' F',Y
3710601001,R2 U2 R' D R2 B2 L2 B2 U R2 U F2 L' U B R B2 D' B F' L',Y
3896449001,U' L D' B2 L2 F2 U R2 U B2 L2 F' D2 L' F' R B F' D' B2,Y
1508132001,L2 D2 F2 L' R' U2 B2 L' B2 U2 B2 F L B L' U F L D' L,Y
1315714001,F L' U F R' F2 D R2 F' B' L B2 U2 D' R2 D B2 R2 B2,Y
660772016,U2 L' B2 R2 D2 B2 U2 R2 U B' R2 F' U' F R2 B2 R' D2 F' L',Y
4122826001,L2 U2 D' R' F U2 B' L' D R2 D' F2 L2 U' B2 D' R2 L B2 U2,Y
4150984001,D' B' L' F D2 B F' D2 R2 F D' F2 D F2 U' B' D' R',Y
4696240001,B D2 F2 L2 U' B2 U2 L2 U' B2 F2 U R' D' L' F U2 B' R D',Y
3745130001,D2 L' F R2 L B U' F2 B2 U2 L2 B2 L B2 R D2 U B D2,Y
943729001,F' R2 B D2 B L2 R2 F U2 L' U F D L2 R F' D' B' L2 F',Y
4282172001,U2 F' D B' L F U F D B2 U2 B2 U2 F L2 F R2 B D' R',Y
5132553001,B' R' B2 D2 L2 B2 R' D2 L' R' U2 D B L B U F' U L B',Y
4637646001,L' B L F' D2 R' U L2 D2 R2 B R2 F L2 D2 B' D2 R B2 U',Y
3607681001,F D L2 B2 D2 R F2 L F2 L2 B D' F' L' R' F U2 R',Y
1335973001,U2 F' L F' D R L B' L2 D L2 B2 D2 B' D2 B' U2 R2 F U2 B,Y
