# Scramble Extremes — eo / eo_xxxcross / BGOR / bin 13 (max)
# Population in this bin: 17399
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

3580686056,R F D2 R' D U2 F2 D2 R2 U2 L2 R' D L' R' D' B U F L2 U2,B
4957939001,R2 B L' U2 F2 D2 B2 L' F2 L2 U' F' U' F2 D U' F R2 F' L2,B
2299726001,B' U B' D2 R' F' D B' R D2 F2 D2 L' D2 L B2 U2 R2 U2 R,B
3817314001,F U2 L2 B2 D2 U2 B L2 D R' U L2 U2 F R B' R2 D U2,B
3755284056,L' D2 F2 U B2 L2 D U2 B2 L2 R' F' D2 U2 L2 U2 B' U' F R' B R2,B
1480095001,R' D' L2 D2 L D' F R' U R U2 L2 F' R2 F U2 L2 U2 D2 B,B
2203998001,B2 F2 D2 R D2 L' F2 D2 R' F D' U2 L B2 F2 L2 F L U,B
515940001,B2 R D2 L' U2 R' U2 L' D2 R F' U B' D B' L R B D' U2,B
4812857001,U2 F2 U' F' L' D' R U2 F L2 F2 D2 F U2 B2 R2 B' D' L2,B
336867001,R2 F' D2 L2 B F D2 F' L2 U L U2 L' U2 F' D' B' R' B2 F,B
5166474001,U2 L2 U2 L2 B R2 U2 F2 D2 B R2 L' D R U B F U2 R2 U',B
1088703001,B U' F2 B2 U F' R D' L U' F2 R2 F2 R2 B L2 U2 L2 F' L2 F,B
562096001,U2 L2 R2 B U2 L2 U2 F U2 B' R D2 U2 R2 U' L B R' F2 U,B
1463193001,R2 B2 R2 F' R2 D2 U2 F' L U L F L' F2 U2 B L' D' L' F',B
3005979033,R2 F B2 U2 B2 U2 L' F2 L R B2 F2 U' R' B2 F D' B U' B' L B2,B
1817481005,U' L2 F U' R' U2 R2 D2 F2 L' F2 L' R2 U L F D' R' B2 R D,B
4611509001,U2 R2 B2 L F2 L' F2 R' F2 U2 L U' B2 L F D R B F L',B
772161001,F2 U' R2 D L2 U2 L2 B2 L2 B2 F' U2 L2 D2 L' F' L' R U B2 L',B
698259001,D' B' U D' R' U2 L' F2 B2 U' B U2 F R2 F' L2 D2 L2 F2 L2 F',B
712683001,U' B2 L2 B2 U F2 L2 R2 D L2 D' L' B' F2 D2 U2 R B' R D L',B
4960381001,B' L D L2 B R D U2 L2 F' L2 B U2 R2 U2 F D L F2,B
3929377027,U2 F2 D L2 F2 U F2 L' D' R B2 U' F' L B' L' D' B2 L',B
3018037001,U' F2 D2 U' F2 U F2 R2 F2 U' R2 L B' D F2 R' F U' F' L2,B
3412586001,F R2 U B U' L' U B' L D F2 D2 F R2 B2 D2 L2 D2 R2 L,B
3842806001,U' R F2 U2 B2 R2 D2 L R2 U' B2 D' U L2 B' L' U B2 R2,B
523456001,R' F2 D B R' F U' L D B L B' D2 R2 U2 F D2 B,B
3643877001,R' F' U' B' D2 L F D F2 R L2 B2 L' U2 L2 B2 D2 R2 B U,B
1967864001,U' F2 U' L2 B2 R2 B2 R U F' U B' L2 R D' B U L B,B
2923380001,B' D L F2 U' L2 F2 D U2 L2 D U F R2 B' D L' R' D' F2,B
