# Scramble Extremes — eo / eo_xxxcross / O / bin 8 (2nd-smallest)
# Population in this bin: 110
# Samples listed: 110 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

53449001,B2 U' L2 U L2 U' F2 U L2 B2 U F R' F R B D2 B L,O
92135001,F2 R F2 D2 L' U2 L' R' B2 D2 B R D2 U2 F' R2 B L D U2,O
146363001,F' U2 F2 D2 F D2 R2 F L2 R2 B D F R F' D U2 B2 L R',O
152327001,D2 L2 B2 L2 U' L2 D R2 D' L' B' D L2 R2 F2 U' F2 U,O
176142001,R U2 R2 L B' R' D2 R2 F D' R U2 R2 U' D2 B2 L2 D' B2,O
213307001,U2 R' U B L U R U2 F2 R' U F2 L2 F D2 F2 U2 F' L2,O
309492001,R2 L B2 U F R2 U2 D L' F2 R2 D B2 U2 B2 D R2 D2 L2,O
313890001,F R L' U2 D B' D F2 D B' D R2 L2 F' U2 R2 D2 F U2,O
316160001,U2 L2 B F' R2 F' L2 U2 F2 D F' L2 R' B' U R2 B R' F',O
419566001,R' U F' D F U F L2 U D' L2 B' U2 D2 B',O
426019001,R2 B2 D' U2 B2 D2 F2 R2 U L' B2 U R' D' L' U' B' U' B' L2,O
434730001,R2 D' F2 D' U' L2 U F2 R' F' L D R2 U R D' R' U2,O
532115001,F2 B' D' R L2 U2 L2 F D' L2 F2 R' D2 L B2 R B2 L2 D2,O
552860001,L2 D B2 U' F2 D2 L' U F2 D2 B D2 F U' R' F' R2,O
611284001,F2 L B2 D2 B' L2 B D F D2 L' U D2 L2 F2 D' R2 F2,O
684534001,B' L2 B2 L' D' F U F U' F2 B L2 U2 F2 L2 F' U2 B',O
708284001,L' B' R2 B L F' U' F2 B' D' B2 L2 B2 D2 F2 R' D2 B2,O
710021001,F' R2 U2 R' U2 R' U D L2 B2 U2 L2 D2 R2 D2 B,O
838284001,F2 B' L' D' B' R U' F U F R2 U' D' R2 F2 U2 F2 U,O
844007001,R2 L' B' D' R' U F2 D2 F B2 R2 F2 L2 U' R2 U R2 U2 B2 U',O
872336015,U2 F2 L2 F2 L2 U' F2 U2 L2 F R' B' U2 F' L2 D' B' D L' F L2 U,O
875009001,U L2 D U2 B2 L2 D R2 D2 B' U L F R B' R D R2 B2 F' L' F,O
880136001,B2 L D2 L B D L' U2 D L F2 L2 D F2 R2 U' R2 F2 D2,O
890361001,B2 R U' L F' U R' B' U2 D2 L2 D2 B2 R U2 B2 R B2 U2,O
952585001,U F2 L2 D F2 D' B2 U F U F D' B2 R' F2 D' F' U2 L' U,O
957842001,L D2 B2 D2 R B2 L F2 L2 B2 L' F' D2 U L F' R2 D F,O
982423001,R2 U2 B2 R2 D2 U' R2 F' U F U2 L2 U R' F L' F R2,O
1040957029,D2 F2 D2 F D2 L2 B U2 L2 U2 L' U' F' D' F2 U' L R D F2 L2 U,O
1043047001,U F' R2 B R D B L2 D' F' D F2 U' R2 U' L2 D F2 D2,O
1044099001,R2 D2 F L2 B2 R2 B' U2 F2 U2 R F2 L D2 R B' F2 U R' B',O
1047801001,U2 L' B' L U2 D' F U2 D B' D2 L2 U2 L2 B2 L' B2,O
1111500025,F L2 U2 L2 R2 B2 F' D2 B' R2 F' L' U L' D2 U B U B R2 B' L2,O
1142164001,B2 U2 B2 D' R2 D2 B2 L R D' B2 F2 U' R' U B F2,O
1187725001,F2 L' U2 F2 U2 F2 L' D2 L2 F2 U F2 D B L' U R2 B' L B',O
1227262001,R' U' D' B D B R2 U2 R U' L' D2 R2 F2 U2 L2 D' R2 U,O
1240124001,D2 R' F' L2 B R F2 R2 U2 F U2 L B2 L F2,O
1245185017,B2 R' F2 U2 L U2 L2 B' U' L' U' L U2 L' U F' R' F2 L B',O
1309234001,F2 R2 U2 L U2 F2 R B2 L D2 R D' L R D' L2 R B2 R,O
1515684001,D2 R2 D2 L2 F2 L2 F2 U2 R2 D R' F' L' B U2 R' F2 D B2 L U' B,O
1532598001,L2 B' R B' U F2 L D L' F' U2 F2 U F2 D' B2,O
1544077001,R' B2 R' D2 L' U2 F2 L F2 R D2 B R B D' R F2 U' B' D',O
1552851023,F2 L2 F2 U L2 U2 B2 L2 D' R' U R' F' D' L' F' R' U' B L2 B R2,O
1584462013,B2 U2 F L2 B U2 L2 B D2 L' F U' R F' R2 U' L D' B R2 B' L',O
1597032001,R B' D' F' R2 U L F2 D L2 F' R2 B' R2 B' U2 D2 F' U2 L2,O
1634676001,U' L2 D2 U R2 U2 B2 F' L U F2 L' F2 L U R,O
1636600001,F D' F2 U B' U2 B L2 D' R2 B2 D' F2 U' D2 L2 F2,O
