# Scramble Extremes — eo / eo_xxxcross / W / bin 9 (3rd-smallest)
# Population in this bin: 1368
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

3261870001,D2 F D R' F' R2 F' U2 F' U2 F2 L' U2 B2 F L2 F D',W
2561948001,U R B2 F2 L2 B2 L' F2 U2 R' D L' R U B' R' F2 L' D2,W
660933007,B2 D2 L B2 R D2 B2 L' F' R D F' U2 L2 B R' U L2 B R',W
660777014,L2 B2 D' B2 F2 U' F2 D2 F2 U F' D U' R' F' U L2 F' L2 F2 L2 U,W
4864270068,F U R U' D2 R2 B' L' R2 F2 R2 B U2 R2 L' B' U' L2 U,W
661457032,U' B2 F2 U' L2 B2 L2 U' F' R' B' F2 R' D F R F2 R' B' L B2,W
951071001,D F2 D' B2 U2 F2 R2 D L R U' R' F' U2 R' F2 U' F2 D,W
693390001,F2 D2 R2 B2 L2 U L2 D' F2 R2 U B L2 U2 R B2 U F2,W
858679001,R' U' F U2 B' L2 U2 B D2 B2 F' L2 R' D B2 U L2 U2 R' F R D2 B' R' U' F,W
5067894001,F' R2 F2 U2 F' U2 B' L' U L' D2 B' R2 U B' D2 F2 D2,W
4913366020,U2 B2 R2 U' F U2 D2 R2 F' D2 F2 U' B2 D' L2 U2 F2 L2 D,W
4675889001,L' B' L' U2 B' U2 L B' U' R L2 U F2 R2 B2 U' R2 F2 U' L2,W
5257815001,R' U2 D' F2 B2 L' U B R' F B2 R' D2 R' F2 R' D2 F',W
1640478001,L R2 F2 U L2 D' U2 L' U R' B' U' F2 D L R U,W
2093270001,U R2 D R2 U F2 D2 F2 U2 L' F2 L2 F2 U F L2 R2 F',W
782464001,B' R2 F2 L2 B L2 F' D2 F D2 U' R2 B2 L U2 L2 U' L2 R U,W
3467058001,U2 L2 D2 R L' D L' D R' U2 F B2 D2 F B2 D2 R2 L,W
3164375001,B D2 L2 F D2 F' R2 U2 L' R B' L2 B2 U F' D R2 U2 L',W
