# Scramble Extremes — pair / cross_pair / W / bin 8 (max)
# Population in this bin: 2079
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

63001,F2 B U2 R2 F' R' L' F2 D' R2 D2 F' B' D2 L2 F R2 B R2,W
110298001,D R2 F' B R2 L U' F' U F D' R2 L2 F2 B L2 D2 R2 U2,W
202605001,B2 F' R2 U2 R2 F' R2 B2 L B R' D F2 D B' U R F L,W
115451001,F' B' R' B U B R' L' U' F U2 B2 R F2 U2 R2 F2 D2 R D2 L,W
930001,B L2 B2 L2 F2 D2 L2 D' U L R' D R' U2 B' L B2 U,W
148901001,D2 R' L2 F R' L' B U B' D L2 B2 R2 U2 R2 B' L2 U2 F D2,W
294271001,U F2 D2 B' R2 U B' D L2 B U D2 R2 U2 R D2 L F2 L,W
299950001,U2 L' D2 B2 R' U2 R' B2 L' B R2 F' U' F2 D' F' D2 B' R' F,W
227038001,F2 D2 L2 U' L2 U' L2 F2 R' B' D' U' L B' U' L' U F U,W
159111001,D2 R' U2 F2 L2 U2 F2 U2 B2 F R B L2 F' D R' B U L' R,W
41799001,R F2 L F2 U' F L2 B R B2 R2 B R2 U2 B2 U2 F D2 F' L2,W
122244001,U2 R2 F R2 B' L2 F2 R2 F2 U' R' D U' L' B' F' R2 B U F2,W
191414001,L' D2 L F2 L B2 U2 L D2 R U L2 B' U L' B D L2 D2 U L B2,W
189480001,F2 U2 L2 U2 R2 U2 L' B2 F2 R U B2 R' D2 L' F L B D2 R' U2 B,W
125114001,D' L2 F2 U R2 U' R2 F2 U R2 D' F R U' F D' R' B2 U2 L2 F',W
246183001,R2 U R2 B2 U' F2 U' B D2 F D' R F' U B L2 R2 F2 R',W
40301001,B' D2 R2 F' L2 F' U' L' U2 R D L2 U2 D2 F L2 F R2 F B2,W
139248001,D2 B D2 B2 L2 F U2 F' D2 U2 B U F R2 D' R F' L2 B' U L',W
81946001,D' B2 U2 R2 B2 F2 U' L2 R2 U L' F D' U R' F2 R' U2 L' B',W
287379001,R2 D' U R2 D F2 U' F2 R' B R F D2 U2 L R' F' R' D2 U' L' F2,W
189532001,B2 D2 U2 B' D2 U2 B U2 B U R D2 R2 U L' B' D U' B',W
2315001,U F2 B U F' D2 B U2 L B' R' U2 L' D2 L2 D2 B2 D2 R B2,W
112695001,U2 L F2 R B2 R' D2 F2 L2 D2 L F' L' B' L B D' R B' F2 L,W
252380001,F' D2 B F L2 B F L' R U B U' L2 R' U' F D2 B,W
2554001,L2 R2 U F2 U B2 D L2 B F2 L' U B2 D2 L' U2 B' L2 R2 U2,W
141647001,R2 U2 L2 F' L2 B R2 B D' R' F R' B D' L2 U2 L' B' R,W
278965001,U2 B R F2 R2 L' D F' L D2 L' U2 R2 B' D2 F B2 D2 B2,W
322316001,F2 D2 L2 D B2 D L' R' F' U L U2 R F2 U R' D U' L,W
254422001,U' B2 D' B2 L2 B2 U B D2 B L2 D L B U F L R2 B',W
108678001,F' L2 U2 B' F2 U2 R2 B' L2 B2 U2 L' D B' L D' F D' R' D B',W
116637001,D R2 U2 L2 U F2 U' L2 U' F L2 F' L' R F U' L' D' B F',W
125256001,L2 D B2 D' F2 U2 L2 U' L2 R2 D L F' U2 B D' B2 L F L' D,W
240624001,D2 B2 R2 F2 U2 R F2 R2 D2 F' R' U' L' R2 F U2 B D F U,W
156938001,D2 L2 F2 L2 U2 R2 B L2 F U L B D' U' F2 L' U' B2 U2 F2,W
207588001,B D2 L2 B F D2 F' D2 U2 L' R B' L' U L' B F2 U2 F' L',W
5057001,D2 R' U2 R2 B2 D2 U2 F D B L' U R' F D U F2 U,W
199791001,U D2 R' F' U' F2 D' F' B' L' F' D2 R F2 B2 L U2 B2 L2,W
52318001,R2 B2 U' R2 U' F2 U' B2 D' R2 U' F' U2 R' U' F2 L' R' F' U2 F2,W
209943001,B2 D' R2 F2 U2 F2 D' L2 R2 B2 F' D' U R U' F' R F' L' D2,W
264247001,L2 F R' F B2 R B' D' L D' R2 D2 B2 R2 F2 U' L2 D F2 R2,W
218666001,R2 B2 U' L2 U F D2 R D' F L' D2 L2 B' U2 B L2 B',W
243914001,F2 U2 B' R2 F' R2 F L2 U' R2 F' U2 R2 F2 D2 F' R B' F',W
47429001,F D2 B' R2 B' F' U2 B2 D F2 R B' L F R2 F D2 B' L,W
312474001,R2 F2 D' F2 L2 D L2 R2 F L' R F' L' B2 L B2 D' B F,W
300930001,L D2 L' B' L F U2 R F' R2 F2 B2 U D2 B2 D2 R2 U',W
59552001,B' D' F R' U2 F2 D2 R2 U' F D' B2 R2 D2 R2 D' F2 B2 U2,W
315322001,U' L2 U R2 F2 L2 U B2 F2 U L' F U2 B' R' B2 R B' R2 D',W
303191001,L U F U R' F R B R' F2 L U D' L2 B2 U2 L2 B2 U,W
294307001,U2 L2 R2 B U2 B2 U2 R2 U' R U2 L' D2 F' D U2 L' D2 F2,W
107647001,D' B2 F2 D U2 B2 D U R2 F2 U' F' D2 U R' B D F R' F' L' B,W
212603001,D' F' U B R U' F2 B L' B' R' B2 U2 D2 L' D2 L' F2 R' U2,W
68272001,D2 F L2 B R2 B L2 B R' D' L' D' L' F2 D L B L2 U,W
184105001,F D' B2 U' F2 L' U' F D2 L' U2 L2 F R2 D2 F L2 F' R2 D2,W
178788001,L' F' R F2 D R D B U' L' U B2 D' F2 R2 D' F2 D2 L2 U,W
273395001,F2 L' U2 R B2 L D2 R2 B2 D2 B' D2 F' D' B2 R' B' D' B2 U',W
160982001,B2 L' B L U' R' L' D R B' R B' D2 B' R2 B2 R2 D2 B2,W
160976001,R2 F L' B2 U2 B D' R B' R2 F R2 D2 L2 F B2 D2 F U2,W
209968001,B2 R2 F2 R2 B' D2 F U2 L2 F2 L2 D' L' R' B' U' L2 B2 D F',W
155116001,R2 D2 F U2 F' L2 F2 U2 F R B' D2 B' L R' B' R2 D' F' U',W
120765001,F2 D L2 U' B2 R2 U2 L2 U L2 F' D L' R2 B F' R' U2 L,W
57461001,U' F2 B' R D' B D L2 F' B' L' D' R2 U B2 L2 B2 U L2 U',W
79121001,D B2 U B2 U2 F2 D' F2 U' F2 L U B R' F U2 B' R' U B,W
167359001,U2 F2 D2 F2 R' U2 R' F2 L' D2 U2 B' D' B U2 L' U' R' F' R2,W
41497001,R' B' D L2 B' L U' R2 B D R U2 R2 D2 F U2 L2 F' D2 F2,W
297194001,D2 R2 B2 U R2 U F2 R2 U2 L' R2 B2 F' R B' F' R2 D F U',W
97873001,L2 B R L' B' U' R2 F' U' L' D' B L2 F' B' R2 U2 L2 U2 B2,W
347719001,U2 F L B' R2 D2 R' L B U R2 U' R2 F2 U' B2 D R2 B2 U2,W
237009001,R2 B' R2 U2 B U2 B F2 L2 U' B F2 D2 B2 L2 R' D B' L,W
305191001,D2 B2 D U' B2 R2 D2 U B2 L B' R2 U2 B F D R' B L' B',W
68755001,L2 F2 D' R2 F2 U2 F2 D' L2 D' U2 B F' L' B' U L2 R' B D',W
304316001,U2 D2 R' D R' L' F2 D B' R D2 F2 D' L2 F2 D F2,W
151562001,B2 R' F2 L F2 D2 U2 R2 B' L' U L' B2 F' R U' L U L',W
136245001,U2 R2 U' L2 R2 B2 L2 D B2 D2 F D B L' D R2 U2 R U2 B R2,W
166769001,U2 R2 U2 L2 B D2 R2 B2 R D B' L2 R F2 U' L B F' R,W
