# Scramble Extremes — pair / crossp / R / bin 4 (3rd-smallest)
# Population in this bin: 1809
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

80190001,F2 R2 U B2 D' L2 D B2 L' F' U F' D2 F2 L2 R' B' R' B',R
304737001,U' F2 U' F U2 L' F2 L' B D2 F' B2 U F2 U' L2 F2 D L2 U,R
50762001,F L U2 F R2 L' D' R' B' L B' U2 B' L2 F' U2 L2 B2 U2 R2 B',R
266275001,R' B R' B R' L2 U2 F' D' R2 U' F2 R' D2 L2 U2 B2 L F2,R
299928001,R2 F2 B' R2 F' R L U' R' F' R2 D2 F2 U2 B U2 B2 R2 U2 B2,R
165000001,U2 R2 F2 L B2 U2 B2 L2 F' U' L D' U L' B2 U' B2 U' R',R
225939001,U' F' U2 R U' B' R' B' U R D2 B2 R L F2 R' D2 F2 L,R
55116001,L2 R2 B' D2 B' D2 F' L2 F2 U F U2 L F L2 B R2 U2 L,R
157779001,B L2 F R2 B2 L2 U2 B L2 F' D2 R U2 B2 U' L U B' L2,R
179585001,R2 U B2 U R B2 R2 F' B L' U' L' D2 R B2 D2 B2 U2 R',R
144244001,U2 R' F2 L' F2 L2 B2 D' B' R D' L' B L D2 F2 R' U,R
143850001,R2 U' L2 U' B2 R2 U2 L' F' D' L2 R D2 R' B R' B' D2 U,R
183380001,L2 B' U2 B U2 R2 B2 L' F2 R2 D' R2 D L2 D' R' U' L',R
240397001,U2 B2 F' U2 F L2 B R2 D2 L' D F2 D F2 R' U R2 D B2 F2,R
261415001,B L D R2 U2 F2 U2 F' D L2 D2 L2 F' L2 F' L2 B2 D2 L2,R
242795001,D2 B2 R2 U B2 D' L2 U' L F' L R' D2 R B' U2 L' R2,R
164074001,F R2 F' D2 L2 D2 B' R2 F' D' R2 F' U' L B2 U' R2 B' L U,R
