# Scramble Extremes — pair / xxxcp / BGORWY / bin 13 (max)
# Population in this bin: 295
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

336687001,B2 R' D2 B2 U2 B2 L' D2 U2 F2 D F2 R F' L' B' D F' D2 U',B
5412001,U' B2 D R2 U2 F2 R2 B2 D L F U R2 F' R B R' U' R' D' L B2,B
6164001,B2 R2 B2 R' D2 U2 R2 U2 R' B D2 U' R B' D2 R F' D R2,B
9244001,D2 B' R' U' L' F U B2 U' R2 B L2 B2 D2 R B2 L' B2 U2 B2 R,B
10340001,B2 U2 B' F' R2 U2 R2 D2 B2 L' F' R D' B2 F' R2 B D' U2 F,B
10621001,D2 U' L2 R2 F2 D2 U2 B U L2 B F2 L R U2 F U2 L2,B
12808001,L' F' L F U' D2 F' R2 L B D F2 U R2 L2 D' R2 D' F2 B2,B
13362001,F2 U B' U2 B2 R2 U R' L2 B U' F2 D' R2 D2 F2 B2 D R2,B
15978001,R2 L' F2 B L' U2 F L' D B' R' F2 U' R2 D F2 U' B2 U F2,B
250742001,U' B' U B' L F L D B U' L F2 R F2 L D2 B2 R' U2,B
18556001,L2 F2 U2 B2 D2 U' B2 L2 B' R F U B U2 R' D2 L' D2 B' U',B
241516001,L2 D2 U2 B2 D2 F2 R U2 B2 L U R2 B F' R D2 B2 D' F D2,B
24014001,F U F' R2 D2 R2 L F2 B' U F R' F2 U2 R' U2 L B2 D2 R,B
263795001,R2 U2 R2 F2 D2 B' R2 B2 D' U' R B U' B U F L B,B
32655001,D2 R2 B D' F' R' L U' B2 R2 D' F R2 F D2 B U2 L2 D2 B,B
32865001,U2 L U2 R F2 L' D2 R' U B' D2 B L2 B R' U' L2 R2 B2,B
34538001,D' B U2 B2 L' F R' L U2 B' U L2 D2 B2 D2 B2 U L2 D R2,B
35046001,R' D R2 L' D F' U' D F2 U B' R2 D' R2 U R2 L2 B2 U' D2,B
35123001,D2 F2 D R2 U2 B2 U F2 L2 R2 D R' B2 R2 U B' F' U2 R U B2,B
36899001,B' U2 R2 F2 U2 F D2 R2 F2 L2 F R' B2 U' B' L B D R2 B' D,B
295684001,R' F2 R' U2 F2 R2 F2 R2 U R2 B' F' D' L F' R B2 D2 R',B
348161001,R2 F R2 B U2 B' F' R2 U2 F L D L' R D U' R2 D F' L',B
42283001,D2 B' R2 D2 F R2 F2 L2 B2 U2 F' L D B2 R2 B' U R2 U L B R,B
324090001,B' R D L' U' D' R2 L' B2 L B D2 R2 U2 B R2 F' B2 U2 L2,B
45927001,R D F' U' F2 B2 U2 R F' U' B L2 B U2 R2 B D2 F2 L2,B
48139001,L2 R2 U2 L2 F2 D' F2 D B2 U2 F' L' D B U2 B' R' B2 U B' L2,B
306222001,B F L2 F D2 F2 U2 F U2 L' D' F' U R' B R D' L2 R F,B
49025001,R2 D2 B2 F2 U R2 U' B2 U' F' R B' F' L U B' R D R' B,B
335275001,F2 U2 R2 B2 U2 R2 U R2 F2 D2 R2 B' F R' U' L2 B2 D' B D',B
50488001,L2 U R2 D B2 D' R2 D' R2 D' F2 R B U' L F2 U2 F' D' R' B',B
50599001,R2 F2 L2 B R2 U2 B F' R' U' L B R U R2 B2 D B,B
50934001,L2 B' R2 F L2 F' L2 R2 U2 F2 L D' R' B' F' L R' B' U L2 D',B
51442001,F L2 U2 B' L2 B F' L U R F' D' L' R' B' D F D2,B
52390001,B' R2 B U2 F L2 D2 B R' D' B2 L' D' R' U' B' F' R2 D2,B
54130001,L2 R2 B U2 R2 B' F' D2 R D' B' D' F' L R' D' F' U2 F2 D,B
274158001,F U2 F2 U' R F L U R2 L' B' R2 D2 R2 B2 U2 B2 L B2,B
56098001,L2 D2 F L2 U2 F2 L2 B' D2 B2 U' L' F D B2 R' F2 R D' B,B
56419001,R2 U L D' F2 B R U2 F L' B2 D2 F2 R2 F2 U' R2 U2 R2 F2 D2,B
57203001,L2 D2 U2 B F R2 D2 F' U2 F' R2 U L F D' L' D2 U' L2 B' R',B
57551001,R2 D' F2 D2 L2 F2 R2 D' R' F R2 D U2 F' R' U B U' B L',B
57938001,D' B2 U2 R2 U F2 U R2 B' L' D F2 U' L' F R' U' B' L R2,B
59716001,D B2 L2 U' R2 D' R2 D L B D' L' U2 R2 D2 U B D2 R' U B,B
60149001,D' R' F' B2 U L2 F2 R' L U' B' R' F2 R' L' D2 B2 L' B2 U2,B
253955001,D2 R2 B2 D' F2 D2 L2 U L2 U2 R2 F' U B L U L' U2 R' B2 D,B
61084001,B2 F2 D2 B2 F2 L' B2 U2 R B R2 U R F' U L' F U F' D',B
63506001,F U' F' R2 L2 U2 R' D R F' U2 R' L' D2 F2 U2 B2 L2 D2 F2,B
321409001,D2 B2 U2 R2 F2 L' D2 L' B2 R' F2 U R2 F D R B' U2 L' R2 U2,B
65272001,U2 R2 D B2 L2 D' L2 R2 B2 D' B' L' U R U' B D2 U' F R',B
65334001,D2 F2 R2 U2 R2 B' R' L2 D' F L' F2 D R2 U2 D' B2 U' R2,B
317441001,L' B' U L U D F' U B L' F2 B2 L2 D' F2 L2 B2 U B2 U' D2,B
68687001,R' F2 D2 U2 R2 F2 D2 L' D U2 R B' D2 B R B F D F2,B
71375001,D2 R' U2 L U2 F2 L' U2 L' D2 R' D' B' L' D' B F' U L R' D2 L2 U',B
71590001,R' B R U' L2 U2 L2 F D' B U R' L2 D2 R' U2 D2 F2 R,B
73553001,B2 U2 L2 D U2 F2 D2 B2 U' R F D2 B2 D' U2 L' U' B' D',B
74829001,B2 R2 B2 L2 D' L2 R2 D2 R B' F L B D F D' U F D2 B2,B
287646001,U F2 D' B2 L2 R2 U' L2 B2 F2 D2 B' L F L' D' R F2 R F L2 B',B
286361001,F2 R2 F2 D2 U2 L D2 R' D2 F L R2 B L2 U' R D' B2 L U2,B
298019001,U D' R F' L D2 F' B U F B L2 U2 B D2 F' U2 L2 B2 D2,B
82608001,D' F U D' R2 F' R U R2 L2 B' R2 L U2 D2 F2 L D2 R2 L',B
272662001,L2 U D' F D' R2 L D R' D' B' U2 L B2 L2 B2 D2 L D2,B
88617001,L2 U' F2 D2 L2 D' L2 R2 D2 R2 B U L' F R2 F2 R B2 U' B',B
88657001,B2 U' R2 U' R2 B2 D B2 D L2 F D2 L2 D' L U' B' L D2 L,B
89050001,D2 B2 D2 B2 L' R2 D2 F2 L F2 U2 F D2 B' R U B' F2 L2 D' U2,B
89141001,F2 U' B2 D' B2 U R2 B2 R2 F2 U L R2 D R F L' B' D L B L2 U,B
240788001,D2 R F2 D2 L B2 F2 L U2 L2 U' B' R D' U F U B' F',B
91289001,R2 D2 B' L2 U2 F2 U2 R2 B' R2 F2 U' L' U F' U2 B R' B' D F',B
91797001,D U2 R2 D2 R2 F2 L2 U2 B' R' U2 L' B D B2 D B U F' R',B
288220001,F2 L2 U F2 L2 R2 U2 R' B F2 D' F2 U' L B' U2 R2 B',B
268380001,U' L2 U' R2 B2 U2 R' B D' F U B' R U2 R B' R',B
102169001,R2 D R2 B2 D2 R2 F2 U' L2 D F2 R' D B F' U B' L' R2 D,B
238735001,B2 F L2 D2 F' D2 R2 U2 R2 U' R' F L' U' B' U2 R2 F' U2 R,B
306387001,L' F R' U2 L U' F' U B' D' L2 U2 F D2 B2 R2 U2 F' U2 B,B
105135001,B U R' L2 F B R2 F U F2 L2 U2 L' D2 R U2 R U2 R' F2,B
105826001,D R2 D' F2 U' B2 L2 B2 D' U L F D' R2 B2 D2 L' F' U2 B',B
246322001,B' L2 U2 B' F2 D2 B2 F D2 R B2 D2 R' D2 B' D B2 R' U' L',B
109369001,R2 F D2 F2 D2 R2 U2 L2 D' F' D2 R2 U L U' R D B2 F2,B
109374001,F2 D2 B2 L' D2 R D2 B2 U2 B L' F R2 D' F' U B2 F2 L R',B
109685001,B2 L2 U' L2 D F2 D L2 U2 R2 F' L2 B' U F2 U2 R' F' D L,B
109940001,U2 R D2 R' U2 L F2 L B F' R' F L B2 F2 L D' U L',B
110910001,L' F U' L' D2 L' D L' U2 R D' B2 L2 U2 L2 D2 F' L2 D2 B',B
111988001,R2 F2 D2 L2 D2 B' D2 B L2 B2 L' D' F' D2 R' B2 U' L' F' U',B
112650001,R2 U' F2 D2 U' B2 U2 F U B2 R D' F D F2 L' B2 D' R2,B
112974001,B R2 D2 L2 D2 F2 U2 F' U2 F R F2 U' B' L' R2 F2 U' F D2 R' D,B
114583001,R2 U F2 D2 L2 R2 D' R2 U' B D B' F2 U2 F D' R' D L' U',B
114878001,F2 D2 R2 U' L2 F2 U R2 D R2 B2 L D B' U F' L F L2 B2 U',B
115108001,R' B2 L U R L2 U2 L' D' F' B R D2 R L2 U2 L2 F2 L' B2,B
278825001,F2 L2 F2 U' B2 U' B2 L2 D2 U' B U' F R U' B R' B U' L',B
116374001,F2 U2 L2 B R2 F L2 B' U2 B' D' R' D2 L D2 F U' F L2 F',B
118589001,R B2 L U2 F2 L' U2 R2 B2 U2 F R D F' U2 F2 L U' F' R D2,B
300015001,R' U R L' B' U2 L B' U' F' D R2 D2 R2 U2 R2 F2 L2 F B2,B
122976001,R2 B2 R B2 R D2 L B2 R' B2 U L D2 L' F' D U' B U' L,B
124901001,D2 B' U2 F2 D2 R2 B L2 B' L2 B R B' D' U F' D R D F D2 L B2,B
