# Scramble Extremes — pseudo / pseudo_xcross / G / bin 8 (max)
# Population in this bin: 39687
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

4303683001,R U L2 U2 F R2 U2 B' F D2 F' L B' L2 R D' B' R U2 L' F2,G
4509739001,B2 L' U2 B D' L' U' D R' B U2 B2 U2 R2 U R2 D2 R2 F2 R2,G
2937666001,L U2 F' D F2 L D R U L' B2 D2 F R2 F' U2 R2 F2 R B R,G
4796779001,R' F2 D2 B2 F2 R D2 R' B2 L B2 R' F U B F2 U' F2 D2 F,G
4560025001,U F2 D' B' R L' B L' B L2 D2 B2 R2 U' L2 B2 D R U',G
3062993001,D R D2 F' D2 F D2 F' U2 B' F D U' F L D L B' R',G
3608844001,L B2 D' B2 D B2 R2 D2 U2 B' L F U' R' F2 D2 B D U,G
5243600001,D2 F U L2 U2 L D2 L' B2 U2 B' U' L2 R B L' D R',G
66710001,F2 L' F2 D L' F2 B' R U' L' D2 B2 L2 F2 L2 F' U2 D2 L2 B,G
493507001,F' D2 R2 B U2 F R2 U2 F R2 F2 D' B2 D L F' R' D' R' U' L',G
1703397001,D B U2 R L F2 B' U' L2 D' R F U2 L2 U2 R2 B2 L2 B L2 U,G
174559001,L D2 U2 F2 D2 L' B2 R D2 F2 D L' F R B L2 D F' D2 U,G
2260306001,U F2 L2 U R2 B2 R2 D' U' R U B' R' D L' U R2 D2 F,G
432387001,R L' U' L B2 U2 R D' L B' U2 B2 D L2 D2 F2 U F2 D' B2,G
360725001,B2 D L B2 D' R' F' R L' F2 L D' L2 F2 U F2 U' R2 U,G
3991470001,U' R2 B F2 R2 B2 F2 R2 U F2 D' L2 U' L' F' R B2 F2 R F,G
3321828001,B' D2 F2 L2 D2 R2 L' U D L F' L2 B2 R' F2 L' D2 L U2,G
1163919001,B2 L D F L D L U R D R2 F2 D2 B' U2 B' D2 R2,G
3805826001,L' B2 D2 R' F2 U' F D2 B D L U2 B2 U2 L U2 F2 R,G
4019807001,F L B2 D2 L' B2 U2 L' B2 D' R' D' U' B' F R F2 U2 F2,G
1024089013,L2 B' L2 F' D2 L2 B' R2 B' U R2 U2 R F U B2 D L2 R D2 B R',G
347748001,F2 R B2 L D2 R' D2 F2 L B' L2 U2 R' D' L' R2 U B' R' D,G
2759753001,R L2 U' D R' U F' R D2 R' D2 L' U2 F2 R2 D2 F2 L2 D R,G
985091036,U B2 L2 D2 R2 D2 F2 U2 L' B2 D B' U R F U L B L' U2 L' F2,G
1187726001,F U2 B2 F' U2 F D2 U2 B' R2 D' F' L' D U' F U' R2 D' R' B R2,G
4090298001,D2 R2 F2 R2 U2 L' F2 R2 B R2 U' F2 L2 R B2 U' B' F2 R2,G
931730001,B2 D' U2 B2 D' U2 B2 L2 R U' B' L U2 B' F' L' U' B2 L R,G
1392652001,B' R2 L U2 L2 U R' F2 R F' U2 B2 R' D2 F2 U2 R2 B2 L,G
605308001,L U2 D F2 D' B L' F' D' F' U R2 D2 F2 L D2 F2 R2 L' U2,G
1125279001,L2 D2 L2 D2 U2 B' F' R2 F2 L B D' L' R2 F' R' B2 F D',G
1340880001,F U2 R2 D2 U2 B' L2 F L2 U' F R D R' B2 D2 R' U2 F2 U,G
3147577001,L2 F2 L U2 F2 U' B2 D' L2 B2 F2 U2 F2 L' F L' F' L' B2 D,G
727127001,R2 B2 L2 U' R2 D' U2 L2 F' L2 D2 U' L2 U2 L' D R U' R2,G
360209001,B2 U2 F2 U' L2 D2 L2 F2 R2 D' R F' L D2 F D F2 D2 B' F2 D2 L B',G
95346001,U2 F2 D2 B2 R2 D' U' F2 U' F2 L' D U2 L' U' F D' B U2 R U' L2 U',G
