# Scramble Extremes — pseudo / pseudo_xxcross / G / bin 10 (max)
# Population in this bin: 2356
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

3514782001,U2 B' L' U L2 D2 F D' B2 D' L2 B2 L2 U' L D F,G
2232552001,U' F B' U' B' D2 R' F U' R2 L2 F2 R2 D2 R2 B2 D2 L2 F' D2,G
2693552001,F L' R2 F2 U L2 D B2 R2 U B D' R' F2 L D' U2 R' B2,G
841772001,F B' D B' L F' B2 U' D2 B' L F2 D R2 U B2 D2 R2 F2,G
4340257001,U' R U' R2 D B2 U F2 R2 B2 D' L' D L' F R U2 B D,G
1286869001,D2 U' F2 L2 D' R2 D2 F2 U' L2 B' R' U2 B2 D' L2 D R' U B,G
682863001,U2 F B L' D' B' R U B2 U2 R F2 L2 B' D2 F' D2 L2,G
1313912001,F' U2 R2 F' L2 U2 L2 F2 U2 B' L' F' D' F D2 U B2 L U F2,G
3284738001,R2 D F2 L2 U2 R2 F D2 F R' D2 L U2 R' B' R U' F2,G
919770001,B R2 F D2 L2 R2 F' L2 F2 D F' D' L D2 U F D L R' D2,G
28281001,F2 U L' D2 F L D R F2 L' F' U2 F D2 B U2 F D2 F2 R2 L2,G
472177001,R2 F U2 B2 L2 U2 F2 R2 D' L2 U' R' B' L' U' B' L2 R2 B,G
2583046001,D' U2 L2 B' L2 R2 B R2 F' L2 U2 F2 L' D U2 R' D' F L2 F',G
3385958001,L' R2 B2 R2 U2 R2 U' F2 D F U' F L U L2 R' F L' B2,G
37640001,L2 F' L2 B L2 R2 U2 B2 R2 F D' L R' U2 L2 B R2 U B' R2 F2 L2 U',G
4473029001,R2 D' U2 L2 F' L2 B' R2 B F2 L2 R' B' D F2 L' U2 L2 F',G
927429001,U' D' B' R' F' B2 R B' R U D' R2 F2 R' U2 R2 U2 B2 L,G
3735216001,R B L2 U B2 D' B2 D2 L2 B2 D2 R F' L' R U' L2 B2 U F' L2 U2,G
661329004,U2 F2 R' B2 L' R' U2 F2 L D' R' B2 R' B' L D' B F' U' L',G
4731860053,F L2 D' L' F' U B L' U D2 L' D2 B2 D2 R B2 R' B,G
4384842001,R' D R2 D' B2 L2 D B2 L2 U2 R2 U2 B' D2 L F2 D L R2 D,G
637809001,B2 U F2 R2 B2 D' B2 D2 U' B2 U' B' R D' F U' R2 D2 B2 U2 B' L2,G
4127185001,U2 L2 D2 F R2 B2 F D2 F' R2 D2 U R B' R2 U B2 F D F' R',G
661264020,R D2 L' D' R2 D2 B' R U D' R2 U2 L2 D2 F D2 F D2 R2 F R2,G
3938037001,R2 D B' L' F' D B' R U L U2 D' L2 D2 L2 B2 U R2 L2,G
506430001,U2 B2 D B2 F2 U' F2 U L2 B2 L' R U' F' R' F R2 D L B F',G
661275009,F U2 R2 F2 R2 F D2 R2 F' L' R' B D F' D2 L' D U R F,G
64579001,U R2 D B2 U2 F2 D L2 U F2 U2 R D L2 F' R U2 L D B' U',G
849158001,R' U' F U F2 R2 U' F2 U B2 D' R2 F2 L' B F2 U2 L F' R' U' F' U2 R' U' F,G
1661978001,B2 U' B' F' R2 B' F2 U2 B2 D' R D' F2 L' B F L F,G
4139940001,R2 L' D2 F' R2 U' L2 F D F2 R' B D2 B R2 F L2 F2,G
3835204001,D L2 F B D L U' F' U2 B2 D2 F' L2 B U2 B' R2 D2 F2 L,G
468228001,R' L2 U' F' D' B R' D L' D2 B U2 D' F2 L2 F2 U R2 B2 R2,G
1958382001,R' D U R2 U R2 F2 L2 D' R2 B' U' B R2 D2 B R U' F' R D2,G
1940045008,F2 D2 L' U2 L2 F2 L F2 R' U2 F2 B' U' B R D' L' F' R B U2 L' F',G
4409792001,B L' F2 L2 B' L2 F D' F R2 U' R2 F2 U2 R' B2 L2 D2 L2 U,G
1989993001,R2 U F2 R2 F2 R B2 L' D2 F2 L2 U2 D' R U' B F' D2 R F' D2,G
4473884001,L D2 B2 D2 L B2 R U2 F2 U' B D2 B L B L D2 R D L2,G
73565001,U2 L' D2 R B2 R2 U2 B2 L2 D' R' U' B R U F U L2 D' R,G
76394001,D' L2 D F2 U B2 F2 D2 U' F' R2 F2 D2 F R' U L2 B D2 B,G
5034826001,U' R2 U2 F L2 B F U2 L2 B' D2 U' L R F U B2 L2 F D,G
3302919038,R U F L B2 D F2 L2 D' R2 D2 R2 U2 R' F' U B L D2 U B R,G
2142707001,U' L2 U2 R' D2 R' B2 R F2 R' B L2 R F U F2 R B' U,G
80087001,F2 L2 U2 B2 D2 B2 D' R2 B' R B2 F' L U' F D' F U2 R U2,G
4631674001,D' F2 U2 B L2 F L2 F D2 U L U' B L U2 R B L' B',G
1903684016,B2 R U' R2 F2 D F2 U2 F2 U L2 F U B2 D2 L U' R' D B' L B',G
795892027,L2 F2 L2 B2 D' F2 U F' L D' U2 R' U' B2 L2 B' D2 F L2 U,G
4590428001,B2 F2 D' R2 D2 U' F2 R2 B2 L2 U2 L D' F L2 D L' B' R2 D F',G
2916166001,L U2 F2 U' B D2 L' D B' D R' F L2 F' U2 L2 B' R2 U2,G
809383052,L2 D U F2 L2 D2 U2 B2 F' L2 R' D' L2 U' B' L B2 U B' F2 L',G
91296001,U2 R F2 R B2 R B2 R2 B2 U2 L2 D' U2 F R D' U B L F' L',G
4213562001,U' R' F2 B' U F' R2 D2 L B2 R2 B2 D R2 L2 B2 U B' L' F',G
734171001,R2 B' U2 R L' U' L' D F R F2 R2 F2 U L2 D2 B2 D' R2 B2 D',G
2974866001,L' U2 B' U2 B2 F' D2 F' L2 F D2 U' R2 F2 R D2 B D' R2 U,G
543142001,R' D2 B2 U2 L F2 L' D' F2 L' D B' D' U2 B U R2 B,G
1094698001,R U L B' U R' D' F2 L2 F R L2 F U2 L2 B L2 D2 B R2,G
4781002002,U L U' F2 D U' F2 U R F R2 B2 D F2 L' U' F L B2,G
3034139001,D' F' B D' F D2 L F2 U' F2 U2 L2 U' R2 D' L2 F2 R F2 L,G
103705001,B2 F' U2 B' L2 R2 B L2 U2 R U L2 R B' L' R' B D F L2,G
4394238001,D2 F D' B U' F' U R B' L B2 U' R2 U' D2 L2 B2 U2 L2,G
2006018001,U2 F' L2 U L2 U' R2 F2 U' B2 U2 B R' B' D' L' F2 R2 U B,G
553735001,L2 B' F' D2 F' R2 F L2 B R2 D' F' D2 U R B L R2 B2 D',G
2081744001,R' L2 U2 L2 U2 F2 R2 U B2 F L2 U B2 U L' U F R' B,G
1167583001,D' L' B' R2 B' R' B' D2 F R U' L2 U' B2 U' D2 B2 L2 F2,G
1251148001,L' D' B' D2 B2 U D' F2 L F' U2 F2 R2 F2 B2 R' D2 L',G
1482748001,U R F L' F L2 U B' R F U2 F2 L2 B2 U' L2 U' D' B2 R2 B2,G
800671001,R2 D F2 R' L' B2 U F' B U L2 D2 B U2 D2 R2 B2 U2 B' L2 F2,G
4805778018,L D R2 D2 U2 F2 L2 U' F D2 U2 L' D' R2 U' F2 U' R D L B2,G
3755284056,L' D2 F2 U B2 L2 D U2 B2 L2 R' F' D2 U2 L2 U2 B' U' F R' B R2,G
4157952001,F' L2 U2 F' U B D L D R2 F2 R2 U2 L2 U2 B D2 B',G
3305454001,F' U B D2 U2 B' U2 B' F L F2 U L2 F' R' U2 B' L,G
4081047001,B D F' D B2 R' U L' B R2 D L2 F2 B2 U' R2 B2 D R2 F,G
4724882001,R2 D' L2 U2 L2 R2 U' B2 D U' B L2 U F2 L' F R' D U R2,G
126748001,D R U B' R U2 R F D' L' F2 U L2 U' B2 D' R2 L2 U D' R2,G
4622991001,B' U' L F B' D' L U2 B2 D B R2 F' B2 L2 B2 D2 L2 U2 R2 F',G
317496001,D F2 R2 U' R2 U' L2 F2 U B2 F L B2 R2 F2 R' D2 L U' F',G
1748512001,D R2 D2 L2 B2 U2 B2 D L U2 R' F' L D' U' R2 F R,G
136090001,B' D2 F2 D2 U2 R2 B' U2 B L2 B D' U2 L' R B L2 U' F R' U,G
2352532050,R F2 R2 F2 R2 D2 R' U2 R' B U R2 U R' F' U2 B D' L' B R',G
138367001,F2 L2 D2 F2 D B2 U' B2 U B L F' R' U' L' F' U' L D,G
139033001,L2 D2 U R2 U' B2 U2 F2 R' U' L' F D' R2 U2 F' D' U L2 F',G
4721185001,D' F L2 F2 U L2 D F2 D2 L2 U B' L' U' B' R' B U R2,G
1544812001,L2 D' B R' L' U' F D' F2 R' D' L2 U2 L2 F2 L2 D F2 U' L2 B2,G
3919675011,R' F' U D' B R' L' U' B2 R' F B D2 F2 D2 L2 U2 L2 B' D2 L2 U',G
3674328001,D U B2 F2 D L2 U' B' U' L D B U2 L U F2 L R,G
5178332001,B2 L2 D B2 U' B2 D R2 U' R2 L B R D F' U' F2 R2 U' R U,G
329239001,D' R U' R L U2 L' B L' U F' D' L2 D' L2 D2 L2 F2 R2 B2 D2,G
4966195009,B2 U2 R2 B' F2 D2 L R D2 B' L D' U2 L B' F D U L' F',G
148297001,R' D' F' U F U L' F2 L2 D B' L2 U2 F' R2 D2 B' D2 L2 D2,G
2723375001,B2 U R2 U2 D2 R F' D' U2 F2 R2 F L2 F R2 B L U2 B',G
2606489001,D F2 D2 F2 U' F2 U' L2 B2 D L' F' R2 U' B' R U L' R2 D,G
3031016012,F L' F' U2 R2 U R2 F2 U2 R2 F2 D' R F' U' R2 B R2 D U2 B,G
413897001,D L' B L2 F U' B2 R F D L2 D B2 D R2 L2 B2 D R2 D,G
395359001,D U' L2 D B2 U L2 B2 L2 B' D2 L2 R' F L D2 L2 U' R U,G
661367008,L D2 L' D2 B2 D2 L' D2 R' F2 R' D B R F U' L2 R' F' L U2 B,G
1286351001,U' R2 B2 R F2 R U F' B2 U' R' F2 R2 F D2 F' U2 F2 R2 U2,G
796690001,B2 D2 L' B2 L U2 R F2 D2 R2 B2 D B' F' D L2 U2 F' L' B' U2,G
1862879008,F' B U2 B L D' L' U2 L2 B2 R2 U2 F D2 F2 R2 U2 R B2 D' B' L',G
2751911001,R' U' F U L' U B' U' B2 D L2 U L2 U2 R U2 R' F2 R2 F D2 R' U' F,G
842187001,R2 F2 D B2 U2 R2 F2 L2 U' R2 U F R' D L R2 U' L' F D2,G
5046662001,R' U' F' R' U' L B' L' F D' R D2 L D2 R' B2 R' D2 F2 U2 D2,G
3673090001,U D2 B2 U' D' L' F' B' U' L2 F2 B2 R' F2 D2 R B2,G
174356001,F' U2 B L2 D2 U2 F L2 B2 D' U B2 R' D2 F U2 L F R U',G
817069001,L B2 U2 L U2 L B2 D2 F2 D' B R' F' R F' D2 U' R' B2,G
175870001,R2 B R2 U2 R2 F' U2 B' F2 R' F' D' B D B' L D' B L,G
1058775001,F L' F D' L2 U D' R F' U R F2 B2 R2 F2 L D2 L2 B2 D2 R',G
5105874001,D2 B2 F2 D' F2 D2 F2 R2 L' B R' D R' U' F L' B D' L' F L2 U2,G
3179191001,B U2 L2 R2 B D2 R2 F2 L2 R U2 B' U F U' L R' U R2 D2,G
2773311001,R B U' F2 L2 U R2 B2 F2 D B2 U' R' D U2 B' U' F' R F,G
3285427001,D2 L U2 B2 R2 D2 L2 D B2 R2 B L' R F' U' L D L' B,G
4561839001,D F2 U B' D L F' U2 B' L2 D2 L' F2 R2 D2 R B2 D2 L' F,G
944590046,L2 B2 U B2 D B2 D2 F2 U' B' U F' R' U2 R2 D' B' L D2 B' L' F',G
625303001,D R L' U' B D L2 F B' R' F2 D2 R2 F D2 R2 F D2 R2 F2 L2,G
841748015,D' L2 F2 R2 D2 R2 D' L2 D' U' R' F D L' B' R' D2 F2 R' U2 B R',G
2383860001,L' B' U' B' L' U2 R B2 U F U' F2 D2 R' L2 D2 B2 L' F2,G
4160715001,F2 D L2 F2 L2 B2 U' R' F' U2 L2 U' B2 R B' D' B U,G
2299811001,R B L B2 R2 B2 D R2 D R2 U2 R' B2 R2 D U B L R',G
1660377001,U' D2 L2 B2 U2 R2 B2 D2 R' B2 L U' B' L D2 B2 R2 D F R,G
624917003,L2 U' B2 R2 F2 U L2 U R F L' B' D' F2 D2 U' B R2 D' U L' F,G
1419691001,R2 B2 U F2 U' R2 D' F2 D2 F2 U F L' F2 U2 B' L' D L F2 U',G
888190001,B2 U2 L2 F2 R' U2 R' U2 R2 U' B R F' L F2 U F' L' D' B,G
5092080044,B2 U2 F U L' U' L' F B' U R' B2 R U2 L B2 R U2 R' U2 B R,G
3676197001,F' D2 B' L2 U2 L R2 D2 U2 F2 L' B L2 U L2 D' B F',G
3474930001,D R2 U' R2 B2 D2 F2 D2 F' U B2 L B2 F' R F R U' R',G
208585001,R2 D' F2 R2 D2 U' L2 F2 D2 L' U2 R' B D' R2 U2 B L2 R' D',G
3944022001,D2 F2 D2 U' B2 L2 D' L' U' L R2 B2 U2 R' U' B' F' U' L,G
3013525001,R2 B D' B2 R2 U2 R' B2 L D2 U2 R B2 D' U L' F D' R,G
476253001,B2 D' B2 U2 L2 R2 B2 U2 L' R' B U' F' U2 L2 U' F D2 U' B2 D2,G
4864628064,U B' R2 F U2 F' D2 R2 U2 F U' F2 U L R B' U F R F2 L B,G
2134158001,B2 D2 B' U B2 F2 U2 R2 U F2 U R F2 L D' B' L' D2 U,G
3069903001,U' R' B D' L B' L F' U2 F' R2 U2 F D2 L' D F' U2,G
5139955001,F' R2 B' L' F2 L' D2 L D2 R' U2 L' F R D R U' L' B2,G
2358780001,R2 U2 F2 R2 U F2 R2 U2 R2 L B2 R' U2 F' D U2 L R' D2 U2,G
640628001,R D F' B D R2 L F B2 L F L2 D R2 L2 D F2 D',G
450283001,B2 D' F2 L2 D R2 U R2 U2 R2 B R D L' U R' F2 D' B' R2 F,G
4919705001,D L U2 D L' D L U R' F2 U2 L2 F L2 D2 F D2 L2 U2 D,G
1087174001,U F2 U' L2 U2 L2 B2 U' R D' B R' D2 L B U2 B' D' R F,G
939956001,F' R2 B F2 L2 U2 B' U2 B2 F' R D L B' U L B2 F' L2 U,G
949869005,F D2 B U2 F' U2 B2 L2 R2 U2 F U' L B R' U2 L' D' L' D U' B,G
2240305001,L U2 L2 U' F2 U L2 U' B2 R2 L' D2 F' D B2 D B U2 L,G
4461280001,B D' B' L B2 D2 U2 R2 D2 L F2 U L' B2 L' D2 B F',G
855972001,U2 B2 F2 U2 L2 F2 D U' L D' R2 B U F L' F' D B R,G
1503534001,R2 B2 D2 F' U2 F' D2 F L' D' F' L R2 F R' U' R F R2,G
850390001,U' R D' B' D' L F U2 B' U D' R2 L F2 L B2 U2 L' U2 B2,G
3017572001,U B' U2 L B' U2 L2 R2 U2 B' R2 F' D R2 D2 L R' D' U,G
5085327024,F' L F2 L2 F U2 F2 R2 F2 R2 F' U2 D B L' D' R B F2 D' B',G
823372034,U2 R B2 L' F2 D2 L2 U2 F2 R' B' F' R' B2 U2 F2 D R B U R D2,G
233246001,F' D2 B2 U B' L' F R D' L B2 L F2 R B2 U2 L2 B2 D2 L',G
500088001,R F U' R' F U' B2 U2 D' B U2 F2 U F2 U2 L2 U' D2 R2 D' R2,G
2069507001,R2 D2 B L2 B' R' D L' U' L2 F R' F2 D2 L F2 U2 L U2,G
3939012001,D U' L2 U R2 B2 D2 U' L B R U L' F' L R D2 L B' L2,G
2425700044,D F R L2 F L F' U L D R2 U2 B2 U2 D2 R2 B' U2 D2 B R2,G
429789001,L2 D2 B F R2 B' F2 D2 F U' R U B' D' U R' U' L D B',G
3504563001,D' L2 U R2 D U2 L' R' F D' B2 L2 F' D' U' L2 D U2,G
662443001,F D' B' R L U' R2 B U D' R2 B2 D2 F' B2 L2 D2 L2 D2 B2,G
1026308001,D2 F2 L B2 D2 F2 U2 L' R2 B' U' L' D R2 B2 F R D2 B D2,G
2944038001,R' U' F L' B2 D' B2 L2 B2 D L2 F2 D B2 F' L' R2 B2 R' B L' R' B R' U' F,G
4610937001,F2 D' R' D2 L2 F2 R2 D B2 D R2 D2 U2 B' F' U' R F' L' F',G
873633001,U2 F2 U F2 L2 R2 D L2 B2 F2 D B' L2 U L R2 B L2 R' F D,G
249947001,D' F2 R2 L' U' R' D2 R2 B D' F2 L2 B2 R2 D2 R2 B' L2 U2 F2,G
4792977001,F' L F' B L' U L U R' U2 R D2 F2 L B2 D2 F2 U B' D',G
3478320001,R L U' R' U2 F2 R U2 B' R B2 U2 F R2 B U2 R2 F D',G
403469001,R' U' F L2 D2 F2 D R2 D' L2 F2 L2 D' B' L' U2 F' R D2 L R' B' U R' U' F,G
5052287001,R' U2 F U2 B D2 L2 F U2 L2 F' U2 F2 D' L' D U R' F L,G
1453492001,U2 R2 D2 F' U2 B2 D2 B R' B' R F' L R' U L F' D B',G
