# Scramble Extremes — pseudo / pseudo_xxcross / W / bin 10 (max)
# Population in this bin: 2224
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

4619939001,D R' L2 F2 D' U2 L2 U2 F2 L2 U' L F' U2 L U R B D' L,W
1758760001,L F' L' B2 U' R' B U2 F2 R' U2 F2 L2 F2 U' F2 L2 D L',W
2294684001,L F2 L U2 F2 D2 L2 D2 R2 U2 B' L' R B' U' B U' F' D' R',W
3170001,B2 D' U2 R2 D' R2 B2 L2 F2 R2 U L B U' R F L' B2 L2 F' U,W
633629001,U2 B' U2 F' L2 D2 U2 F' L2 F' L D2 F R' B F2 R2 U' B2 D' F2,W
2216396001,L' F' R2 D2 L B2 R' B2 D2 L' B2 L' U' R' F2 L2 U R' F' D',W
720084001,L2 D2 B2 U' B R U F R2 U F U2 F D2 B U2 D2 F D2,W
664624001,R2 L' B U' F' B2 L2 F' R U' F' B D2 L2 D2 L2 B' L2 B' U2 R2,W
3149386001,F R' U L2 R2 F2 D2 L2 R U2 L' D' B' R2 B R F' L2 U',W
927793001,B U2 R2 B' L2 F' R2 B2 L2 D2 U' B2 D' R' F' L U' B D R F2 L,W
744860001,R' B D F' L' F2 B U D2 F U2 D2 L B2 L' D2 L F2 B2 R,W
3339866001,B' L2 U R2 U' R2 B2 L2 D L2 F2 U F L' B L2 R' D' U',W
2496246001,B R' L' F' U2 L2 D2 B2 D R B' L2 U2 D2 B2 L2 D R2 B2,W
4531452013,L2 D F' L B' D2 R B' D L' D2 F2 B2 R' B2 L' D' F2 L B2,W
3864812015,F' D2 L2 B' D2 L' D2 L F2 R F2 R D B' D2 R D2 L D L2 U',W
4602340001,F2 D' R2 D' B2 F2 D2 R2 B2 L U B D' R2 B' D' R' B' F' L',W
5130925001,B' L B' U2 F2 D2 F2 U2 R' B2 U2 L2 D' F' U' B D L2 F2 U',W
809644001,U2 L2 B2 D' L2 U' F2 D' F2 L' D' B2 F L2 B D' L R F' U2 B R',W
2091990001,L F2 L D2 B2 D2 R D2 R2 F2 L' U B U R D2 F' U L' D2,W
3592846001,U B' R2 F L2 R2 D2 B2 F U2 F2 L D' R2 F' R D' R2 U B,W
459085001,F U2 L2 U B2 R L D' F U' F2 D2 R2 U' F2 R2 U R2 L2 U,W
2891931001,L' R2 B2 R' U2 R2 U2 D' B F2 D' B D2 B' R B U' F,W
41497001,R' B' D L2 B' L U' R2 B D R U2 R2 D2 F U2 L2 F' D2 F2,W
782247001,F2 D2 F D2 R2 D2 B' R2 B L2 R' F' D2 L' R F' D' U' B L' F,W
2827697001,R' B2 U B' D2 L D2 R U2 R' F2 R B' D' B R' B L' B D',W
4018590001,B L' B2 R U' B' D B D2 B D F' D2 F L2 F B R2 F',W
790331001,R' F' R' B2 L' U' B R B2 L F2 U2 B2 L2 D F2 U R2 U' D',W
50627001,U2 B D2 L2 B2 D2 F D2 L2 D R B F' L' D2 R' B D' B2 U',W
4829240001,U R2 U B2 R2 U R2 U R2 U' L' R' U B' F L' U B' L2 F2,W
1328532001,R2 U2 R B2 R' D2 B2 L' U2 R' B' U B' F' U' F D2 F' D2 L',W
3099189045,U L U2 R' F B' D' F2 L2 F2 U2 R F2 R U2 F2 L2 D' L' D,W
4503883001,B D2 B' U' L2 B2 F2 U L2 U' F2 U' L' R B' D2 U L F2 R B',W
3632421001,L' D' R' U B' U2 D' B L F2 D2 B' R2 B L2 B2 D2 L B',W
3992188001,R' F' U2 R2 U2 B2 D2 L' B2 D2 R2 D2 L2 F U B2 U2 F' L2,W
63519001,D2 R U2 R F2 U2 L F2 R' B' D' F' U2 L' B' R' D' F' R,W
2001154001,F L D U2 L2 F' R2 F' U2 R2 U2 L2 F2 L' F2 D B' D2 F' L,W
4058069001,U' R' L F' R' L D2 R B L D L2 F2 R2 D R2 U' B2 U,W
719102001,R2 L U' R U2 F2 R2 D' F' D2 R2 B2 L' B2 R' F2 R2 D2 B2 R2,W
2316350001,U B' U' F' U2 B2 U2 B U R D' U2 R2 U2 L F2 R' L2 U2,W
5048494001,F2 L2 F2 R' U2 L R2 U2 R2 B2 F' L D2 B L' D2 U' L2 B' F,W
661266013,R2 B2 D' B2 D2 L2 U' R2 B' U2 R2 D R' B F U R2 D' L' B' L2,W
4626883030,B R2 D F2 L2 R2 F2 L2 R F L R F' D' U' L2 R' U2 B' D,W
1828556001,L U' R' B2 L2 U2 R' B2 D2 L' D2 R' U R' F U2 R' U L B',W
1996621001,L U L U2 F2 L2 U2 B2 F D2 R B' R2 U' F2 D2 L' D B' L,W
3148223001,R' D B R' D' L D' B L2 F U2 D2 F' U2 D2 B' U2 R B' U,W
4189796001,L U2 R U2 R U2 B2 F2 L' F U L R2 B' R' F2 L' B R' U2,W
5268719001,L' F' U2 L2 D2 R2 F D2 B D2 R' F' R2 U' F U' R2 U2 L U L2 U2,W
77899001,D2 L' D' B2 L2 B' L B' R' D B' L2 F2 U' D2 F2 D2 F2,W
3598271001,U R2 D B' D' L' U2 B U B D2 B' R2 U2 F2 D2 F D2 R' F,W
4036876019,D' R' B L' F2 D2 F D2 B U' D2 R2 F B R2 F' U2 F D2 B' L2 U',W
735140001,D2 L2 B2 R2 F D2 U2 L2 B D' B' F2 R' B2 F D B L D2 R B' L,W
4013420001,D2 L2 F' D2 F L2 B' L2 F U' R U R2 D' F U' R' B2 D2 L B' L',W
2540475001,F' R B2 D F2 L2 D U' B2 U F2 B D L B2 F2 D2 R2 B' U',W
83631001,D2 L2 F2 U' B' U F' D' B D2 R2 B2 L' F2 U2 D2 R' B2 L',W
2302719001,F R' U2 B' L2 D F2 U2 F' R' B2 R2 U2 D' R2 L2 U' F2,W
528554001,D2 U' B2 D' B2 F2 D' B2 L2 B2 U L' F' R' U2 B2 F D' F U',W
3012292028,F' U R' F2 L2 F2 R' B2 L F2 L' B D' L' R D2 L2 B D U' B R2,W
957320001,L2 U F2 D' L2 B2 U' F2 D' R2 D2 F D B' L U F D2 L' D' L,W
91780001,L F' D2 F2 D' B' L' D R' U D2 F B R2 L2 F' R2 B R2 F2,W
2308462001,B L' B2 U2 D' R' F D' L' U D' R2 F2 D F2 U R' L2 B' L,W
691657001,L2 F2 U F2 D2 U B2 L2 U' B D' U2 B' U F' L' F2 U' L' U',W
1459773001,R2 D L2 D' F2 U' F2 L2 D B' F' D U' L D R' F2 D L2 B R,W
5252165001,F B R D B' L2 U B' F2 U L2 D' B2 U2 L2 B' R U',W
4901123001,D R2 U2 F2 D2 R2 U B' R B R' F L2 B' L U2 F' D B R,W
3468407001,U' F' R' D' F D2 L2 F' D2 U2 F2 L2 B U F' R D' L2 B' F',W
4898519001,D F U2 B2 R' B2 L2 B2 D2 L R2 B2 L B R' B L2 U L' F,W
4332272001,D B' L' U' L2 D' R U R2 L2 U' R2 U2 D L2 B R2 D2 L,W
704538001,U2 B' D2 B2 D2 L2 U2 L2 B U2 F' U L' U B' D' F L' D B' F2,W
1171732001,U R' L' U' F' R' B2 R2 L F' U' F L2 D2 F R2 D2 B L2,W
3608518001,L2 B L' U F' U' B' D2 R2 L2 D B2 U2 F2 D' R2 D B R2 D,W
2798751001,U L U R L2 D F2 D L2 D F2 L2 D2 F L B' R D2 F2 U' L B',W
4509343001,U2 L' U F2 D' R2 F2 L2 U2 F2 U' L' D' R2 B' D2 F2 D' F' U,W
4176360001,L U' R2 U D F2 B' R' U2 B2 D2 R B2 R2 B D F2 D,W
552000001,F2 D2 L2 B2 F2 U2 R B2 R' B2 L2 F' D2 L U B' D' R' F L',W
4337428001,F R U' R' U' F' R2 B' D' U2 R F2 D2 F2 L U2 R B D,W
4333473001,L D' F D2 R B2 D2 F2 R' U2 L B2 L2 B' U2 L' D U' R' U,W
1634209001,B' D' R' F' R2 D' F2 D2 B2 D B2 D' F' R' D' F D2 R' D2,W
4572105035,F L2 D' L2 D2 F2 U B2 F2 U R' U B' R D L' R' F' U' B' L2 U,W
809554001,F2 U' L2 F2 D2 R2 U F2 D' L' R D B' D2 F' L2 D R2 B2 U',W
1247180018,L2 B' R2 U2 R2 U2 F U2 R' D2 F2 R2 U L' R2 D U2 B' R F2 L2 U2,W
425990001,R2 B' F' D2 F' L2 B R2 D U' F R' D' B L' U2 R2 U' L2,W
124781001,U F' B R U' L B' L2 B2 D' F' R B2 R' L' U2 B2 R2 B2,W
126720001,L2 U2 L U2 R2 B2 L' U2 R' B D' F2 D2 B D U F' R B' L B',W
2425697022,D R B2 U R B L' D B' L B2 L' F2 B2 D2 L' F2 L2 D L2 U,W
1199533001,R2 B R2 F2 D2 L2 F' D' L2 U R' D R2 U2 B F R' D',W
3185441001,B' L D2 R F' B' D F2 B2 D' F2 U2 F2 D' F U L2 B,W
5008602001,U2 L' D' F2 D F2 U' B2 D2 F2 L' U2 B2 F' U B' D' L' U L' B,W
3670909001,F' L' F2 U' R2 L D2 B' U F D2 F2 D L2 F2 D F2 R2 U' L,W
4236937001,L2 R2 U2 R2 B' R2 B R2 F2 U L F R F U' R2 D L2 F' L,W
588847001,F2 U' L2 D' F B' R U' D B U' F2 U2 L2 U' L2 B2 U' F2,W
3931113001,B L' F' U2 L2 F R2 U2 F D2 L' F D' F' U2 F2 L2 U,W
3073075001,U B2 D2 B2 F2 L2 U R2 L' F R' D' U R B R F2 R' D2,W
702006001,B2 R B2 L' D L' U' R L' D2 B' R2 F2 U B2 L2 U F2 U' B2,W
4805728026,B R2 F L2 B2 U2 B' U2 L' B' L B2 L U' R2 F' D' R U2 B' L2,W
3799344001,L' U' B2 D F' L2 D2 L2 F2 L2 F2 D2 U R U L' R' B2 D2,W
727195001,F L2 F' R2 D2 B U2 F' R2 F' L R2 B' D' U2 L2 R F2 D' R2,W
148094001,D U2 R2 F2 L2 F2 U' B2 R D' B' L' F' R' B' L2 U R' U' B' L2,W
1023854001,R2 D2 L2 B R2 B F2 U2 F2 L' B R' D U2 B U L D' F',W
2723325001,R' U' F R2 B2 D' B2 U L2 B2 U' L2 B D' L' D U R' U R2 F' D R' U' F,W
632781001,R2 D2 L B2 F2 D2 L B2 L2 F' U' F' D L' F D B F2 U F2,W
462638001,F' L2 R2 F' D2 B L2 D2 B D2 L2 U' L U' B R D R' B D' B,W
153843001,R' B' R' U L' B R U' B' R2 B' D2 B2 D2 R' D2 R2,W
3541706001,F2 L2 F2 U L2 U2 R2 D' L2 D L' B' F' U' L2 R' B' D' B2 U2,W
633466001,D2 F U2 R' F' L F U F L2 F U2 B2 U2 B2 L2 D2 F' U2,W
1925395001,F U R B2 U B2 U2 R2 B2 R2 F L F L2 D B' U' F2,W
154976001,U B2 U' R2 D' B2 U' F2 L2 U2 R' B' L2 U2 L' R' D' L U B' L',W
979253001,L2 U2 L U2 F2 L U2 R F2 R2 F2 U F' D2 U2 L' R' U2 F U2,W
2814550001,D2 B2 F' L2 F' D2 L2 R2 B R2 D2 L B F' L' U' R2 B' L' B2,W
157005001,U' R2 B2 U' L2 U L2 B2 D' U2 L' U B' D U' F' L' D2 B' R' B2,W
563517001,L2 B2 U' L2 U F2 L2 U' F2 D' R F U B' U F' L D' F U' R',W
5068316001,B' U L' F2 D2 F2 L D2 L U2 F2 R2 F2 D L' B F L2 F2 R' U2,W
1921501001,R' U' F U2 R2 B' D2 R2 D2 U2 B2 F' R' B' U' B2 D2 F' U' B2 F' D' R' U' F,W
980380001,R D2 R2 D2 B2 L2 R' F2 D2 R' D' L2 R' B' F R' F D' L' D2,W
435640001,D2 L2 D F2 U' F2 L2 D' L' F R B' R D F' U R D L2,W
285194001,B2 U B2 U2 L2 R2 U' R2 D' L' R' U B D F' U R B2 D' F',W
4087638001,D2 B2 L2 B L2 B' L2 F' U2 L' D' F' U L2 F2 D2 U B' U',W
176247001,B U2 B2 U F' R D2 L2 U' D' L' U2 F B2 R2 F U2 B2 L2,W
706009001,F2 U' F2 L2 D2 F2 L2 R2 D2 B' F' D' R2 B2 D R' F2 D' L D2,W
4626484024,L' D R B D2 L B2 D' B L2 U' D2 F2 D' F2 B2 R2 U D B R',W
4097264028,B L2 F B2 D' R F B' R' D2 L U2 B2 L2 D2 B2 L F2 B2 D',W
1720209001,B F' U2 L2 U2 R2 B D2 B2 L' B' R2 F D R' B2 U L' F D',W
2751102001,R F2 R' F' L2 B' D L' F2 L2 D' F2 U F2 L2 D2 B' L B',W
843159001,R2 F2 D' U2 B2 R2 D' U' B D' R D L' B2 F2 R F2 R' F U,W
