# Scramble Extremes — pseudo / pseudo_xxxcross / B / bin 12 (max)
# Population in this bin: 8005
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

2261742015,F' D' F2 L' R' U2 L D2 F2 L B' U' R' D2 U2 F D L F L,B
1286518001,D2 R2 F U2 B U2 R2 D2 F R2 D L' R B' R' D' B2 D F2 D2,B
1141876001,U' L2 B2 F2 U F2 U' B2 F L2 D2 R' F' D B2 L' D2 B R' U2,B
167822001,D2 R' D2 U2 F2 U2 L2 F2 R2 U' B2 F' L B' D2 R D2 R F R,B
3443702001,F' R D' U2 B L2 B' D2 F L2 R2 D2 L U' F D' L D2 F,B
814087001,F' B2 R' F U L F2 B R B R2 D2 R2 D' F2 B2 U' B2 D B2 R2,B
333234001,U2 R2 F L2 D2 B F L2 F' U2 B2 U B' D' F U' F2 R B' U L',B
1262300001,B' L2 B2 D2 F2 U2 R2 D' F U R2 D2 U2 B2 R' B F L,B
5225924001,B' R2 F U2 R2 B2 U2 B' D2 U2 F L' R F' D U F' R D B2,B
5004001,R F2 U2 R2 D2 R' B2 F2 L' R2 B2 D' F R B2 U' B2 D' B' U2,B
440466001,D B2 F2 D2 B2 U R2 U' L2 B' R U F2 L' F2 R' D L B L2 U',B
3512309001,U B' U F' U' B2 R D F R2 F2 L2 B' D2 F2 B R2 L2 U2 R' D,B
2737299001,F U2 L' F' U D L U2 D' B U R2 D2 B' R2 B R2 D2 F2 D2 L2 U',B
4634479050,F R' F' R B2 U2 R2 F2 R' U2 F2 L D2 L2 D' F' L2 B' U' L D B R',B
701783001,L2 F' D B2 L' U F' U' B' D2 L F2 R2 F2 D R2 F2 R2 U' F2,B
3924894001,D B2 L2 F2 U' B2 F2 D' F' L' D' R2 U F R F D2 F U',B
2073674001,L U2 B R2 U F2 D B2 L2 D2 B' D2 U F' R' U2 B F2,B
4086687033,U R2 D B2 U L2 F2 R2 U B' L B2 D' R2 B2 F2 L' D U2 L' F',B
661883001,D' B D2 F2 L' B' R' L F B2 U2 R2 F2 U' L2 D R2 D' B2 U',B
2789744001,R2 D L F' U F2 R2 F' R' F' R2 F2 D2 L U2 L' U2 F2 L,B
638554001,R2 L' U2 B U2 B' U' F' D' F' R' F2 B2 R' F2 D2 L U2 D2 R,B
4509871001,R' B' L' B F2 D F2 L2 F2 D F2 D' B2 L' F2 U B2 U R' F,B
4020080001,L' R2 F2 U B2 R2 U' B2 U2 F2 U' R' D' B R U2 B F' U F',B
4160813001,U L' F2 U B2 F2 D' F2 U B2 L' R' B' F' L' F2 D B U2,B
4198254001,U F L F' R2 F R2 D2 F R2 B L B' D' L B' U2 B R2,B
112249001,U R F B' D2 B2 U L2 U' F2 L B2 D' F2 L2 U' L2 U2 L2 U2,B
2626164001,B2 D' U2 B2 L B2 L2 D2 B L2 B U F L B' L2 U,B
658728001,L' R2 B2 L2 D2 F2 D2 U2 F' R2 D R2 U2 B' D' B' R B L',B
732838048,U L2 D L2 B2 U2 L2 U L2 R2 B D' L' F' R U' F' L R D2 L B R',B
483515001,F2 U' B D F R2 F2 D L' F2 R2 B U2 F2 U2 R2 D2 R2 F L2,B
2351242001,U' D2 R F' U2 B D2 F D' B F2 R2 D2 L' U2 F2 L F2 B2,B
287604001,R B' R' U' L D B2 U R' U' B' L2 D2 L2 D2 F' B2 L2 B' L2,B
1885223001,U L' D B2 F' D2 F' R2 F2 L2 B L2 F2 R F' R2 D U R D',B
437924001,F B2 R2 L F B D' R2 U' L F U' R2 B2 U2 L2 U F2 B2 U',B
675918014,B2 R2 F2 R' D2 R' D2 R B2 R2 D' U B U2 F2 R B' D L F' L2,B
4864049001,U' F' R' B' U' R' F2 U' F2 L' D F' R2 F U2 F' U2 R2 L2 U2,B
4286625001,D L2 B L2 F2 R2 B' F2 D2 R D' L2 R F R' U' L2 D U,B
576335001,D2 F2 L F2 R2 D2 U2 R2 D2 B2 R2 F U B R' D L' B' L2 D2 F',B
144308001,L2 F2 B2 D2 L F2 U B' L' D' F' R2 U L2 F2 U2 L2 D L2 U2,B
4427866001,F2 B2 R' U B' U' D' R' U2 L2 B2 R' U2 D2 R2 F U' F2 R2,B
1690485022,L B2 U2 L B2 D2 R' U2 L2 D2 L' D B U' B R' B' L2 F' R' D2,B
631382001,L2 U' F2 U F2 U F2 R D' U2 L F R U' F2 U2 B U2,B
18164001,R2 D' B2 D2 F' R D2 L2 U L U R2 B' R2 B2 U2 B R2 F,B
