# Scramble Extremes — pseudo / pseudo_xxxcross / Y / bin 12 (max)
# Population in this bin: 8021
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

538412001,R' F' R2 L2 U F' R D' R' B' U F2 U B2 R2 U D L2,Y
4672818001,U2 R2 U' B L2 B2 U2 R2 D' U' B2 U' L' D2 R' F U' L U',Y
3915167001,U R' D L2 B L2 D R2 D' R2 F2 R2 F' L' D' L2 R' F' U',Y
1412577014,U2 R2 F2 L2 D' U' L2 D B2 L' F D R U' R2 B U B2 R U' B',Y
735299001,B' R D2 L2 U L B' L2 B' D B D2 F D2 R2 D2 B U2 B R2 F2,Y
2980267001,D2 B2 F2 D L2 B2 D2 B2 R2 F' L F2 U2 L D F' L B L2 U,Y
5078587001,F2 R2 D' R D U2 B2 R2 U B2 L2 D' B' L2 D R' U R2 B',Y
5055218001,L' D' L R2 F D2 F' U2 L2 F' R2 B2 L B R F D B2 U2 R2,Y
1602375001,F' U2 B' U2 F' R2 D2 B' R2 U F' R B' U L F D2 R2 U' F' L' F',Y
4231086001,R U' D B' D R2 B R2 U2 B2 U2 R F2 R L2 B2 F' L' U',Y
551809001,L2 U' B2 R2 D' U' L2 D' B2 U2 L U' R B' L U' B2 U' B' F' L',Y
3121460001,F R' U2 L2 B2 R2 U2 R' B2 U2 F2 D R2 F' U L2 U2 B' D B' L',Y
837912001,R' B R L' D' R2 F2 R' F' L F' R2 D2 F2 L2 U2 B2 R2 D2,Y
3325247001,F R' B' U D2 R' U2 D L' F' U' R2 B2 U2 R2 U2 R2 U' L2 B',Y
841740034,F' R2 F' D2 U2 F2 U2 R2 B' L' U F D L D' B' D U2 F L' F2,Y
4796508001,B' R U2 L D' B2 D U2 L2 U' F2 U2 B L R2 D' B R' F,Y
1245185046,F' D2 B' L2 U2 L2 F' R2 U2 B L2 U L' D B2 F U R2 D2 R2 U2 B R2,Y
4861660001,R' B L F2 R2 D2 B2 L2 F L2 F2 L' D F' L2 B2 D2 U2 F',Y
