# Scramble Extremes — pseudo_pair / pseudo_cross_pseudo_pair / BGWY / bin 7 (max)
# Population in this bin: 53
# Samples listed: 53 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

64414001,F2 R' F U' B' L' D R U D2 F2 R' U2 R U2 D2 R2 L B2 R',B
148919001,B2 U' R2 F2 D F2 U' R2 B2 U' B' R U L' B' F' L2 R' B2 U',B
156731001,U' R B2 U2 R U R' F L' U' B' L' B2 D2 R F2 D2 R2 L,B
158722001,L' B2 L' D R' L' U' B R' F' R2 F2 D2 L F2 U2 R U2 D2 R',B
257214001,R' L U' D2 B' D' R U L B R2 F2 L' F2 B2 L' U2 B2 L',B
459623001,R2 B2 D2 B' U2 R U' L B D' R' F2 D2 B2 L' D2 R2 L D2 R2 F2,B
496168001,L F2 L R2 B2 L2 U2 R' U R' B' D F L' U F' D' F' R',B
504462001,B2 L' B2 R B2 D2 F2 L' B' D F2 U' R F2 R' F R' F2 L,B
581752001,L B2 L U2 F2 R2 B2 L' D2 U2 L F' D R U' L U' R B2 F' U,B
660655003,B' D2 F2 R2 F R2 B R2 U2 R2 B L' F' L2 R' B' R' U' R D' L2 U,B
749054001,L2 D2 L2 R' D2 U2 F2 L D2 R' F' D' B L U' F' D2 F2 D' B U L' F,B
804666005,R2 F U2 R2 U2 B R2 D2 F' R2 D L R B2 D' R2 U' L2 B' R F2 L',B
829975001,B2 D' U' L2 D F2 U B L' F U' R B' R2 F L D F' U2 L B,B
905192024,L2 F2 L2 F2 U' R2 U' F2 U B' L2 U' L' R' F2 D' B2 L' F' D2 L,B
926615001,F2 R' B2 U2 R B2 R F2 D2 R F' R' F U' R2 B' F L' D L2,B
938708001,F' B2 L' U R' L' U2 F' B' L' D' F2 L F2 L2 U2 B2 R2 B2,B
957921001,D2 L2 R2 B R2 B U2 L2 B L2 F2 R B2 F' L D' F2 U2 R' D2 R,B
1107087001,B2 R2 B' U2 B' L2 B' D2 R2 F2 L' F2 D U' B' L2 B2 L' B' R',B
1112096001,D2 L2 U2 F' R2 U2 F2 D2 U2 R D' L2 B' U R2 D2 L R' U' B',B
1128175001,L2 B U2 B D2 U2 L2 F2 U2 L' F' R B L2 U' L R' B2 F U,B
1132076001,U' D F2 R' B R2 F R2 L' D R2 D2 F' U2 B2 R2 D2 F2 U2 R2 D2,B
1144622001,L F2 D2 F L' D R U B D2 R' L2 D2 L2 B D2 F R2 B,B
1212856001,R2 U B2 F2 U L2 B2 D2 B' L U' R' U' B' D2 U L U' B' L',B
1392156001,D F2 L2 U' F2 U2 L2 F2 D B2 F U B' L2 R' U' L' D' U2 B L B2,B
1528769001,R' U' F L2 F2 D R2 D2 U2 B2 U2 F R B' U' F' R B2 L' U L2 U2 R' U' F,B
1568789016,U2 L2 B2 D2 F' R2 U2 F D' R2 F' R' B U2 L D' U F R',B
1703078001,D F2 L F B2 U L2 F2 U B2 U2 R2 D B' R' D2 L2 F' D' L',B
1802745001,L D' F' U R' D2 R F2 D R U2 B2 U D2 L2 U L2 U B,B
1827063023,B' L2 U F L2 F' U2 B' R2 F2 R2 L B' U' R D2 F' U' B L2 U,B
1828198009,B' D2 F' D2 U2 R2 D2 B2 L' R2 U2 B2 R2 U B D L' U2 F L2 B R,B
2038642010,B U D2 B D' L' B' R' F R2 L2 B2 R2 U2 D F2 L' D' L B,B
2142155001,F U' D2 B' U2 B' D2 F2 D2 R2 B' F U F L' B R F U' L',B
2310428001,U2 R B' R2 U' L' B D' R' L' B2 L B2 U2 R2 L D2 B D2,B
2411248001,B2 R F2 B2 U R2 B' U2 D2 F2 U2 R L F D' B2 L2,B
2726802001,B2 L2 D2 B2 D R2 D' B2 R U' B2 F' R' B' L' R' U2 R' U B R',B
2872630001,L2 F' U2 R2 D2 U2 B2 D2 F U L' B' D L' F L' D L D' R B' L2,B
2980255001,U F2 U R2 D' R2 U' F2 L' U' L' R' B L' D U R2 B' R,B
3197928001,D2 L2 D2 B' L2 B' D2 F L2 U2 R D' L' R2 B L U L' U' F2,B
3379049001,B R' D L D R2 B' U2 F U' L2 D2 R2 D' R2 B2 R2 U2 L',B
3389526001,R' B R2 D2 L2 F2 U' R2 D R2 U2 R B F' R' B F2 L B2 U,B
3647739001,B L2 U' B' U2 R B' L' U D' F2 L' U2 F2 R2 U2 D2 B2 R L2,B
3745282001,D2 R2 B2 L' B2 U2 R' U2 B2 U2 D' R U L2 B' R2 F2 L B' F,B
4020055040,D2 R2 U R2 D' F2 L D2 B' R' D B R' B F L' R' B2 D,B
4025790001,R U2 R F2 U' B R2 D R' L' D2 L2 F' L2 B' R2 U2 B' L2 B',B
4252292001,B' D' R F L' D F U D L2 U' D2 B2 D' R2 D2 R2 F' U' R',B
4333775001,B' L2 B2 L2 D2 R U2 R' D2 U2 R D L F2 U' B D2 L D' R' B',B
4335831001,F2 D2 L' B2 R2 B2 U2 L' U2 B' D' R' B' F' D2 U R' D,B
4463644001,L2 R2 B L2 F D2 U2 F D U R' D B' L' U F D2 L B,B
4653549001,B2 U2 L' F' B U R' F' D' R2 B' R2 L B2 L U2 F2 D2 B2 R,B
4790341001,F2 U B D' R B' L' D F' R' B2 L D2 L D2 R' U2 B' L,B
4832114001,D F2 R2 F2 U F R' L' B' D2 F2 U' F2 R2 B2 L2 B2 D' R2 F',B
5222076001,F2 D' L U B' R F' L2 D' F2 U F2 L2 B2 U2 L2 U' F' R' U',B
5252645001,U' B L2 F L2 B2 L' U2 L U2 R F2 L B' D' L2 F' D B2 L,B
