# Scramble Extremes — pseudo_pair / pseudo_cross_pseudo_pair / O / bin 2 (3rd-smallest)
# Population in this bin: 1559
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

5085051001,U2 R L' U L2 U2 D' B' D F2 L B2 L2 U2 B2 R D2 R' D B R,O
683590001,R' B2 D' R2 B' D2 R' B R2 F D B2 U2 R2 F' L2 D2 B,O
1387921001,U L2 D L2 U' B2 L2 R2 F2 D' F D B' R2 F' R2 F,O
661063191,B2 U2 L' R F2 L' D2 U2 B2 U2 F R' U' F' U2 F' R' F' U L',O
3555869001,R2 U F2 D2 F2 U B2 F2 U B' L U' B D2 L D' L R2 D2,O
2774080001,D2 F' B2 R' D B2 L' B' D2 B L2 D2 F L2 F2 R' F2 L' D',O
2236333001,L2 B' U2 D' R2 D L' D2 L D' L2 U F2 B2 R2 U' F' R D,O
3345314001,B2 D2 F2 L' F2 R2 D2 R' B2 D2 F2 L2 U L2 R U2 B L' D2,O
3236130001,F2 U2 B2 D2 F2 L2 U2 L' F' R' F' D' L2 B2 U2 R D2,O
28779001,L2 B2 D' L2 U' L2 D' F2 U F' U2 B' L2 U F2 R2 F2 R' B',O
981713001,U2 B2 U' R2 D L2 U' F2 U' F2 U' R' D' U' L R' D2 B' D R,O
1667330001,D2 F2 L2 U2 B U2 B' F' D2 L2 B' L2 D' B' D' R B L2,O
2638972001,B2 F2 U L2 B2 D L2 B2 U' R' U' B D' L2 D F' U' R F2 D',O
2835301035,F' U2 R D' R' L2 U2 B' L U' B' D2 F' D2 R2 U2 D2 B' D2 B',O
4516165001,L' F' R' B U' R2 D U F2 D' B2 F D B' D' B2 F R2,O
1195333001,B L' F' D B2 R' F' D' L' B R' U2 B2 R U2 R B2 D2,O
1610626001,R' B2 L2 F2 R' B2 L' U2 B2 R' B2 F' R' F' D' B' F' D2 U2 B,O
2761775074,B2 R F2 L D' L2 R2 D B2 L2 U R2 B U L' F U F U B' L2,O
57868001,U D2 B U2 B' U2 R U R D' L D2 R F2 L D2 F2 D2 B2,O
5201780001,R2 F' L2 D L2 U2 L' U L2 F' L F' L2 U2 B2 L2 F D2 B2,O
1502168001,F R2 D2 L2 B2 D2 B' D2 L2 D' L' F2 U2 L B2 F D F,O
4444206025,F L F U2 F' L B' D' L' D U2 L2 D2 F U2 B L2 B' U2 B2 D2,O
65145001,D B' U R D2 R F2 D' L U2 R2 L2 B2 R2 U' F2 U' L2 D2,O
1648955001,R U' R L2 F2 R2 D2 U' F2 D F2 B L2 F2 R' B D' L2 B2,O
988007001,R2 D2 F' L2 B' R2 F2 L2 B U R' B2 F2 R D L2 D F R D2,O
2199044001,D B D2 U2 L2 B R2 F D2 B2 L2 D' R F' D2 F' R2 F2 D' L2 U',O
661400034,D' B2 R2 F2 L2 D U R2 F U B' D2 B2 F L' R B D2 L U L,O
3733346001,R' L2 F L2 F D2 U2 B2 F' L' R B R F' U B U L',O
3483654001,U F B' D L' D B2 U2 B L2 D B2 D B2 D R2 U2 B L,O
2038395001,L U' R' B2 U' D2 B' U F' U' R2 U2 L2 B U2 B2,O
4872654001,B L2 F U2 F' R2 B R2 U' F' R D2 B2 R2 B2 R2 F' D2 R2,O
4136055001,B L B2 F' L2 B U2 B' L' F' L B U L' B U,O
3143628063,L' F2 R' U' L2 D2 R2 U2 B' D2 U2 B2 U' B' R2 D R' F2 U' L2 U',O
3527067001,L D F' U2 B L' U R D2 L B2 L2 U2 R D2 B2 U2 R D B,O
5259940001,U' B' L2 D F2 U2 R L2 F2 U F2 L2 U2 L2 D' L2 F' L' B2,O
3810647001,F U' L' U R D F2 L' F' U2 L2 F R2 D2 B' L' F U',O
3301002001,F R2 D2 R2 U B2 F2 L2 D' L2 D' L2 B' R' B' F2 U L D2 U',O
103482001,L' B' R' U2 F U2 B2 U F R' B2 U' R2 U D L2 D' B2 L2,O
104168001,R2 D R2 F2 R L2 D2 L U B' U2 R' B2 D2 L' U2 L U2 F2,O
2095163001,B' U' R U2 D F2 U' B D' B' R2 B U2 B R2 U2 D2 R',O
3937091001,R' B2 D' B2 U F2 R2 D R2 D F L' U2 B' R' B' L U2 R,O
2628485001,L B' L2 B2 R2 B' L2 B' D2 U L D F2 D2 L U L' U',O
3542288001,U2 L B2 R2 F2 D B2 D' U' F2 D' R2 B' R D2 B' U' L B' U L' F2,O
4835864001,L2 D B L B2 R' D2 L' D2 U2 L' R2 F U2 F' R2 F' R2 D2,O
2652906001,D' R2 B2 D R2 D2 U' B2 R' D' B2 R' D U B L' D F,O
571183001,B U2 L B' R' D L2 B2 L' B2 D' R2 L B2 L' D2 R' L2 U2,O
5023063001,B2 U' L2 B2 F2 D F2 U2 R2 L' B' F L' B' U' F D2 B2 L2,O
736436001,B2 U2 F2 R2 B2 F2 D2 U F2 L F D' L' F2 R2 B U R',O
540781001,D F2 U' D' L B2 L B2 U F2 B' U2 L2 F2 B' D2 R2 D2,O
2681479001,F2 R2 D2 U2 B' F2 R2 B' D2 F U R U' R2 F2 R' U2 F2 U',O
4749341001,L2 D' U L2 F2 U B' U2 R2 B2 F' L R B2 U' R2 U B',O
890363001,U2 B' U' D2 R L2 F' D F' U D' R' L D2 R U2 F2 U2,O
491412001,F' U2 L2 B F2 U2 L2 F R' U' L R B F L' F' R' F L2 B',O
129098001,B2 R2 F2 U2 F2 D F2 D B F2 U R2 D B2 D' R D' F2,O
2060913001,U2 L2 F R2 F2 D2 U2 R2 B' R2 D2 L D R F U2 R B D2 B,O
143390001,R L' F2 U F' D2 R' F' U2 R' D B2 L2 D' L2 U D2 B2 D2 F2,O
494753001,B' D2 F2 R2 F2 L2 F D' F2 U2 B D2 F' D R B D' R',O
5089779001,D2 R2 F2 L B2 U2 L U2 L F2 D' L' F2 L2 U2 F D2 U R U,O
1337177040,F R2 U2 B L2 R2 D2 R2 B' R' U' L' U' F2 D' B' R B2 L2 D' L B,O
5084881001,L' D2 R2 D L2 U F2 R2 U' R' D2 F' U' F' L2 D B2 L' D,O
4128757001,R U D R' D L U' L' B F2 L2 U2 D2 B2 U F2 L,O
3943890001,R D R B2 D2 R2 U2 R2 F2 D2 B2 D F' L U2 F D' R' B,O
3889367001,U D' R' U2 R U2 R2 U' D2 B R2 U2 F U2 L2 F' U2 L2 B',O
1720112001,B F2 R2 F2 U2 B2 L' D2 R F2 B L B' L2 F2 D R' D',O
160474001,B' L F U R U' F' B D R F2 U2 L2 U B2 U L2 U L2 F2,O
1547524001,L2 D' F2 U' R2 D2 U L2 B L' D F' R B2 R2 U' B' L' B2 R' B R,O
5215669001,R' B2 D2 R' F2 R2 B2 L U B L2 U' F2 L2 F' L2 U,O
2533935001,U' L' U2 R U L2 D B2 D' B2 U2 L2 B2 F' L F2 D' L2 D U2,O
977209001,F' U' B2 U B' R' B L2 F U2 R2 L2 F2 B2 U' B2 U2 D' L2,O
4340780001,L B L2 F2 R2 U2 B U2 R2 U2 R2 F U B' R U' F2 L2 R B',O
555508001,F' U' L D R2 L' F' L' F' R' U2 B2 L2 U2 B R2 F D2 B' L2,O
1143735001,R2 B' F L2 F' R2 B U2 L D' B R B D L R2 B' R' U',O
3185830001,R2 D2 U2 F U2 B' F2 R B D' F R' F2 D' L' F' L F2,O
547280001,U' D' B' U2 D R2 B L2 F' R D F2 D B2 D' L2 F2 D2,O
637681001,L2 R2 D R2 D U2 F2 D2 F2 L' B' L D' R' D2 U' R2 D' R,O
3866274001,U F R U2 R2 U2 F' U' F2 U2 B' D2 R2 L2 F R2 L2 D2 F2,O
203256001,D2 F2 D B2 D' F2 L2 F' U B R B D' L D' R F2 D',O
3392762001,L' B2 R2 U' F' D2 F' R2 U2 B2 R2 D2 R2 D2 L' D R D' L B,O
4189213001,U2 L2 B L D' R' D' F' D' L2 U' D F2 B U' F,O
661292005,L U2 R' D2 F2 L2 R' F2 R' B2 D' L' B R F' U' L' U2 R D2 B',O
203865001,B2 R2 U2 L2 U F2 D2 U2 L2 F2 L D2 U' R' D R' B2 F' D U' L B',O
4243422001,L2 F2 D2 L D2 U2 R' D2 F2 D' U' L' F' R' F' D B2 U2 B',O
510349001,R2 U2 B D2 L2 B2 D2 F U R' D2 L' F R2 U2 B2 R' D B,O
210913001,F R' F2 U2 L' F' R2 F U2 R2 D' R L2 F2 D2 B2 U2 R2,O
3978847001,B2 R2 B2 R2 L' D' L' U F2 R' F' R2 F2 U2 B2 L D2 L',O
1169194001,L2 R2 U2 F' L2 F2 D2 L2 U R2 F2 R' F R' B2 U L2 F2 R',O
3938502001,U R' D2 L2 U2 R' D2 R' D2 U' F D F' R2 U R' D' L,O
2265612001,R2 D R D2 R2 B R2 B D2 R2 F R' D2 B' R' F D2,O
2668336026,R L' D' L2 U F2 R' L2 D2 L2 F2 R2 D F2 D B' D' B2 L B' L2,O
953057001,U' L2 B2 F2 D L2 U' R2 B2 R2 F' D' L' D L' R2 U' R D' U2 L B',O
1269543001,F' D2 R2 D2 L2 F2 R2 U2 L F2 D R2 U2 R U L D L U L2 U,O
879641001,R L' F2 R2 D' R F2 R' U2 F U2 B2 U' L2 D' R2 U R2 B2 D2,O
5194139001,R' B U2 R F2 L' B2 R F2 U2 F' D R F' L' B2 F L2 F2,O
4585753001,D F2 U2 L2 F2 U2 F' D2 B' L2 R F D' B' F2 R U' B2 D2,O
234124001,L' F' D' F' U' D R D2 R2 B2 L2 B R2 B U2 D2 F L2,O
1439961001,D' L2 U' R2 B2 R2 U2 R' B2 U2 F2 U' F L B' R2 B U2,O
238929001,L B' L B U B' R B' D2 F' B2 U2 L2 U2 R D2 F2 R2 B2 L',O
4230207001,U2 B L F2 L' U2 L2 U2 R2 U2 L' F2 B' U' B U2 F2 U2 L',O
2278933001,U' F' R2 F' L2 U2 R2 B2 D' L' F D F' R' B2 L' D,O
3492732001,U2 B2 L2 D B' D F2 B U B2 L2 U2 L' F2 B2 L2 B2 D,O
1339233001,L F2 U' L' B D' R L2 U F2 U2 F2 R U2 F2 D2 R2 U2 F2 R',O
3293456001,D2 R2 D U2 F2 D2 L R D B F2 R D2 B F2 L U2 R2 D2,O
2390758001,F L' D' R2 U' L2 B2 D U' F2 B' D B2 D' U' L' B' F2 U,O
244720001,U' R2 B U R D2 L2 U F B2 U2 B2 L2 U D2 F2 D' F2,O
2940426001,L' R2 D' U' L2 R2 U R2 D' F' U2 B D2 F2 R' B' R F,O
3531203001,B U2 B2 F' L2 B D' U R' B2 D' R2 B' F U2 B F,O
3717221001,B' L' D' R B2 F2 R' D2 L2 R U2 R2 B' L D2 B' U2 R F2,O
661464033,B2 L2 U L2 U2 L2 D' R2 U' F' D' F' R D' B L' B L2 U R B R2,O
1647745001,U2 F2 R' U2 L' F2 U2 F2 D2 F2 D' F D2 R' B U B2 D' F U',O
819276001,F2 D R2 U' R2 F2 D R2 F2 U' L' U' L U2 F2 L2 D' R' F D2,O
721071001,F2 D2 F R2 B' R2 B' U2 F' L2 U' L2 R B2 D L D F D U2,O
4589534001,R2 F2 U2 L2 U L2 R2 B2 U2 B D R' D B' F U' B2 R',O
263670001,B' R2 D2 R2 B L2 F' U' R2 B' U2 F2 R' F' U L2 F2 L',O
955553001,F R2 L' U' L U R F' U' B2 U' L2 D' F2 D2 R2,O
2499378003,U' L2 R2 U' B2 D2 F2 D L2 F R' F' D' B2 D' L2 B' L' U2 B R',O
4224658001,L2 F2 U2 B2 U F2 U B2 D' F2 R' F2 U' F U2 L D2 L' D' R,O
3938021001,B' R2 D2 L2 U' R D' B2 U R2 B' L D2 B2 L2 F2 L2 U2 F2,O
3438884001,U L D2 R2 D F L' U' B2 L2 B R2 F U2 D2 F' U2 L' D,O
2875643022,U F L2 U' B2 U2 F2 L2 D2 R2 U' B2 R' D B' L2 B L' U2 B',O
1079314001,R2 U L' B' L' U F' L2 B2 D' B R2 L2 B' R2 B L2 D2 L2,O
1557651001,U2 R2 L' U' L U2 F U' F2 D2 B L U2 F2 R U2 L B2 R',O
746788001,U2 B2 R2 F D2 U2 F U B D2 F U F L' D' L U2 B2,O
2676831058,R2 U F R F' U' L2 B U2 D B' D L2 D' B2 U2 R2 F2 L2 U,O
650799001,B2 U' F2 U' B2 R2 U2 L2 R2 U R B D2 R D U' B' R U2 B',O
812085001,D B' U R' U2 R B U B' U2 B2 R2 F' R2 U2 B' R2,O
4295311001,D B U2 D' B R L' D2 B' U F' D2 B2 D R2 B2 U,O
4117587001,D2 R2 F' L2 D2 B' L2 D2 U' L' R' D U R D B2 R2 U,O
5008333001,U2 L' B2 L D2 B2 U F U' R D B' D2 U' F2 R' B,O
1265718001,B2 R' F2 U2 R B2 F2 D2 L2 R U' R F R2 B2 R' F L R2 F L',O
297402001,R2 F' D R2 L2 U R' F2 B' U' D2 L2 F R2 F R2 B2 D2 B D2,O
4221794001,U2 F B2 U R2 D U' L2 U2 B2 L F2 R' B2 D' R2 B2 R U,O
3408730001,F' L2 U2 L2 B D B D' L' R2 D2 B' L2 B U2 R2 U2 D2 B',O
3483790001,F' D2 B' U2 R F' D R' B U2 B2 L2 B L2 B R2 D R2 B2,O
302878001,B' L2 U' L D B2 R2 U F' U2 R' B R2 F' U2 F' L2 B2,O
4347190001,U2 R' F2 U' B L' U' D' B2 U F2 D' L2 F2 R F' L B,O
305299001,D2 L U2 R' B2 D2 B2 D2 F2 R2 U' B U L D' L' D F2 U,O
4180776044,R2 D B2 D2 F2 U L2 D F2 U' L2 B F' R' B L2 B' L' D L2 U' L' F',O
314012001,U L2 R2 B2 D' F2 R2 F2 L' F2 R B2 L' F L B2 D2 B2,O
326072001,D2 F2 L F2 D2 R' D2 U2 R B' D2 F' R2 U L' F L2 U2 F' U' L2 U2,O
1208387018,U2 L2 U2 L2 U B2 F' L R U' R F2 D U B2 L' D2 B' L2 U,O
1882791001,D2 L F L2 D' R' D' R2 L2 B D2 F' L2 B' D2 B2 U2 F2 L' D2,O
3675729089,R' L D' L2 U' F' L' B2 U' B' R L D2 F2 R' L' D2 R F2 L2 D2,O
4038510001,D2 F' L2 R2 D2 R2 F L2 F' R' D2 B' U' L2 B' L' R F U2,O
5053102001,B L U2 L' F' L U D2 L F R2 L2 D2 F2 R2 L2 B' U2 D2,O
3173000001,L U B D' L' U D2 B U' D B2 U2 R' F2 L' F2 R D2 B' L,O
2597936001,U2 L D R2 L B' R2 D' B' R F2 R' L2 U2 L' U2 D2 L2 U2 B,O
5035678001,B2 R' B2 R' B2 U2 R2 B2 L2 F' U R' U2 R D2 F R2 F' L2,O
3378847001,R2 B D2 L2 F' R' U' R2 B R B2 R2 B' D2 B U2 F' R2 D2,O
4247935001,D2 F2 D U L2 U F2 U' R2 F D' R' D2 B2 U2 L F D B2,O
3523668001,R2 B L F' R U' F U2 L' F2 U2 D2 L F2 B2 U2 B',O
4473041001,L' U' F2 D2 L R U2 L' D2 U2 L D' U' B R2 U R' B U2,O
927932001,F2 U B2 R2 D U B2 D B2 L2 R' B R' F2 R' B' D R2 U L',O
4995353001,B' R D2 R2 B' D2 F R2 D2 U2 B' R B U2 F U' L D U,O
3230138001,D' L2 F B2 L F2 D2 F2 L' U2 L2 U R F' R' B2 D L',O
719649001,U2 F' R2 L' U' F D B' L F B2 U' L2 B2 D2 B2 D' F2 L2,O
4231758001,B2 R U2 L2 B D2 U2 R2 D2 B' U2 F D2 R B2 U F2 L' B2 U' L2,O
380950001,B2 D' U F2 L2 U' R2 U2 L U' R B R2 F' L2 D2 L' U L R2,O
4202359001,D F2 R2 D U B2 D F2 L' D L F U' L' U' L U2 B,O
4869017017,L2 D2 R U2 B2 U2 R B2 F2 U F' D2 U' F2 U B2 L' F' U' L2 U2,O
2218583001,D2 R' F D' U2 F2 L2 U L2 U' B2 U' R' U L2 B R' U2 R2 B,O
1391539001,R2 U2 R2 U' F2 L2 B2 U2 L2 F2 U L' U B R2 B2 D B L R D',O
925967001,L2 U F2 U L2 U F2 L2 D2 F2 D2 R' F2 U' L R B2 F D' L2,O
1055572002,B2 L' D2 L' B2 U2 B2 U2 L2 B' D R' D U' R2 U B' F R2 F' D2,O
1038351001,U' D B' D2 L2 U F2 U R' F U R2 D2 L2 U' D' L2 D L2,O
866420001,B2 D2 L' R U2 L' D2 F2 U L2 B R' F2 D2 B' L2 U' R2 B',O
864964001,B2 R' D2 R F2 R D2 B2 R2 B L2 U2 L' U' R D2 B L' R' B' L B',O
5205860001,B2 R2 F U2 L B' L' B L' U' D' F2 B2 L2 D L2 F L2,O
3061621010,R F B2 U2 B R F2 D' R F2 D F2 D2 R2 D' B2 U' R2 F2 L2 B' L2,O
5169588001,U2 F' U2 F L2 U B R L2 F L2 B' R2 L2 U' R2 U2,O
5274278001,L' D2 L' B2 D2 R D2 R U2 L2 D2 B' L B2 L2 U2 L2 U' L2,O
4864629022,B' U R' B' R F2 R' F' U2 B U2 D2 B D2 R2 U R' B2 R B' L',O
5047180001,F L' U' R L F U2 B U R' D2 F R2 D2 B' U2 B' D,O
4878527001,D2 R2 D B' R B2 D2 L2 B2 D2 L' U B L2 B' D2 F U',O
4339281001,D' F U2 F2 D2 U2 R2 F' D' L' R' D L2 B' R B' R B,O
661329018,R2 B D2 B' D2 F R2 B' U2 R U2 B R B' L R' F' D F D2 L' F,O
2394664001,B2 U2 L2 D B' L2 D2 B2 L2 B' R2 F U R' U L R' F R,O
529045001,U L F' D' B2 U F2 D' F2 R2 D2 B2 L' F2 R' L2 U2 F2 D2,O
2775971001,U2 R' B' L2 F' R2 D' R' F R L2 F R2 B L2 D2 B' U2,O
4033316001,U2 R' B D' B' D L' D2 R2 U2 L2 U B2 U R2 L2 B' L,O
1313469001,R' U' F D2 B' L2 R2 B R2 U2 F U2 R B' R' D B2 U2 L R2 D2 B U2 R' U' F,O
3679404001,F U R U2 R B2 L' B2 L2 U2 B L R U B U' R2 B F',O
580632001,B' R2 B L2 R2 U2 B D2 F2 L' D' B' F2 L2 D R2 U F' D',O
2723336062,U' B U' B2 L D2 R F' R' U2 R B2 L D2 L2 U2 F2 L2 B2 L' F,O
4449373001,D' B R F' R U' B' U R2 U2 B2 U2 L2 U R2 B2 L2 B2 F D2,O
846189001,R U' B D2 R D L F R U L2 F' L2 B2 U2 R2 B R2 B L2,O
1032389001,B2 R2 U L2 R2 D R2 D' L2 U' L2 F R2 B L U2 L' U' R B',O
448106001,U D2 L2 U R' D' R2 D' L B L2 U' R2 F2 U2 D' L2 D2 B2 R2,O
948812001,R2 D2 F' U2 B2 U2 L2 B2 F L' D' B F2 L D' R' U B2 F',O
2458425001,F2 U R L' B' U' F' R U2 B D' L2 U B2 U' R2 D' B2 R2 B2 L2 U,O
1070436001,U' R' B2 R' L B U2 F' R' D2 F2 B' R2 L2 F R2 L2 D2 B2,O
3608153001,L2 U2 B2 F U2 B' R2 F2 L2 D' R D' L' U' L2 R2 B' R2 D,O
455024001,F2 U2 B U2 R2 F' L2 F2 D2 R2 D U2 R F L2 U L D' F2 R2,O
5165796001,U D2 F2 U' R U2 L' B2 U' R2 F2 U' L2 F' B2 D2 F2 R,O
595762001,L2 B2 F D2 B' D2 R2 D2 B' U R2 F D2 U' R' F2 D' L2 U',O
3507989001,L' B' R' D' L B2 L F' L2 B2 U D L2 F2 L2 U' L2 F U2,O
3131036001,B' L' R2 F2 L2 R' D2 B2 D2 R' U L' U L2 F' R' U' R U',O
5059016001,D2 F U' R U2 D' F2 R2 U' F2 R F2 R2 U2 F' U2 D2 F2 L B',O
3388908001,F' D2 B L' U L' F U' F2 R' B2 L B2 D2 R' L2 F2 B2 U,O
3173023001,D B U2 F2 B' U F2 R' F U2 R2 B2 R2 L2 D2 F U2 F L2 F',O
2584697001,F2 R' F' D R2 U2 F2 L2 D R2 D2 R B' U' R2 B2 R' U',O
