# Scramble Extremes — pseudo_pair / pseudo_cross_pseudo_pair / WY / bin 7 (max)
# Population in this bin: 5965
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

4396882001,D2 B D' U2 L2 D F2 U L2 B2 L2 F2 L F D B R D2 B2 R,W
905191025,B2 L' F2 D2 R2 D2 R U2 F2 R B2 F D' U' L' U R2 U R2 B U' L2 U',W
4905702001,R' F2 L2 U' R2 D2 B2 U' B2 L D2 F L2 B2 D U2 F L R,W
2959764001,F2 L U2 R' B2 D2 B' L2 B2 L2 D2 U2 B R U L2 B' L' D B',W
681035001,U2 L' B2 R2 D' F R' B L B R2 B2 R2 U2 F' D2 B D2 F D2,W
2615355001,R B L2 B2 D2 F2 L F2 U2 L F2 D' F2 U' R' B' F' D' L2,W
3939168051,L2 B' D' F' D' B' D R' U L B' U2 F2 U2 B2 R F2 L2 B' L',W
829309001,L2 B2 D U' B2 L2 U B2 U2 R F L2 R' B L' B2 F2 D L D2,W
4179686001,L B2 L F2 L2 F2 R' U2 B2 U B L2 F' L U F' R D2 B,W
2088122001,U2 R U D2 F L B' D L2 U' F2 R2 D L2 F2 U B2 U' B' L,W
3599780001,B2 D2 F2 R F2 D2 L B2 L' U' L2 R' B D2 U' F R B2 R2,W
1110635001,R2 F2 L2 B2 D2 R U2 R2 U2 B' R B F' L' B' D R' U' F2 D2,W
2925834001,B' L2 B2 F' L2 B2 D2 L2 D2 B D R D2 B F L' D2 F D' R2,W
15311001,U2 B2 U2 B2 U2 R B2 L' R2 F2 R U' B' F2 D' F' R2 D2 L' R' D,W
4036754001,F' L D2 F2 U2 F2 L' B2 L' R2 B2 D' U' R' F U2 L' R F' D2,W
4454206001,U L F' B2 R2 U' F2 D' U2 B2 R2 F2 L2 F U2 L U' L' D2 L',W
1400931001,U F' D' R L F L B D' R F L2 D2 B' L2 F2 B' D2 L2 B',W
4763285007,F' L' U R B U' L2 U' R L2 D R2 B2 U' B2 U' F2 D2 L2 F D,W
1374672038,F2 L' R D2 L2 R U2 R' B' F' U' L U2 R2 D L' B R2 D' L B,W
4377999001,U' B L' F2 R' B' D2 B2 D F U2 R L F2 L2 D2 L D2,W
19270001,L2 R2 B2 R2 D2 U L2 D' L R2 U' R U2 F' R B L2 D2 L R' D2,W
2342816001,D2 F2 L2 B' D2 B D2 L2 U2 B D F' R' F' L' B' L' D2 U' R',W
232966001,B D' B U' R' B2 D' F2 U2 R' F R2 L2 D2 R2 D' R2 L2 D2,W
805072001,F D' L' D' R' F' D' R B' U R D' R2 F2 R2 D2 B2 R2 D',W
1800574001,F2 U L' D R2 D2 B' L2 U' B2 D' F2 R2 U' D' B' R B',W
661388012,F2 R2 D F2 L2 U L2 D R2 D2 F L' D B F' L' D' U F R B L B,W
241684001,D L F B R L' D2 F' U' R2 U' B2 U2 D2 L B2 L B2 R2,W
3772471001,U2 R' F' D' B' R' U' F' B2 L2 U' R2 F2 U2 B2 D2 B2 L2 U2 R,W
661487029,L2 D' R2 B2 D2 R2 F2 R2 D B2 D' R D' U2 L B2 D' F U R B' L2 U2,W
3410882001,R F' R B' U L D' B2 R' D2 R2 L2 U F2 L2 U2 D' F2 D B,W
726755016,F2 R2 D B2 D' L2 R2 U B2 L B' D R2 B' F2 L2 B' L R F D2,W
4773478049,R F D' F2 D' F' L' U' B2 D2 L2 U' F2 R2 U L' F' U2 R,W
3587944001,L' B' D' F2 L2 U2 B2 U2 L' B2 L D L' B' F2 R' U' B U2,W
