# Scramble Extremes — pseudo_pair / pseudo_xcross_pseudo_pair / G / bin 3 (3rd-smallest)
# Population in this bin: 651
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

1592966001,L2 B U2 F' R2 D2 B2 R2 U2 F D2 L F' D' F2 U2 R' D B F2,G
10246001,B L B' U F' R' U' L' D R' F2 L2 F2 B2 D2 B2 R' B2 R',G
3384958001,F' D L2 D2 L2 R' B2 L2 F2 B R D U B' L U B U,G
4734472001,D U L2 D' L2 F2 D R' B' F' U B F D B' D' B2 D2,G
21381001,B2 D' F2 D U R2 F2 U' F2 R D2 B' F D' B' D' L2 B' D B' L,G
23325001,B' R2 B R2 F2 D2 F' R2 F' D2 R' U B2 D2 R' F2 L' U2,G
23961001,R' B2 L' U2 R' D' L2 B' U' F L' U2 F2 R2 F2 U2 B2 R U2,G
1845415001,R2 D' B F2 L2 D2 F' L2 D2 U F D2 B D U B R' D2,G
1301775001,D' F2 D' R2 U2 B2 U2 F2 L B' R' B' R2 B' D2 L D2 U2 F2,G
1241181017,L2 D2 R' F2 D2 L B2 U2 R B' L2 R' B2 F D R F2 D' B2 D2 B R2,G
3007928001,R F2 U D2 R' F U' D2 F' D2 F' U2 B L2 F D2 L' D',G
2292004001,F' U L B2 U L B2 U' D2 F2 D R2 L2 U' L' B,G
4680672001,B' R F' U B2 F2 D2 L U2 L' F L' B2 L' U' L F D,G
5245714004,L2 D2 B U2 L D R' F' R2 F' L2 D2 R2 F2 R2 B R' F' D L B',G
2425700065,U' F2 B R2 B D B2 L' B2 U2 L2 D2 F U2 B2 L2 D2 B D L',G
3207081001,U2 L2 B2 L R' U2 R' D' F' D' B2 U2 L2 R' D' B R2 F',G
79338001,U2 R2 D2 B U2 B L2 B' F R2 D2 L D' F R2 U2 B U2 F',G
80535001,R F' U2 L2 U D2 R U D' B U' L2 B R2 B' D2 B,G
4241238001,F2 L' B U' L2 B2 L B' U D2 L F2 L B2 U2 F2 R2 B',G
2180201001,B D R2 F2 D' L2 F2 D2 L2 B' L B' R2 F R2 U' L R2,G
1636725001,R2 L2 D F2 D F U' F' L' F' B2 R' U2 R L2 F2 L' U' L2 U2,G
4634478019,L2 R2 U2 F' U2 R2 F L2 D2 F2 R2 F' U' R2 B2 L' F2 D' F2 L2 U,G
101209001,B R B U' L2 B U F' L' D' B' R2 U2 R2 L2 F' L2 D2 F' D2,G
108579001,F2 D2 L2 F2 U B2 F2 R2 U2 L F2 D' R B' L' B L2 R' U2,G
1053299001,F' D R2 B2 D F2 B D2 F2 B2 L U2 B2 R2 F2 U2 F2 L',G
1188457001,R2 F2 D2 R' B2 F2 L D2 L' D2 L2 F R2 F U2 L2 D' B' D,G
120817001,F D B U' L' D2 B' L U L2 D R' U2 R B2 R D2 L2 F2 R',G
3252201001,L2 F U D2 B2 R F R2 F2 R F2 L F2 L B2 U2 L2 B R2,G
126104001,R U' D' F L2 F L2 U B2 D' B2 L' D2 R2 F2 D2 L F2 R' D2,G
2517887001,F D U2 L' F2 U2 L D2 R' B' L2 U B' F2 U' B2 D2 R',G
1651212001,U R' B' U2 L2 R2 B' D2 B' L2 U2 D' F D' R2 B R2 D',G
133882001,U D2 B' U2 F L' U' L2 B' L' U B2 R2 L2 D' F2 U D2 B2 U,G
1902384001,D B' D L' D2 L B2 D2 R D2 R2 B R F' D R D2 L R,G
2219845039,R2 D' B2 F2 L' B2 L2 R2 U2 R' B U2 F2 R D2 B' R' D' L B,G
161725001,D' F2 D L2 D' L2 U' R2 D2 R2 B2 L F' R F' L U' L' B' F2,G
167436001,L2 F2 L2 D U2 R2 D' B2 D2 B2 R' B' F' U L U R' D' R' B',G
193676001,D' B2 L2 R2 D L2 D B F2 D R F2 L' B R F2 L2 D F2,G
4761838001,R' U2 B2 R' D' R2 U L' F B2 L2 B L2 U2 F' L2 B' L' D',G
4798971001,R' B R' F2 L2 R' B2 F2 R' B2 R2 F L' B' D' U' L D' F2,G
5186605001,B' D B2 D' R B U2 L F2 U B2 U D B2 L2 B2 D B2 L2 U2,G
1226502001,R D2 L2 R' B2 F2 R' F2 D2 F2 U' F' L2 F D B' D' R F,G
1068707001,U2 B2 D2 L2 D R2 B2 F2 U' F2 U B L2 U' R' B' U' F U' R2 B,G
2302684001,R2 L' F' B R' D2 F' U' R' U2 F' L2 F L2 F U2 D2 R,G
3542439001,U2 L U2 L R' U2 F2 L' B2 U B' L D2 L' U' R B D B2,G
245724001,D' B2 U' B2 D2 L2 F2 D F2 R F' R' D2 F2 R' B2 R' D' L',G
2266902001,F2 D2 F2 U2 B2 R' B' U B R2 F2 B D2 F L2 F' L F',G
2737473004,L2 U B2 R B2 L D2 L' F2 R U2 D B F R2 B' R2 D U' L2 U,G
262205001,R2 B L2 U B2 D L' D B' U' R F2 U D2 F2 B2 D F2 U2,G
266700001,F U' L2 U2 B2 U L F' L2 B2 D' F' U2 F L2 F' U2,G
3997514001,F' L D2 L2 R2 B2 F' D2 F R' B' R' D2 B2 D L B2 F',G
4714337001,F D B R B2 U2 R' F' L' U F' R2 F2 D L2 D2 R2 U',G
282386001,F' L2 U2 B2 F' D2 F L2 F R' U2 B' R' D' R D2 B' D',G
285181001,D2 F2 R2 F2 L' D2 R' B U2 L D' F' U' B' U2 B' F D2,G
1112435001,F' D L' U D2 R D' L' B' R F2 B2 D B2 U2 R2 D' L2 D',G
2830260010,L' F' R D2 L' U2 R' D2 R' D2 B2 D2 B R' D B' L' B' D2 L2 B',G
1111500027,B2 L D2 U2 L U2 L2 U2 R2 F D2 F2 D L U L2 D L2 U B R',G
2622391001,U2 B U2 F R B2 R2 B U' F2 D' F2 U2 L2 F2 L U2 R U2,G
3443948001,U2 F2 U B' D2 R' F R D R F2 B2 R F2 B2 R F2 R' L' U,G
3485580001,F2 L' U' L2 F2 U F2 U' R2 U2 R2 F' L2 D2 R F' R2 U2 B2,G
324549001,U2 R2 F' L2 B' D2 B' F' R B2 D R2 U2 R D2 F2 R B' U',G
1607567001,U2 D' R' D B L2 U' D R' F2 B' R' L F2 R L2 U2 B2 D2 B2,G
3099189047,D2 B U' D' L2 D' L2 F2 R' F' L2 F2 D' L2 U2 B2 R2 D2 B' L B,G
2202688001,U2 B' L' U D2 R2 F L' D F2 U' B2 L' D2 L2 B2 R U2,G
339486001,U' R F U2 R' F B' L U2 D R2 L2 D B2 R2 D L2 D' R2,G
344431001,D2 B2 D2 L2 R D2 R' B' L' B L D' L' D2 U' R F' L2,G
345737001,L D2 R' B U L2 U' B' U2 F L' D' F2 R2 D2 B2 D2 L2,G
2281174001,L U2 L R F2 D2 R' U B' U L F D' B R F' R' D,G
