# Scramble Extremes — pseudo_pair / pseudo_xxxcross_pseudo_pair / BGOR / bin 12 (max)
# Population in this bin: 12593
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

1343612001,F' R2 F2 U2 B L2 F2 U2 F' R U R2 B2 L R2 B L D L' R' D L2,B
263692001,F' R2 B2 R2 F U2 F U2 F2 L B2 U F2 L2 B' F D' R F' D2,B
1094856001,R2 D2 L2 F' D2 B2 L2 B R F' L2 D' U' B F2 D R' B' U2,B
3886042001,F2 L D L' R2 D2 B' L2 F R2 B2 L2 R' D B2 R' B L2 U2,B
5256470057,U2 B2 L2 F' D2 U2 R2 D2 B L2 B U' B2 L' D2 R F' L2 U R2 D,B
342495001,F2 R' B2 U2 R' D2 F2 L F2 L R2 U' R' D' F U2 F' R B D' U,B
800875001,D2 F2 D2 L2 B' D2 B F' U L B2 R2 U' B D' F L D U,B
2457001,B' D2 L B2 L U D R' B R L D2 F U2 F R2 L2 F' U2 L2,B
5037447001,L' U2 B2 R' D2 R2 U2 B2 L2 U F D' F R2 U L' U2 F D2 B',B
660539013,B F2 D2 B L2 D2 U2 B2 L2 R2 D' F' L' U' B' D2 R F' D L2 U2 B R,B
131587001,U2 L2 F2 D2 R2 F' R2 F2 R2 D' R' B D2 U' R' D2 L' D F' L',B
3031016035,R' F' U' L2 F' B L' U2 L' D' B L U2 R' F2 B2 L2 D2 L B,B
1211716013,U2 R2 F' U2 R2 U2 F U F L' D2 B D2 L2 R U B' D' F L' F,B
4024507001,U2 B2 D2 R2 B2 L' D2 L2 U2 B D' U2 B' L R' F L2 U R' U,B
2525667001,F' B R B2 R' U D B2 R' F2 D2 R' B2 R' F2 B2 R2 B' L U2,B
2224836001,L2 U' R2 U R2 D R2 F2 L2 B' R F2 D F L' R' B2 R' D' U2,B
1041998001,R D2 L2 D' L2 B' U F' R F' L2 U2 L' D2 B2 L2 D2 R2 U2 B2,B
660675002,U2 B2 U2 F' U2 R2 B D2 F2 U2 L D' F2 D2 R' D' L D2 L' F,B
477943001,U' L2 D2 U2 B2 U' R2 D2 F R D L B2 R D2 B' U L F',B
860880001,U2 F2 L2 R' D2 U2 F2 D2 B' L' D' F' U R' B' L' B R' F,B
1902958012,L' U L R2 U2 F2 R2 F2 R2 D2 B R2 U' L' B2 U L2 R2 B R' B,B
4477927001,F D' L D2 F2 R F2 R2 U2 B2 R D2 R' U2 B' D B2 F U2 R B,B
4415632004,F2 L B2 D2 F R' U' D2 R' F2 L U2 B2 R F2 B2 U2 L B U,B
2693212001,F2 U' R' F2 D B2 D2 B2 L2 D2 U F2 D' F L2 B R2 D R U',B
4503541007,D2 B R D' R2 U' R D F2 B2 U' B2 D' R2 B2 D L F' D L B,B
1028067001,B' L' U' R' D' F U' R F2 U B2 L F2 L2 F2 B2 L U2 F2 B2,B
386388001,F2 D2 L D2 L2 U2 R' U2 R' D2 L F' D R' B2 L' R2 B' R2 U' B,B
549994001,R' F B2 U B' D F' U2 D' L' U2 D' R2 D L2 U' F2 D2 R2 L2,B
1641762001,L B L' B2 D2 F U2 L2 B' D2 F2 L' F U' B2 L U' B F,B
5136353001,D' F' U' F L U' R' D F L' U R2 F2 R2 F2 L2 D' F2,B
4515491029,U F' L' D B2 R' F B' D' L2 B2 U' D2 L2 F2 L2 B2 U' R' U2 B R',B
198747001,L2 F2 U F2 D R2 U' F2 R2 U' B' D U' F' D' F L' R' B' D' L2 U,B
1007067001,U2 R2 F2 U2 B L2 F' L2 F2 D' R' B' F D2 U' L' F L2 D F2,B
3678103001,R' U' F D2 R2 U L2 B2 U F' D L U2 R D U' B' F' U B' U' R' U' F,B
4754197001,U2 D' B' R L B2 D' R B2 U2 R B2 U2 R L' U2 R F' U' B,B
2550948001,R' U' L' F' U2 B2 L D2 L2 U' B2 U L2 U' R2 D L F R2 D2 L' F,B
712032001,L' D2 B2 L2 U2 R U2 R B2 D B L R' U F D B2 D2 F R' B R',B
5005495001,B2 U2 F' U2 F' U F' B2 U2 F2 U2 L' U2 R2 L' D2 F' R B',B
454741001,B2 F2 D2 R2 B2 R' U2 L2 U2 L B U2 F L B2 U L2 D' R' D U B,B
660914012,D2 L2 B2 U2 B D2 R2 B2 D2 R B2 D' F2 D F U R' D B D' L B2,B
13802001,D' F' B D R L2 D R U' D' L D2 R2 F R2 F D2 F' B',B
540355001,D' F' L U' L2 B R U2 B D R' F2 L2 F2 L2 U' D2 B2 U2 L2,B
3990872001,L2 B R2 B L' D B' R2 F2 B2 R2 D' B2 U B2 U2 L' B U',B
5019256001,U' B R2 B D B' R' L F' U F2 L2 U F2 L2 U D B2 D2 L',B
660800010,L' B2 F2 L B2 U2 L2 B2 R2 B2 R F' U L2 U R' B' U2 R B U B' L2,B
3516145001,F2 D2 R' U' L U2 R' B' D2 L F' L F2 B2 R2 B2 D2 F2 L',B
3500935001,F2 U F L' U L2 D R2 D2 F B2 D2 B D2 B' D R' U' F2,B
3020635001,L2 U F2 R2 B2 D' L2 D U B' F L' F U' L' F' U R' B' L2,B
2561804001,B2 U2 B2 R' B2 L' R F2 L2 D2 B' U L2 D F R' F2 U L R',B
628078001,F' L2 F' U2 F' R2 B2 D2 R2 U' B' D L2 F L' F' R' F' D2 F,B
5023880001,F2 U L2 R2 F2 D2 U F' D2 F L' D' R' F2 L2 R2 F2 L F',B
782451001,U B2 U L2 U' L2 B2 D2 L2 F D' R2 B' U R F U' L2 B' R,B
2822176001,D B' R D2 L' B U L2 B D' B R' U2 B2 L2 B2 L2 U2 L,B
404752001,L2 B2 D2 F' L2 B' F2 R2 D B R B' D2 U L R2 D R2 D,B
286600001,U2 B D2 F D2 B U2 R2 D' F L2 U R' B D' L' U R B,B
589397001,U' L2 D' F2 D B2 F2 R2 D2 F2 U' F' D2 L B L' F R U' R2,B
1226617015,B2 F2 L2 D2 L' D2 L' R' D2 B2 U' L B' D' B F' D2 L F' R2 F' L' F',B
2550564001,D' R' U L D' F' U' R2 F2 B2 R D2 R' L2 U2 F2 D2 B D2 L2,B
3770031051,L D2 B D R2 U' L2 B D2 F' L U2 F2 D' B2 D R2 F2 B2 D B,B
2476032001,U' L2 D2 R2 B2 L2 B R2 B L2 B' L' F2 D2 F D' R' U B,B
5080074001,U R L2 F2 R2 D2 F2 U2 F' D2 U2 L' U2 B D U2 R' U2 F L,B
1589408001,B2 D2 F L2 F' D2 L2 R2 B R U2 F D U B L F L D R2,B
662795001,D' R2 U2 L2 B2 D' U2 B2 R' D B' L' B U F' D R2 B F' R2,B
2345608001,B U L2 F2 D' U B2 F2 D L' F' D' B R2 D B2 F2 D',B
1982850001,B2 R2 D2 L2 R2 F2 U2 R2 B D U L' B D R' B R2 D2 F U' L' F2,B
4698822001,L' R2 D' F2 U B2 U2 F2 R2 U2 L2 U' B' U2 L2 D L F R' F' U',B
4357539001,F' D2 R2 F2 R2 B2 D F2 D L2 U F2 D2 B L D B2 F L2 B',B
85668001,U F2 D R2 F2 U' R2 B D2 R2 U' B' D B2 R F' D2 L,B
565499001,R' L2 U2 D' F' B L U' F2 U' R' L2 D2 R F2 L' F2 U2 F2,B
