# Scramble Extremes — pseudo_pair / pseudo_xxxcross_pseudo_pair / BG / bin 12 (max)
# Population in this bin: 86265
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

4674846008,F L' F2 U2 B2 U L2 F2 D' L2 D B R F2 U2 L' F2 U F' L,B
2313867001,B' D R2 B' D2 F2 U2 B L2 D2 B' R2 B L F D' B2 F2 L D',B
661314005,L2 R' U2 L2 B2 R F2 R2 F L R' F' U L' U2 B2 F' D U' B R',B
930153001,D L2 R2 D' L2 B2 U R2 U' L2 R' B' U2 L2 U R' D2 L' U2 B,B
2452035001,B' U' B D2 B2 U2 L2 R' B2 L D2 B U' F' U2 F2 R D2 U',B
4619917001,R2 D' U L2 B2 D F2 L D F D2 B' U R F R' D2 L' B2,B
146343001,F2 L2 U2 R F2 D2 L U2 F2 L2 D B L' F' L2 F' R D F D U',B
1242558001,F2 D2 U2 R' U2 F2 L B2 D' B2 D2 B F' U' B R' B' F L,B
3008856001,U2 L B R2 B' L2 D2 L2 R2 F' R F2 D' R U' R' U2 R2 F',B
4782611001,B2 L2 F2 D F2 L2 D2 U B L B' R' B R D' F2 L F' U,B
1543373001,L' F2 L2 F2 D2 R F2 U2 B2 F2 L D B2 L R B R D' L2 B R,B
2295940001,B2 L D2 L2 U' R2 F2 D R2 U' F2 B L' F D' R' D' B' D B2,B
1366423001,L2 B' U2 F' L2 B' R2 U2 R2 F R2 U' F2 R' B D B2 U2 F' L',B
2699262001,B D' L F' L' D2 B2 U2 L' U2 F2 L' F R B D B F D2,B
117082001,L2 B2 D2 U2 R2 B2 D' B2 U' L' B R' B2 U F L2 U2 R U2 F,B
3055259001,D' L F U R' D2 F' R2 L2 D L2 D2 R2 B2 D' R2 B U' L',B
4797439001,U2 F2 R2 D2 B' U2 F2 L2 U2 B R2 U L D' B L U R' F2 D,B
282362001,D L' B' R F' U' R' D2 B' L2 U' F2 U B2 R2 F2 L2 U R2,B
652001,R' L F U L2 U R2 D' L' U' B2 R2 U L2 F2 L2 F2 U R2 D',B
660668003,D2 B' F2 R2 U2 B F2 U2 L F L' B R2 D U' R F L F R' B R2,B
3178112001,F' R2 D L' F U2 B F L2 U2 F2 U R' D' F' R2 U' L',B
793782001,R2 D2 U2 R U2 R2 U2 R F R2 B2 L D' R' U F D2 L2,B
585756001,F2 U2 R2 D2 L2 D F2 U L2 F L B D2 R F R2 U L' F2 D,B
2820468001,F' L2 D' L' B R U' L' U2 R2 D2 L2 F' R2 F U2 F' B' U2,B
4583319001,F2 U' L' F D2 L B' U' R F R' U' L2 D' B2 L2 F2 L2 D B R',B
661184012,U' L2 F2 D2 F2 U' L2 B2 R2 U' R U' L2 B' F' D2 U L2 R D B' L2 U,B
710658001,B2 D' L2 B2 R2 D2 B2 D2 B2 L' U F R' F D L2 D' F R D2,B
384196001,L2 U2 L2 D' L2 D F2 R2 F2 R' U' F' U2 L' R' U' B' D R2,B
1280947001,R2 U2 B2 D2 U2 L' R' U2 F2 L B' L U' B2 L' F' L' B D B',B
184695001,R2 D' L2 R2 D' F2 D' B2 L2 D' L' F' U' R' U' R2 D2 B' U F L',B
4674384001,L U2 F2 R2 B2 R' F2 U2 L2 F' D' R' U2 L2 R U2 R D2 B L,B
1722500001,D2 B F U2 L2 B2 F' U2 R2 F' L F' R U' L' F' D2 F' R',B
4360965008,U D' B2 D2 F' R' D B' U F' U2 L2 U2 R2 F2 R2 B' D2 L' B,B
936049001,L2 R2 B2 U R2 U' R2 B2 D B F2 L2 F' D2 R' B U B L2 D',B
578148001,B' U' F2 B' R2 U2 F2 R' U2 D B D R2 L2 D B2 L2 U2 R2 U,B
2634138013,B2 U2 L' F2 L2 B2 L2 R' F2 D2 U' B' R U R' F U L R F L',B
3187885001,L B L' D R' U' R U L2 D2 L2 D B2 L2 D' B2 U2 R F R2,B
4195921001,U2 D' L' F2 D2 F' D B R' L2 D2 F2 U2 D2 L B2 U B',B
643254001,R2 B2 D2 F2 R2 F R2 F U B R2 U2 L F2 U' L2 F R2 B L,B
3596206001,U D' L2 F D L2 D' R U2 L D U2 L' D2 R' U2 B2 R2,B
890286001,R2 U' F2 R2 D' F2 D L2 U F2 L2 F' L U F' L2 D U2 L' F' D,B
613021001,R2 B R2 B2 L2 F L2 F D2 U2 R2 U R F' U B2 D B' R' F' R,B
4262261001,F D' F' B R B L2 U' F D2 F B2 U2 R2 U2 R2 L B2 D',B
3609839001,F' D L2 B2 L' F' R2 D' L2 F' U R' L B2 L2 U2 D2 L',B
80157001,R2 F2 D F' R U' B D' L2 D' F' L' B2 D2 R2 B2 D2 L2 B2 L,B
814883001,U F2 D' B2 L2 D L2 F2 U' R2 D F' D2 L' F2 D' U2 B' R' B2 R,B
4119196001,R U2 B2 R' D2 F2 R2 D2 R D' L2 B F R' B L B2 U2 L2 B,B
1294630001,L' B D' B2 D2 L' D F D' R B L2 D2 F' B D2 R2 F' B',B
5200291001,B L2 D L2 B2 R D2 L2 B2 F2 R' B2 D' B L R' B U F',B
5230775001,U' F U2 F2 U2 R F2 L' F2 R2 F2 R' U' L B' D2 U B R',B
4626879062,U2 D' B U F L F2 R' D R2 F2 L2 B2 L2 D B2 U' L2 B' U' L' F,B
2894138001,D' B R' L' F R2 B' L U L U2 B2 D F2 D B2 U' B2 U' L,B
2308945001,U F L2 U L B2 L2 B U' L' D' R' B2 D2 B2 L U2 L' F2,B
5153361001,L' F U2 R2 F' U2 B' F2 L2 R' D U' F' D R2 F2 D L' U2 L B2,B
891628001,D' L2 U' R2 U' R2 U B R D F' U F D' L' F' D2 R2 F',B
294562001,L2 F2 R2 F2 R D2 U2 F2 U2 R' F2 U F D2 B' F2 L2 U' F' R' D2,B
576314001,B2 R2 B2 D2 B' D2 F2 D2 R2 U L' R2 F R B' U L D L D2,B
3076073049,R' D2 L2 B' F2 L2 F2 D2 L' B2 U R2 B' F2 L D' U' L' B' L',B
1792352010,B2 R2 F' L2 F R2 B U2 R2 U2 B2 R D B' L2 B2 D B2 F' U B R,B
995023001,D F' B U' L2 U R' F D2 F D' L2 D2 F2 L2 F2 D' L2 U',B
2068440001,D2 B U' L F R' L2 B L2 F' D' L2 D2 L2 D' R2 D' F2 L',B
3864208001,R2 D' L2 U R F' B' R F2 L' B2 U2 R2 L U F2 D2 R2,B
796576001,B D2 R F' B' L D' B2 U' B' R2 F2 R' L2 F2 U2 F2 D2 L2 F2,B
2202792001,L2 R2 U B2 U' R2 D' B2 D U R2 L' B D' R' F2 D' F D2 U',B
963751001,B2 U D2 L' F U2 L2 D B2 L F2 U R2 D F2 U L2 U2 R2,B
420850001,B2 D' U' R2 D R2 F2 D R2 U2 F' U2 L' D' L2 D2 B' R U2 F R',B
918541001,R2 L2 D2 F R' U' B' R2 D R2 D2 L2 F' B' L2 F D2 B2,B
4443722001,L U' B U2 B2 D2 L' B2 U2 R2 B2 L U F D' L' B R B',B
3851594001,F' U2 F2 D2 R2 F R2 U2 R2 D' R' F U2 B' R D' F U R',B
272655001,U2 R2 F2 L2 F L2 F' R2 F U2 F R B' L' F2 D' F U' L2 U2 R2 B R',B
872610001,L2 U L2 U' F2 U' R2 B2 R D' U' B' L' U F D' U F' L2 D',B
2349827001,R2 F' B D' L U' R' U' L B' U2 L F2 B2 U2 D2 R' D2 R B R,B
17459001,L' B2 R B2 L2 D2 B2 R' U R' B' F R F D2 F2 L B' F2,B
1516156001,U' F2 R2 U' R2 F2 L2 U R2 U2 B' D L D U2 L F' L B D U,B
4178065001,R2 F L2 D B U R' D2 L2 U' L' D2 R2 U2 F' B' D2 B U2 L2 U2,B
3928210001,F' L' D2 F2 L2 U2 B2 L2 F L2 F U' F2 L' D' B L' F' U',B
1080151001,U2 B2 U L2 U B2 L2 B2 U F2 L B' D2 R B F' R' B D R F',B
3752155001,D' B R F' D' B2 D2 L2 U' F2 L2 F2 U R' F R' F2 L' F2 D',B
898383001,U2 F' R L' F' D' R F2 U R' F2 L2 U2 R2 B' R2 F U2 B D2 B2,B
314546001,D2 B2 D2 L2 D B2 R' F' U D' R F L2 B U2 B D2 F' B' L2,B
977490001,D' R2 D R2 U F2 R2 U R F2 D2 F' U L F' U F' R' F2,B
4428668001,L B L2 U2 R2 D' F2 D B2 U2 R2 F2 B D2 U L D B D2 R',B
710428001,F2 L B2 L' F2 R' F2 U2 F' R D R D B' U L F2 D B',B
71064001,F2 R B2 L' U2 R U2 F2 L D2 U R2 B F R D' U' R D2,B
3284074001,F2 U F R L' D F R' B D' L2 U2 R2 F' R2 F2 L2 U2 F2,B
573162001,B2 U2 R2 B2 D' L2 U2 L2 U B' U F' R2 F2 L2 D' R' D L,B
3682539001,D L2 D2 B2 D' R2 D2 B2 F L F2 L' F D' B' L' R F D,B
2632881001,B2 U' R2 D' B2 L' B D' U2 F R2 U2 F R2 L2 F U2 D2 R D,B
72322001,L2 F2 U B2 F2 L2 D' B2 D' B2 F' L F' R' B L2 D' B D2 F,B
3691846001,R F2 L R2 B2 R2 U2 B2 U' R2 B L F' R2 D' U L' R2 U',B
982980001,F U B2 R' U' B2 D' L U2 D2 R F U2 D2 B' D2 B R2 U2 B2,B
1251764001,R2 U L2 D2 F L B L2 D B2 U F R2 D L' B' L2 U',B
28709001,B U' D' F2 B R' F' L2 D' F' L D' F2 D2 F2 B2 D F2,B
724440001,F2 R' U F R' U2 F2 U' L' B U2 L F2 U2 R U2 L' D2 B2 R',B
3486802001,U B' R2 L D' R' U B R' B' D2 R2 B L2 F' B2 U2 R B,B
910815001,D R F' D2 L B2 R' D2 F B2 L2 B2 D2 R2 U' B2 D2 R2 U' L2,B
4302898001,R2 U R2 U' B2 L2 F2 R D F' U B U2 B' D U R' F,B
5258551001,F L2 D2 R2 F' D2 L2 F' L2 U2 F R B2 D U F' R B D' R2 F2,B
581862001,F' B' U' F' D R D2 L' B U' L F L2 B2 L2 D2 L2 D2 F,B
1822104021,R' U L2 F2 L F2 R D2 L D2 R' D' F L U' B' L' D B R B R,B
4127285001,R B' U L2 B2 D' R D' R2 F U2 R2 D2 R2 B2 U2 R2 F L' D,B
734561001,D B2 F2 R2 D' F2 U' F2 L2 F' R2 B R2 D L' U' B R' B L2,B
4972236001,R U F' D2 R D' R U F' L U2 L2 U2 F2 D2 R' D2 F2 L2 D2,B
1599261006,B2 R' B2 L U2 L' D2 U2 L R F' R D B L R2 F D U2 F L' F',B
3764820001,B U' L2 R U2 B2 R2 U2 R' B' L2 B2 F L U R' B L,B
605172001,U2 L B2 R2 D2 R' U2 R' U2 R' B R' U B D2 L2 B' F D' R2,B
464617001,L2 D' L2 U2 F2 L2 U2 B2 U2 F2 L' F' D2 L2 D L2 U' L2 F U2,B
661484028,R2 F2 L2 U B2 D R2 D2 F2 R' F U R' D2 R2 B R D B R' F L',B
4326421066,R' F L D B2 L' D R2 U2 F' U2 B' R2 B2 R2 U2 F U L U2 B' L',B
3495829001,U L' D F2 R2 U' L2 D2 F2 U' L2 D2 F' D' L2 R' D L' D F',B
284156001,U' L2 F D2 L2 F2 L' U2 F R L U' L2 D B2 U B2 U' L2,B
239341001,D' R2 U' F2 D' F2 U2 B2 D R F D' L F' U2 L' B2 D B U' L' F,B
542234001,R' B' R2 U2 F L D R U L2 F U D L2 B2 L2 U' B2 R2,B
146202001,R2 F2 D L B' L D' L' F2 R B R2 L2 U' D2 L2 U2 R2 F2 R2,B
2058578011,D2 F2 L2 D2 B' F' R2 F' L U' R2 U' B F2 L2 F' R D' U L' F2,B
1328124001,D2 B F2 L2 U2 R2 U2 F' D2 L' B U B F2 U' F R2 F' R' D',B
890338001,F D L' F' U' L2 B D' R F' U F2 D2 F2 L2 F2 R2 U2,B
1996235001,U2 F2 U L2 R2 F2 D' F2 B' R2 F L' F D B' L R2 D L',B
3815460001,U' F' L2 D2 U2 R2 F' D2 R B2 F D' L' U' L' D2 R F,B
3525472001,D' F2 U2 R L2 B' L2 U D2 B' L B2 L2 F2 U' F2 D F2 R2,B
5262678013,B2 L' D' U' L2 U F2 L2 U' R B' D F L2 R2 U' R U2 F2 L B2,B
2817278001,R U' L F2 D2 L2 D U2 L2 B2 U R2 F' U B D2 R' D L',B
255544001,F2 D' B2 L2 U2 L2 D' F2 D2 L2 B' F L D2 R' U2 F D U' F',B
3452260023,U L2 B' R' F B2 R' U R' B' U2 D2 R2 D L2 B2 U' D R B',B
2769227001,R' B U B L F' B2 D' F L2 F' D2 R2 B D2 F2 R2 D2 L2 R,B
3325491010,D' U' R2 B2 L2 B2 U2 L2 U F' D2 R' U L' U F D' U F' L',B
2331093001,U R2 D' L2 D' B2 U' F' U2 L F D2 F2 R' F2 U R2 D' B,B
4034333001,R' U' F L2 F' U R' F2 D R' U2 R B F2 L F2 R2 L D2 L U2 D2 R' U' F,B
4182882001,D B2 R' D2 B2 U' R U F D' L2 D' R2 U R2 U2 R2 D' F',B
4563034001,U2 L D L2 D L2 B2 D' B2 U' R2 F L' B2 R2 B L U' B D,B
565119001,L2 B' D2 F R2 B' U2 R2 U2 F2 R2 U B F R D' U' R U' B2 R',B
3004238001,B D' F2 R' U' B' D L' B R2 D' R2 L2 D' B2 D' R2 U2 F2 B D,B
713393001,R2 B2 R2 F2 R2 U' L2 D U' R2 F U R' U' L' B D' B' D L' F,B
3280505001,R' L F' U' B' L' F' D' R' F2 U2 B2 L2 D2 L F2 R2 D F2,B
1905909001,D' R2 D2 R2 F R2 F2 R2 B2 R2 U F' D F' L' R F L2 B,B
2449917008,F' L U2 B R2 U2 R2 F2 L2 U2 B2 U2 L' D B F U L2 R' D2 B,B
660847020,B2 D2 R2 U B2 F2 U B2 L2 R2 D' L' B' U F2 D2 L2 D' F' R' B' L' F2,B
5198158036,R2 F B D' F B2 R' B' U F2 B2 U2 R2 D2 L U2 F2 R F' D,B
3860598001,R' U B L2 U2 B2 L U2 B2 L' U2 L' D L' B F' L2 D U,B
366684001,F2 U' L2 D' R2 D' L2 U' F2 L F' L2 D2 B R' F' U B' F R',B
888723001,B2 U R B' U' R U F R2 L' B L2 U2 R D2 F2 U2 B2 L',B
4479706001,R' D L' D B' U' D B L2 F' U2 F2 R2 F' D2 F' L U F2 U2,B
5186290001,R U' L' F L2 B2 L' U' L R2 U2 R2 L2 B2 L2 F2 U B D' B,B
644115001,D' L2 D B2 F2 R2 U F2 U F2 U2 L F D' B' R D' B' U' B L2,B
4324408001,R' U2 B F2 D R2 U2 F2 D2 F2 R2 B2 L D' L R F R' F',B
3046546001,L2 R2 U R2 D' L2 D2 U' R2 B2 R F L' F2 U L D' R B F,B
629599001,U' L2 F2 D F2 U' R2 U L2 B2 F D L D2 R U' R2 F R U2 R2 B',B
