# Scramble Extremes — std / cross / ORWY / bin 1 (2nd-smallest)
# Population in this bin: 385
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

5040001,F2 D2 L2 U R B2 R F L2 D2 F2 B' L2 F L2 D2 R2 F,O
3167340001,F' B2 D' L2 D L' F L' R2 F2 R2 B' D2 B' L' F2 U,Y
3186409004,B D B2 R2 U2 R2 F2 D F2 U2 F D F' R2 D' R2 B R',Y
15552001,R' U2 B2 D F' R2 U D2 B D R2 F2 D B2 U R2 D2 R2,O
67182001,U F2 L2 B D2 R' F B2 U F2 B R' B2 R B2 D2,R
3747836001,R' U' R F' L' F2 B L F L2 U2 B' L2 U2 F B2 L B2,Y
5094275001,L2 D R2 F2 R2 D' R2 F D U2 L' D' R2 U L' U' B' D',R
4097263037,F' U2 B' D' R2 F D' L2 D2 L' B2 R U2 L' U2 L' F L2 U2 L2 U,O
121981001,D2 F U2 L2 F R2 B D2 F' R2 B2 R' D' U2 L' D B L2 B D,W
5044590001,L2 B2 U2 R2 B' R2 B2 D' L' R' D' L B R' D F' R' B,W
135333001,L' D2 L' R2 F2 L B2 F2 U2 F L' F' L' R U' R' U' B2 R2,W
144259001,F2 D2 F D2 F D2 R2 B' D B U2 L2 U F2 L' U F2 L2 R',Y
5033358001,D B L' U B2 D' U' R2 U' R2 B2 R B2 R' D B' L U',Y
146624001,R' U2 R' D2 R2 B U2 L' U R' B2 L2 D' L2 D B2 U' F2,R
162400001,U2 L2 F L2 B' D2 L2 R2 B F2 R2 U R' B F D2 L' R2 U2 F U' B R',W
3604053001,D2 U2 R' D2 B2 U2 B2 F' D2 F' R B2 D2 F2 R' U2 R',Y
185357001,L2 F L2 F R2 U2 F2 U2 F' R2 D' R' U' L' D2 L D' R' B2 U,O
192864001,R B' D R2 D2 R' U2 B' L' D' F2 U2 R L2 F2 R D2 R U2 F2,R
197375001,U B' U' L2 B L' U' F R L2 U' B2 R2 F2 R D2 R2 D2,Y
4135309001,D2 R2 D2 U2 B F L2 B R2 U2 B R' F R F2 R D' U L2 R U2,O
4405365001,B2 R' D2 B2 R' D2 L' F2 B R' F U' L2 F2 U2 L R2 B2,R
205892001,F2 D B2 R2 U' F2 L2 U' R' D2 B' F' L2 F' R' D2 U2 R B' L B2,Y
231235001,U2 F' R2 B U2 L2 D2 U2 F2 U' F2 D' R U' F2 R' B' L2 R2 U',Y
5208433001,U2 F D F2 R2 U F U L2 D' R' F2 L2 D2 R2 B2 U,O
248244001,B2 D2 B' U2 F' D2 B L2 D' L' F U' L2 D' U' R D B D' L2 U',Y
254419001,L F2 R2 F2 D2 U2 L2 D B2 R U2 R' B' L2 B R' F L,W
2837813001,L U2 L R2 B' R2 U2 F' D2 F D2 R2 B' U' B2 F' U2 R B' L',W
263833001,U B2 U B2 F2 R2 D2 U R2 U' L D2 U' R2 U R' B L2 U' B2,R
4874782001,R' L2 B2 D' L2 D' B2 F2 U2 R' D' F2 L2 R' B' D2 U2 R2 D,O
289173001,L2 F D2 B2 F D2 L2 D L2 D B2 U' F2 L' D R2 D2 L,W
294566001,B' F2 U2 B L2 B F D L U2 R' B D2 U' R B2 L R,O
302171001,R2 F L2 F' U2 L2 B' D2 B D F' L' U B' L' U2 F' R' U' L2,W
4514389001,F2 D2 L D2 R2 B2 L' R2 F' R B2 R F2 U L' U L2 B U,W
313319001,B2 U2 L2 B2 D2 B D2 F' D2 F2 D2 L B R U2 B2 R' U R U,O
322364001,R' U' F D2 B2 L2 R2 F' R2 D2 B' F D B' U L2 D L2 F2 L' B' F2 L2 D R' U' F,Y
322530001,D2 F2 U2 B' F D2 F' L F' L2 R2 B' D2 U' L2 B2 R D',O
2388440001,D' R2 U R U2 D R2 B U D2 R2 F' L2 F U2 F L2 R,O
340057001,L2 D' R2 U R2 F2 R2 D' R2 B2 D R' D F' R' B2 F2 D L F,R
4428634001,D2 F U2 R' D2 L2 D2 L' U' L2 U2 B2 D2 L' D2 R U2 F2 L,Y
5161638001,L F2 U2 B' D2 F2 R2 U2 L2 B' D' L2 B' R D2 R' F L2 D',W
3459617001,R' D2 L2 F2 U2 F2 R' U2 R U2 D' L' R2 D' F' D B2 L' D',O
360210001,R2 B2 D2 R' F2 L U2 B2 L2 F' R F2 D' F' D U R U' L' B' L2,O
365282001,B' L U2 F' R2 B D F' U F2 U' B2 U2 B2 D L2 D',R
3825882001,D R D L2 R2 D L2 D L2 F' D2 F U2 F' R F2 L2 R',O
373321001,L F2 L' U2 L2 D2 F2 R B2 R U R F2 U R2 F2 U F' D2 U',Y
376836001,F2 D F2 L2 U2 F L2 R D L2 R' F2 R2 F U' L' R,O
379700001,L2 B2 D2 L' U2 R U2 F2 U2 F' L' B2 F' R2 B2 D' L B R,W
383553001,B2 D2 L2 F2 L2 R2 U L2 F D' R' B2 U B F2 L B L2 U',W
385440001,U2 B2 U' L2 D' F2 L2 U' B2 F2 R2 B U2 B2 L' F' U' L2 B' F U' L B',Y
385724001,D2 F2 D' F2 U R2 D2 F2 R F2 R' B' R B' U2 R2 D L2 U,R
2893993001,B2 L' B' D' R2 U F2 U' F2 R2 U L B2 U' L R2 F2 L,R
387736001,L2 D2 R B2 L R2 B2 U2 L' F U2 F' R2 D2 U L' R' U' L',Y
4299572001,B2 U' B2 U R2 U B2 F2 U' L D2 F2 R2 U2 R' D F' D2 B2 L' F,R
4087810001,D L B2 L2 D2 U2 F U2 F L D L' R B' D R' U2 L2,Y
4136279001,R' B' L' U2 R2 U' L2 U F R2 F' L2 F2 L2 F' U2 B R2 L,R
3262890001,U2 D' F U2 R D' L R2 U2 D' R2 U2 D' R' B2 L B',W
431154001,B L2 U2 F' U2 L2 U2 L2 B2 F D' U' B' D L D F2 U' L2,Y
3299988012,R2 F' L2 F' R2 U2 L2 B D2 F U2 L' U2 B D' L B2 D B' R2 B' L',W
466351001,R' D2 R F2 L' D2 B2 U2 F2 U' R F' D2 L2 U' F' R B D' R',Y
4620726001,F2 R2 F U2 F' D2 R2 F2 R2 L D B R F' L' B2 D2 B L2 F2,R
495590001,R2 U' R2 B2 U' L2 R2 U2 F2 U L F2 L' B D B2 L2 U B,W
2536708039,L2 D' U2 L2 D' U R2 L' D' B2 R D R' B L2 B R B F L' F',R
502541001,U' B' L' B R2 F L2 U L' F2 U' R2 U2 B2 L2 U' B2 D,R
507454001,B D2 B' L2 F' D2 U2 R2 F2 U2 R' U2 B' R F' D' L2 F D2 B2 L' F',W
4942867001,D' F L B' U2 F' D R' D F2 B2 U' L2 D' L2 D R2 B' R',W
538766001,F2 R2 F' U2 F R2 F2 R2 U2 R2 F L R2 B' U' R2 B D' L' F,W
3110707006,L B' R2 D' L' B' L2 F L D F2 U2 B2 U2 L2 D2 F R2 U' L' F,R
539835001,L2 F2 D L2 R2 U' B2 R2 U R D F2 L2 D2 L' F' R2 F D' B' L' F2,O
555370001,R2 B2 D2 L2 F2 U2 R2 U R' F' D U2 L F2 L U B R D,O
568877001,D R2 D2 B2 F2 D F2 D2 R2 B2 U F' R2 B U2 L B L2 U',R
4668193001,B2 U F2 D2 U' F2 L' B' U L R B' R F2 L2 U2 B R2,Y
579751001,B2 D U2 F2 D' R2 U' L2 U2 F2 R' F' D' R' F2 U2 R D' R B',O
4634477014,R2 B' U2 R2 B U2 B' F2 U2 B D2 U' L U' F U' R2 B R U' L B',W
593172001,R2 D' B2 D2 R2 B2 L2 U F2 L R U L2 R2 F2 D F' U2 R,Y
3151446038,F D F2 L2 B R L2 D L2 U' R D2 F U2 F2 D2 F R2 B' L',W
2581014034,D R2 F' U2 B' D2 F' D2 L2 D2 R U F' R' B L' D B' U' L' F,R
2672236051,F' U R' L' B' R' U D' R D F' R' D2 R' F2 R' D2 F2 D',R
622708001,L2 R F2 U2 L B2 D2 B2 D2 F D' L U L F2 D' U' B2,Y
