# Scramble Extremes — std / cross / WY / bin 2 (3rd-smallest)
# Population in this bin: 2018
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

1164001,D' U B2 U F2 R2 F2 U' B R' D B2 D L U' L F2 U2 L,Y
4224782001,D2 F2 R' B2 R F' D L F L2 D F2 R2 U D R2 B2 U' F2 L2 B',Y
1501010001,B L2 F2 D2 L2 F R2 B' U2 B' R' U' F2 R' B' L' U2 L2 R2 F L2 U',Y
3433770001,U' D2 F R2 U B' R B2 U' D2 R2 F2 B2 R2 B2 U2 F',Y
11488001,L' F R2 F R2 U2 L' F U' F2 D2 L2 D2 B L2 B' R2 D2,W
1853941001,R' F2 L2 U2 B2 U L2 B2 U' R B2 F' L' D2 L F' D' R B2,W
3929981001,U F2 L' U2 B2 L' B2 D2 L2 U2 L F' R' U' R' D' R2 D2 L2,W
5115036001,R F' U F D L U' R2 D R L2 D' R2 D2 F2 D B2 D L2,W
1609879001,R' F2 U2 L' B2 D2 F2 R F2 D R U' L' D L' D2 B R' U2 F2 L' F,W
5189626001,D' R U2 B F2 U2 F D2 L2 U2 D R2 D F R' B2 L F2,W
1299741001,B2 U' F2 R2 D' F2 D' U B2 R2 U2 F' L2 F2 R' D L2 B2 L2 U2,Y
978384001,D F2 U F2 L2 B2 U' R2 U L2 B2 L' U R' U' B2 L F2 D',W
5250330001,L' U' B U2 R2 D2 B D2 B2 L D' B D2 L U' B' U R2 B',W
3642848001,B' D' F2 R' D L2 D B2 U' F2 D' F U B2 U L2 D2 L,Y
660801023,L' R2 U2 R2 U2 F2 D2 R' D2 L F U R' D2 U' L F D2 L2 B R,Y
3662341001,D2 L' F' D2 R2 U R' B' R2 L2 D F2 L2 D' B2 U2 L' U R',Y
3783214001,L2 B2 D2 U2 B L2 F2 D B' L B D R2 B2 L F' R D2 L' F2,Y
4973758001,B L2 R2 B2 R2 F' R2 D R2 U2 R2 B' L2 D2 R' B2 U',Y
1530036001,D' L2 F2 U R2 B2 U' B' D B2 R B U R F L' D2 U R2,Y
4886861001,L' D' R B R2 F2 R U2 F2 U' R2 D' L2 F2 D2 B' D' B,Y
3483134001,F R2 B' U' D' R2 F L2 D' U2 L' B2 L D2 L' U2 R2 F2 B' L' F,W
3781773001,U D' F' R2 F' U' D2 L2 F2 B2 R' B2 L2 D' B2 U L2 F2,W
47311001,F2 D2 R' F2 R F2 U2 B2 U F R D U' F2 D2 L' D' L2 U',Y
1052723001,B2 D2 L' B2 L' B2 F2 R' D2 B2 U R B2 F D' R2 D2 F2 L F,Y
4686664001,U B2 U2 R2 L F2 D' L' U' B' D2 R2 B2 R2 D' F2 R2 U' B2,W
3978301001,B' U L U2 D B2 D2 B2 L D B' R2 D2 F2 B2 D R2 U,W
1866385001,B R' L D' L' U2 D2 R D R2 B2 R2 B2 D2 F' D2 R2 U2,W
4252713019,U' F2 U2 R2 U' F2 D' L2 B2 U B' L U R2 D' B2 D' B D U2 B,W
1903683023,R D' L' B2 F2 D' F2 U2 R2 B2 L' D F' U F U' F' D' U2 L' F',W
54167001,B L F L' D' B2 L U2 F' B D2 R' D2 R' U2 R U2 R2,W
1153001001,R2 U2 F R2 U2 F2 L2 F2 U' F2 L' U2 F' L2 F2 D B F2 U',Y
746185010,D2 L D2 L' D2 B2 D2 F2 L F R D L2 F U2 B' L F2 R2 U2 L B,W
4262352001,F R2 B2 L' F' U' D2 F2 R' B2 R' F L2 F' B' U2 D2,W
4351441020,U2 F2 L' U2 B' U' F' L D L' D U2 L2 U2 B2 R L' U2 R B' L',Y
1074147042,R2 U2 L D2 R' U2 L R2 U L' D' L R F U2 B2 L' F D' L' F2,W
4054208001,R' D' F R2 D' F L' F U R2 D R2 F2 U' L2 U' L B' D2,Y
4000351001,D R B2 D' B2 D' L2 B2 U' L2 B' D L' U L R' D' F2,Y
64834001,D2 L2 U2 L2 R' B2 L F R' B' U2 B' F' D' U2 B' D' R2,Y
2589461001,R2 F' L' U2 R2 U2 B2 L' F2 L' D' B D2 R2 B F2 D F' D',Y
1039682001,L2 F2 B' U' B2 R D B U2 B D' F2 L2 D B2 R2 B2 D2,W
