# Scramble Extremes — std / cross / Y / bin 2 (3rd-smallest)
# Population in this bin: 1027
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

1167791001,U2 L R2 F2 D2 R2 F2 U2 L F R2 U' R2 U R2 D F' R B2 L2,Y
5098406001,B' L2 U B2 L2 U2 B2 U2 B L2 F' R2 L D R2 D L' D' B2,Y
3797840001,D' F2 U2 D F2 R F2 D2 F L2 F D2 L2 F' B2 D2 B D' B' L2 U2,Y
822863001,B2 U R2 D U2 F' U R2 D' B' L' U' R2 F2 R2 U2 F',Y
728799001,R2 F' L F' D2 R' L2 D2 R2 L' U R2 B2 R2 F2 L2 U R2,Y
913220001,B L2 U' B L' D2 R' F L2 F L2 U2 R2 D R2 D' F2 R2 D L2,Y
1092036001,B2 U B2 D' B2 U F2 R2 U' R F L F L2 U2 R D' L D,Y
4509772001,B L F' U' L2 F U2 L2 B2 R2 F2 D2 L' D2 F L' F R' B',Y
4000351001,D R B2 D' B2 D' L2 B2 U' L2 B' D L' U L R' D' F2,Y
33768001,F2 R2 D F2 U2 B2 L2 D B2 F L U' L R2 F' U' F2 U B,Y
34370001,R' F R2 D L U2 F2 L' F B2 U' F2 U L2 D L2 U' R2 U' B2,Y
37252001,L D2 L D2 F2 L' R2 F' R' F L' F2 U F R' U2 R' F2,Y
47311001,F2 D2 R' F2 R F2 U2 B2 U F R D U' F2 D2 L' D' L2 U',Y
2175507001,B F2 L2 B F2 R2 D2 L F2 U L D2 F2 R2 B' D L D,Y
5222091001,R' F2 L2 D2 U B2 D2 L' R' U2 L U F2 U L2 U,Y
4276691018,U F2 L2 U2 B D2 B' D2 B U2 L2 D F2 U L D' U2 F U2 L2,Y
3597861001,F2 R D' F2 R' F2 L D2 B2 F2 U2 L B L2 U B2 F' R2 D,Y
4993536001,L F' R2 U F' B2 D' F' R2 D2 L' B2 D R2 B2 U2 D',Y
2970531041,F2 D' F' D2 F' U2 R2 B' R2 B' R' D' U2 B2 F U L D L' B',Y
4057345001,R' F U R F R2 B2 L2 F U2 R2 D2 R2 U2 L F L',Y
64834001,D2 L2 U2 L2 R' B2 L F R' B' U2 B' F' D' U2 B' D' R2,Y
1447083001,R2 F' R2 U2 F U2 B' L2 B2 D2 F' L' D B' D' L R B' R U2,Y
5000307001,R B2 D2 F' L2 F R2 F2 D2 U2 F' L D2 R' B' L R U F2 U2,Y
3662341001,D2 L' F' D2 R2 U R' B' R2 L2 D F2 L2 D' B2 U2 L' U R',Y
4064366001,F' R2 D' F R2 F2 U2 R2 D' B' U B2 U' R F2 L,Y
4651251001,R' F' D2 R2 D B2 R2 U F2 D2 F2 R' D2 B F2 L F D2,Y
3839487001,R' D F2 U' R2 U' B2 F2 D' B2 L2 D2 R D R' B U' B F',Y
5263299001,B' U2 F R2 B L2 F2 R' U' L D B F' R2 F' D L' B,Y
2260286001,L U' F' B2 R2 B2 D L2 U R2 U2 F' D R2 U' L2 R' B2,Y
3964558001,U2 F R' U D2 B' F' R2 B L2 F2 D B' L F R2 B' F,Y
2517742001,D R D2 B2 D' B2 L2 R2 U2 R2 D F R2 F' R' F L' D' U,Y
675290001,L' F2 D2 R B2 D2 L' B2 D B2 F' L2 D2 L' B R2 D' U B,Y
1420610001,R B2 R2 D2 R' D2 R U' L B2 R' D F' L D L2 U' R,Y
132495001,B2 L B2 R' U2 R2 D2 U2 B U B' U' R2 U' F2 L2 R' U2 L2 D2,Y
690799001,B2 R D2 B2 L' B2 U2 F' L B L' U L2 B' D2 B2 R' D,Y
2671858010,U B' L2 D2 B' L2 U2 B U2 F2 U R' F D' U L F L2 F' L',Y
136721001,F2 D2 B2 F U2 F' D2 R2 U2 L' D R' D L' B2 F' U F D B',Y
1515400001,D2 R U2 B' U2 R' B R U' B2 U2 R2 D2 R U2 L B2 D2 R,Y
3328674001,F2 B2 R F2 L' B L2 B2 R U' R' F2 D2 L2 F2 L2 B' L2 B',Y
3623573001,B2 D' L U2 B2 L U2 L2 R' F2 B' U2 B2 D F2 U' B' F' D2,Y
1019318001,L2 B2 U2 L2 F2 R F2 L' D2 L' U F2 U F' U2 R2 F2 U L',Y
2613574001,B2 D2 B2 F2 R2 D R2 D B2 R' D2 U' F L2 R2 U2 F L2 F' L,Y
4122632070,U' L2 B R2 B' L2 U2 F U2 F R' F2 U' L D2 B U' R2 F L B',Y
2696068001,U2 L2 B F' L2 B U2 B U2 D' L' R' U' R2 D2 L U2 L U',Y
3594894001,D2 L B2 L' F' U R2 D' B' L2 B2 D2 B2 U2 R' L' F2 U B',Y
188627001,U B D2 B2 R' L D' R F' R2 B2 L' F2 U2 B2 U2 L' D2 F2 U2,Y
2817275001,B2 D' R' U R2 U2 F' U2 F' D2 U2 B' R B2 U R' B' L' U2,Y
198338001,D2 F2 L R F2 L' R' D2 F2 R' B D' F' R' D' U R' F R' B2,Y
5114784001,D' F2 R2 B2 R2 F2 D' R' D U L2 B F' U' L2 F L2 B2,Y
3609444001,L2 D2 U2 L B2 U2 L' R2 F' D F' U' R' D2 U' L D' U' F2,Y
216296001,B D2 F L U D2 R B2 L D2 L B L2 D2 B2 U2 B D2 F,Y
2206557001,U2 L D2 U2 F' L2 B2 U2 R D' L F' R B' U2 L2,Y
3555221001,U' F2 R2 U2 F2 D2 B R D2 F L' U R' D2 L' R D2 U',Y
2936370001,F B2 U' D2 R F' R F' B' U L F L2 U2 R2 F2 L2 B2 D2,Y
1914291001,B L2 B U F2 L U2 B U' F R2 F2 R2 U2 F2 B2 L2 D2 B',Y
231547001,B2 U2 L2 D' R2 B2 U' B2 R' B' D' B' R' B D B' R2 D U,Y
852043001,R2 D2 B2 R F2 L B2 L F L2 U2 B' R' B D2 B2 U2,Y
3935474001,F2 R' U2 F U' R2 U F R U2 F2 B R2 F U2 B' L2 D2 F L2,Y
1581411001,L' B2 L D2 U2 L2 R' D2 U2 B2 U L' U' B R2 F' U2 B' U2,Y
4315407001,B2 U2 L' D2 R' D2 R B2 L' U B2 U' B F2 U' L D' R2 F2,Y
4988456009,B L2 D2 F2 U2 F L2 D2 B' U' R D B' U2 B2 U2 L F' U' L' F',Y
2261741080,B' L F' B D2 B L' F2 R D B2 D' R2 U2 F2 L' F L',Y
3280364001,F2 D2 B' R' U2 B2 R F2 L U' F2 B2 U L2 U L2 D' R' F,Y
