# Scramble Extremes — std / f2l / BG / bin 10 (3rd-smallest)
# Population in this bin: 674
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

3270001,D2 R D2 R' F2 D2 F2 R2 F2 R B U' R' U B' U' R2 D F',B
5764001,B F R2 B2 L2 B U2 R' F2 D' R' U2 R' F2 R' F2 U B',G
4935387001,L' D2 L' F L R B2 L2 R' U2 R' D' R F U2 F R2 F',G
1636760001,U2 B2 R2 D U' R2 U' R' D L2 F L2 D B U2 F2 R B,B
2784227001,U' L2 U R U' B2 D U2 L' D2 R F2 R2 B2 D,G
3124548001,L' D R' D B2 R2 L' B' D B' D2 L2 B' U2 R2 D2 L2 D2 F,G
25765001,R2 U F' U F' R2 D F2 L F2 L2 D2 R F2 L' D2 L B2,G
4205163001,F D' L' U2 L2 F' D2 B' F D2 U2 F U' L2 B' U' L' F2,G
5259629015,L D2 B' U' B' D' F2 U2 B' U F2 D2 L2 F2 U D2 B2 L B' L' F,G
4147777001,F' D' R F B D2 L B' D2 F' U' L2 U' B2 D' F2 U' L2 D,G
3340351001,R' L2 D' L2 B' L U' R' U2 R2 F2 L D2 F2 R' L' U2 D L',G
42233001,U2 B2 U' L2 D L2 U F2 D B2 D2 R' B' L' U2 F L D' B' D,B
1915064001,F2 D L' F' B2 L2 U2 R2 L D B' L2 B L2 D2 B' R2 F',G
1512988001,L2 F D2 B' R2 B' F2 D2 F2 D L' F2 D U L2 B' L' U R2,G
4866171001,L' D' F2 U2 L' B U F2 R2 F B' R2 U2 B2 L2 D L' U2 F',B
4625607001,B U2 F D2 L2 D2 F2 R2 F2 L2 R' F2 D B2 L' F' D2 F,G
65390001,R2 B2 D' F2 U' F2 U2 F' L U R D F R' B2 L' R' B' R',G
3126076001,D2 F' D' R2 U2 R' F' D' R' U D' L2 U2 L D2 R F2 R,B
1024086028,B2 L2 U2 B2 D R2 D' F2 D' R U2 B' L' D2 U B' U B2 D' F L2 U,B
3557400001,R' B2 U L D2 F D' F U2 F2 D' F2 L2 U2 D' L2 D' L' U B' L2,B
97966001,D B2 L2 B2 D' L2 U' L2 D2 L2 U' R' D R2 B R' F' R' B' F2,G
1501013001,F' R F2 D' F D2 L2 D L2 F' R2 F' U2 F' U2 L2 D2 B2,B
123707001,U2 B R2 U2 F U2 F' L2 B R' D' F2 D' B' R2 D' L B R' B2,G
127786001,R2 D2 U2 B R2 B2 F' L2 B D2 L' B R' U B' L' F' L' D2,G
131584001,D F2 D F2 D2 U' F2 U R D U' B2 L R2 B L B D2 R,G
4745544001,F2 L B2 R B2 R' F2 L' F2 R' D' B U' B' R D' L B' U F',G
133306001,D B R F' L F' D2 B D R L2 F2 B' R2 B' D2 R2 L2 F,B
136722001,R2 D L D2 F2 D' R U F R F2 B2 L2 U2 F U2 B2,G
3611097001,B2 U' B2 U F2 L2 F2 U2 B' U2 R B2 L2 U2 B2 R U R D,B
153966001,D2 U' R2 U' B2 U B2 U' R' B' D2 B' D R2 D2 L' F' D' L',G
2751029001,B' D L' U L2 D2 B2 U2 L' D2 L' F L2 B' U2 L B L,G
165409001,R2 D2 R' U2 B2 L' D2 R F' L2 D2 B2 D' F R B F U' F',G
5258303003,D' F D2 L2 U2 B' R2 B2 D2 F' D B' F' D2 L' U2 L U' L2 U2,B
5164210042,U' F D' B2 L2 U' B2 L2 U2 F2 R B D' U' F' R' D2 B L' B R',G
2974884001,U D' L' D2 L F2 D R D' R' L2 B' R2 F2 U2 R2 B2,G
3545220082,F D U F2 U F2 L2 D2 F2 L B L R U L D2 U' B D' B' L2,B
2610890001,D' B R2 B U2 F U2 F2 R2 U' L D' U R' U2 R F' U' L2,B
4037388001,D2 L B2 D2 L F2 U2 L2 R2 U R' D2 B' R B2 D' R F2 R,B
1252174001,R2 F R D B L' B' L' B L' D' B2 U' F2 U B2 U R2 F2 B2,B
4634814001,F D L2 D2 F D2 L2 D2 F2 U' B2 L' B' U R2 B' R2 D2 B' L2,B
3856599001,R2 D' R2 F2 B' D' R' F' L2 U' B2 R2 U' R2 L2 F2 D B2 D B,G
197605001,B2 U2 B2 D2 F2 R2 U' B2 U' R U' R U R2 F2 U2 F' D' L,G
199054001,F' U2 B' L2 F D2 F2 R2 U2 B' D' U' F U' R F' R,B
3502687001,B2 U R' U F2 B' U' L' F R2 L2 B2 L2 U2 B' U2 D F' R B' L,B
2972489001,L' D' B D B D F' U L2 F2 D2 B2 D' B2 U B2 R B2,G
3007931001,D' U2 R2 F2 D' U2 F2 U R' D2 U L D' U2 B' F2 R2 U' R2,G
238716001,R2 L D' R2 L2 F' D' B R U2 F U' L2 U L2 F2 B2 U' R2 B2,G
242792001,R2 B2 L D2 L' R2 B2 L' B2 F' U' R D B' R U' B2 F' L' D',G
1060346001,R2 F' R' F D2 F' U R F B2 U2 F2 L2 U' L2 B2 L2 F2 U' D',G
244099001,U L2 D L2 R2 D F2 D2 F R D2 L2 R2 F' D F2 R B U',B
1123728066,L2 D2 B' D2 L2 R2 B' D B' D' B D R U' L2 B' L U' F' L2 U2,G
