# Scramble Extremes — std / f2l / B / bin 15 (max)
# Population in this bin: 39058
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

25001,U' B2 U2 F2 L2 D' F2 L2 B' D2 B' L' F R D L' B2 L2 B2 D' L2 U,B
1300501001,R' U' F R' B2 D2 R U2 B2 D2 R' U2 L D2 B' U2 F R D2 L B2 U L2 U2 R' U' F,B
5004018001,D' B' R' D2 R' U2 L F2 R' F2 L B2 U' L2 F D R U2 F,B
231463001,L2 D2 R' B2 L2 F2 R2 D B2 R D' F' D' R U2 R B R',B
2719854001,B2 L2 B' L2 R2 F U2 B' U2 L U2 F2 R D' L U F D2 R2 F L' F',B
109396001,D' L D B' R' U2 L2 F' B2 U' D2 R2 F2 B D2 L2 F' D2 F' R2,B
489084001,U' B2 U L2 B2 R2 B2 D2 U' L D' B2 R2 D F' L' U2 L B R',B
3261402001,R2 L B L' D' F' D R U2 D B2 L2 D' F2 R2 B2 F R F,B
5025586001,U2 L2 R2 F U2 B' F2 L2 B2 R2 L U F L' F2 D2 R B D2 U,B
795308001,R2 U2 R U2 L F2 D2 B2 D2 L2 B L2 D' R2 U2 B L D2 U R D,B
4494815001,D' L2 F L2 D2 B2 D R2 F2 D F2 U L R D B2 R U' F2 R,B
3224893001,F' L D R U B2 D R2 U2 R2 U L2 U' F U' B L D B2 F2,B
1817403001,D' F2 D R2 D B2 R2 U L2 D L' D2 L2 R' D B' D B2 F R' B' L',B
4049683018,F2 R2 U2 F L2 B D2 F2 D' B2 L2 F L R' F2 R' B R2 U',B
1147550001,U2 B2 L2 D2 U L2 D' U' R2 F L2 D L2 U' R U2 B R' B' R',B
651273001,R' U2 R U' L2 D2 F D' B2 R D B2 D2 B2 L2 U2 R2 U' B2 U',B
695410001,R2 B2 D2 U B2 F2 R2 B2 F2 U2 L' F' R2 D' B R2 D R U,B
2781018003,L D' R2 D2 B2 L2 D2 L' U2 R' D2 U F D B' L' B R F D' L B2,B
1187001,F U2 F2 U2 L2 B' R2 F2 U2 F L B U2 B D B' F2 L R D2,B
2112763001,L' F' R F2 L' B R' U D2 F2 R U2 R L2 B2 R2 D2 L' U2 F' D,B
2798601001,D2 R' U' L' F2 R' B2 F2 L' F2 R' F' D' U' L D' L U R,B
2180067001,B R' F2 U' F' D' F' R2 D' L2 D' L2 F2 U F2 D' R2 L U',B
529301001,R' U' F D' L2 U2 L2 D' F2 U' R2 B2 L2 F2 R' F' L' U2 B F U B2 U' F' R' U' F,B
1149108001,U B L2 D' B2 U2 B2 L' D R F' D' F2 D B2 D B2 U' F2 B2,B
2878025001,F' U2 F' D2 F D2 R2 U2 R2 D' L R2 U L B2 U2 L F2 L2 F,B
547353001,U' D2 R L' U R U' R2 D2 F D' F2 B R2 F' U2 R2 F U2 B',B
3976154001,D2 F' D2 L2 D2 B F' U2 B' L' R' D U' R' F' D' U' F' U2,B
4808259001,B2 L2 D' B R' F R2 U L2 B2 L' D F2 L2 U2 F2 U' L2 D,B
2737473015,B R U L2 U2 F2 U B2 D F' L' B U2 R2 B' U' L2 F2 R2 B' L',B
2722405056,L2 D U L2 B2 U2 R2 F' D L U R' B2 R2 U' B' L2 R2 B R',B
155134001,U D' F2 R2 D' L' F2 U D F' U F' R2 F' D2 F' L2 D2 F B',B
661093027,U' F2 L2 U B2 U2 F2 U' F2 U' B' U R2 F' R' D2 L' F R D L' F,B
4683864001,R2 F2 R B2 D2 L U2 R2 U2 R' D R' B L' R' F' D B2 U2 L',B
689220001,B2 L2 F2 L B2 F2 L2 D2 F2 L' U' L B R F' L2 D2 L U,B
4890753030,F2 D2 R2 B2 U B2 R2 D L2 U B L' R U2 B' F2 R' D' L U2 B R',B
363062001,B D B' R2 L' B' L' F' R B2 L' D2 B2 U B2 L2 U' L2 D',B
578172001,U2 F L2 B2 U2 F' R2 B' U2 L2 D2 R' B2 U' B' D2 B2 D' F D R,B
2013039001,R' D' L2 U' L' D2 R D' F R U2 F2 B2 R2 D' B2 U' R2 D',B
4638540001,B' R' U' F2 U2 L F U R2 B L2 F2 B U2 L2 B' L' U' B,B
1815647001,D2 F2 L B2 L' B2 U2 B2 R' B L2 R F R2 F' U R D U2,B
935589001,U' L2 F' D' R' U D B U2 B2 R' B2 D F2 L2 D2 R2 U2 F2 R2,B
97841001,U2 B2 D2 B' R2 U2 F' R2 U2 F2 D R' U' R' B L2 B F' R B2 L,B
1150563001,B U2 B' F U2 L2 F2 U B U' R U2 B D U' F L B2,B
3794896001,B' R F U2 R2 F U2 F2 D2 F R2 F D L' U B' D' R U2,B
3799332001,B D' L2 U2 B2 D2 B2 L R2 F2 U2 L D L' R2 D F' L' B' U2,B
4973021001,B R2 B2 D' L2 R2 D' B2 L2 D2 B R F' D' U2 B' F' U F L B2,B
728362001,F B2 L B2 L D F' R U' B L D' L2 U' F2 D L2 D B2 U2,B
227377001,U F D B2 L D2 L2 U2 B' D' B2 L B2 L F2 L' D2 F2 D2 L,B
395860001,R2 B U2 B2 D2 B R2 U2 B' D2 F D F' L U' B2 R B' F' L2,B
4780579001,F' D U2 L2 U2 L2 F2 D2 B2 U' B L D B' L D2 F' L' U' R,B
1107415001,R' U' F D2 U2 F2 D2 R F2 D2 R2 D2 U L D' R D R' U B U' R' U R' U' F,B
