# Scramble Extremes — std / f2l / R / bin 15 (max)
# Population in this bin: 39013
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

647470001,R2 B2 D' L2 U' F2 D U2 F L2 B2 D' L' F2 D' B2 L2 R U2 F2 L',R
661060003,F2 U2 R2 B' D2 F L2 B R2 F' D B' L U2 L2 R B D U' L R2 B,R
1895786001,F L2 D2 R2 U F2 L2 D R2 F2 U L U2 F D U' L U2 B' F2,R
523434001,B' L2 F D2 R2 F' D2 B D2 R' D' L F U F' L' B L' U' B2,R
1362209001,B2 F2 D2 R2 U B2 D' R2 D' R' U2 B D' L R2 B L' D' R',R
732838005,B D2 B' F' L2 F' U2 L2 U2 F2 D2 L' B' R U' L' D' U2 R2 F' D' L' F2,R
393079001,F' U2 F' U L D L B R2 D2 R U D' L2 D B2 U' D',R
853730030,B2 U' F2 L2 R2 D L2 F2 L2 D' R2 F' R U2 F D' F R U F2 D L B2,R
440834001,B2 F2 R2 D' L2 U B2 L2 B U2 L F' R' D2 F2 D' F' D2 B,R
1346412001,B2 F2 R2 B2 D2 R2 U2 R D2 R D B U B' F' U F2 U R' B2 U',R
965024001,L B2 U2 R' U2 L2 U2 B2 R2 D' B' U2 R B' D' B U F' D B2,R
3092340001,L2 U2 L2 F2 D2 F R2 F U L R2 D' F U F2 U2 R B L2,R
3583618004,R2 D2 L B2 R B' R' D L' U2 D2 R U2 R2 U2 B2 L' D' R' U L2 U,R
4885701001,R2 F U' F2 R2 U L2 B2 U2 B2 D2 R' B2 U2 B' U F' D B,R
2074768001,L2 F R F' D2 U2 B' L2 D2 F D2 L2 F D' U L D F2 U2 R',R
190197001,B2 D2 L2 R' F2 U2 R2 U2 L' D2 U' F' L' B' U2 R' D' R2 F2 L',R
1243684001,F2 D2 L2 R2 D B2 F2 D' U' R' F L2 D2 U B2 L' U' L B' D,R
2100660033,L' R2 B2 F2 U2 B' L2 B2 U' R' B2 R2 D B' D' B L U L,R
1433223018,L2 R2 U' R2 U2 L2 F2 D' R2 B L2 B D L2 F L2 R B L D',R
4117502001,R2 D F R L D' R L2 D F U2 L2 D2 L2 U F2 R2 D F,R
1041483001,L2 B2 U2 B R2 B2 F' D2 F' D' B L' D F2 L B2 R2 B U2,R
1838349001,R' U' L B2 F' U2 B2 F D2 U2 F' U' B' L D2 R2 B' D2,R
1035957001,B2 L F' U' D2 B' D' B L' F U2 D' R2 U2 L2 D F2 L2 F2 B2,R
1229924001,L2 U2 L2 F2 L D2 B2 D2 R F2 D R2 F U' B' F L2 D L B',R
661418200,B' U2 F2 U2 L2 F' U2 R2 U B' R' D2 L2 F L U R' D' L' U' L' F2,R
345887001,R F L' D' B' R F2 D' F' D F2 B2 D2 R' B2 R2 F2 L' B2 R2 D2,R
3060493001,F B D B U' D2 L' U B R' D2 B' L2 D2 B2 U2 B L2 U2 D2,R
346216001,B D' F' R2 L2 D' L U' D2 R2 B' R U2 R B2 D2 L U2 L' D2,R
4340023001,D L2 R' B2 L' D2 B2 D2 U2 R' D B2 D F R' U B L' D' R',R
4850880001,B U F' D R2 L' F U R2 B2 D' F2 U2 R2 U' L2 F2 D2 R U2,R
4056566001,U2 F' R2 D2 L2 D2 U B2 R2 F' R B2 L' D F2 R2 F D2,R
1616268018,U D2 F B L D B' L2 U2 R2 U' F2 U' L2 F2 D L D B2 U' L2 U,R
3790102001,D L F' U' F2 L2 B D2 U2 B' R2 B' L' B F' L F2 L D2,R
70987001,U2 L' R' B2 U2 L B2 U2 B D2 R' U' B2 L' F' L' B' U' F2,R
3280721001,R2 U' F2 D2 R' F2 U D' F' B2 R2 D2 B2 D2 L2 U2 L F2 U2 B R,R
3299988017,U B U2 R' D2 B2 L U2 R' U' L2 F R2 U2 B' D2 L2 B U2 L2 B R2,R
300893001,L2 F' U L F' B' U L D' F B2 R U2 L' F2 U2 L2 D2 R2 F2,R
660850015,B2 R2 D2 U L2 D B2 U' L R U R2 B D R' D' L F' L2 U B,R
5250321001,R L D' L' B' D2 F' L R2 U' F2 D R2 U2 F2 D R2 F' U2 L B2,R
858048001,R2 U F' B2 L2 F2 D2 R U L' F' R2 F' R2 B2 L2 F2,R
2388467001,B2 D2 B' D2 U2 B' F2 R2 F2 D2 U' F' U' B U' R F' L U' B2,R
2752561001,U2 F' D F2 D F2 U' F2 R2 F2 L2 U F D' U' L2 R' B2 F L',R
4875634001,U' R F' L' F R B2 U' L B' U2 L' F2 L' B2 L F2 D2 L',R
3503757001,U F D' L R2 F2 D2 U' F2 U B2 F' L U' R2 D2 U' L2,R
918161001,D2 R B2 U2 L2 R' B2 D2 R' B D2 L D F L' R' D' B2 R,R
913710001,D L2 B2 U' F2 D2 U' R D L U L B' D2 L R' U' B D',R
665516001,F2 L2 B2 F2 U R2 U' B' F' L' B' R' U F' L B2 L2 B2,R
808932001,R2 F2 U' B2 F2 D' R2 D' U' L2 B2 R' B L D L' F' D L F U,R
4306740001,D2 F' U2 F U2 B2 L2 U2 B2 R2 D' L B2 L' F2 U' B F' D' L2 U2,R
4403772001,B' D2 U2 F2 L2 F' R2 F2 L2 R U R2 B' R D B F' D2 L' B,R
4868532001,B2 L2 F U2 L2 R2 B2 D2 B' D2 R' F' D' B' L B' D' R' F2 D F L B,R
661242036,D' U2 B2 L2 R2 U B2 F2 R2 U L' B' U R2 B F U R' D R B L2 U,R
5265622032,U' L' B' L' R2 F2 D2 F2 D2 U' L2 R2 B2 R' F D L' U2 R2 U2 B R2,R
3350962001,F U2 B L2 U2 F L2 B2 L2 B' L' U B R2 U2 R' F' D' B,R
660511011,L2 D2 U2 B2 R2 F' D2 F2 L2 U2 L2 U R D' L B2 U2 R U2 F U2,R
2454099001,B' D2 F' B' D2 L' U B L' F2 D2 R U2 R' B2 L' F2 B' R',R
4117762001,R L2 U B2 L2 B R L U F' D2 R' F2 R' B2 R F2 R' L' U2 B' L',R
1689132001,B D2 L' D2 R F2 L2 F D R2 F' D F2 L' U B2 D2,R
724123001,R F D' B R' U R D2 B U L D2 F' D2 B D2 R2 B D2,R
344000001,F R' D' B' U2 D R2 F2 D2 B R2 U2 L D2 B2 U2 D2 R2 L,R
4000072043,F L' U L2 B2 D' U' L2 F2 B R2 D2 B' L' F U R2 B2 L B',R
3355674001,D' L' F2 U' D2 R F B' U2 L' D L2 F2 L2 U' R2 L2 B2 R2,R
4474268001,U' F D L2 B2 U R2 U F2 R U2 L2 F D B L' D2 B R,R
4572105018,L2 R2 D2 B L2 B2 U' B D' R' B2 R B L' B2 R F2 D',R
3381888001,R2 U2 L D2 L' F2 U2 F2 D2 U' F' L2 D' R B F L2 F2 L2,R
2636294001,D' L U D' R' D' R2 D' B D L2 B2 D B2 U2 D' L2 B2 U,R
1216898001,R2 F2 U2 F' L2 R2 F L2 R2 U2 F R F D B F' L' R' D B2 U,R
4173034001,U F R2 U R2 U2 B' U2 L' U F' R' B2 L D2 L B2,R
2536883001,D R' F2 L' F2 L B2 D2 F2 D2 F D2 R' D' L2 D2 U2 F' L' R2,R
740026001,R2 B' U2 D' L' F' R' L' B' R D R2 U2 D2 L D2 R' B2 U2,R
4882217001,D F R L2 F' R2 D L2 F' D2 F R2 U2 B L2 U2 F2 B' D' F',R
3664664020,B2 D F2 R2 B' R2 B R2 F2 L2 D' L2 B L2 U R F L' D' B' L2,R
1109656001,B U2 L2 D2 F L2 B' U2 R2 B2 L' D L' R' F U' F2 D2 U L' F2 L' F,R
2000622008,D2 R2 D2 U2 F' U2 B2 D2 U2 L2 R D2 R2 B' D' F' L' B2 D2 U L2 U',R
3305062001,U' F' R L' U D2 R' B2 U' L2 U2 L2 B2 U' F2 D' F U F,R
3653774001,D F' R2 B2 F' U2 B F2 D2 R F2 L D' R U2 B' L U L' B' L2,R
3175551001,D2 F' R2 D F2 D2 B2 R2 D2 R B' U L' F U F D F',R
167603001,D2 B2 L2 B2 L2 D' L2 D B2 U L' R' B L2 F' D R D2 B U,R
470747001,L2 D B2 U' B2 U' F2 D' R' B F D L D U2 F D U2 R F,R
879631001,L2 D2 F R2 U2 B F L2 B' R2 F' U B F2 L F' R U' F2 L D,R
560505001,F2 R2 B2 L2 U2 L2 R' D2 R' D2 U L' B' F' L2 F2 D F' R' F',R
1999860001,L D F2 L F R2 D2 U2 B' F2 L2 B' F' U L F' D2 B' L2 D',R
2786596001,R' D2 B L F R U' L' F' R' F2 U L2 U F2 R2 B2 U' F2 D,R
4920486001,D' F' R' F2 D' L2 U' R2 B2 L2 U' B' D F U R B2 L,R
1953106001,D L' F2 L2 D B D L' B2 R2 D' F2 U D2 R2 L2 B D F,R
722380001,R' D2 U2 R2 B2 R' D2 F2 R2 U2 F D U2 R D2 F2 U' B D' U2 R2,R
661094019,D2 U2 R B2 R' F2 R D2 U2 B L B' R' D2 B D U' F' U' F2 L2,R
469571001,D F2 U R2 D B2 L2 B2 F2 D2 L R2 B U' F2 L' D2 L' D2 U',R
772633001,R2 B2 D' L' F' R2 U' L' F L2 U' R2 U' F2 R2 F2 U2 B2 D',R
2781019041,D B R' B2 U' D F' L' R2 D L2 U R2 D F2 R2 L2 D2 R' D' B',R
4901193059,B2 F2 U2 R U2 L' F2 L B D2 R B L D' L B2 R2 D B' L2 U',R
3826974001,R2 D F' B L' D2 L' U F' D U2 L' B2 R D2 F2 D2 B2 L2 F2,R
2072810001,R2 B2 U' L2 D L2 R2 F2 D B L D2 L U L' B L' U L' R',R
760039001,L2 B' U2 B' D2 B L2 B' F' D F U2 L2 F2 L' F' L' U R' F2,R
26193001,L F2 U2 R' B2 U2 L2 B2 D' R U' R B' L2 R F L U R2,R
2439196001,R2 B2 D' L2 D2 R2 B2 F2 U2 B2 R F R2 U2 L' U2 B' F2 U2,R
2280115001,L F L D2 L' F2 U2 R' D2 F2 D2 U L2 F D' R' F D2 F2,R
914249001,F2 L2 D2 B2 L2 U2 R2 F U2 L2 U F L D' F' U L' R' U B' F2 L',R
40291001,D B2 D2 U' F2 L2 D' R B F' D U2 R D2 U2 B' F2 L2 U,R
629177001,U B2 L2 D' U2 L2 U R2 U' L2 B R' U R F D' B U2 L' B2 R,R
4993251001,B' R B D' L U' R2 F2 D' F2 U2 R2 F' U2 F' B' U2 D' L' F',R
4381480001,U2 R2 D' U' R2 F2 D L2 R2 F U' B' R' B2 R2 D' F2 R' D L',R
4625603001,L' U2 R2 B2 F2 U2 F2 R' B2 R' B L U R2 D L' U' B U2 L2,R
1612158001,F2 D' R2 B2 L2 D2 B2 D' R2 U' F' U2 L2 F L2 D' B2 R U,R
1256343001,D2 B2 L2 R2 D2 U' L2 D' B F' L D B' L2 B L' R' D F2 U,R
455088001,U' L2 B' R U2 F' D B2 D R' F B2 U R2 B2 D2 F2 B2 D',R
2625116001,R2 D F2 D2 F2 U2 L2 B' U2 F U2 F R F' U' L' B R2 D' F2,R
585926001,B2 L2 R2 D U2 R2 F2 L' D U2 R' D2 L2 R B' F2 R F U',R
506770001,D' R2 L' F' L U R D B D R U2 R2 F2 D' B2 R2 U' F2 R2,R
126763001,D' R' U' F D' B2 U2 R' D2 L' B R B2 L' D2 R2 D2 B2 D2 L,R
601008001,R' F2 L' R2 D2 B2 L U2 F' D' B2 F R' F U B' D' B' D,R
3888174049,D2 L2 B2 L2 B2 U B2 D L2 R U' L2 R F' L2 B' L R2 D2,R
699875001,B2 D' L2 D2 L2 R2 B2 D L2 B2 U2 F' U' B F2 L U2 B' L2 B D2,R
2514514001,D' L F' B2 D' B2 U' F2 U' F2 R2 F2 B' L B R' U' F L2 U',R
3281529001,F2 D' U2 F2 R2 F2 R2 U2 F D2 L F D' U2 F' L D2 B U,R
5105016001,L2 F2 R' F2 R B2 L2 D2 L2 R' F L R F U' R B' F L2 U,R
4973451001,R F2 L2 B2 U' F2 D' F2 D2 F' D F2 L' R' B' R D2 B2 L',R
1020705001,B' L B2 U L' F L2 U F L' F2 D L2 F2 D L2 B2 U,R
2821768001,U2 F2 D L2 F2 L2 D L2 D' U' L D2 B' D' R2 B2 F' R D',R
139386001,R B2 L2 R' U2 L B2 D2 F2 R2 D R' U F' L R B' R2 F,R
877023001,D F L2 U R2 D' B' R' B L U' R2 U R2 U B2 L2 B2 D' R2,R
379933001,R' F2 U2 L B2 U2 R U2 R' U2 R' D' L2 F R B2 L R2 D' L,R
4673196001,F2 R B2 L' F2 U' R2 D R2 B' D2 F D2 F2 R2 F2 U L F,R
1388197015,U2 R2 B2 U L2 F2 U' R2 F D R D' F' D2 B' R' F' R' F2 L B2,R
541037001,R2 B D F' B L B U F2 B' D R2 D' L2 D' L2 D2 L2 B2,R
4497231001,R2 U2 F2 L2 F D2 R2 F R2 F U F' R2 D' F' D2 R' B F U2,R
1060881001,U L2 B2 U2 B' R B U B U2 L D2 F' L2 F2 L2 B2 D2 F,R
4400357001,L2 B' D F B2 R' U B' R2 B D B2 R' F2 L B2 D2 F2 B2,R
3115429001,F R2 L2 B2 D R D' F' D2 L2 F' R2 F' R2 B' U' B R' D',R
3261440001,R U' F2 D R2 B D F' R' F2 U2 R F2 L F2 B2 R U2 B2 D,R
2341294001,D F R U2 D2 L D B D2 B2 R' B2 D2 F2 R' F2 B' L' D,R
4874332023,U B2 L2 F U2 L2 R2 U2 B' U' F L' R F2 U2 F' L' D2 B R,R
3283079001,D B2 R B2 U2 R2 D2 L B2 U2 R' B' D2 B' L2 R2 B D' F U',R
1166803001,B2 U' F2 D' L2 U' R2 B2 D2 U' R' U' B' L F2 D L2 D R' U',R
12873001,D' R2 F2 U2 L2 F2 D L2 U2 B2 F L' B U' F2 L' B D2 L F2,R
4165010001,B2 U B2 L2 U' F2 L2 U' B2 U' B' L U2 F' D' L' D2 R' D2,R
5243027001,U B2 L' F' L2 B2 D2 R2 D' L2 U R2 B2 L' U2 B R' D L' F',R
3510103001,D R2 B' R D2 F' D2 L B' U L2 U' B2 D L2 D2 F' B2,R
3382273001,D2 L2 F' B2 R' U' L' D B L' D2 L2 D R2 F2 B2 U B',R
661288031,R2 B L2 R2 U2 F' U2 F U2 L B L D R B2 U2 F' R' D2 B' L,R
1142415001,B' U2 R' U F L F L2 D R U2 F2 L2 F2 U' R2 U' L2 D R2,R
4096598001,D2 L2 F2 D2 R2 F D2 R2 F2 D2 B' D' B L B L R' B D R2,R
58190001,U2 F2 R U2 R D2 R2 U2 R' F L' B' R2 D R U B2 D R,R
3251192001,L' D2 R2 B' D L2 D B2 D2 U' R2 U B D' L U' R' D R',R
3679253001,D R D' B2 L F2 D2 U2 L' U' F R' B U L' U2,R
3608622001,L2 B U' F2 L2 R' D2 L2 F2 R' F2 D B R2 D B2 R' B2,R
908084001,U2 R2 F' U2 F2 D2 R2 B D2 U2 L2 R' U F2 D' L2 R U' B L2,R
3772088011,U D2 L' F' D2 R2 F' R2 L' F L' U2 R2 U2 F' R2 F' U2 L2 D,R
4602334001,R2 D2 R2 B R2 B2 F2 D2 R B' L U L R2 B D B L U',R
3821361001,D' L2 B2 F2 U' F2 R2 U2 R' F' R2 U' L' B' D' F R' U2 L' D,R
1293637038,D2 F2 U F2 U2 L2 R2 U' L' B' U2 F L D L F2 R' D R U2 L',R
1493589028,D' U2 F2 R2 U F2 U' B F R2 F D L' D F U2 F' R U2 B',R
722401001,R F' R' B L F2 U D' F' U2 B2 D2 B2 U2 R2 U2 L' B2 L B2,R
826839001,L2 F' R2 B R2 B R2 U2 B' L2 F2 L' D2 F' L2 U R D F2 D' L',R
3582733001,U B' L' F' B2 D R2 D L' D' B2 L2 B2 L2 U' B2 R2 U' B2 R2 U',R
5162930001,F' U2 R F U2 B R2 B' L2 B2 D2 B U2 L' D B2 R D' R2 F2,R
4409055001,U' B R' D2 L' D2 B' R2 L2 B2 R' L2 F2 U2 L' B2 U2 F' U,R
4698832001,F' U2 F2 R' F2 L B2 R U2 R F2 R F' R D' U' R2 B U' B2 F,R
2068382001,R D' U2 R F2 L2 F2 R U2 L' R2 B2 U' F' D' R2 F U2 F',R
4640274001,F2 D L2 U B2 U2 B2 F2 R' B' L U2 L B' F' U' B2 U' R,R
2107695001,U R U2 F2 L' F2 R' B2 L U' L R2 F2 D' U2 B R2 U F,R
2698067001,B2 U L' U L2 D' R' B U' F2 D' F2 D' B2 R2 U2 D' R2 B,R
3760407001,D' F2 L2 R2 D' R2 U L2 R2 F' D' U2 B L2 F U2 R' B' L' U',R
661485028,F2 D F2 L2 F2 R2 F2 U' L2 U L2 B L D2 L' R2 F' D' R2 D L,R
551990001,D2 F2 L F2 U2 B2 L F2 U2 F' U B2 D' B2 R' D2 L U2 B',R
5055852001,U2 B2 L2 B2 L F2 L' D2 B U' L' U2 L2 R' B2 U B2,R
734968001,L2 U2 R2 U2 F' R2 F2 D2 R2 B F U' B' D' U' L U B' U L2 U',R
718892001,F2 R' B2 R' B2 D2 R' U2 B' D U B L' B' R F2 D2 R B2,R
3163391001,D' R B2 D' F B' D2 F2 R' U L' F' B L2 B D2 L2 F L2 U,R
2287725001,U' F B L' D L B D' R U2 R2 U2 B2 D2 L' F' R D,R
402311001,D' B2 L2 F2 R2 U L2 U2 F2 U L B' F R U' R U F2 U R' D L2,R
4541850001,R' B' D2 F B2 U' D F R' U' B2 R2 F2 U R2 U B2 U B,R
165898001,F2 U2 B2 D L2 B2 L2 B' U L R2 D R F D B' D2 B2,R
3572976001,F2 R' L' U' D F R' D2 B' D2 B2 L2 B D2 L F2 L2 B',R
1118075001,L' R2 D2 L2 D2 B2 F' U' B2 R B' U B2 L' D' R' D,R
919792019,D U L2 U' L2 B2 R2 D2 L' D' U' L R U' F D L R2 U L B' L2,R
937463001,L' B2 R' D2 F2 D2 F2 L2 U R' U F2 D2 U B L2 D U B',R
4875475001,L2 B' L U' L' D L2 B F2 D' F2 D' R2 D L2 D R2 U D L',R
2581834001,F U2 L' B' R2 U' L2 U2 F2 U R2 U B2 F L D R' D2 U' F,R
3836611001,L R2 D2 B2 U2 B D2 L2 R F' U B' L' R2 D U' F2 D2,R
3151013001,D R' U2 L2 U2 F2 D2 B2 R' D L' U R2 B L F' R2 U' R,R
1407979001,R' U2 L B D' F L2 F2 U2 B' R D B2 D2 B2 U2 L2 U' R2 L2,R
