# Scramble Extremes — std / f2l / W / bin 15 (max)
# Population in this bin: 38924
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

1120277001,F' U' F2 L2 F' U R' D F L U' R2 F R2 U2 R2 F' R2 D2 B,W
4792282001,F R L' D' F' R' F2 B D2 L U F2 D2 L2 U B2 D2 F2 R2,W
4514215001,F2 U' F L2 B2 F2 L' U2 L' R' D2 B' U R D F D U F2,W
735166001,F2 R2 D L2 D2 R2 B2 R2 D' R2 D L' B D' U2 B L F' R D U',W
3170429001,F D2 R D2 L2 R D2 B2 L2 F2 D L' R' U' B2 F' U' L B' L',W
4020378033,L' B' L2 D B2 U L2 D' L2 F2 R2 F2 D2 F L B U F D U2 B R,W
407826001,U2 R U F D L' U L' F L' D2 B R2 U2 F R2 B U2 F B2 D2,W
2597932001,D R D F2 U' L2 D2 B2 R2 U2 B2 L2 U2 L B' F L2 U' R' B2,W
4550110001,D2 L' U2 F' R U2 F' B D B L' U2 L F2 R L2 F2 R2 U2 D',W
1864613001,D2 R F B2 D2 R U' D R' D2 F2 D B2 D' R2 B2 D B2 F' U,W
4805728044,D B' L2 U2 B D2 L2 B' R2 B' F' U' L' U' R D B' U' R F D2,W
1662386045,R2 U2 B2 R2 D' B2 R2 D' U2 L D F2 U R2 B R' D2 L2 D2 F' D,W
1542104001,B' D2 F' L2 F2 L2 D2 F2 D2 F' D2 L D U B' D B2 F D2 F L' F',W
1573556001,U' R U2 D' R' B' D2 F R' B' U F2 U' F2 R2 B2 R2 D R2 L2 B2,W
4692295003,B U B2 L2 D' B2 U2 R2 U B2 R U2 B D L' U R2 U2 R F2 L',W
1216747001,D2 R2 D2 U2 R2 B' F2 D2 F D2 U R' D2 R2 B L D' R' U' R',W
2389070001,B U2 B2 R2 D2 U2 B' D2 B' D2 B2 L2 D' R D2 L U L' R B' U',W
5268629001,B2 F2 U2 R2 B2 U' L2 B R' U' F L2 B2 F2 D B' R F2,W
1507290019,B' U2 R2 F' U2 R2 F' U2 B' F' U B' F2 D L U2 B D' F L D2 L2,W
415580001,U' L2 B2 L2 B2 D R2 D U L' F R' D' L U2 L2 R2 U2 B U',W
3210994023,R B L' R2 D2 B2 L B2 R D2 F L2 F2 U R2 B' L D U' L' F2,W
4137789001,F U2 B R2 F L2 U R D F R' U2 D2 L F2 L2 F2 R2 U' L2 U',W
3385112043,U F D' B2 D R2 B2 R2 D2 F2 L B R2 F' D F2 D R' U' L' F,W
3465227001,D2 F R' B' D' R2 U' R2 F' L2 F D2 L2 B2 L2 F B D2 R,W
3586861001,U F' U2 L2 U2 B' U2 F D2 F' R2 D L' R' U' B' F2 R B' R',W
5117093001,U2 B R2 L2 F' D L' B U' B2 U' L2 D R2 D2 F2 U' R' D' L,W
4659675034,L' B' U R L' F U2 B L U B' R F2 B2 R' B2 R B2 R' B R',W
976460001,R2 F2 U2 F' L2 B D2 L2 D2 L D2 F' R' D' U' F' R2 U2 B,W
4004187001,F2 U' L B R' U2 D' F U2 L2 D F2 U2 D L2 F2 D F2 B2,W
4199671001,U2 B L' U2 R' U' F2 B2 L' D' F2 D2 F L2 B' U2 R2 U2 F' U2 B R,W
477374001,F2 R' B2 D2 U2 L F2 U2 R' U' F R B D' B' L' D R U B2 L' F,W
3716476014,U2 B U2 L2 B F2 D2 L2 U' B2 R' F' L2 B' D U' B' D L' B' L2,W
2125855001,D' R D R2 B L2 R2 D2 F' L2 B2 R U' B D2 U' L' B' L2,W
1168986001,U2 F' L2 B R2 F U2 F' U2 B' R2 D' L2 D U' R' U2 L U' R2,W
498983001,D B2 L U2 B R' D' L B' U F2 R' U2 D2 R2 D2 F2,W
4335745020,B2 D2 R2 U2 L' B2 D2 L' D2 F2 B' D' L' B R2 D2 U L F L',W
473006001,F2 L2 B' U2 B' R2 F R2 F2 U2 F2 L B R' U' B2 F2 R D' F,W
2236376024,L2 U2 R2 U2 B' U2 F' U2 D F2 R' D2 U L' B2 U' B' L F' U' B R2,W
1176682001,L2 U R2 D2 L2 U2 F2 R' B F' L' D2 L2 D U F' D' B',W
39050001,L2 F2 U F2 U' B2 D2 L2 U' R2 B2 L U R' B L2 F R D B F2,W
4120849001,U2 F D2 U2 L U2 L2 D B' U2 L D' L2 B L' B2,W
4095641001,L2 B2 D B2 L2 R2 D' B' D B2 L' B2 U' B D2 R2 F2 L,W
4167092001,L' F B' R' U' R D R' F' D2 R' F2 R2 F2 B2 D2 R' L2 U' L' B R,W
