# Scramble Extremes — std / xcross / BGORWY / bin 8 (max)
# Population in this bin: 40931
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

657118001,R' U' F U2 L B2 R F2 U2 F2 R2 D F L' U B' R' B2 U' B F2 U2 F2 R' U' F,B
4346220001,L2 U' R2 F2 D F2 U' F2 L2 B2 R' B F R U2 L' U' L2 F,B
1071669001,B2 L' F2 U2 B' U' D' L' F L' B2 D2 L U2 L' B2 U2 B2 L,B
296222001,U2 B2 F2 U F2 U F2 U' R2 U L' F2 L' D R' B' F D' B',B
4632959001,R2 D L2 B L F' U' D' F U2 B2 U2 F' R2 U2 F D2 F' L2 R' F2,B
1537306001,U' B' R' D L2 U2 L2 F' R' B' D F' B' D2 F' L2 D2 F' L2 D2,B
3472682001,F' B2 D' R' U F L U R B2 D2 L D2 R' F2 B L' B',B
2797602001,F U2 D B L2 U2 L U' L' U2 B R2 U2 D2 R2 U2 B R' U',B
555082001,F2 D2 F2 L2 R2 U' F2 D' U' B' L2 B2 D L' B F R2 F2 U R',B
132836001,D2 R' F' D' L U' B R F D2 R2 U' F2 U' L2 U' R2 D' R2 L2,B
1619206001,L D2 R' L2 D' R2 D B2 U B2 R2 D' B' U' R' F U R2 U F',G
4172712001,D F' D' B' R' L' D' L2 F R2 U B2 D2 F2 R2 U' L2 U' F2 U,B
1253481001,R U2 F2 R D2 L2 D2 R2 D' B' F' D U' L D2 U' R B2 U',B
4427853065,D R U L' B U' F2 U F2 R2 U F2 B' D2 R B D R2 B' D',O
4516653001,D2 R' F' L' R2 D2 R B2 R U2 B2 F2 D L2 B' D R' U' L' R',B
1512990001,B U D F2 R F2 B' R U R' B2 R2 F' U2 R2 B R2 F2 R2 D2 R2,B
590533001,D2 L2 U' L2 D' B2 U' L2 U' B R F U B' D2 B2 L R D U',B
820957001,U2 B R2 B2 L2 F L2 B' D' B2 F' D B D2 R D U B2 L,B
5212009002,B2 L' D2 F2 U2 D' L2 F L U F2 R2 L2 D F2 D L2 F2 B' L2 U2,B
624917033,D2 B2 U2 F L2 B' D2 B' D2 L2 U' B' L2 F' L' F' D U' L' U2 L2 U',O
1806935007,L2 F' D2 L F2 R' D2 R2 B2 F2 L' F2 U F2 U2 R' D' R F U2 B' L2,B
200805001,D B2 L2 U2 L2 R2 B U' B2 F' D B2 F2 R B2 D L D2,B
436075001,L2 D2 F' U2 R2 B2 R2 U2 B L' F' D U2 F' L' U' B D2 R' D2,B
287968001,R' D F2 U2 D R D R2 F B' U D2 R U2 R' D2 L U2 R,B
2308609009,R' B' D2 L B' R' F' D2 R2 L2 U L2 F2 U' D2 L' U' L2 U' B' L',B
2007475001,F L2 F' R2 D2 U2 F2 D2 U2 L2 U' B' L2 F2 L D' R' D' U2 B2,B
661026020,B D2 F2 D2 U2 R2 F D2 L2 R2 F2 R' D F' L R U' L B D,B
2873604001,U2 L F R2 D2 L2 F' D2 B2 R2 F2 R2 U B R B2 L' F R' B2,B
2373685001,U' R2 L U L2 F' R B' L2 D2 F2 L D2 L B2 L2 U2 B2 D,B
4805788075,B' L' B U R2 D' L2 U2 R2 U' B2 L D R2 B2 U R F' L',B
