# Scramble Extremes — std / xcross / Y / bin 9 (max)
# Population in this bin: 17363
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

582898001,F2 U2 F' R2 B L2 B2 L2 F' R' U2 B' F D2 R' D' L B' U R,Y
2726910032,R B' U F' U R' U F2 L' U' D2 F2 R B2 L2 U2 D2 L' U2 R' D,Y
1063607001,B' U2 D F R' B D2 R D L' U' B2 R2 L2 U2 D R2 F2 D' F2,Y
2308325001,L2 D R2 F R2 U2 B' F2 R2 B L2 D2 L' D' U' B' F2 D F' U,Y
770123001,B R U2 L' F R2 B' L2 D B L D2 R2 U B2 D2 R2 F2 B2 D,Y
2671542001,L' F2 R2 D2 L2 R F2 D' B2 R F D R' D F U R F',Y
2614435001,F' R' L U B' D R2 D2 R L2 U' R F2 L2 F2 B2 D2 R2 B,Y
1516001,D2 R U2 L D2 B2 R' U2 F2 D' F' U R' U2 L' F' L2 R' D L2,Y
1019061001,U2 B2 D' L2 D' R2 D R2 B2 U L2 F R' B L2 R2 F D F' L U2,Y
3939170057,B' L2 R2 U2 L2 B2 R2 B' L' D' R' D B' R F2 D2 F U' B' D',Y
2285440001,B U D F' U' B' L2 D2 R' U' B2 U L2 D2 F2 U2 B2 U' R',Y
367152001,R' D2 L' F2 D2 U2 L' B2 L2 F L' B L' U F R' F2 L' U B2,Y
3237684001,B' D' L2 B2 D R2 U2 R2 F2 L F' R F R' B D' U2 R' U,Y
3762746001,L2 D U' R2 D' B2 R' D' U' F L2 D L B2 U2 F2 U L,Y
3742490001,F' L' F' U R2 F B R' L2 B2 U D' F2 U' R2 D' F' U' L',Y
274158001,F U2 F2 U' R F L U R2 L' B' R2 D2 R2 B2 U2 B2 L B2,Y
4459887035,D' F' L B R' U' F' U' R' D R' F2 R' U2 B2 D2 F2 U2 R2 U2 L' F2,Y
3559780001,B2 U' L B' L F' R' D L2 D' L2 F2 U2 R2 U B2 R,Y
1341138001,L2 R2 B2 U L2 D' R' U' B2 U L2 D' B L' F D U R,Y
3662113001,D' B2 L' D2 R' L2 F B L' D2 F2 D2 R' D2 L B2 L' B' D',Y
3625938001,F L2 D2 L B2 F' L2 B' L2 R2 B' F' R U2 R2 U' B F L',Y
1135101033,L2 D2 B' D2 B D2 F' L2 D2 F2 L2 D U F' D' R2 U' R F' D2 L',Y
755364001,B' U F R2 L' F' D2 F R2 U' L' D2 R2 F2 D L2 U R2 F2 U,Y
2210869001,R' U2 L F' U R2 B' D' F' B2 R2 F2 D' F2 U' L2 U D R' F,Y
1685925001,F R F2 L2 F2 R2 U2 B' U2 L2 F2 D2 F' R' D' B L U' B',Y
2596285001,F R U' L2 D2 U' F2 U2 L2 B2 R' D2 R2 F2 D2 B' L' F R,Y
4628910023,F' R D' F' B' U' D' F R2 U R2 U B2 D B2 R2 D L2 U L' F2,Y
4643662001,U R L B2 U2 B D L2 F D2 R2 B R2 D2 F' U2 F R' D' B R,Y
2871106001,D2 B2 L2 F' D2 F U2 F' L U' R F' D' R' U' L' F' D' B',Y
1151810001,U L2 F2 R2 U' B2 D2 R2 B2 R F' D L' R F' R2 F' R2 B D',Y
192186001,F2 R2 B2 U' R2 U' L2 D2 B2 R2 D B F' U' R' D L F' U2 R' D,Y
769713001,U' B2 D R2 B2 U' L2 U2 B2 L2 U' F U' R U' L' F2 U' F D F,Y
3490463001,U2 F' L2 R2 D U L2 R2 D L U' R' D' R2 B L B2 F,Y
385034001,R2 F2 U' F2 L2 U' B2 D2 L B U' R' U R2 U' F R' U' B' U2,Y
4224168001,R' B R2 U' B' R F D2 R2 L D2 B2 R F2 R' D2 F2 R' D2,Y
1474908011,D2 R2 B2 U2 F2 U2 R2 U F L' D' R D' B D U F D R2 U' B',Y
2471452001,D2 F2 U2 F L F D B' L F2 D R2 U D F2 R2 B2 R2 U,Y
3961821001,R2 D2 F2 D' L2 D' B2 D R2 D2 R' F' L F2 U' B' R F2 D,Y
1845405001,B2 R B D2 B' D' F B' L' B' L' F2 L D2 F2 U2 B2 L D2,Y
2090895001,U F R' L2 D L2 D L2 R2 D F2 L R D' F' R U L U B' L2,Y
2794239001,B F L2 R2 B L2 D2 F' R2 U2 B D R B' R2 B L B2 D2 L2 B R',Y
661265001,B2 R2 U2 B2 F2 U' B2 D2 L2 U' L' B2 R D' B' F2 D' U F' R2 F2 L',Y
4686026001,B' U2 F2 U L2 D' F2 L2 U2 B2 L2 B U' R' D B2 L2 R2 D2 R,Y
142413001,B2 F2 L' B2 L B2 U2 R B' U' F' L' U2 R' U' L2 F',Y
436647001,D2 B2 L' F' B' R' U L2 D' L' B D2 B2 R2 F2 U' L2 D2 R2 L2,Y
3340499001,D F' D2 L2 R2 F2 D2 F' D2 B D' L B R' D L' F R2 B',Y
660555022,F2 R2 U2 B2 D2 L F2 L B2 D U L' D' F' R U L' U B2 F2 L B',Y
2408623001,D B' R' D' L2 F2 U B' U' R2 U' F2 U B2 D' L2 F2 U2 L' B2,Y
3063150001,R2 D' F' U' L' D2 F' R' F2 U2 R2 F2 U2 D2 L' U2 L2 D' B L',Y
2761775050,B' D2 F' R' D L2 B2 D U' R2 U2 R' B L F2 D F2 D2 R2 B R2,Y
5034490001,U D2 R' L2 B2 D' B L U F' R2 F2 L2 B2 R2 D' L2 U2 L2,Y
3161534034,L' D R2 L U B' D2 L B2 D' B' U R2 U' D2 R2 D' B2 R2 D2,Y
1907569001,L2 D' U2 L U2 R2 D2 F2 U2 L B2 R2 D2 F R' D' L' B R' U R',Y
339535001,R2 F' D' R L' U' F' B D R B2 U2 D2 B' D2 F R2 F' B',Y
3389169001,B2 L2 R2 D2 L2 U R2 F2 D' B D2 L' B' U B R' B F U',Y
1889254053,B2 L U' R L' D F R' D2 B F2 R' L2 D2 R2 L' U2 B2 D2 F2 L2 U,Y
1453344001,F' R2 L' B R' F' L B2 U2 R D L2 U2 F' D2 B2 U2 R2 F',Y
240981001,B2 U2 L D' F' D2 R F2 U D R F B' R2 B' D2 F U2 F D2,Y
1067906001,L2 D' F2 D R L2 B2 U' L' F B L D2 L2 U2 L2 F2 L' D2,Y
624400001,B2 R U2 F2 L' R2 U2 R' D2 F D' B F' L' U B' L2 F R',Y
529370001,D2 F' U2 F2 D2 R2 U2 F' R2 D2 F' D' B' R' B D2 R F' D' L' R',Y
5149853001,L B2 R' F' U2 R2 F2 D2 R B2 R F' R2 U L' B' R U2,Y
1663037022,D R' F2 R2 B2 L' D2 R B2 F U F2 L' U2 B' F' R' F D' L B,Y
672638001,U2 B2 L2 R2 U F2 U' L' D2 B L R F2 D' B D' B2 F2 R',Y
514739001,D2 U2 F2 D2 R2 F' D2 F D' L D' R' D' L F' L D' L2 R,Y
3924358025,R F' U R2 F2 R2 U' B2 F2 U2 L2 B' L' R' D' B' U' R' F' R2 D2,Y
3464777006,F' L2 D B2 R U2 B2 L U2 L2 B R2 U F' R2 D2 F R' D,Y
4875853001,B' F2 U2 B D2 U2 B L2 B' L2 D U F L2 R' D2 F U R2,Y
2634185001,D R2 U F D B2 L2 D' F2 U2 F2 U2 L F2 D F U F2 R,Y
3431831001,U' B2 R2 D2 L' F2 U2 B2 F2 R' F2 L' F U' B' L' R F2 D2 F2,Y
1568790041,F2 R' B2 U2 R' B2 L2 F2 L' U' L2 B' L F U' R' D2 L F2 R2 D2,Y
242669001,U2 B L2 F R2 U2 F' U2 F2 D2 L2 U' B F2 L' D2 R D' B' U' R,Y
4981219001,F' L2 D2 L2 U2 B2 F2 R2 D B' L B2 F D' B U2 B2 L' D',Y
4054342001,L F2 L2 D2 R2 D2 F2 D2 U' B F R B' L' F L2 D' L2 B,Y
976946001,D' F2 U2 F2 R2 B2 L2 F' L2 R' D' B L' U B D2 L F R2,Y
2100665061,F U L U' D' F B L2 U D' R2 D B2 R2 B' D' B' U L B,Y
459740001,B2 L2 B2 U2 R' U2 L' F2 D2 R2 U F D L2 U' F L' F' U' B' U',Y
3460535001,L2 B2 D2 L F2 D2 L' B2 D2 L B' F U L B R2 F2 D' B2 U',Y
689264001,L' B2 R B2 L2 U2 F2 U2 R' D B F2 U' F L U' B2 D2 L' D2,Y
3542178001,D L2 U L2 R2 U' L2 U2 L' F' R B2 D2 L U2 R F' D' L2,Y
772271001,R' U' F L2 U2 R2 F2 L2 B' R2 D2 F' U2 B' L F D' F2 R2 B R D B' U' R' U' F,Y
2449919049,R2 B2 U2 R2 B2 U2 L B2 R2 U2 B U' R2 D' U L' B D' R' F D',Y
5107646022,D' B2 F2 U2 L2 R F2 R D2 B2 F D' R2 F' U2 F' L F R U' B',Y
3418074001,L' U2 F' B2 R2 U' F' B' L' F' R' D B2 U D2 R2 U B2 U',Y
3312338066,D L B' D2 U2 L D2 R2 B2 D2 U' F D U F D' B' U2 L' F,Y
4965906001,B2 U2 B2 R F2 D2 L D2 R' B D U2 B R' F L' R2 U' B2 D,Y
1868658001,R' U D' B2 R' B' D' R2 B2 R' D2 L U2 F2 L D2 F2 B2 R B D',Y
507890001,U2 L B2 F2 U2 L' U2 F2 R' D B' U B2 R' U2 B D2 F' D R,Y
1257109001,R2 F' D' F B D2 F' L' U2 B R F2 D2 L2 U2 F2 L2 F2 B,Y
660561001,B2 R2 B2 U2 R2 D2 L2 D F2 R F U L' B' D2 R F2 R U L D2,Y
532895001,U R' U' L U2 R2 F B' D F D' L2 D L2 F2 U' B2 R2 D2 B2,Y
724868001,F' R' F' L' F B2 R2 D' B' L B2 D L2 U' R2 U' F2 B2 R2 B2 U2,Y
3497418001,D B2 R2 U B2 D' B2 U B L' R D B D R' F U' F D',Y
4636565001,R D2 R2 U2 R' F2 U2 B2 R2 F' L' B' D2 F2 L U' F2 U2 L,Y
1035635001,B2 L2 U' R2 D L2 R2 U' B2 U' F2 R' B L' D2 F' L2 U' L2 F D',Y
4805785044,L D2 F2 D' U2 L2 U R2 B2 D' F' U R' U' B' U2 R' B2 D2 L' F',Y
5056335001,L' U F2 L2 D R2 D' F2 D' L U2 B' U2 B L D R2 B R',Y
2288100001,R2 D' F2 D' U2 R2 B2 F' L' D L B R' D' L' U2 B D L,Y
4130477001,L2 U2 B' D2 F2 U2 R2 U2 D' R D U' F D' F' R2 F D L',Y
5044752001,U R' U' F' B' U2 F' D' R' L' U2 L2 D2 R' B2 U R2 U2,Y
578948001,U F' B R' B2 R2 U2 R' D B D2 R2 U2 R2 D R2 D B2 D' L2,Y
5092080118,R' F2 L2 B2 U' R2 B2 L' F' L B U' L2 F2 D L2 U' R2 B2 D2,Y
1079227001,B2 L' F2 D2 R B2 F2 R' F2 U' L' U2 F U' L R' B' F2 L' R,Y
1286492001,B2 D' F U D' R2 B' R L' U F' D2 F2 U R2 U2 L2 U2 D',Y
19949001,F' B2 D F R' U' L U B2 U' R2 D2 F B2 R2 D2 F' R2 L2 B',Y
5076337001,D2 B' L' F' B2 R' L B U' F2 R B2 L2 D2 R' B2 D2 L' U',Y
4393466014,D R D' B2 D2 L2 D2 R' U L2 F' U2 F D L' B R',Y
2599485001,D2 R U2 F2 R2 F R2 U2 F2 D' U B' F' L' F U' R F',Y
4620769001,F' B2 U B2 U' F2 U R2 F2 D' L2 R B F2 L F' U' L D' F L,Y
977248001,L2 R2 U B2 D' L2 D R2 B2 R' U R2 D B L' U2 R' F D U',Y
673269001,B2 U B L F' B' D R B2 U F2 L U2 F2 U2 B2 L F2 U2 R2,Y
4591834001,L2 F R' B U' F' D2 R U B2 L2 U2 D R2 B2 U' F' U' L,Y
3835591001,B2 U D2 L2 D2 F2 L' F2 U2 F2 R U B F U L' D2 B' D',Y
567010001,L2 R2 U2 F D2 B F2 D2 U2 L2 F2 D R U2 L2 F L' R B R2,Y
4755776001,L' U2 F L' D2 B2 D2 U L2 U' F2 L2 R D' F U2 L R2 U,Y
3931706001,U B L F L2 U2 R' B2 F2 L' B2 R' U R2 D L' D2 L' F,Y
1333224044,F2 D2 F' R2 F D2 B' R2 F' L' F' D2 U R D2 B R F D' U2 B R2,Y
1479715008,B' L2 F2 R2 D2 F' R2 B' L2 R B' U2 R D' R2 U' B2 L2 F2 R' B',Y
3953820001,L' U F' R U2 B2 L' D2 F2 U2 F2 R2 D' R2 U' F' U2 L' R,Y
4659277001,L2 B2 R2 D2 R2 U R2 L B R' D2 F2 D L B' F2 U2 R,Y
773637001,D' L2 B2 D R2 U B2 D L2 F' R' B' R U' F L B D' B2 R' B,Y
5233235031,R2 D' B R2 B R' U B2 U2 D' R F R2 U2 R2 D2 F' R2 B,Y
3346349001,D' R U2 F2 D2 F L2 B2 D2 U2 L' D B D F2 U R B R,Y
4481352001,D2 B2 D2 L2 F2 R F2 R' B' F' U L' D B2 F2 L D' B2 D2,Y
4698864001,L B' U2 B R L2 U' F B2 U2 R2 F R2 B U2 F D2 R2 U R',Y
1915421001,B D2 U2 F R2 U2 B L2 U2 B' L B' L2 U L' D' R' B R2 U,Y
4312018001,D2 F L F' U' F' B D' R' U2 B2 L2 B2 R L2 U2 F2 R U2 R,Y
340205001,U2 B2 L2 F2 L2 D2 F2 U2 F' D' F' D F L' U R2 F R' B U2,Y
2002954001,D' B R2 U' R2 F' D2 R' F' R2 U F2 U F2 D F2 R2 D2,Y
464370001,R' B R2 F' R L2 U L' B R' D F2 B2 D F2 L2 B2 U2 R2,Y
176903001,U B2 D F2 U R2 D' R' F2 D F2 L U R2 U2 F U B' D',Y
2364453001,D' B2 L2 B2 R2 D2 R2 U L2 F R' D2 R2 D U' L' U2 B' L2 F,Y
61074001,R' D L F2 U' R F B L' U' D2 F' R2 F2 B' D2 B L2 F R2 D2,Y
1368372001,B2 U2 R' U2 R' F2 L2 D2 R2 D' B2 L' F R' D2 F2 R D,Y
5043276012,R' D' B' L2 F2 D' L2 R2 D U2 B2 U' R' D2 R D2 R2 F2 L B R,Y
4127181001,L' B' R2 L D R' F B U' F L2 F' U2 F' R2 F L2 F' U',Y
1678991001,R' B' R' L F' L U' D R' U2 B F2 R2 L2 D F2 D F2 D B2,Y
3963712001,L' U2 D R2 L2 B D R' D L F R2 L2 B R2 F R2 D2 B' D2,Y
1269743001,R U' D2 B' R2 D2 F' D L' F B U2 F2 R' D2 L' D2 F2 L2 U2,Y
5056722001,F D2 U' R2 D B2 R2 U' R B L2 F' D U R' F' L D2,Y
2100663060,U2 B2 U2 B' R2 D2 L2 D2 B D L' U' F' U' B' R B2 U2 F' D2 L2,Y
241779001,R' D' R2 L D' F' D F2 L' D2 R F2 L2 B' R2 F R2 L2 F D2,Y
924095001,F' R2 D2 U2 F' D2 R2 D2 L2 R F L2 R' D2 L' D B U B2 U,Y
3305216019,L F2 U' L2 D' R2 U2 F2 L' U L2 R D' B' L F' R' F' L2 B' L',Y
801791001,U' L2 D' R2 D R2 U B2 U L B' F2 L U2 B2 F' D' L2 D2 L',Y
1653710001,L2 U' B' F2 L2 D2 U L2 F2 U' L2 F2 R' U' B L' F' L F2 R,Y
1364681001,U R2 F2 D' L2 U R2 B2 R2 D' L F2 R F' R F D2 L D' L B' L2,Y
4448775001,B L2 R' D2 R D2 U2 L B2 D' L U B2 L F R2 D2 R B2,Y
2851477001,U' B' U2 F' D2 L2 D2 R2 B2 U2 B' D' R2 U B D2 B L' F' U,Y
5016156001,R' U B2 U D' B2 U2 L D F B2 U' B2 D L2 U B2 U B',Y
5055229001,D' R U R2 F2 U' B2 U2 F2 R2 D' B2 D' L B' F U' B2 D' L2,Y
4125811001,R' U' F R2 U L' U2 B' R2 F' R2 D2 F' D2 R2 F2 R B' L' B D L B2 R' U' F,Y
682015001,L2 R2 U2 L2 B' U2 F' R2 F2 D' R U' L2 B R D R' D F,Y
3184645001,D' R2 U L2 D R2 U' F D2 B2 L' D' U R F' D U F2 R,Y
661398013,D2 B' D2 F' L2 B2 R2 D2 L' U' L' B2 L2 B U' F' D R D2 L2,Y
3265676001,B2 F2 L R D2 R F2 R2 U B2 R' B' U2 B' D' B' L' F',Y
3585671001,R' B U2 R2 D' B2 U' R2 U B' U2 L2 D' B2 L' R' U R2 D',Y
1043428001,U B2 L2 D U2 L2 R2 B2 L2 D2 B' U F' U2 L D' R' F U2 B' R',Y
2716283001,F R2 B2 U2 R2 U' R' L2 F R U2 R2 L' U2 R B2 D2 F2 R',Y
32301001,U2 F2 R2 F2 U R2 D2 L2 R2 F R F U2 F D' R' F',Y
4513060009,B' L' U' R2 U2 L2 F2 D U2 R2 U2 F' D' R B F2 R' U2 L2 B,Y
4681901001,F D2 L' B2 U R L B' L' F' L' R2 U' R2 D R2 U B2 U',Y
2074552001,F2 U F' R' D F' B D F' U2 R B2 R' F2 R L D L',Y
2971858001,D' R U2 B2 L2 D' U' F2 R2 D' R2 U' B' L B2 U' B' L2 R2,Y
938398001,U2 B' F2 D2 B U2 R2 B U2 F R F2 D R' F U' R2 D' L F',Y
3363927020,R2 U' L' B2 U' F2 R2 U L2 R2 D2 B2 L2 R B' U' F' D R D2 L B,Y
2812297001,F' L2 F2 U2 R B' L2 D2 L' U F2 L2 D2 B2 U' R2 B' U',Y
3763210001,U' B2 F2 L2 B2 R2 U B2 U' R F L' B' L' B U R' B' D2 F',Y
4044328001,D F2 R' F2 D2 L2 B L2 U2 R2 F' R2 U' F' D U2 B D R' U2,Y
128665001,U2 R D2 R D2 R' D2 R' U F D L2 R B' F L F2 L2,Y
5170354001,U2 L2 F' D2 L2 F L2 R2 U2 L2 F2 L R' F' L' U' R2 D L' F2,Y
706899001,R2 B2 R' F2 L' U2 R2 F2 U2 B2 L' D R2 B' D F U' R' D L2 F2,Y
