# Scramble Extremes — std / xxcross / B / bin 11 (max)
# Population in this bin: 3046
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

2305861001,D' B2 D' F2 R2 U R' D2 R B' D' U' L' R U2 B' R' U',B
459172001,F2 R2 U' L2 U2 B2 L2 R2 D' F R F2 D2 U R B L2 D B' U,B
4381452001,F2 R D2 B2 L R F2 L' B2 R2 F L R2 D' L U' L' R D R2,B
264276001,B2 U2 F2 R2 U2 L2 F2 U' B R2 F2 R' U L' D B D' B R',B
1167602001,L2 U2 L2 U B2 F2 R2 D' L B' R' U' L' F L' B L' R2 U2 L',B
3734340001,D2 F' R' B L F D B F2 D' L2 U' R2 D2 L2 U2 B2 L' U,B
446305001,B2 U2 L2 B2 F2 D' F2 D' R2 B L2 U2 L D F2 U R' D' F U' L' F2,B
4762465001,F2 L' R2 F R2 B' U2 L2 D2 L2 R' F U L R2 U' B2 U R',B
1028034001,F R2 D2 U2 F L2 R2 U2 F D2 B2 R' U L F2 R' B2 U L' U2 B,B
924533001,L' B D2 F' D' R B U D2 L' F2 B2 R2 U' B2 U L2 U' F2 L2 U,B
2649228001,U2 B' L F' U' R D' F' B2 U L2 F2 U F2 U2 D' F2 B2 L' B,B
4201386001,R' F2 L2 D2 U2 R' B2 L' R' U' L' R' D' B F2 D2 B' R' B,B
4713064001,D2 R2 U2 F2 L' B' U D' B' F2 D B2 L2 B2 R2 D R2 U D R',B
4433307008,L' D2 R' B D2 U2 R2 U2 B L2 R2 B2 R' D F U R' D B D L' F,B
3544222001,L U B' F2 D R2 B2 R2 B2 F2 U F2 L' F2 L' D' B2 F R,B
799151001,L2 U2 B2 D U2 R2 U2 R2 F2 L2 D' L' R' U R' F2 R' F' R2 D,B
3243094003,U B R' B2 F2 R2 D' U' L2 U R2 F2 R' B R2 F2 L U' R U' L2 U,B
1360416001,B2 U' F2 U B2 U' R2 D2 F2 U2 R F' L' R B' F' D F D U,B
4702580001,R L U F2 R U2 F' D' B R' U F2 B' L2 D2 F2 L2 F U2,B
