# Scramble Extremes — std / xxcross / WY / bin 6 (3rd-smallest)
# Population in this bin: 2727
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

1060346001,R2 F' R' F D2 F' U R F B2 U2 F2 L2 U' L2 B2 L2 F2 U' D',W
313051001,L2 F2 D2 U2 L2 U2 L F L D2 U2 F' U' B' L2 F U2,W
4230218001,U2 B' D2 R2 D2 R2 B U2 F L F U' R2 D R2 F U L F',W
4718488001,L2 U' D2 L' F' L' U' R2 D' B U2 F' B2 L2 F' B2 R' F,W
4285618001,R2 F' L2 F2 U' L2 F2 D2 L2 D L' U2 L D F2 R2 D' L,W
4008647001,L2 B2 D2 R' U' D R' F U' B2 D2 R' U2 F2 L' B2 L U',Y
818869001,U2 L D2 R' U2 F2 L' B R2 U B2 R U B U2 F2 L2,Y
1921497001,U' B U2 B' U2 R2 B' R' D B' D R2 F' D2 L2 U2,Y
2372473001,U' B2 D L2 D' U2 R B D R' B' U2 B2 U L B2 L',Y
4151910011,R F2 U R B2 R2 U' F2 D2 R' D2 B2 R U2 L' D L B L B2,Y
1821417001,D' L2 U' L2 R2 B2 D F2 U F2 L2 U2 F L' B D B2 U R' U',W
3203465037,F D L D' B R2 L B D2 B2 R2 D2 R L2 F2 U2 R D2 B' U B R2,W
12731001,R2 F D' F' L B2 R2 B L F' R U' F2 R2 U' D2 F2 U L2 U,Y
1585354001,U' F2 D2 U B2 U2 L2 F2 R' U2 B L2 D' L' F D' R' B,Y
417514001,B2 D L2 R2 D U F2 D R2 B2 F R' D2 B U L' F' R B2 L2,W
5119462001,U R U2 L' B2 U2 B2 F' U2 L' U2 B' R B' D L R',W
4516668001,F2 R2 B2 L B2 D2 L D2 B R2 B' D F' R' U R,Y
2808778001,R' F2 R2 F2 L2 F2 D2 L' F' R2 F' L2 B2 U L D U B,W
371360001,L U D2 F2 R2 B' R' B U2 F' U D B2 R2 D' R2 U R2 B2,Y
553664001,L D2 L' R B2 L' D2 U2 L2 U2 F' L D R' B' R2 D L' B,Y
24504001,U2 R D2 B2 L B2 U2 B2 L' U B2 R' D U2 B D' L2 F' U R,W
998958001,D L2 F2 D' B2 U B2 U2 R' F' L D R F L' U2 B L2 R2,W
4956100008,D' B2 F2 R2 U F2 D' U2 L2 U' B D' B' L' F' D' U2 R' U' L2 D',Y
287979001,L2 U2 B2 F' U2 B' R2 F' L2 D' R D2 F D' F D2 L2 B F',W
1194635001,F' U' L F' D' B R B' L2 F2 U R2 U2 R2 L F2 B2,Y
3954717001,R' U' D2 F2 R2 B U2 R2 F U L' D2 L U L' F' U2 B2,Y
4923036001,L2 D2 L' D' L2 B' L2 B D2 R2 F' R' D B2 F' L2 R D',W
3213724001,B L B' U D' R U' R L' U' L R2 D R2 B2 R2 U2 L2,Y
2718809001,B' D R2 U' L2 R2 D' U2 R' F R2 D' B' F2 D' F2 R' U',Y
4721075001,R2 F2 R B2 R B2 R D' B2 D U F R U R' U2 L,Y
578356001,B' R2 D2 L2 U2 F' R' F2 D' L F D F2 L' R F' L2,Y
725018014,D2 U B2 F2 L2 D2 U F2 U2 F' U' F' D' B2 L B D' L2 U' L' F,W
767633001,L2 U2 R' U2 L' D2 F2 L' D2 B2 D2 F' L2 D' U' L' U B' R' B' R D,W
744822001,B R2 B' U2 B' F L2 D U2 L B D2 B L' D' B' L D2,Y
456184001,L2 R2 D2 R2 B' R2 U2 B' U2 B D' B' D' U' L F' L2 R B,Y
503610001,B' U2 D' L' U' R F' D L2 B R2 U2 B2 U F2 R2 L2 U F2 U2 F2,W
1007668001,R2 F2 D' R2 U' R2 F2 D2 F2 U R D' B D2 L2 U' B' D B L2,W
2613574001,B2 D2 B2 F2 R2 D R2 D B2 R' D2 U' F L2 R2 U2 F L2 F' L,Y
45850001,F2 L' U2 L' B2 R U2 L' B2 L' B2 U' B2 D2 U F L2 U F',W
552793001,F2 U2 F2 U' B2 L2 U L2 B F' L R' D' B' F2 L U R' F,Y
2700400001,D U F2 D' R2 D2 R2 F2 R' U L F L U B' U B' U2,W
5206856001,D2 F2 R D2 L2 U2 L' B' R D2 R2 B R' B' D L2 U2,W
2697480001,U' L' B' U L2 D2 U' F2 D' B' F' L2 U' F U2 L,W
1232730001,U2 L2 D' L2 R2 B2 D' B2 D2 B2 R' D' L2 U' F L' U2 R F U,W
3693745001,L U L' U2 F2 D2 B2 L2 R' F2 L2 B' R2 U2 R2 F2 D F,Y
553853001,L R2 F2 R U2 L2 D2 R' B R F' L2 D' L B2 D' U F L',Y
5139996001,B2 D L' U2 L U2 L2 U2 D' B' D L' F' L2 F2 D' F,Y
516993001,F2 D2 L R F2 D2 R' D2 L2 D2 F' D2 R2 D' B2 U B D L',Y
2650801001,U R U' F2 U' R2 U L2 D2 F2 R U B' D' R2 B' D' U B2,W
3115470026,D R U' R' F2 R2 D L D L' B R2 L2 D2 F' L2 B L2 D,Y
4410158001,R F D2 R2 B' F2 R2 B R F' R2 B2 L2 D2 R' B' D,Y
4430233001,L R2 U2 F2 L2 F2 L' D L' U' B' D' B D' F' U2 F2 L,W
4614382001,D2 L2 U2 L' U2 R2 D2 L' B2 U' B' F U2 B' L D' F D F2 L B2,Y
425948001,L' F2 B R L' B L' B2 U' R F' D2 R2 L2 B R2 U2 R2 F,Y
3613934001,U2 F2 U' R L B D' R' B L D L2 U2 B U2 B2 D2,W
437462001,D R2 D R2 F2 U' L2 R2 U B' F D F2 L U2 L B2 R2 B2 U' L' F,Y
3421495001,R2 D2 F2 L F2 D2 B2 U' B2 U R F L' B L2 B' D' F,W
2682138001,D2 L2 B2 D2 R2 U' L2 R2 D' F2 L' B D2 U R F L B',Y
4126699001,R2 D' L2 F2 U F2 U F' D U2 R' D2 B D2 U R,Y
424141001,B' U2 B2 D2 U2 L2 B D L2 B' L2 F' U L2 B' U' L B',Y
66350001,U' R' B2 R2 U2 L' U F U' R L2 U B2 R2 U R2 F2 B2 R2,Y
776555001,L U2 L' F2 D2 R2 D2 B' U L2 B2 U' B' L2 D F R F,Y
1251103001,U' F B R2 F' R' L' B L' U' D' F D2 F2 R2 B L2 U2 L2,Y
1164426001,U' D L U' L2 U F2 L F D F' U2 L2 F2 B U2 F L2,W
1275172017,R' D2 R2 D2 L D2 F2 D2 L B D' L' F D2 R' F2 D2 F R' B' L' F2,W
4500145001,F2 U' B2 R2 F2 B R' U D2 R2 F D2 R2 F D2 F D L',W
74544001,D L2 R2 U' B2 F2 D L2 R B2 L B F U2 L2 D' F L B2,Y
3363681001,L2 D B F2 L2 F R2 F' L2 F2 U F' D2 R' B2 R D2 L',Y
661184008,L' U2 B2 U2 L' U2 F2 L R2 B' U2 R' U L D2 L2 B' F' R B',W
4716901001,R D2 R F L' F' B' U' B U' R2 D2 R2 U2 R2 F2 L' D',W
3755286064,L2 F2 L F' R2 U' D' B' L B2 U D2 F2 D' F2 D' L2 F2 U L',Y
751042001,U2 B D2 U2 R2 B' D2 U2 F U' L' B U2 B2 F' R U2 F L',Y
1747740032,R' F2 L D2 B2 F' D2 L2 D2 U2 B' D' R2 U B2 R' B' D' L B',W
86520001,B2 U2 R2 F2 D2 R2 U' L2 R2 D' F R2 U R2 F2 L' B U2 R B D B' L',Y
525984001,U D' R B U2 L' D' F' D' F' R2 U2 B2 U2 F2 R U2 R2 D2 R',Y
665709001,U' R2 B' U' F D2 B2 R' U2 R' F' L2 F B D2 F B D2,W
3641905001,U' L' D2 L D2 B2 R2 F2 R2 U R2 U' B' D2 R F',W
410766001,U2 L U2 R' U2 L2 D2 B2 R2 B D L2 D' B L2 D F' U2,W
804481001,L2 B' U2 F' L2 R2 F2 L2 B' L' U' F' U' L' F R F2 L',Y
4577846001,F2 B' R2 F L2 D R2 L F R' B2 L2 F2 R F2 D2 F' R',Y
93231001,U' R' B D R U' F B U2 R' U' F' B2 L2 F' B2 D2 F' U2,Y
4419927001,U L2 B' U B' U' L' B2 L U' L2 B2 U' B2 L2 U2 F2 L2,W
3040274001,D B' U B D' B' U2 F2 R2 B2 L' F2 D2 R L2 B,Y
4471270018,U' R' B L2 F' R2 F' L2 D' L R2 D' B2 L2 F2 U L2 U2 B R,Y
1688962001,U' R2 B2 U2 F2 D' U2 F U' B2 D B2 U L2 F U' R2,Y
3306455001,D' L2 F2 D' L2 F2 D' R2 U' F D R2 B2 R' B2 D2 B U' R,Y
4591725001,F2 L F' D2 B' R2 F L2 F2 L U2 R' B L2 U' L2 U2 L',Y
660784029,D L2 U' L2 B2 R2 B2 D' R2 B2 D' R' U2 B' F2 D' B D2 R' B' R D2,Y
2313924001,F2 R2 B2 L2 F2 D2 B2 U R2 F2 R D2 U F' L' D B D2 F' U',Y
4059413001,U2 L D2 R D2 R F D2 F' U' R U B F2 U F2 L',Y
511047001,F2 D2 F2 D F2 U B2 U2 L2 U' B2 L B2 R2 B' D2 U' R' U2 R F2 L2 U,Y
4652357001,B' R2 B D F2 U' B2 L2 B2 L2 U B L F U2 B F2 R2,W
891596001,F R2 D2 B' D2 F U2 B R2 U2 B2 D B2 L' R' F' R' F R2,W
2301175001,D2 L2 B U2 F2 U2 L2 F' L2 B L' D' F R' B R' F2 D2 U2,Y
4380203001,F2 U2 B2 R2 D2 F U2 B D2 U2 R U F' D' R' B R' D U',Y
430516001,R' U2 R2 B2 L B2 L' D2 B2 R U F' U' R' U' L2 D2 B D2 R' D,Y
302868001,L' D' L' B R U' L2 D F' L2 F2 L2 U' B2 D' R2 L2 U' F2,W
2941565001,B U' F2 R' D B R' D2 F D' R U2 D2 L2 F2 D2 R' D2 B2,W
1240247001,U' B L2 D' F D2 L U2 B' R B2 L2 U B2 D2 B2 D F2 D R2 U',Y
124653001,U2 F2 R' D2 U2 F2 L B2 D2 R2 U R2 U' F' R F' L B R' D2 L2,Y
2859771001,F2 R2 F2 D2 B2 L' R' D2 L' R2 F L2 D' R2 F' R U' R',W
2794355001,D2 B2 U2 R U2 R' D2 F' L' D2 B2 D U R D F2 L D2,Y
