# Scramble Extremes — std / xxcross / W / bin 11 (max)
# Population in this bin: 2960
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

581958001,D2 F2 D2 F' L2 R2 B F2 R2 B F' D B' L' F D R D L B2 U',W
2235188001,F D' R D B D2 F' U2 B2 R' B2 L B2 U2 L' F2 L2 U' R2 B',W
4925316001,F2 L F' D U2 R2 D B2 F2 R2 U' B2 D B2 F' R' D U' B' L2 F,W
2941882001,R2 D2 B2 L2 D U2 F2 U B' F' D' L R2 U L' R' U B' R D2,W
4418560001,D L' U' L' F' R2 B L' U R2 U2 F2 L2 F2 R' U2 F L,W
327393001,F2 U' F2 D B2 U' R2 F2 D B2 U F D2 R' F' L2 B' F2 L2 U L',W
4396744001,L2 D' R D2 R2 D R2 B2 U R D2 L R2 F' U R2 B2,W
817305016,D' R2 D F2 R2 D B2 L2 B2 U' L U' R' B F' R D' R2 F D U2 L B,W
2956321001,D F' U' D2 F2 L' D' U2 F R2 B' U2 B2 L2 B U' L' D' L,W
4008862001,B2 U2 R D2 F2 D2 F2 R2 D F' D B2 L B U B' U2 F R B' L,W
660659020,L2 B D2 B' R2 U2 F' D2 F2 U' L2 F U2 L' F' D F' L2 B U' B R,W
3948124001,U R L2 D F R' U' L F2 U D B2 R' U2 R2 L' U2 R2,W
5049880001,R2 U B L2 R2 D' B2 U2 F2 L2 U2 L2 F R D U L U L',W
2855906001,R F U2 F' L2 F' D2 L2 B' D' R' D2 F U' B R' B' D B2,W
5119479001,F2 D2 F U2 L2 B' D2 B2 L2 R U' L D' R2 F' U2 B' F D2 U,W
5023686001,R2 U' B U2 B' L2 U2 B2 U2 F D2 U2 L2 B2 L F' R U B2 L2 B',W
858364001,F U2 B R2 B U2 R2 B U2 F D B2 R' U2 F' R2 D L B' D2 U2,W
4173601011,R' L' F' U B' R F' R' U2 R2 B2 R U2 L D2 B2 R D B2 D2 B',W
1174557057,B U2 B' D2 L2 B2 U2 L2 F' R2 U' L' B' F' R' B' L D F' U2 L B',W
4298481013,U F D2 L2 B2 U B2 R2 U R2 U2 F R F L' F2 D2 F D B R2,W
585406001,D F L2 B' D' L' B R2 U' R' F' B' D2 R2 F2 D2 F' U2 L2 B2,W
2606356001,B2 F2 L2 U2 F2 L D2 B2 L2 B2 R D B' F' L' F U2 F U B,W
527222001,D2 R2 B' D2 F L2 B2 F' D2 L2 D R D2 L R2 D L' B F R,W
4513143001,B2 L2 U2 L' F2 L2 F2 D2 B2 D L F D' U2 B D R F U',W
4905737001,D' B2 U2 B2 D2 L2 F U2 L' F D2 R2 B2 D L' B U R2,W
660539011,U2 R' D2 B2 R D2 L' D2 F L' F' D' U R' U2 B R' U' F' L' F2,W
686868001,R2 F' U' B' U2 R2 L U2 D L F' L2 B' R2 L2 D2 F' L2 B',W
5224176026,U' L' B2 F2 U B2 D' B2 F2 D' U F' D2 F U L' B F U2 F2 L2 U,W
661079050,F2 U2 R F2 L' B2 L B2 U2 F2 D' B' L' F' D R' U L D' R2 B',W
4428914001,F2 U2 L2 R D2 L F2 L' D L' U' F D' L2 R F' D2 B2 D2,W
1331002001,U2 L2 B' R2 D2 B' R2 D2 L2 U2 R B F' R F D' L' U B F U',W
4308236007,B D L D' B2 L2 B2 F2 R2 D B2 U' B2 R' U F' D' U R2 F L2 U,W
724835001,F' R' L2 D F' R2 L' U2 R F' R2 L2 D' L2 D' F2 U2 L2 U R2,W
4626880048,F' U R F2 R' B2 L D2 F2 R B2 L2 B D U F' L U' F2 L' D2,W
1995605001,L' U F L U' F' D2 B' L F B L2 F2 B U2 R2 L U,W
2642518001,L B' U2 L2 R2 B' U2 F R2 B U' B2 L' D U' F L' B U2 R,W
4878824001,U' D2 F' D2 L2 U2 R2 B L2 B' D2 L F L' U R F' U2 L D,W
1324379001,D2 L2 F' L2 B D2 F' L2 B' F R' B2 D2 F R F D2 R' D' L U B R',W
4400606040,D2 B D2 B' L2 B2 L2 U B' F2 D L2 B D' U2 R' U2 L B R,W
