# Scramble Extremes — std / xxcross / W / bin 6 (3rd-smallest)
# Population in this bin: 1342
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

3167328001,D' R2 U' F D' F2 L2 B2 L' F' U2 B' R2 F L2 U2 D2 B2,W
889422001,D U' B2 R2 B2 D' F2 L2 D' F' D' R' B F L2 U' L F' L D' L2 U,W
4200299001,U' L B' U2 D F' R2 L U D2 R F2 U2 R F2 L' F2 B2,W
1178785001,D' R2 B2 R2 F2 D' L2 R' B U' F' U2 R B' U2 L' U2 R2,W
2301510001,B L B2 U2 R U2 R' U2 R2 B' U2 R B' D B D' B',W
2817956001,D' B R' F2 L2 U2 L2 U2 L' U2 F2 U2 B F2 L B2 D' U' F',W
4308338001,F' L D L' F' D' F' B2 U2 D' L2 U2 R2 F2 B L D2 B2,W
4125688001,L F2 R' B2 U2 R2 D2 L2 U' F R' F R2 U2 B2 F' L' D',W
23714001,F2 R2 B2 R U2 R F2 U2 F' D U2 L' U2 F2 U2 B L R2 D' B',W
3945401001,B D' F B R F2 L' D' R' F L U2 L2 D2 F L2 B D2 B',W
24504001,U2 R D2 B2 L B2 U2 B2 L' U B2 R' D U2 B D' L2 F' U R,W
643701013,B2 R2 U' L2 R2 B2 L2 R2 U2 R U' B' U B F2 R2 B U F L' F,W
4427180001,D' R' U L2 F2 B2 R' F D F' R2 B' D2 R2 F U2 R',W
891596001,F R2 D2 B' D2 F U2 B R2 U2 B2 D B2 L' R' F' R' F R2,W
660064001,R2 B U2 B' L2 F' L2 B' R' F L R2 B' U' F' L2 B2 D2 F2,W
976930001,F' B' U' D2 L2 B' R U2 B R U' B2 U B2 D B2 U F2 B2,W
3131598005,R2 B2 D F' L2 F2 U2 L2 B2 U' L B2 U2 D2 R2 L U2 D2 L2 U,W
3203465037,F D L D' B R2 L B D2 B2 R2 D2 R L2 F2 U2 R D2 B' U B R2,W
40652001,D2 L B2 R2 B2 R F2 R B U R2 D U' B' R2 F2 U L2,W
2272058001,R2 D2 B L2 F U2 B' F U B F2 D' U' L2 B U L D2 L,W
4613158019,D2 L2 B2 L' R' F2 L' F U B' F2 U' F' L' U' F2 L2 F2 L,W
4105805001,L' B2 F R2 F' U2 B D2 R F L2 R' F U' B D2 L2,W
583086001,B2 U' B2 F2 D L2 D R D2 L' B' U R' D2 B U' F' D2,W
47142001,R F2 R B R2 U' R U2 R2 U F D2 F2 R2 U L2 B2 L2 D2,W
5251641001,F D F' R L' B U' R2 B2 R2 B2 U2 B2 R B L U2 L',W
5149959009,L' F U' F2 U2 B2 D' B' R B2 L2 F R2 D2 F' R2 U2 B' R2,W
722958001,L' F2 U2 R' F' L F B' R' L' U' L2 U' D2 R2 B2 U2 L2,W
2043275001,F2 D2 R' D U L2 D F2 R2 F R D2 R2 D2 B2 F' L',W
953546001,F' D2 R2 B R2 B' D2 U L B D B' F D' F' U2 L',W
1261853001,U2 L D2 B2 R U2 L F2 R' D2 B L' D L' F D2 F R2 F L' B' L',W
589583001,F2 B2 R B L D' B D' L D2 L U2 B2 R' D2 L2 B2 D2 R,W
1035840001,R U2 L R2 U2 L' B2 R2 D L' D F' D R2 B U2 R F,W
3341116001,F' U D2 F R2 U2 F' L2 D2 F U2 B U2 R B' R2 B L2 U B2,W
64314001,D2 R2 B2 D2 R2 D L2 D F2 L' U B' L2 R2 U' R U' R' F' R2 D',W
1902384001,D B' D L' D2 L B2 D2 R D2 R2 B R F' D R D2 L R,W
909976033,F2 U' R2 U B2 D R2 B2 U' R' F' L2 R D L2 D B U' L2 B' L2,W
688186001,L U2 L B' R D L' B2 U' R' L F D2 L2 B D2 B R2,W
2819443001,L' U B2 R2 D' R2 B2 R2 F' R B2 F R U' B' D F L2,W
4000073034,D2 R2 D' R2 F2 U' B2 D' F' R2 U' L' F2 U R' U' B D R B' L2,W
608693001,D2 F2 R2 D2 B D2 F2 L2 F2 R' U L' U F' R' U2 B2 U2 B2,W
3120689026,D2 B' D2 B2 R U2 D' L2 F' B2 R2 D2 B2 L2 U' F2 L B2 L' F2,W
5031785001,B R' B2 L B2 F2 R2 U2 F2 U2 F' U B F' U2 B2 R D' R2,W
805138001,F2 D L2 B2 U' R2 U' F' R D B R2 D' F' D2 F R2 F',W
906002020,L2 U' B2 U' R2 B2 D U2 F2 D2 F L' U B L F2 L B F2 D2 B2 L' F2,W
2286667001,D F D' F2 D F2 L2 U' R2 L' B' D' R2 D' B L2 F U,W
2042561030,F' U R2 F D' B2 U' R' F R2 D B R2 L2 F U2 D2 L2 F L2 U',W
3205887001,R D' F' D2 B' L2 B R2 U2 F' D F L' F2 R' B F D F L B',W
3375939001,U D2 B' U2 L2 U2 B' D2 R2 F2 R' D' B U' R D2 U L' B D',W
113208001,B2 D2 F B' L' D L' F U' F D' L2 D2 R U2 L' D2 L',W
4721184001,U2 F2 R D2 L F2 R' B2 D2 R B2 R' U' R F' L F D2 F2,W
3004237016,L2 F' U' D2 B' L2 B2 U2 R2 B' R2 U B2 F2 L2 F L F2 D B R2,W
1037993001,R2 F2 U' R2 F2 D2 R2 D' L2 D' B' F' L U' B2 R B U' L' F2 L' F,W
121987001,D2 L2 D2 F2 D2 L' D2 R2 U2 B2 R B R B L' D R2 B L' U R',W
4442046001,U' F2 U F2 B2 U' L' D B' U2 R2 F2 R' U2 D2 R2 F' L,W
1470925001,B' D2 F' D2 F D2 F U2 R2 D F' D2 L F' L2 R2 B L2 F',W
2450460001,F' B2 R' B' R2 D' R B2 R2 D2 F2 U2 B' U2 B' D2 L',W
2484639001,F2 D' U2 R B2 L B2 R' D2 B' D2 B' L' B2 D' U' L',W
1747740032,R' F2 L D2 B2 F' D2 L2 D2 U2 B' D' R2 U B2 R' B' D' L B',W
141245001,B2 D B2 D2 B2 L2 U B2 D R2 F2 L' D' L R D R B L R2 B' L,W
1091373001,U' L' B' L' B U B D R2 F2 U' D' R2 D2 B2 R2 F2,W
655103001,L2 F2 D F2 R2 D2 B2 F U F2 D2 U' L B' L2 U2 B' U',W
146235001,D2 R2 F' L2 B' R2 U2 F D F2 U2 L2 R2 U2 R B' F2 L' U',W
2037508001,F2 R2 F2 L2 B' L2 D2 L2 R2 B' D' B R U2 R2 F' R' B2 L2 B,W
1427750001,F R2 B R2 F' U2 F' D' R2 U L2 U2 L2 F2 D2 B' F' D',W
2568701027,U2 F2 R' D L U F2 U F2 U L2 B2 L' D B2 F' U B L' B' L',W
4023594001,U' R D2 R2 D' L2 U' B2 R2 U2 B' F' U F2 U F2 U2 L D2,W
698276001,F U B' U' D2 L' U B' R2 F D L2 U2 B' L2 B2 D2 F2,W
4725510012,D R B2 U' R' L2 U' B2 D F2 L F2 B2 U' D2 F2 D2 L2 U,W
186291001,D' F' U' R' D2 R F2 U F D2 R' F2 B2 D2 L2 D2 L D2 R',W
190552001,U L2 U R2 B2 U F2 U R2 B' R D' F L' R B' L R2 U L',W
802362001,D2 B2 R' U2 F2 D2 F2 L U2 R2 B' D2 R U F2 U L U L,W
4435411001,B' D F2 D' L' D2 F' L B' U B U2 L2 B' U2 F2 L2 F' D2,W
1187844005,B2 R2 F2 D B2 R2 D L2 D' U' L' B2 R' B L' F L' B2 R' U' B' L',W
