# Scramble Extremes — std / xxcross / Y / bin 11 (max)
# Population in this bin: 2973
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

3154980001,U2 B F R2 B2 R2 D2 B' L2 D2 R2 U2 D B2 F' L' R' F' U' F' U',Y
4440973033,R' L' U D' L' B R2 B D R2 B2 L2 F2 B2 L' U2 R2 U2 F L B',Y
1992243001,D' B' L' U2 R2 B U2 D2 R' U' R2 D2 L2 U2 F2 R2 U' L D,Y
3318003001,R D2 B D2 L' B2 U2 L' R D2 F2 R' F U R' F D B L2,Y
3100104001,L B2 R D2 L B2 F2 L F2 U' R2 B2 U2 F' L' B2 R B' F2 U,Y
3589639001,D U R2 F2 R2 D' B2 R2 U' B2 L B2 U R' F L' U2 R2 B2 D,Y
4744551001,B' R2 F2 U R2 F2 D' B2 U2 B L2 B L R D' R' F' U L',Y
5221584001,R2 D' L B U F' R F2 R2 F L2 D' F2 L2 U L2 U' F,Y
1176393001,B2 L U2 F2 R2 F2 R D2 R' F L2 D' R' U F L U' R2 U' R2,Y
1373291032,L2 U2 L2 D L2 B2 R2 D2 B2 U' B' R D' L D2 F U' B2 R B' L B',Y
3424823001,U' R2 F R2 F2 R2 B2 D' U2 F2 L2 D' U2 F R' B' F R D' L',Y
1826841001,R F2 L' B U2 F2 D2 R2 D L2 U B D' F' R D' B' D' F,Y
4291016001,L2 B2 D B2 L2 D R2 U' B U2 F D' L2 D R' B2 D' B F,Y
734483001,F' D' B U' F R D' B2 L D B R2 U B2 D2 R2 U L2 B2,Y
4850812001,D' R D2 R2 B D2 B D2 F L2 F2 U2 L2 F' L U B' F2 L U' R2,Y
14635001,F2 R2 F D2 F U' D L' U R U2 L2 B' U2 R2 F U2 F D2 B',Y
4391820001,L2 U2 F2 L2 D2 U' L' U2 L B2 F' R B2 F U L2 B',Y
3925876001,U B' L2 U' L2 F U' L F B2 R2 D2 F2 U' D2 L2 U B2 U F',Y
1429362001,U B' R F' B' R' D L U B R' B2 L2 D2 F U2 B D2 F',Y
3486308004,L2 F' L' B' R D' F' U' L' D2 R D2 L2 U2 R' F2 L2 F2 U' L B,Y
448377001,U2 R' F' B2 R F2 B' R' B L B R2 U' L2 F2 D F2 R2 L2 U2,Y
4136661001,F R D L F' U B' D' U2 F2 B' L2 D2 B2 D2 F' D2 L2 D2 L B,Y
1041560018,U' R2 D2 R2 F2 R2 F2 U2 B2 U R D F' R2 B' L D R' U R2 B L B2,Y
1401706001,L2 U' R2 D2 B2 U B2 D' B' L' F2 L2 R' D F R U2 L2 U' F,Y
5107762001,R F' U' R2 U2 B2 U2 B F2 D2 U2 F' U' L D' F2 L' B R' D2 B R2,Y
5092081090,B' D2 L2 R2 D L2 U' L2 B2 D U F R2 B D L R' U2 B2 F L B',Y
3147568001,U2 L R2 F2 R B2 U2 R' D B' R' D' F L2 B2 D L2 U2 R2,Y
577200001,F2 D F2 U' B2 L2 B2 R2 D F2 U2 B' L U B2 F' L U' B2 R',Y
2064013001,R' U2 F2 D U2 L D2 B2 F2 R U2 R2 D' R F' D2 B D' U,Y
4209429001,U2 B' U2 F2 U2 B' L2 F L2 U2 F' R U' L F2 U F2 D' B D2,Y
2317530005,U' F' L' D2 F2 D L2 B2 D F2 U R B D F' L B U B D,Y
4187091001,D2 B' D2 F L2 D2 B2 D2 B2 F U2 D R2 U' R' F L' D' U2 B U' L2 U',Y
5224579001,F2 B2 L D B U' D2 L2 F2 B2 R B2 R2 L2 F' U2 R2 B U2,Y
3255728001,U L' D F R2 L B' U F L2 B U2 R' U2 F2 D2 B2 D2,Y
507890001,U2 L B2 F2 U2 L' U2 F2 R' D B' U B2 R' U2 B D2 F' D R,Y
4240641001,L2 F2 D' U2 B2 U F2 R2 F' D L R U L2 B2 U' B' F R',Y
874480001,R2 F U2 R2 U2 L2 U2 L' B2 F2 D L' R2 B F2 D' B2 F',Y
3500924001,U2 B2 U R2 B2 F2 U' L' U' R' D R2 U' F L' B F2 L U,Y
724825001,F2 D2 B D2 F' R2 F L2 B' D F R F' L' B L' D' B2 L D2 F',Y
2401275001,B' R' F' L B2 R2 D2 B U2 F' R2 F2 D F' D F2 D2 U B2,Y
2782857001,U2 F R' B2 R D' B' U L' F2 D2 L2 B R2 B' R2 B2 U2 R,Y
1172802001,B' R' D' L' D2 L2 B2 D' L B' R' L2 D B2 R2 U L2 F2,Y
4057404001,D' L2 D' R2 D2 F2 D' L' B L' R B2 D U' F' L D' F2 R,Y
817036001,L2 B L F' R2 U R2 D L' B2 U D2 B2 D2 L U2 R' B2 L D2,Y
4034039001,U D2 R2 U L' D2 R' B' U' F' D' B2 D2 R F2 B2 L D2 R2,Y
5165804001,F' D2 F2 U F2 R2 B2 F2 R2 F2 L' D B' R' D' U B' F2 U',Y
306926001,U' D B U R U2 F U B' L2 F2 L' D2 L' U2 L2 D2 R' F2 R',Y
4697259012,L F D' F2 D2 R2 F2 R2 U B2 U' L' F L' U F' R B D R2 B',Y
4701612001,B2 R2 F' U2 B2 U2 F' D2 B D2 U R U' B2 L' D R' D F' U',Y
628049001,B2 D2 R2 B2 F2 U' L2 U' R2 F U L B' L D2 R' D' B' R2 B',Y
357440001,D2 U2 R B2 R B2 F2 R' D U L' U B F2 U' F' D2 B2 U2,Y
5047137001,R' F R2 L D2 L B' F2 L2 U2 B2 R2 U' F2 L2 U R F R B R',Y
3287171001,B2 D L D2 L F' R2 U R' D2 R2 U2 L D2 R U2 L2 D2 B2 U2 L B',Y
2476176001,R' F2 D' R2 U' L2 D U2 L2 R F2 L U' L2 R' B' D R D',Y
672776001,R2 U2 L2 B2 R U2 B2 L' B F' D2 R U L' F' L' D' L' D',Y
3271565001,F2 L' D2 R B2 R' F2 R' U2 D' B L' U' B' F' U B' R' U2,Y
4493570001,R' F' U F2 B' U' L' D' B R2 L2 F U2 B' R2 B' U2 R2 D B',Y
4937631001,D' R U2 B2 L2 U2 L2 U F2 U R2 B2 D2 B' R' F' L' F2 D R2 D2,Y
3960226001,U2 R' D2 R2 D F2 L2 D B2 L2 D U B F U L' U L' R' D,Y
4407733001,F U' R' F L2 D2 L2 D2 R2 B2 L2 D F2 R B D' R2 F' L,Y
2349409001,R D R2 D2 B2 F2 L2 B' D' B' U' R B' L2 D B2 U,Y
4712988001,L U F L' F' R B' U2 D L F2 U R2 U F2 D F2 U L,Y
3744122001,L2 F' D2 F' L' U2 D' B L2 U R U2 R2 U2 R B2 L' F2,Y
4482901001,D2 F R' F' R2 B' L2 B2 L2 D2 B' U2 L2 F2 R' F L2 D B' F,Y
1032532001,R2 U2 B2 F2 L R' F2 D2 F D R B R F' D2 L D L2 F,Y
4474986001,D2 R2 B2 L2 B' D2 F U' R B L' U' B2 L D2 F' D' U R,Y
826805001,U2 R2 D2 R2 F2 U L2 B2 D' U' R U2 R' B' D' U' L F' R' U' B',Y
1988504001,D' B R' D L U' R2 F' R' D2 L F2 R B2 R' B2 U2 B D',Y
75395001,F2 U2 R D2 L' F2 L2 U2 R2 U2 R' U' L2 B U L R D' F D B L B2,Y
3154523001,R' B2 D B2 D' R2 D L2 D' R2 B2 L B F2 U R B' D L F',Y
81569001,L F2 D2 R' U2 R' B2 F2 U2 B' D L' U' F' U L U' L' R',Y
403400001,D U2 F2 L2 U R2 D B2 L F D' F2 R' D2 R2 U2 B F2 U2 R2,Y
5018511001,R' F' D2 L2 D2 B2 L D2 U2 F2 U2 R' D2 B' U R' D' L' U2 R',Y
2942589001,D F' U2 L2 U2 R' B' L2 D F2 U B2 L2 U' D2 B2 R B2 U' L',Y
4103901001,L' F' D B2 L2 R2 D L2 U' R2 B2 F2 R2 D F' L' R F2 U' R,Y
1874112001,B2 R2 B2 R' B2 F2 L B2 U B2 U2 R' D' B' D L' F' U' F2,Y
3382660001,U' R2 D R2 U' F2 U2 B2 R2 U B U' L' D' R D' B2 L2 U' B,Y
4361837001,D' R B' D2 R F2 L R B2 F2 D2 F2 R' D L2 F D L' B L',Y
660852005,D2 L2 U R2 D' F2 R2 F2 U' F' R D' B2 D B' U2 B2 L U' B' L',Y
91678001,D' L2 F2 D B2 D2 U F2 D2 U' R B' R' U L' F2 U2 R2 F R D B R,Y
1281724016,U2 L' R' D2 U2 R' D2 R D2 F' D' L2 B L' U' L2 D2 B2 U2 L B2,Y
4799201011,L U F U' L' B D' R F L B D R2 F2 U2 L2 U' R2 D' L B,Y
505353001,F2 R F B2 L B' D2 F D' B2 U2 B2 U2 L2 U2 F L2 F' D2 F2,Y
4599042001,U2 F' B2 R2 B D L U2 B2 U2 B2 D' R2 B2 R2 F2 D' R B,Y
570135001,B2 L2 D2 F2 D2 F2 U2 R2 F2 R' F' L' R2 D' R B' F2 U' R2 U,Y
4096034001,U' R2 F' L2 F R2 U2 L2 B2 D L B F' U F R' B F L2,Y
721368001,B2 D2 R2 D' R2 L B R F L' F' U2 F' R2 L2 F' U2 F,Y
4516278001,D2 B' D' F2 D U2 F2 U F2 R2 L' B' R2 D' B2 F R2 B2 R,Y
3280326001,L D B R2 F2 L2 D2 B2 D2 L' D2 B' L2 D' F L2 R F' D',Y
721086001,L2 F R2 B' D' R B' L D R2 U' F' L2 F' D2 B L2 F2 R2 F',Y
3017035001,R2 D' L D R F2 B' R2 D B2 U D2 B2 U' B2 U L2 R B2 D,Y
1200612001,R D2 B2 F2 L2 B2 L' B2 D L' B2 L D' F U R' B' F,Y
4380692001,B2 L D2 L B2 L R' F2 R2 B' R U' L2 F U2 B2 D L' U F,Y
2234767022,D2 F L2 U2 B' D' L2 F2 U' L2 U' F' R D B' U' L2 F D2,Y
2312719001,F2 D2 B2 R2 U' L2 R2 U2 B2 L2 B2 U' R F' D2 B R B2 L' D' L',Y
1881301001,B' R U' R2 F R2 D' F' L' B2 U2 L2 D F2 D B2 R2 B2 U' D',Y
3587948001,F' U L2 D2 L' D2 U2 B2 R' F2 B' U L2 F' U2 L R' B2 U,Y
112278001,U2 R2 U2 R B2 R' B2 U2 R F2 L2 D' F' D B L' B2 D' U B' F2 D2,Y
777787001,R D2 R' D2 F L U' D' R' F R' F2 L U2 D2 R2 D2 R' B2 U2,Y
