# Scramble Extremes — std / xxxcross / B / bin 13 (max)
# Population in this bin: 3536
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:18:06.033Z
# Columns: id,scramble,bottom_color

5067790001,B L2 D F' R B D L U2 R2 U2 F2 L2 B2 R2 D2 B2 U L' B2,B
2439310001,B2 R U2 B2 R' D2 U2 R2 F2 R' D B2 F D F L F' R2 D' R',B
2319845001,B2 R B D' F2 R' U L F2 U' B2 L U2 F2 D2 F2 R' L' D2,B
1038848001,L2 B R2 F2 L2 U2 B R2 D2 B2 D' B R' U2 L R' B' D' R2 F',B
3675913001,R B U R2 U' L2 F2 R2 U F2 U2 F D F2 D' F' L2 R D' L',B
953098001,R2 B2 U2 F2 R' B2 L' B2 R B' D F' U' L R' F' D2 B2 U',B
314566001,L D2 L2 B2 U' R' D2 F D' R L' F2 R2 F2 U L2 U' D' F2 D,B
3257982001,B' R2 D' B2 R' U2 F R' L B2 R' F2 D2 R L B U' L,B
2548177001,F2 R' F B U' R F2 U' L U2 R2 F U2 F D2 F' L2 D2 B U2,B
3176328001,U' R' L F' U' R' D L2 U2 F' D2 L2 F' B' U2 B U2 R D' F,B
4632776001,L F U' B' D' L' F L2 U' R' B2 D' L2 B2 D2 L2 D R2 B,B
4864630047,U' L2 U2 R2 F' R2 F' R2 F L2 B U' R B' D' U2 F' L2 B2 F2 L2 U2,B
3732902001,U2 F' L' U2 F' L2 U2 L2 B' D2 U2 R2 U R' B D F U L,B
4086686027,U2 F2 D2 L2 D' L2 D' F2 R B2 L U2 L2 F R' U B2 F' L B',B
960925001,U L2 R2 F2 D F2 D U R F2 U B U2 L' B R F L' U2 F',B
1182988001,D2 F2 L2 B2 L' B2 U2 L' D2 L' U' L' R2 D L' B' L U2 R2 B',B
2266123002,L2 B2 U2 R2 D' L2 D' R2 D' R2 B D' U' F' R U2 L' D2 F' D L' F',B
661022025,R2 B U2 F L2 B R2 B2 U2 L R B F2 R2 B D' U' B2 U2 B' L,B
1385042001,R2 U2 B2 R U2 B2 L U2 B2 D2 L U' L' F' D' U F' L2 B R2,B
1093364001,B2 D' B2 U' L2 D2 B2 R2 U' F2 D F' U' L' U2 R' F D' R2 B L2,B
1089502001,F R2 D F' L2 F2 U B' D2 R D2 R2 U B2 R2 D' R2 U' R2 B2,B
3810862001,U2 L2 D L2 B U R2 D L' U D' L2 U2 B2 R D2 F2 R2,B
2090521001,D F2 B U F' L2 F R B2 L2 D' F2 B2 D L' B R2,B
1266584001,U B2 U2 R D2 L' D' F R' U' F' L2 F2 R2 F2 D2 F' L2 F2 L2,B
3318364001,L' U B U L2 D' L2 B L U2 B2 R' D2 B2 L2 B2 F L2 B,B
3746954001,U' R' B' R2 F2 U2 D' L2 U' B L' D' R2 D2 B2 R2 U' R2,B
716597001,D2 R2 B' U2 L2 B' L2 R2 B F2 D U B D2 L' B2 F2 U2 L' U,B
2372804028,D2 F R2 B2 D2 B' U2 R2 B2 R2 F2 R' D' L2 D' U' F R' F2 D L2,B
1731459001,R' F2 D B2 D' L2 D' R2 F2 U L2 B2 R' F L B F U' R' B2 L,B
4676361026,U F2 D2 U2 B' L2 R2 B D' L U2 L2 U2 F' R2 B2 U' L B,B
924864001,U F2 D' R2 U' R2 D' F2 R U2 F2 D U' B' R U' F L U' B,B
5047912001,R B L F' B2 D U' B2 L2 D2 U' B2 L' R B D2 R2 D' B2,B
3816149001,R2 B2 U F2 D' U2 L2 U2 F' D2 U B' L U F R D' R B2 L,B
1370972001,B2 R F D' F' R' F2 R D2 L' U' R2 B2 R2 U2 F U2 B D2 R2,B
4758723001,U' F L B' U' F' U L' B D2 R2 U L2 U' L2 D2 B U,B
771500001,B2 F2 D R2 D B2 D R2 U F U2 B U B L' U2 B' F R',B
4565113008,B' D' F D' R2 F2 L R U2 L' F D2 U L R F2 U2 L' F,B
4677475001,F2 L U B D2 L2 U' F2 L2 R2 D2 U B' R B2 R D2 R F,B
420025001,R U R2 D B L' D' R' U L U' F L2 F' B2 U2 F2 B2 R2,B
