# Scramble Extremes — std / xxxcross / B / bin 8 (3rd-smallest)
# Population in this bin: 909
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-26T04:37:30.356Z
# Columns: id,scramble,bottom_color

1168137001,L2 F2 D L2 U' L2 U' L2 D2 B' D2 R' B U2 L2 B' R U' R F',B
2128687001,U' L' F2 U' F2 L2 F2 L2 D2 U R' U R2 D2 F U' F,B
3580639001,F2 U L2 B D2 F2 D U2 F2 L D2 R F2 R' F2 U2 F' D2,B
2894217001,F L D' U2 B2 U2 L2 D2 R2 L' B' U2 R U' R2 U' B2 D',B
23678001,D R2 U2 R2 D2 F2 U B2 F2 R U F' D F U' F' D,B
23758001,B2 F2 R2 B2 F2 D2 F L U2 L B2 L' B' D' L2 D' U2 L,B
4635122001,D2 L' F' L B' U' F2 D' B' D' F2 D' R2 U2 F2 L2 U2 R2 B',B
27231001,L B' R' B U' F L F' U B U R2 U' R2 B2 D2 B2 D2 L2,B
1116420001,F2 B2 R F U R2 D2 F U B2 U R2 F' U2 F R2 L2 B,B
38039001,U R2 U2 L2 D' B2 L2 R U' R' U F D2 U R2 F2 L' R',B
4539886001,L U2 B' L2 U2 F2 U' R2 D U2 L F' U L U' L D B',B
4345324001,R2 F2 D R L2 U' F2 L2 B2 D R2 D' F D' L2 F2 U' B' U2,B
3996155015,F B2 R2 F2 D' U2 L2 U2 L2 F R' F2 L' F' U B2 D R D2 L' F2,B
948310001,D F2 U' L2 R2 U' L2 R2 D B2 F D2 L D B D2 U' B F U,B
2970531002,U2 F2 R' D2 R F2 D2 U2 L2 B D' F' L B D' U B2 U2 F L2 U',B
2076930001,R' U' F D F' U F' D B' R D2 L F2 R2 U2 R2 D2 F2 U' L2 U' R2 B2 R' U' F,B
3025084001,F' U L' R2 D2 L2 R F R2 U2 B' L R' U2 R',B
3414025041,U R2 D F2 R' B U2 B2 L2 F' D2 F' R2 F U2 F' U R2 B R2,B
1340790001,R2 D2 R2 F L' U' F2 U2 F U' R F2 U2 L F2 R F2 D2 L2,B
