# Scramble Extremes — eo / eo_xcross / BG / bin 10 (max)
# Population in this bin: 1910
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

5027855001,D' F' U2 F' D2 L2 F' U2 F R' F' D2 L' B' L F' U' F D,B
3502909001,R' U' F L2 D2 L2 F2 U2 B L2 F2 D2 F' D L D2 F R' D L' D R2 D' R' U' F,B
3073301001,R2 U2 L2 R2 D' B2 U B2 L2 F2 U' R D2 B L D2 B2 F' R D',B
5018557001,L' B' U D F' D' R2 U2 R2 F B2 R2 L2 U2 R U' L' U2,B
5177744001,B2 F R2 U F2 D' F2 D2 F2 L2 D2 R D' R' B' D R' D L F,B
5228966001,D' R' D2 B2 L D2 L D2 B2 F D F' U' L' D2 L B F2 L,B
3525806001,L2 U' B2 D L2 R2 B2 L2 R U' B D U' R' U' F U B L,B
2940333013,U' B2 L U2 R2 D2 B2 D' F2 L2 U2 B2 F' R' F L D2 F' D B' L,B
1362333001,U L2 D B2 D2 B2 D2 F2 L F' L2 B U' R' F2 D' B2 D' L R',B
4037345001,U2 R' B2 U2 B2 L' U2 L' B2 L2 F D' B' U' R2 U2 L' D2 B' R',B
599312001,B2 F L2 F' U2 F' D2 L2 U2 B2 R B' R' U L U L2 F D' R,B
1882832001,F2 R U D R' B' L2 D2 R B2 L D2 B U2 B L2 B' U2 F,B
3608626001,F2 R2 F R F U D' R F L' U B2 D2 L2 D' B2 U F2 D',B
2744617001,B' R2 F2 L U2 L B2 L' B2 D2 F D F D' L' D B2 L2 B R,B
4073040001,B2 R2 U' F2 D' B2 U' B' D2 L' D L2 U2 R D' B R F R,B
2957033001,L2 D2 L U F2 R2 D L2 D B2 R2 D2 L2 B' L' B2 R' U R' D,B
5128690006,F' U R D' L' U' B L2 U L' F L2 U L2 U D2 L2 B2 U' B',B
1025177001,D' R2 L' U2 R' F2 B L' D F R U R2 L2 F2 B2 D2 F2 L2 U',B
389062001,U F2 B' L' B' R L' U L' F' R2 U2 F B' U2 D2 F2,B
52292001,L B' R' L2 F U' R2 D F U' F2 D2 R F2 U2 R2 B2 U2 R2 B2 R',B
3924741001,B L2 D B2 U L2 D2 L2 U' L U' F2 L2 R2 B' U' B2 R' U2,B
1057289001,U2 F2 L2 U2 F2 L2 U2 B2 R' D' B2 L D2 F' L' U R' D2 R' F,B
1289566001,B' F' L2 F U2 F D2 L2 U2 B' L' F2 D' L2 R D2 L B U' F' R',B
2327650001,B' L' D B' L2 D2 R' B D' R2 F' L2 B' R2 U2 F2 U2 F' L2,B
59374001,R2 B2 L U2 L' F2 D2 U2 L' F2 L' F' D F2 U2 B' L' D' U F' R',B
660942003,D R2 D' L2 F2 U2 B2 D R2 D L' D' R2 B' F' D' R U2 B' D' R2 B' L',B
65387001,R' U F D F2 R2 L' B D F D' L2 U' R2 L2 U' D' F2 L2 F2,B
67947001,R2 F' R2 B D2 U2 L2 B' D2 B U L' D' U2 B' R2 D2 R F' D L',B
589419001,D2 U2 F2 D R2 D U B L2 F2 D U2 R F' D B L' D' U,B
764385001,D F2 D' B2 U' L2 D' U' R2 B2 R' D L' U2 B' U F D L' D,B
3833772001,U' F2 R' B' D2 B' L2 U2 B2 R2 B' R2 F' U' B' L' F' U F D,B
669005001,D' L2 U' L2 D' R2 U2 L2 F2 R' U' B F U B' R2 D' U' R' D',B
1080854001,U L2 B2 U' B2 U B2 U L2 D' L2 B' U B2 R D' U L D' U2 R2 B R2,B
75243001,R F2 B' U2 L F2 B2 D L2 U L' B2 U2 B2 U2 F L2 B',B
3833281001,B' R' U2 F2 L D2 U2 B2 D2 U' F R' F2 U' F' R' U L2 B,B
1952054001,D' R B U2 L U' L' F' U D2 F2 U D B2 L2 B2 R2 D L' B,B
78842001,D2 B2 L2 D U2 R2 B2 F2 D' L2 B R2 U' F2 L B R' D L U L',B
552475001,D2 R2 B R2 U2 L2 U2 F' L2 U R F' D' B2 U' L' R' U' B R',B
1242100001,L2 D2 L U2 F2 U2 R' D2 R' F' D' U' B R U' L' D L2 D,B
1965609018,F' L2 D2 U' F2 L2 U' F2 L2 B2 L D B' F2 L2 U2 F2 R' F' D,B
886495001,B2 L2 B2 U2 B2 F2 L' R2 D2 L' F' R B' D2 L' U' R B2 R D,B
983944001,R2 B2 D2 R U2 F2 L' D2 B2 F' U' R D L' F2 R2 D' B2 D2 B',B
3586530001,U R2 U2 L2 B2 R2 F' L2 B L U' B' R D B F U2 B F2,B
981488001,R B2 R U2 R2 B2 R' B2 U2 F2 R' B U L' D F D' R' B2 U,B
772005001,R D2 R D' F' B D2 B2 U2 D' R' L2 B2 R2 F2 D' F2 U F2 R2 U,B
2451649001,D' B2 R' U2 L' F2 R F2 R' U2 B2 R2 B' L' F' D U' B' L2 R,B
799252001,L' D2 U2 F2 L' U2 L D2 B2 F2 U B' D' F2 U' L' U L B' R2,B
1845626036,F' U F' L2 D2 B F' U2 L2 R2 F2 R U2 L' F R U' F2 U2 B' L B',B
94456001,U' R2 B2 L2 B2 U' L2 U2 B2 U' F' R' B L' U2 L2 F2 U F' D2 L2,B
3940094001,F2 B D' B L F R' D' B' R2 L2 D2 B2 R' B2 L2 B' U',B
