# Scramble Extremes — eo / eo_xcross / W / bin 10 (max)
# Population in this bin: 32901
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

3541706001,F2 L2 F2 U L2 U2 R2 D' L2 D L' B' F' U' L2 R' B' D' B2 U2,W
3497236001,D F2 L D L2 B F D2 B2 F' U2 L2 R' B' R2 U2 L D L,W
577162001,B2 R2 U' F2 U2 B2 L2 D L2 B' R2 D R F' D' B2 F D' U',W
4563026001,U R D2 F2 U2 B' L2 F' U2 F' R2 D' F D R2 F2 R2 U R',W
1579259001,F2 D U' L2 U2 B2 F2 U2 F' D R' B U F D2 F2 D' R B2 L' F,W
4450545001,B2 D B U' L' F' U L2 F2 L F2 U2 F' L2 B' D2 B' L2 F,W
2645971056,F U' B' D' R2 U2 R2 F2 D' U' R2 F' U' B' F U' R' B2 U B' L',W
841745035,B' U2 B' R2 D2 R2 U2 B' D' L D' L R U2 B L D' R' U F' D,W
589113001,U2 B2 R U2 L D2 L D2 R D2 B U' F D B' R' U F' L B2 R' B,W
2892529001,B' L' F D R D B' D' L2 B2 R U2 F2 U2 L D B' R B R,W
3168382049,B2 L F' R D R' D' R2 B U' R' F' R2 F L2 D2 F D2 B' L2,W
4248265001,U2 B' U' B' R2 L' F D' R L B2 R B2 U2 D2 L' U' F',W
660884011,D2 B F D2 U2 F R2 B' F' R B' F' D' L2 R2 B L2 U R' U2 B2 L B,W
411027001,F U' D2 F' U R D L2 F D R2 B2 U2 L' B2 L' B2 L2 F2 B2,W
316953001,B2 F2 D' U2 L2 B2 D U2 R U F2 L2 U L2 B' D2 F2 R D' L' D',W
2139521001,F2 U2 B2 U R2 D F2 D F' R2 B' F R B2 L B D2 F U2,W
1200685001,D2 F' R2 B' L' D2 B R' L2 F L2 U D2 L2 U R2 U' B2 D,W
1262913001,D R2 U2 R2 B2 D' F2 U2 L F2 D U' L F U' B' L R2 B2,W
4877619001,U' B R F2 D B U' B' L F2 R U2 R' F2 R' L' B2 D2 B2 F L B,W
4848403001,D U2 L' F2 R U2 R2 F2 L' B2 R U2 R2 F U R D2 F D' U2 B R,W
692241060,U B2 F2 U' F2 D B2 L2 U2 B' R U2 F D' R U' F2 R' U2 F' D' L' F',W
4023095001,U' F' U' L U' D' F' R B2 R2 U L2 B2 R2 U2 F2 L F2,W
3283548001,U' L2 D2 U R2 D' B' F D' L' U2 F2 U F' R2 D B L2,W
2894138001,D' B R' L' F R2 B' L U L U2 B2 D F2 D B2 U' B2 U' L,W
3224432001,F2 L' U2 L' B2 F2 R U2 F2 D' L' D F D B U' R B' U L',W
798182028,R' D2 F2 R F2 R' U2 B2 R F2 D U' R D F' D U2 F L2 U B' L,W
673524001,U' R2 F2 U F2 U L2 F U' B' L' D L2 R2 F' R D R U',W
1074151005,L' F2 L2 U2 R2 D2 F2 L' U2 R B' R2 D R' D B2 U2 F U B2 L,W
922837001,R2 F2 R' D2 F2 R B2 F2 L' D2 U' B' U' R' F' R' D' R2 U2 L F2 L2,W
661219027,B R2 F2 L2 D2 R2 B' U2 B2 U2 L2 D R2 U' B' R' F2 D L' B2 D B R',W
1247318001,U2 B2 U2 F2 D' L2 B R2 F2 U' F2 L B' L2 D R B' U2,W
3168122001,D2 L2 B2 L2 R2 F2 U R2 D L U' F D B L' F' R D' R2 B2,W
210645001,B U2 L2 D2 U2 F' L2 U2 B U2 B' L B R2 F R' F' D' L U F2,W
5150815001,F U R' D2 F2 U' F2 L2 F2 D2 L2 U' R2 L D L B R D L2,W
4081875001,B D' R U' R B' R L' F L2 U' B2 U D' B2 L2 U' L' D',W
2072522042,B' U' B2 U2 R' D2 L' U2 L' R' F' U2 L' D' B' R' D' U' R B R,W
4007780034,F' U' L2 D' L2 U B2 D' L B R' D2 U R' D2 B2 F L D2 B',W
2433124001,L' R B2 F2 R' D2 F2 R2 U2 F L2 D' F2 L2 F' U' R' F2 L',W
4797493001,R2 B' L2 R U2 L' F2 U2 B2 R F2 D2 F2 R' F R2 D' F U' R' F2,W
2392223001,U' B2 D' B2 D2 R U' D F L2 F2 L2 D2 R2 F D2 L' F' R,W
1376107001,R2 F2 U R2 U' R2 F2 D L2 U2 L2 R' B' D' F' L U2 F U' F D2,W
4082008001,U' L2 U' L2 F2 L2 D' R2 D2 F' L F2 U R2 D' B' R U' R',W
1239458001,F' U' R B' R2 D' B2 R B2 L' D F2 D' L2 D R2 U L2 B2 D,W
1108365055,R2 F2 L2 D B2 D' U2 B2 F' R B D2 R2 U B2 F' D B' R B2 L B2,W
3538508001,L U F' B R' F2 B2 U' L' B2 R B2 L2 D2 L' F2 L2 U,W
711815001,D2 R F2 R' U2 B2 F2 R F2 U' R F L' R F2 D' U2 R2 F L2,W
5205191001,L U' L' U' F L2 F2 D L' D2 R' F2 L D2 L' B2 D2 B' R,W
1292062001,L2 R2 U' F2 R2 U' L2 D U' B2 L2 F L' D U2 B2 U' R D2 B' F2,W
828781001,R' U L2 B U2 F D' F2 D' R U2 B2 R2 B2 U F2 U' D',W
3157048001,B' D2 F' R2 B D2 B U2 L2 R F2 L' B2 D' L' U B' R B2 F2,W
1041560033,B2 D L2 F U R' F D' B' R L' F2 U F2 U D F2 D' B2,W
1006701001,R' U' F L2 D2 F2 R2 F2 R2 U2 F2 U2 R' B2 U B U F2 D' R B' R F U' R' U' F,W
3744981001,U2 F2 R2 B D2 U2 B U2 L' F2 U' R' B' F2 U' R' B D L2,W
2206246001,R' F' U' B' R' L D' R' F' D L2 B2 L2 D' R2 D R2 D2 F U',W
4433306010,L B D' B' L' F' L D B2 L' U F R2 B2 D2 R2 F U2 R2 D2 L' F2,W
4487494001,D' B2 U B R' L F D2 R2 B2 L2 F2 D L2 U2 B2 U B2 U2 B' L2,W
4928029001,F2 U F2 L2 B2 L2 D F2 D F2 B' L B2 L2 B' F L D' R D,W
1106362001,L F2 D2 L' F2 R' B2 F2 U2 B2 L2 B U2 R D B2 L' B2 L' B R2,W
586712001,D' L2 B2 D F2 L2 B2 L2 D' L' R' D' L2 F D' B U' R B2,W
4745930001,D2 L' B D2 B2 L' F2 L' B2 U2 R2 D R' U' F' L' D' L' F,W
5071344006,R' B' U2 R2 D2 U2 B D2 B' R' B2 R' D2 U' L2 R' B2 D' F L',W
3672487001,R2 D2 U' B2 L2 B2 L' R F' D2 R2 D B2 L' B D' U',W
1475916001,L' B2 U F2 U F' D' B' R F2 L' B' D2 R2 F' D2 F D2 F',W
660507024,R2 D' L2 B2 L2 U' B2 D' L2 D L D' L' B' R' F U' B' L' D' U2 B' L2,W
3427022001,U' F2 U2 L2 F2 L U2 R D2 R' B F' D2 F U2 R F R2 D',W
3392616001,U L' F' L B2 D B U' L B2 D' U2 B' D2 R2 D2 F' L2 D2,W
1502170001,D' L' F U2 L D F L D R U' L2 F' R2 U2 F B2 U2 F' B2,W
3502737001,D' R2 B' L2 R2 B' L2 R2 U2 B2 L' U' R F' L2 U B' U2 L' R2,W
276918001,L B2 D2 L2 F' L' U' B R F2 D2 L2 F2 U' R2 D F2 D2,W
4946778001,F' D' R' D' R' F' U' L F' R' L2 F2 L2 U' R2 L2 F2 U R2 U,W
1237021001,U F2 D2 B2 L2 U R2 U L2 D' L' B' F D' F2 R' U' L' R U,W
4801730001,U2 R U' F2 U' L2 D U L2 B' D B R' F L R2 U' L B,W
9030001,L' F' R' D F B' D2 F' U' R D R2 U' D R2 B2 D B2 D R2,W
526914001,B' D2 B' U2 R2 F' R2 B' F' U' R D2 F' D R U2 L' D',W
888626003,D2 F' D2 F' U2 B F2 L2 F L2 D F L F2 R B2 F U' B' U L B',W
4421428001,L' F' U B R2 D' L' U' R2 U' D R2 B2 U2 B2 L2 U F' L2 U2 B R2,W
1103286001,L' F2 D' R' U' F U2 B D2 R2 B2 D2 R' U2 F2 R' U2 R2 D2,W
4347891001,D2 B2 D2 B' F2 R2 F L D' U' R' U' B F D2 B2 F2 R' B',W
4433308078,B' R B' U D F D B2 L2 B' D2 L B2 D2 R L2 U2 L U2 L2 U2,W
762250001,U' R' B2 U' R' L F R2 D' R B D2 F B2 U2 R2 L2 U2 R2 U2,W
2373682036,U' F' L D2 F2 R2 U2 L2 D' U' R2 B' L B F D' R2 B L2 R D,W
1443283001,R2 F' D2 F2 R2 B2 R2 F' D2 B D R U B' L F' L D2 R F2 L',W
4404630001,U L2 B2 L2 B2 D' U F2 U B' F L U R F' R' D L U2 R,W
527221001,R2 U2 R B U2 L B D R2 B U' L2 F' U2 B R2 D2 L2 D2 F,W
4659675019,B2 D2 R2 U2 F' L2 B' U2 R2 U F U2 F' R2 D R F' D B L B',W
4520362001,R B2 D B' F2 L2 U' F2 D2 F2 D B D' R' F2 L2 D2 B' L,W
1910768001,B' L' R' D2 F2 R' D2 L U2 R U' L' D' U2 B2 R' D2 R F' D',W
985454001,F2 L' B2 D2 L R2 B' U L U2 B' U2 F D2 R B' U,W
4805687001,L2 B2 D2 B2 D2 L2 U B2 R' F2 D' F D' R U R B F R,W
4699539034,D' B2 L D2 L U' R' U2 R2 B' L2 F' U2 F2 D2 U R' B U L B',W
994764001,F2 R2 B' U2 F D2 B R2 F' D2 F' R F' D U B' R F' D F2 R,W
692241058,B2 F2 L2 B2 D2 F2 R F2 L2 B' F' R' D2 U' L2 F2 L2 B' L B R,W
526662001,R2 F2 U2 L2 F2 D2 B' R2 B2 U R2 U' L U R B U F2 D R2,W
406478001,R2 F2 D2 F L2 D2 L2 B F L' B' D U' B' U' F2 D' U' F L',W
2270359001,B U' F2 R' F2 L D2 B2 D2 R2 F' D2 U' B2 R' D' L2 F2 R,W
4888232001,L D' F' B2 L U B2 D' L2 B D F2 D2 F2 L2 U' B2 R2 B,W
168237001,D' L2 U R2 B2 F2 U B2 D2 F' R' F U L' D2 F2 D B' D' B2,W
2952214001,U F2 R' F2 L' F2 R U2 R D2 R' U2 D' B' L2 R2 U' R F' D,W
2657991001,R F' D2 U2 F U2 B2 R2 F2 U' R D' U2 B L2 D F L2 F',W
388321001,D2 R2 U' F2 D' R2 U2 R2 U' F U2 L' D U L2 B' L' D2 R U',W
802666001,F2 R2 D' B2 F2 R2 F2 D2 U R' U R' U' F U2 R' U L' F' D L2 U2,W
1828000001,R2 F' D' L2 F2 R' B2 F2 R F2 R2 D2 B U2 L B D L D2 B',W
172716001,D B R2 L B D F R2 F' R' F' B2 L2 U R2 F2 U' B2 U2 B2,W
944555001,R2 U2 R B2 D L2 B' L2 F' R' U R2 F' U2 R2 B' R2 L2,W
4602361001,U2 F2 U' L2 F B2 U2 L B D2 R' F L2 F' U2 F' L2 F2,W
4612480001,R2 L F' R2 U' F D U2 B2 R2 F2 R' F2 U2 L2 B2 D L' B,W
2499548001,F2 R' L2 F2 U' L2 U' L2 B2 D2 L2 R2 F' R B' U L F2 L2 F',W
4115735001,U R' B' D2 B R2 D' R' L' U' R2 D2 R2 F' U2 F D2 B' U2,W
739941001,R' D2 B R' L F' U2 B U D' R2 L2 U2 B' U2 F' L2 U2,W
4026107001,L2 F R U L2 U' F2 D' B2 L2 R2 U F2 R F2 U R F' L D,W
198910001,L F' R U2 B2 R B' D F2 L D2 R2 U2 B' R2 D2 F' B' R2 F',W
1195967001,R2 D2 B2 R' F2 L' B2 L' F2 U2 R2 B F2 R U' F D L' F2 U2 L2 B',W
809502001,F' L2 R2 D2 B2 F U2 L2 R' D2 B U F' R' B2 U R2 D F,W
411946001,F' L U R L2 D R2 L2 D' B' L2 U2 L2 B R2 F L2 B' R2,W
666821001,B2 L2 B' R2 U2 R2 D2 B R2 U R' F U2 L F2 L2 U2 F2 D' F',W
4122820001,R' F D' R' U B' R' F' D2 B2 U2 D2 R D2 L' F2 R U2 R2 U',W
150716001,L2 F2 U' R2 D' B2 D' B2 U L2 D2 B L' D L R' U B' R',W
661119010,F2 U2 R2 F2 D2 F' D2 F2 L2 U2 F2 D' R U2 R D2 R2 U R' B F' L B2,W
4304756001,L B2 L' U2 L2 B2 U B D' L2 B R2 F2 B D2 F' R2 L' D',W
1157662002,R2 D U' L2 F2 D' F2 D2 R2 U2 L2 B' R' U2 B D F D' F2 L' U L B2,W
2841260001,B R U2 L2 U F2 D2 R2 D' F2 L' B' U' L U2 L U' B2 F',W
2762713001,L' R2 D' L2 R2 U' F2 D U' F U2 R2 B D B L' B' U L',W
3707926001,F2 D' L2 B2 D2 F2 B' L' U' F' R L2 D2 F D2 F2 B R2,W
1350988001,L2 U2 B2 R' D2 B2 L2 D2 F U' B L R B2 F' U R2 D B',W
1903186001,F' L2 U F U2 B2 U B2 F2 D L2 U' L' R D2 F2 U F L2,W
4101415001,U L' F2 R' B' D' L2 D B2 U' F R' B2 D' B2 L2 D,W
51575001,U2 L' F' B2 L' B L D' R B' U F2 L2 D' L2 D F2 B2 U2 L2,W
1392640001,R U2 L' U' R2 B D B U' F R' B2 R' D2 F2 R2 B2 R' L',W
3919686001,R L2 D' L' U2 R B R2 D2 R2 B2 D2 L' B2 U' F R F',W
5115302001,R L2 U B2 L2 D2 R2 U' B2 L2 D F U' F2 L2 R' F D R2 D' L B2,W
636029001,F2 U2 B' U2 L2 B' R2 F2 R2 D' L D2 R2 B F' L U L' D2 R,W
1337177036,F2 U2 L2 F' L2 B D2 R2 F L' D' B U' F D' B' D' B' L' F2 D' B R',W
3960095001,U F' L' U2 F2 D B2 U B2 U2 F2 D' L' U2 B2 D2 R' B F2,W
4159871001,D2 L F' L B2 D2 R D2 L2 D2 R' D R B' F2 D' U F D,W
1392707001,B L2 B2 D2 B R2 U2 R2 F2 D R U B2 D' B' D R' F' D L,W
661040020,F U2 B' L2 F D2 L2 B2 U2 R F L B' R D2 U L' R' D' B2 L,W
388629001,F D2 F2 U2 B U2 F D2 F2 L U2 F' L' R' D' F D' U' B2 D' B R',W
1380391001,L2 F' D2 R2 D2 B' D2 B2 U2 R2 U R' B' L B' U' F' R B U',W
3895451001,F B' R B2 U R2 D' F2 R U' D2 L' D2 L F2 R' L2 D2 L2,W
3839628001,R2 B' R' B F L2 B' U2 B D2 F2 D' L B D F2 D U2 B',W
4562699001,R U F' U2 R' U L D' B' U' D' L2 U' D2 B2 R2 F' B2,W
2779286001,U' R U R D B2 L2 U2 F2 U2 R2 D B L R U2 B U R2,W
3677792001,U' F R U' D2 F' U D' B L' F L2 F2 L2 U2 F' B2 L2 B2,W
3036052001,B R2 F L D F' B L U' F' R2 F2 L D2 R' L U2 L2 F,W
257931001,B2 F2 L2 B2 D2 R U2 B2 F' D2 U L U2 R U' F' R' D',W
1688338043,F R' L2 F2 D2 R2 U B2 D2 R2 U' L2 F R' F2 D' B2 L F' L' F2,W
3318359001,F2 L U2 R' F U D' F' R' F R B2 L U2 D2 L2 F2 R' U2,W
2001163001,B2 U' B2 L B2 R B2 U2 B2 U2 L B F D B2 D' B L U',W
292988001,B R2 F L2 F' D2 R2 F' L D' U' R' B' R2 D' F2 L' R',W
661379007,R F2 D2 L U2 L D2 R' F R' B' D' L U R' D' F L' U2 B R2,W
353246001,F' R2 F2 U2 B' R2 U2 R2 B L2 F2 D' L B2 R D B F2 R2 D' R2,W
1312005001,U2 L2 F2 L' F2 D2 U2 R D R' D2 B D L2 F L' D' B' R',W
3984988001,F' L F' D L' U2 L F R' U2 F' B2 L2 U2 D F2 U L2 F2,W
139034001,D B D F' L F D2 F D B U2 D2 B D2 L2 B L2 F D2 R2,W
1157447001,R2 B2 U F2 D' L2 D' U2 R2 U2 L2 F D L' R D2 R2 B' D' L F2,W
2164332001,U2 L F D' R D' F U D F2 R' D2 R' F2 L' B2 L2 F L',W
703427001,F2 D2 F2 L2 D L2 D' B2 U R2 B2 L' F L2 U F' D F2 U L F',W
543014001,R2 F' R2 F' D2 U2 B R2 U2 L2 D R2 B' U' L' R' F D F2 U' R',W
