# Scramble Extremes — eo / eo_xxcross / R / bin 7 (3rd-smallest)
# Population in this bin: 1239
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

2642843001,L2 F' U D2 L D2 R F2 D2 L2 B2 U2 R' D' B R' D' F L' F2 D,R
2446515001,L2 U' F2 B' U' F U F R' L' B2 R2 F R2 B' U2 R',R
25592001,D' L' B2 L' F B' U F L U B' L B2 L2 F2 L' B2 D2 R',R
28997001,R D2 R' D2 U2 R' D2 L2 F2 R' U F2 L U2 R F2 U2 B2 U',R
4799920001,U B2 D' R2 F2 L R' F2 R' B2 F2 D' L' F U' F R' D',R
4317069001,U2 F' B D2 L' F' B L' R2 D2 F R2 B2 U2 F L D' B,R
4014303056,D' U2 B D2 U2 F2 D2 F' L2 B' U L' U' B F' U2 L' D' L2 B R',R
979289001,B' D2 L2 B' L' F U2 F2 L' F' D2 B' D2 F2 R2 B' U2 F2,R
891890002,B2 F2 L' B2 U2 L F2 L2 D' U' F2 U' L' D' B' L2 F' L' F L' F',R
1026588001,B2 U' R2 F2 U' R2 F D' U2 B2 U F2 L2 D F D2 F',R
4562423001,F L D2 U L2 F' D2 U2 R2 D2 R B' F L' D L2 F2 D',R
64392001,B' L2 D2 F R2 D2 R2 B F' L B L2 F R2 U' F' L' F2,R
1910884001,R2 D' R2 L F B D B' U2 D2 F' L2 F' R2 D2 R' F R2,R
3791972004,F' R' B2 R B' L' D B D2 B' D2 B R2 F' U2 L' U L U L' F',R
71062001,F2 L2 D2 L2 B R2 D2 B' R F D2 L' F2 U2 L R2 U' F D2,R
4805777054,F2 U2 B' R2 F' D2 B' R2 D2 F2 D2 B' L U' R2 B2 R U B' U2 B R,R
80634001,B2 L2 U' B2 U B2 R' F' U2 B' F L U B D U L,R
3736955001,F U L' U F L' U R U L F2 L2 U' R2 B2 R2 B2 U,R
3674323001,L U L F2 L2 B2 D' B' D2 L B2 U2 R' U2 F2 R' F2 R2 D',R
1376603001,U2 F' B' R F2 R D2 R2 L' B2 U' D' R2 D' F2 U F2 R2,R
1348872001,D2 F' R2 F' D2 F2 D2 L2 B R' F2 R D2 B' L2 D B2 U' F2 D L2 U2,R
97966001,D B2 L2 B2 D' L2 U' L2 D2 L2 U' R' D R2 B R' F' R' B' F2,R
2885218001,F2 L' U R2 D F2 R2 D2 L2 F2 R2 F' D2 L D2 U2 R2 U',R
1208604001,F' L U' R F2 L' F U' R2 D2 F2 U2 L2 B2 L' U2 L2 B2,R
2114409052,D2 L2 U' B2 R2 F2 R2 F U R B' L' R D2 R F2 U' F D2,R
660652003,R2 U2 F2 D R2 D L2 R2 U2 F D2 L' R F L2 U2 L' F2 R' U' L2 U',R
108398001,B2 D2 B2 F U2 B D2 L2 B R' B2 R U' R' U2 F2 U' L' U2,R
108899001,U' F L U F U2 L2 B D2 R D R2 B2 D2 F2 B2 R2 B2,R
3648623001,U B U R2 F2 L' U2 R' D' L F2 R' D2 L' B2 R' U2 F',R
4934537001,B2 U2 B' D2 B' L2 B F2 R U' L D' L' F' U R F' R',R
3238543001,R2 L F L F2 D F U2 D2 F L2 U2 D L2 D R2 B2 D B2,R
661063196,U' F2 L2 F2 R2 U B2 F' D F R' B2 D2 L R U2 B2 U' B R,R
2944735001,R U' L2 D L2 U' R2 F D2 L' U2 L' D2 F2 R2 B2 D' R,R
4800714019,F U2 R' B R' D2 L' F2 R' B2 R2 B R U' B2 F2 L D' B' L2,R
1443499001,U' F U' B U' D2 R' F' U' F' B2 R2 D B2 R2 U R2 B2 L2 B2 U',R
1297640001,L U' F2 U L' F' R' L' F2 B' L2 U2 R2 D' B2 R2 U' L2 U,R
3842193001,D2 L' U2 B2 L2 R2 D' F2 D R2 L U B2 D' F2 D R' F,R
927303001,B2 F2 L' R2 U2 L R F2 R F' L B2 L B2 U2 R' F' R' U' F,R
3735448060,R2 F L2 D' L2 R2 U L2 D2 B' L2 R F' L' F2 R2 U' B' D2 L',R
5014470001,L' F R2 F2 U' R2 D' F2 D L2 B' U2 R2 U L R U L' F,R
1821291036,L' D2 R2 F2 R' B2 U2 F2 B L B D B' R2 B D' L' F' R B R',R
4410158001,R F D2 R2 B' F2 R2 B R F' R2 B2 L2 D2 R' B' D,R
1114406001,F2 D2 B U2 L' D2 F L2 U2 R B2 D2 L U2 R B2 R' U2,R
161736001,R U F2 B2 L F2 R2 F U D2 L' D2 L2 F2 L B2 L' U2 F2 R',R
2121116001,B D' R' B R D R' U B U R2 U2 F2 L2 F2 R2 U' R2 B,R
1949300001,U D F U2 R' F2 B' U F U B2 D2 R2 U R2 F' D,R
4632960001,L2 F U2 L2 F2 R2 F U2 B' D2 U2 L' D' B2 L2 U' L D B U2,R
5182806001,R' F' D' F2 D L2 F2 L2 D2 R2 B R' F L D' F2 L F2 L',R
3205915039,R2 D L D U L2 B2 D' F2 R2 U' R' U2 B D2 U F' D' B',R
2536709047,B2 L D2 B2 L2 U2 F2 L2 D L2 B U2 B' U2 L',R
3167336001,B2 D2 B' D2 L2 U2 F R2 F2 L' U R2 B' D2 R' D' R2 B' U2,R
5208203001,R2 D' F2 U' F2 U B2 D' F2 R' F2 D2 B2 R2 B' D R D2 B2,R
4697028001,D2 L2 F R2 D2 B' F2 D2 F L' B D2 B' F' D L R' F' U2 L2,R
968483001,D' L D2 L' B' U' F2 D F2 B' U2 L F2 U2 F2 L' F2 R' D2 B2,R
665822001,B2 U' L2 U' L2 B' U D2 B R' B D R2 L2 U' R2 B2 U,R
2088229001,L2 R2 F R2 F D2 R2 B' R2 D F R' B L U2 B2 L U' L D2 L' F',R
210126001,L2 R2 U F2 L2 D2 U' R' F R' D2 B L2 U2 B U' B' D U,R
