# Scramble Extremes — eo / eo_xxxcross / BGOR / bin 13 (max)
# Population in this bin: 17399
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

607235001,F2 D2 L2 D2 U F2 R2 D' B2 R2 U R' B' U2 L' B' R' D2 U B F',B
1312028001,L2 D L2 U2 L2 F2 D' L2 R2 U2 L D U B' R B' U2 R' D2 R,B
3624541001,L D2 L2 D' R2 B2 F2 U2 F2 U2 L' B' D' R U2 L2 F2 L' F2 U' L' F',B
4189792001,R2 U2 L2 F U2 F D2 B' R2 D2 F' L D' B2 F' L R D' L F2,B
3998524008,D' B' R' D2 F2 U' R2 D U2 F2 U2 L' F2 D' L F2 D2 L2 D B R',B
2520258001,L' U' F' L' B2 L2 R' B2 L' D2 B2 D L R D' U' B2 F' D,B
553520001,R2 B D2 L2 D2 L2 F2 R2 B2 U L' B U R D' F D2 L F2,B
1169524001,F2 R2 B2 U2 F2 U2 R' B2 R F2 R' F U2 L R U R' U B' D' B2,B
3641576012,F' L' B R' F2 D F L U F2 R' U R2 D2 L2 D R2 B2 U' D R2 B R,B
2981924001,D2 R' U' L2 U' L2 B2 U2 B2 U' R2 L' B R' U L' R U' F D,B
4514981001,D F2 D' B' U R2 D R2 U' R2 U' L2 R B L B R' U' B,B
2513985013,D U2 L2 B2 L2 B2 R2 D' B' U2 B' U' L' B D2 U L D' B R B,B
5265622040,U2 R' F2 U L2 F2 L2 D L2 D' B F L D F2 D' R2 D U' B R2,B
3596326001,U2 L' B U' F' U' R D' L2 B' D2 F2 B' U2 B L2 U2 L2 F U' L2,B
5200444021,F D2 B' R2 U2 R2 U2 L U R' B2 U2 B F2 D L R B2 U,B
564011001,U2 F D2 B R2 B U2 R2 B L' B2 U' L F2 D' U2 B R' F2 R',B
789839001,L2 U' R2 B2 D' B2 L2 R2 D' U2 F2 L B2 R U' F' U' F2 L' B L2,B
661459021,D2 U2 F L2 D2 R2 F R2 F2 L2 F L B2 U2 F D' U2 F L' U2 L,B
4060778009,L B' L U2 F' U F2 U' D L F' D F2 D2 L2 F2 D' F2 D R2 D',B
3389369001,U2 L2 B2 U' F2 R2 D B2 D2 B U' F U2 L' F D B L B' R,B
660983026,R' D2 B2 U2 L2 F2 L2 R F2 R D' R U F' R U' B F' D' U B' L',B
108226001,D B2 U D F U R L' F D' F2 R2 L D2 L F2 U2 B2 D2 L2,B
339771001,L2 B' R' B' L B L' U' R D2 R B2 D2 B L2 B L2 F',B
860344001,D B2 U' F2 L2 D' L2 F2 R B' U' R' F2 U F2 L2 B' U2 L',B
842180001,F' L2 D2 F' D2 U2 L2 U2 B U F' R D' F2 D2 U' L F' D F,B
4855492001,F2 L2 B' D2 R2 U2 B' U2 B U' R2 F L B R' U B R2 F' L',B
4990901001,U2 F2 D' L2 B2 D' F2 U R2 D2 R B F2 D B L F R B L B R',B
200611001,R2 D2 F R2 U' D B2 L' B L2 F' B2 R F2 R' L' F2 U2 R' B2,B
4131179015,D F D B' U F2 D' F' L2 U' L U F2 B2 U2 B2 L2 U2 L,B
98527001,F2 U2 B2 L' R2 F2 L D2 U' B2 R F L B F2 D' B2 L2 R',B
5761001,U2 F' B2 D' B R F' R2 L U2 F2 B2 L2 U' L2 B2 L2 F2 D' L2,B
