# Scramble Extremes — eo / eo_xxxxcross / Y / bin 11 (3rd-smallest)
# Population in this bin: 473
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

2952311001,U2 F2 R2 F' U2 B F2 U' L F U' R D U B' U' F' U,Y
5196179001,F2 U D2 L2 U2 B' U B D B2 D' R2 B2 D L2 U2 F2,Y
9240001,B2 R B2 R2 F2 U2 L U2 R' U2 R' U B D B D F' R D' F2,Y
15772001,B' R2 F' D2 L2 F L2 B D' L' B F' L2 R' B' D' L' U2 B,Y
3757546001,B2 D' R2 U2 F2 D L B' D' F2 D R D2 R F' R2 D,Y
56598001,R' D2 L2 B2 L F2 L F2 D2 L2 F2 D U' F L' U B' R' F' R,Y
3734908001,L U F2 R U2 L' B2 L B2 R' F R D U2 R D' R2 B',Y
4761787001,U' F U F U' L2 D' L2 U2 F' L2 B2 U' B R2,Y
75189001,U2 F2 D2 L2 D2 R2 B2 U2 B D' L' F' D' L2 D2 U L' F2 L' F' D',Y
5055543001,B' U2 F' D F R2 D2 F D2 B F U L' D2 L' B' R,Y
85552001,F' L2 F L2 F' U2 B' L' B' R2 D2 R' F' R D F2 R' U2,Y
3905999001,B' D2 B' F2 D2 F D' B' L F' D2 U2 F' R2 F2 U L2,Y
94982001,B2 R2 D B2 D F2 R2 U2 F2 R' B L D2 F U2 F' R' F2,Y
3466957001,U' B2 R2 U' B2 F2 R2 D' F2 L' U2 B2 F R2 F2 R' B' L B2 L',Y
1663111001,D F' U B' L' U' B L' U2 R' D2 L' D2 R' F2 U2 F2 R2 B',Y
111326001,B2 D R2 D' B2 F2 U L2 F2 L' B2 F D F2 D B' L2 U L2,Y
162738001,L2 B D2 U2 R2 F2 R D2 B F2 U R' U L R' B2 R,Y
4009749001,R' F B U D R2 L2 F2 B' D2 B' D2 R2 B' U2,Y
2642529001,R' U B' D F D2 B' L' D' F2 D2 F' R2 F' R2 U2 F2 R2 F2,Y
3301071001,L' B2 U' B2 R2 D F2 L2 U2 L' U R' D2 L' D L B' F2,Y
3452261020,R2 B' U F2 U2 R2 L' B2 L B R' D2 B' L2 D2 F2 R2 F D2 B R',Y
186522001,U' D' F R2 B' D2 L2 F U' B2 L2 F2 R2 D' B2 R2,Y
1471045001,F2 L2 D2 L2 B L2 B2 D2 R2 D2 R2 D' R U F D' R2 D L F U2,Y
198528001,L2 F2 U L2 U2 R2 F2 D2 R' D2 L' U2 B' F' D R U' B' F',Y
207925001,D2 R' U' B2 D2 F' L2 F L' F2 D2 R2 D' R2 F2 R2 D2 L2,Y
5017618001,L R2 U F2 U' L2 B2 U2 F' L' D' L' D R F2 R' D' R',Y
5111960001,D2 R2 U' F2 D2 B2 R2 B' L2 U2 R2 L' B2 U B2 U' L2 R,Y
2447725001,B2 U2 R D U2 F2 L2 F2 L2 U B2 L' D' R' U' L2 R2 U',Y
239985001,F2 L2 U2 B2 U' B2 U F2 D2 B2 U B' F2 U2 R F R' B' R U,Y
2174565001,R' L' D F' R' U' R' D2 F2 D2 F2 U L2 U' F2 L U F' R',Y
2076930001,R' U' F D F' U F' D B' R D2 L F2 R2 U2 R2 D2 F2 U' L2 U' R2 B2 R' U' F,Y
4830460001,D U2 F2 D' U B2 L2 B' L2 F2 D2 L D' U2 R' F2 U' R,Y
5059803001,L U' L2 B' D B2 R' F2 D' L U' R2 D2 F2 U2 R2 U' R2 L2,Y
283143001,U2 F2 R2 B2 L' R2 F2 U2 R' U2 L D R2 D' F' U' R D' F2 U2 L' F',Y
3870648001,D2 F2 B' R' U D L' U' F2 D L2 U' F2 L2 U' B2 R2 L',Y
292692001,U2 R2 U F2 D F2 D2 F' D2 U B' R' B2 F L' B L2 D,Y
2013862048,B R B2 U' F2 D U R2 B D R2 D B2 R' F' R2 D2 L B R2,Y
