# Scramble Extremes — eo / eo_xxxxcross / Y / bin 16 (max)
# Population in this bin: 4427
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

5190912001,R D B L F2 R2 U F2 D' F2 D2 B2 D R B R2 D' F' U2 L,Y
3346372001,U' F2 D' R2 U2 F2 D R2 F2 R B2 R B' R' D R U' F R B2,Y
3495381001,F B2 D F U B U L U F2 D2 R2 U L2 F2 R2 D2 R2 L' D,Y
2942226076,B2 D2 F U2 R2 F L2 F' R2 B2 U' L2 R F R2 B' R2 D U L B,Y
239949001,F' L U' R2 L' D F' U' D2 R L2 F R2 F U2 F' D2 F2 U2 B',Y
4694674001,L U2 B L2 R2 B' R2 U2 B L U2 L' D2 U' R F2 L B' U B,Y
829518001,U F2 U L2 D' L2 F2 R2 F' R' B2 U2 F2 U F' D L D R' F L2,Y
1232282001,F D' L B R B U2 L' U D L' U2 R2 U' B2 R2 F2 L2 U2 L2,Y
3195300001,L D F D2 R' U F U D2 L2 U' F2 D2 F2 L2 F2 D' L' B2 U,Y
2698084001,D2 B2 D2 F2 L2 R2 F' L2 B R' B' F R' D2 R' U F2 D' R B,Y
963776001,F R D F2 L' B2 D' R' B' U B U2 L' F2 U2 B2 L' B2 D2 R2 D2,Y
3053798001,D2 R D L' F2 D2 R2 F D F B2 L2 B2 R2 B D2 B,Y
812702001,L2 B2 L2 B' L2 B' D2 F2 R2 F' L' B2 D R D L2 D' L2 B2 D2,Y
1176429011,L2 F D2 U2 B F L2 F' R' D F U2 R' B' F2 U2 F2 U' B L' F,Y
4721597001,F2 U' F B' L' D R' U' D2 F' L2 F2 D2 R2 L2 F' U2 R B2 D B R,Y
1653777001,R U' F' L R2 B2 U2 R2 D U' R2 B L' D F2 L F L2 D',Y
2562601001,R2 F' B U D2 L2 D L2 F R2 F D2 B' R2 B' R2 L' F D2 R,Y
4279793001,F R L D' R' F2 L' B' R2 F2 U2 L2 U' F2 U D2 F2 D F U,Y
3448270001,U R D' R2 F' D L' F U2 L2 D2 L F2 R U2 L' F2 B2 R B,Y
705162021,L2 R2 D2 R2 U B2 D' L2 R2 D2 R B' U' B2 F' R B U' B2 D2 L',Y
453567001,R' U' F U L2 D2 B2 D' B2 L2 U' R2 U2 L2 F' U F2 R2 U L2 R D2 F R' U' F,Y
3526034047,B U F R' L2 U R2 B' R' B2 R2 U2 R' U2 L' B2 L' D2 L' D L2,Y
808423001,R2 U' R2 F2 L2 U R2 U F2 R2 U F L' U2 F2 U' F2 D' B' L2 F,Y
