# Scramble Extremes — pair / xcross_pair / OR / bin 5 (3rd-smallest)
# Population in this bin: 560
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

283962001,D B2 F2 D' U2 L2 D L2 B2 R2 B2 L U2 B L' R' D L D F' R',O
142752001,R2 F' L2 F' R2 F R2 B U2 R2 F2 U' B U2 L F' L U2 B,O
1604001,L2 F2 U' F2 R' B' D2 B2 D F' D2 F2 B2 R2 F2 B2 L' B2 R F2,O
2569001,L2 D' R' D' F' U' R' D2 F2 R' B' U2 B2 R2 L2 B D2 L2 D2 L2,O
3270001,D2 R D2 R' F2 D2 F2 R2 F2 R B U' R' U B' U' R2 D F',O
237459001,F2 D2 L2 B2 F D2 L2 F L2 F' D' F2 D' R2 D L U R2 B D' L2 U,O
183457001,U2 L2 B2 D2 B2 F D2 F L B D' F R' B L D B' R U2,O
280936001,F2 L' R B2 L D2 U2 R' F' U B D B U2 L U2 B2 R B2,O
181812001,L B2 D2 F2 R' D2 L F2 U' B2 L U B D2 U2 B2 U R B2,R
184804001,L2 R2 F2 U' B2 D F2 D L2 B' D' R F2 L2 F' L' F D2 B2 D,R
210635001,F' U2 L2 F' U2 F2 U2 L2 F2 L2 R2 D' B D' U' R' B' L2 U',O
156997001,B' R D2 R L2 F2 D2 F B2 R' U' B' U2 R2 B' L2 U2 R2,R
251789001,L2 B2 L2 F' R2 B' D2 F U' F2 U F' R' B' L' F' R F' U2,R
184079001,F2 D B2 D' L2 R2 U' F2 L2 U L' B' U2 B2 R D' R D' L2,R
149376001,L' D' R' F2 U2 L U B' R L F2 D2 L2 F' R2 U2 B' R2 U2 F',R
13215001,B2 L2 D' B2 D F2 D R2 F2 R U L2 U R U,O
13429001,U2 R2 F2 R2 F2 U2 R2 D2 F' R' F2 D L2 U L D2 B' F U',R
14808001,F B' U2 B U R' F' D F2 D2 R2 L2 F R2 L2 F' B2 U2 D2,O
15566001,B R2 D' R2 D' B' D2 R U R' F2 U2 D2 L2 B U2 B' D2 F2,O
226221001,D2 L' F2 D2 L2 U2 F2 D2 R' B' U2 L' U' B2 D2 R' U2 L' R',O
18960001,D2 R B2 U2 L' D2 R2 B' U' R' U2 F2 L' F' R' F' U',O
315666001,F' D2 F' D2 R2 B' D2 L2 R2 F' L' D F R' D2 L B D2,R
22009001,U2 B2 R B2 U' F L2 D F' D2 B' R U2 L' D2 R2 L' D2 R,O
22306001,R2 U2 F L2 F2 U2 R2 B2 U F' L2 R2 D' L2 D2 F2 L2 R',O
140497001,L2 B2 F2 R2 D U2 B2 D U2 L2 R' B D2 R' F' L' U' B2 F' U',R
