# Scramble Extremes — pseudo / pseudo_cross / B / bin 2 (3rd-smallest)
# Population in this bin: 2722
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

4352613001,L2 F D2 L' B' R' B D' F2 D' F' D2 B' R2 F' U2 F2 U2 L2,B
2475173001,B2 R2 D2 F' U2 R2 F U2 R B L2 U B2 D U F L' B2 F,B
661120008,R2 B U2 B2 F U2 F' L' D U B L' B2 L F' L' F' L2 B,B
3803743001,L2 D U2 L2 F L2 B R2 F L' F L' R2 U' B' F R U,B
4625807001,F L2 B' R2 D R2 U F2 L2 F2 U' B2 L2 R' B L2 U2 F2 L,B
3312337047,R U' L F2 R' L2 B D2 F U2 R2 U' B2 U2 D' F2 R' B L2 U2,B
3911468001,L' U B2 U2 F U2 L2 U2 F' D2 R F2 L2 R B' R' F2 U',B
3452284001,U2 R' F R F' U2 F L2 U2 F2 U2 F U2 D' B2 U' B' D' L' F,B
879677003,R2 F2 U' R2 U2 B2 R2 F2 L2 D2 F' R' U' B L2 F' U' F R B' F2 D',B
5184693001,R' D' L2 D L2 B2 L2 D2 B D' B F' R F' D2 B2 U F2,B
607222001,B U2 L2 D2 F D2 B' U2 B2 R2 B' D R2 B' D' R U2 L' F R2 F,B
4623653001,U R2 L' U2 B D' F L' R2 F' L2 D2 R2 L2 F2 D2 B' R U,B
4714585001,F2 L D F R F2 D R L' F2 D L2 U R2 U D B2,B
23771001,R L D2 B' U B2 R' L B R F B2 L2 D2 B2 D' R2 F2 U' B2,B
2058292001,D' B2 U B2 L2 D R2 F2 R' U2 F2 R' D2 F2 U F U2 F L',B
709264001,L2 D2 F' L2 F2 R2 B U2 F L B2 L' R' B U' F' U' B D' B' L2,B
3815919001,D2 U B2 U R2 B2 U' F' U' L2 F D2 L B' L' U' F' R F,B
27253001,D2 F2 D2 U2 R' B2 R' D2 B' L' F2 D F L D F L F2 R,B
3866791001,R2 F' R U2 R2 U2 F2 D2 B2 U' L' B U B R2 D2 B2 R B' D2,B
3232971001,U L2 B D' R2 D B' U2 L2 B R2 D2 R D2 L2 B2 D2,B
1004584001,L2 U2 L2 F R2 B2 F2 U2 F' L2 U B2 U R U' B R' D' L2 F',B
1628917001,U2 R2 F U' L F2 B D F' B2 D2 L B2 R' B2 L B2 L D2,B
638563001,D2 R U2 B2 L2 F2 L' B2 R' F2 U B2 D U2 F D R2 D R2,B
300379001,R2 D2 R F2 U2 B2 D2 L R F2 L D' L2 B U' R2 D' L D U2 R,B
3587957001,B F2 D2 F2 L2 D L2 F2 D F' D' F R' U' F' R2 D2 F,B
4460112001,D F R' L2 D R2 D B2 U' R2 B2 R' D L' U R2 F D,B
863965001,R2 B' L' D' R L' F' R' B' U2 F2 R2 B2 R2 U2 L' F2 D2,B
1788759001,L F' D2 F2 U D F' U' F2 L' U2 D2 L B2 R' D2 F2 D2 F',B
1194627001,D' R2 F2 D L F' D2 L U B U2 R D2 R' D2 B2 L2 F2 B2,B
1485104001,R2 D2 L2 F' D2 L2 B2 U2 F' L2 F2 R D2 U' R2 B U2 F2 U' F2,B
449984001,D' B2 F2 R2 D L2 D' L2 D2 B F' D2 R' U2 B' D' F2 U' B F',B
3323577001,L2 D' U' R2 B2 D B2 U2 L2 R2 D' R' F R2 D U2 R F U2,B
45920001,L2 D2 R F' B2 L F B' D' L2 D2 F' B D2 L2 B' D2 B',B
4306904001,L F' D2 B' R B2 D' F' B' D' F2 L' U2 F2 L F2 L' F2 L2,B
1151838001,L F2 L F2 L2 B2 D2 L' F2 D R D2 R2 D F L B R' U,B
4876783001,L2 D R2 D' R2 D2 B2 U' L' F' U R B' D2 R D U B2 F2,B
4058035001,L U2 L' F2 R2 F2 L2 U2 F L2 U B2 R2 D L R' U' R2 F',B
2796425001,L2 F' L' B' L2 B' U' F' R B2 L2 F' B R2 B' R2 D2 R2,B
4700176001,R D2 F2 R2 B2 F2 D2 R U2 R D2 U F' R' B L2 B2 F2 R' D,B
661256027,U' L' F U' B' U F U2 B2 D2 L B L2 F D2 F' B L2 F,B
4712145001,R D2 F' U2 F2 L2 B' R2 D2 B2 R B2 D' L D2 L2 F2 R',B
57462001,D' L2 F2 L2 D' L2 U B2 U F' D2 L' R2 F L R2 D U2 B F2,B
935106001,D2 F2 L2 U2 L R2 U2 L B D2 B D U2 F D2 B2 R2 U' B,B
660596027,D2 L2 D2 U2 F2 R' D2 R D2 R' U B2 U L' D2 F U2 B2 D' L2,B
1990665001,R D2 R2 U' F U L B' L2 F U2 R2 F D2 B2 R2 B2 R U,B
4172033001,L2 D' B2 L2 U L2 U' B2 L2 B R D2 L2 R' F D2 R B' D',B
780677001,L2 U2 B' L2 B F' R2 F R' B R2 F' L2 U' L2 D2 L' R2 B,B
4741118001,B2 L' D2 U2 L2 F R2 B D2 B U2 D' B' R2 F D' L' D' B,B
330100001,L2 B U2 B' R2 B L2 B R' U' R2 F U2 B2 D F' L2 B U B' L',B
511822001,L2 F' R' F' L' F' R' F' D' F B2 D2 R2 U2 F R2 F D2 B,B
4611732001,B U R' D' F' L2 F2 D' F2 L B2 R2 D2 B2 L' U2 L F L,B
300539001,B U R' D2 R' U' L F2 D' B U2 B2 L U2 R L2 B2 R' D2 L,B
2811526001,R2 D' R2 D2 L2 R2 D' L' B' D2 F' D U2 B' R U' B2 F,B
1151886001,R' D2 R B2 R2 B2 D F2 D L2 F2 R B' U F2 U' F,B
2530882001,F2 B' L F' D L2 B2 U F L2 D2 F2 U2 L U2 R2 D2 L' U2,B
2969807023,F' L2 F' L2 B2 D2 F L2 B2 D' F2 D' B2 F R' D U B2 L2 U',B
1820506007,F' D' B2 D2 B2 R2 B2 U L2 B2 L' D2 B2 U' R2 U2 F' L2 U' L D',B
70013001,R2 F2 L2 U B2 U' F2 U' B2 F2 L2 B' F D' F U2 R' B2 F2 R',B
2534061001,F' U' R' D' R2 D' R2 B2 U2 L2 R2 U' L D' L R D2 F' D2,B
4864271023,R U2 R' F U2 B2 U' F D2 F2 R2 D2 F2 L U2 L2 B2 R' F2 U' L2 U',B
3476184001,F2 U R U L F L R2 D' F2 R2 B2 U L2 U' F2 R2 L' D' F2,B
684547001,R' D2 B' D L' F2 L' F' B U2 R F2 R2 B2 R2 D2 R2,B
3250920015,F2 L F B2 R' U' R' U L B' U2 R' L2 B2 R L2 B2 U2 B',B
896809001,U' F R L2 B2 D B' U' R' F D2 R F2 U2 R' U2 B2 L2 D2 R',B
4449808039,D' B' D2 B2 U' L2 R2 D B2 D' L U' B' D' B' F' D' R' F2 L B2,B
2539303001,F' L2 B' U' D2 R2 B U' L2 B' R' B2 L2 F' U2 B' U2 R2 F',B
5031639001,R' U L2 D2 R2 F2 U2 L D' F' U2 R2 L2 B' L2 U2 B' U,B
660936012,B2 R2 B' F2 U2 F' U2 L2 F L' U L2 F D2 L2 D R' B' D R D,B
4494350001,U2 F' L2 U F L U2 R' D2 L2 U2 D2 F' L2 U2 F2 B',B
1826406001,R2 F' D2 L' R2 F2 R' B2 R' D2 R2 B' U2 R D' R' D' F,B
3511345020,F' D' R2 B2 U' L2 R2 D' B2 R2 D' B L2 D' L' F' D F2 L2,B
3709277011,D' R2 B2 D2 B2 D2 B' L2 U' F2 R' F U' B R' F L2 D B R',B
4149016001,B' D2 L2 B2 U2 L2 D L2 R2 U2 R' U R D B2 L2 F' D' F,B
726431001,R2 D2 L U2 F2 R F2 L B2 F2 R' U L2 B' D2 L2 D' R' D2 U B,B
5034297002,D U2 R2 U2 F R2 B2 F' D2 B' F' L U R2 U B' L2 U2 B2 L2,B
3561576001,F D' F2 B' L F D' R2 F R' D2 L2 B2 R' U2 L2 B2 U2 L' B' L2,B
2725657001,L' F2 D2 R F2 D2 L' D2 U2 L' B2 R' D L F' L D2 R' U2 F',B
