# Scramble Extremes — pseudo / pseudo_cross / R / bin 2 (3rd-smallest)
# Population in this bin: 2819
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

3594894001,D2 L B2 L' F' U R2 D' B' L2 B2 D2 B2 U2 R' L' F2 U B',R
4770734001,L2 D' R D2 L2 D F R' B' U2 F2 L U2 R' U2 D2 B2 R' D2,R
3323001,D B2 D' U2 R2 D' L2 U' R2 U' B R' B2 L B L R2 B F2 R2,R
825949001,R D2 B' L2 U' L' B' R2 U D F' D2 B2 R2 U2 B2 D F2,R
2871300004,F' B2 L F R F B' U' L2 B2 U B2 R2 D2 R2 U2 F2 B R F L' F,R
13157001,U L' B L' U R' B' D2 F D2 R2 D' F2 U F2 B2 U2 F2 U',R
321111001,B2 R2 F' D2 F D2 B U2 F' L R B' U B2 D2 L B' R D2,R
3180484001,F' R' U2 F' D2 F2 L2 R2 F D2 B2 F' U' B R B' U B' F',R
4891186001,R' F R B L2 D' R' U2 B2 L2 U2 L2 D L2 U R' D' F,R
3594294001,L B2 D B2 F2 U' R2 U' L2 F' L2 D' U' B' U2 R' F2 U,R
2265779001,D2 R' F2 R2 L' F' R2 L U' L2 D2 L2 F' R2 F2 B' U2 L2 F L' F,R
4716334021,D' R2 D' L' D R U' B D' U2 F' U2 L2 U2 F' R2 F' U2 F' L2 U,R
2425698033,U2 R D2 L F2 R' F2 R D F U2 L2 F L' D F L2 R B L' F2,R
5206798001,F B' L' U' L2 F D2 R2 F2 U' F2 U2 F2 B2 R2 U' L' F,R
4473559001,L2 B' U' L D2 R D2 B2 R F' L2 F' D' U2 L F R',R
650115001,R2 D2 F' L2 F R2 B R' F L D' B' R B D U F2 L,R
4799851001,U2 R' L2 U2 R2 D' F2 D B2 F2 D2 F2 L2 F2 B' L' U' F2 R' F2 U L' F2,R
4474500001,U2 B2 F2 D' L2 B2 U' L2 B R2 D R' D R' F' U B2 L' D',R
315038001,U' B2 F2 D' B2 U R2 D R D B2 R' F U' B R2 F' R' U,R
34530001,L F R' D' L' F' L2 B D L2 D2 B2 U2 F' L2 D2 F' L2 B2 L2,R
928087001,D F2 R2 U' R' L2 B2 L' F' U' B2 R B2 D2 R2 L' F2 L' F2 D2,R
5086025001,B L2 U2 L2 D2 R F' B' L D' R2 L2 D L2 D L2 D2 B' U2,R
3757536001,L D2 B2 R2 F2 U L2 D B2 D' F2 D' F R' D2 B2 U2 B D2 B',R
4628910034,U B2 L2 B' D R' U' R F2 L' U F2 D' R2 D F2 R2 F2 U2 R2 B R',R
4213385001,D F L B R L2 U' F U' F2 B2 R' F2 U2 D2 L D2 B2 R2 U2,R
1689467001,L D2 L' F D2 L' B2 D' F L2 U2 L2 B2 U2 B' D2 L2 F2 L',R
832306019,B2 D R2 U L2 D' R2 D' R2 F2 U' R' B L2 F2 U L' U F2 U2 L' F2,R
2717226001,D R F2 U2 L2 U' B2 U L2 U2 R2 D2 B F2 D2 L2 R F D2,R
2846764001,R2 D' L B2 U2 F' R2 U2 D B' R2 B2 D R2 D' F2 U R,R
952733001,U2 D2 R' L U' D F' U' R' F2 U' B2 L2 U R2 D2 B2 D' R2 D',R
4881149001,U' R2 D' L2 D' F2 D R2 L' F U' L' F' R F D B2 D2 F2,R
4397707001,R' L U' D2 B D2 L' F2 U L2 D B2 U L2 D' L2 R U2 F,R
2917554001,D R' U2 F2 U2 B2 L2 D' B2 L F D2 F L' U R2 D L2 B',R
1209803001,U L' B2 D2 F U2 L F D' R' B' R' F2 L2 B2 L U2 B2 R',R
924967001,U2 L2 D2 F U2 L2 B U2 L2 F R F2 R U F2 U2 L F U' R',R
1439338001,L2 R2 D' U2 F2 U L2 F R' B2 F' L2 U2 F L2 R2 B2 L,R
5014467001,D2 R2 B2 R' D2 F2 R' F2 B' D2 R2 U2 R D2 R F R' U' L,R
783947008,R' U2 R' B2 U2 L2 F2 L F2 R2 F D2 B' R F' D2 R2 D L' D L2,R
964956001,R' D' B R B' D B2 D2 R D' F' U' B2 D2 F2 U' L2 D2,R
5133646001,U' R' F R2 F2 U' L B R' F R2 B U2 L2 U2 L2 D2 R,R
344576001,R2 B' L2 D2 U2 F D2 F2 D2 R' B' L2 D' B2 D U2 R2 U' F',R
993347001,B2 U2 B2 D' L2 R2 D B2 U' L2 U B' F' L F D' U' R2 F2 R2,R
5021781001,R' F' U D' R2 F D2 L' R2 F2 L2 U D2 F2 D' L2 F R' F2,R
69365001,B2 U' L2 R2 U B2 U R' F' L U2 F' L F' R2 U' R B' U,R
4381165001,R' D2 F' D2 L2 F R2 B L2 B' F' L U F' U2 R U2 B L',R
862250001,D2 B2 L2 B2 F' R2 U2 F' L' B' L' R2 D F L R2 B2 D2 U,R
3205910062,L2 D' F L B L D2 R' B' L2 U L2 D B2 D' L2 U2 D' F2 U' L,R
4293620001,U' F2 L' D2 R' D2 L' U2 B2 L B2 R F R F' D B' R2 F' R' B' L2,R
627120001,U B2 D2 R' L B' L2 F' B' L2 D' L' U2 R B2 L' U2 F2 R B2,R
4674620001,L2 U' R' L2 D' R2 F2 D R2 D2 U' L B' L2 D B' L F,R
3491081001,F D' L U' L D' L2 B R2 D R2 U F2 B2 D' F U2 B,R
406336001,U F2 D' U2 L2 F2 U R2 F2 R' U' B L2 R' B U R2 D2 F',R
358677001,R2 F' D L D' R' F' L' B2 D2 R2 D B2 U2 F2 U' R2 U,R
263675001,R' B2 L F2 L2 F D B2 U2 L' U R2 B2 L U2 F2 L' U2,R
5065847001,U2 B' R' L' U' R2 L U2 R' F L2 D2 L2 F' R2 B L F2,R
3817869001,L' D R2 B2 U R2 U F2 U2 B2 D2 F R' F' U B2 D2 U F' L2,R
482385001,U2 R2 B2 F R2 F' U2 F' U2 L2 D B2 R B F' D L' F' L' U' R' B' L,R
2676831037,R L' F R D B2 R2 L U F U2 D2 L2 B2 R' U2 B2 U L2 U2,R
2372839001,F D2 R2 D' R2 U' L2 U2 F2 U2 B2 R' D' U B L' F R' U',R
3299989025,B D' L2 R2 U2 B D2 F2 U2 F D2 R2 U F2 D2 F L F U2 F2 D,R
915525001,U D' R2 B' L F2 U R' B' D F2 R2 F' D2 F' R2 B2 U2 F' R2,R
1349829001,R U2 R D2 L' U2 R F2 D2 R' D2 B U L' R2 B2 D' L' U2 F,R
3459661001,D' R F' B R B' U' B2 R2 D2 R2 L2 B' U2 D2 L2 R B,R
1834095001,R B2 D F' U2 F D2 B2 R2 U2 B2 R2 L D R2 F' L2 D' B2,R
3421391001,L U2 B2 L2 D' B2 U' L2 D' B D2 U' B' L2 B R' U F,R
1150282001,F2 L2 R' F2 D2 B2 U2 R' B2 F2 U F2 L2 D F L U R B2 U,R
3775964001,F' D2 B2 R U2 F2 L' D2 L' F2 L2 B2 U' B2 F2 U R' D2 F L2,R
826973001,B2 F2 D' F2 U' F2 L2 U' R U' F' U2 B2 F' L' D R F U,R
1091380001,F2 D B2 D U R2 U' B2 D R' B' R2 U L F U B' D2 R2,R
1092425020,F2 R2 D L2 U B2 U2 R2 D R2 U L B2 D' B U L U' F' U B D2,R
1493588026,L2 R2 U2 R2 F' R2 F2 U2 B L' F' D R' B L B L2 F2 R U B' L,R
1966527001,F2 L B D' R D' B' R' D2 F' R F2 D2 R' B2 D2 R L',R
106901001,L2 B' F2 L2 D2 U2 R2 D F D2 F2 D B2 L' U' F' U' R2,R
720259001,D' L2 F2 D' B2 L2 B2 D' U' R2 B' R' F L2 R' F' D2 F2 R' B2,R
4589739001,L F2 L F B2 R' U B2 U' L D2 F2 B2 L' B2 D2 L' D2 R2,R
4356693001,D2 L' R D2 F2 L' F2 L B2 D R' B' D' R D L F2 L B',R
111605001,D2 B U2 R2 B D L' U F2 U' L F' L2 D2 B U2 B' U2 L2 F2,R
2659286001,L' U2 R2 B R2 B2 L2 B' D2 L2 R2 D B F' U2 B U2 F',R
2885400011,F L B2 L U2 F2 D2 F' L' D' L2 F' U2 L2 B' L2 F2 D2 B2 L' F,R
4325751001,L2 D B2 U2 L' F2 L B D2 F' R2 L' U2 L U2 F2 L F2 D,R
3311980001,F R B' D F2 B L2 B R' B D2 F2 U2 R2 U2 B' R2 U L,R
2593018001,D' U L2 R2 U' B2 R2 D' B R B' F2 D2 U' R' D' F R' B2,R
866912001,R L2 B2 R' U R B' D' L D' B2 D2 R2 B U2 L2 F' L2 U2 R2 F',R
1837826001,B D L' R2 B' R2 U2 R2 D2 B U2 B2 L' R2 F L2 B2 U B2,R
4773970001,D2 U' R2 F2 D2 F2 U' F2 U' B' U' B2 L B R D2 R2 F' L',R
2923031001,U' F2 R F' U2 F L D' R F2 U' B2 R2 U2 B2 U' D' L2 D R2,R
3459386017,R' D2 R2 D2 B D2 L' B' L2 U' F R2 D2 B2 U2 B' U2 B' L2,R
4262284001,B L2 F D2 R F2 R F B2 R2 D2 F2 R U2 R' B2 L2 U B,R
1293557001,U' R2 F2 L2 D R2 U B2 U F L' D2 U' F D' L2 U2 L' D' R',R
3906898001,R U R U2 B' F' L2 B' U2 R2 D2 B' L' B2 R' D U2 F' L,R
308478001,D R U F U2 L D2 R F' R L2 B2 D2 R2 U R2 U L2 D R2,R
1068563001,B' D2 B2 L F L F' R2 U' B R' L' U2 R U2 F2 U2 R2 L',R
2800151001,B2 U2 L' B2 R2 D2 R B' U2 L U2 F2 L B' U' B2 R' F2,R
1245064001,F L' F2 R D' F2 D2 B2 R U R2 F2 U L2 D R2 U D F2 D,R
2681507001,U' L2 U' R2 D2 U' L2 D F2 B' D' U B F' R U F' D2 L',R
134573001,B' R2 F' U2 F' L2 R2 F2 L B R U' R2 U F' D2 F2 L2 U2 B' L',R
1957855001,L' B' L U2 B D2 F2 R2 F2 U2 B D' U' L2 D' L U,R
484890001,B2 L' B2 D2 R' F2 D2 F2 L U' F' R' D L D L2 U F D2 F',R
1458508001,R U2 B D' R' B D' L B2 D F' U L2 D F2 L2 D' L2,R
140481001,D2 R2 B R2 D2 R2 B' F' L2 B' L2 R B' L D2 F U R F' D R2,R
5177846001,F' R' F2 L2 F2 R2 D2 L D' F U2 L2 D' R2 F2 U' R' D,R
3115989001,D F2 D B2 D2 L2 B2 D2 F' U2 L B' L2 R' F' R B' R' B2,R
1021601001,R2 F2 U R2 U2 B2 U' L2 F2 R B U L D B' D' L' B' F2,R
1518934001,D2 B2 U2 B2 R2 F2 U F2 U' B2 F2 R B' R' U B' D2 B' D' R2 D B' L2,R
4941853001,R' U' F D' U2 B2 L2 D2 F2 R2 B' U2 B' F' U B' F' D B D2 R' B R' U' F,R
2174657001,D' R U' L2 U' F' U B2 R2 D U2 L2 F L2 D2 F U2 L2 B' L',R
1280759030,D2 F' L2 D2 U2 B2 U2 F D2 R' D' B2 D' F' D' R2 B' U' B2 U' L B,R
675222001,L2 B2 L B2 R' U' D2 R2 L' U F2 R2 B' U2 B' L2 B2 D2 L2,R
3641569023,R U2 F2 L' U2 B2 U2 R B2 U2 F' L R2 U R D L' U' B L' D,R
4096099001,B' L' U2 L2 R2 F' L2 B F L2 D L B' F2 U B' R' B D2 L2 U',R
