# Scramble Extremes — pseudo / pseudo_xcross / B / bin 8 (max)
# Population in this bin: 39439
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

692241026,B R2 B L2 B F2 D2 B2 L2 U2 R' U' L' B D R' D U L2 B D,B
4451774001,D L2 D2 R' D2 F2 R U2 R U F U B L' D' U R' F D',B
852262001,U' B2 D' F2 D' L2 D2 B2 L D B' F' U F2 U2 R2 U' L' R',B
420776001,U' B2 F2 D' R2 D' U2 L2 U F D' F' L' D R B' R' B2 F,B
1355039001,L' U2 L2 D B' R2 F' L B2 D L D2 F2 B2 D' R2 D' R2 B2,B
1467606001,U2 R2 B U2 B' R2 D2 U2 B' L' B2 D B2 D' R' U F2 L' D',B
589976001,R D2 R U L' B2 U2 D B2 R L B L2 F U2 F' L2 U2 F,B
186534001,F2 D R2 B2 R2 D B2 D' F' R2 B' L' B' U2 R D F2 L' U2 R2,B
4169252001,R' D2 L2 B2 U' R2 F2 D R2 B2 U' L' F' R D2 U' L B F' D',B
2958841001,D2 U2 F D2 U2 F2 D2 F' L2 F2 D' F' U' R B' U2 L B2 D F2,B
661102015,R2 D2 U' F2 R2 D2 F2 R2 D2 B' R U F2 D R2 B L F' R' B',B
4132245001,R' B2 D L2 R2 U' R2 U2 B2 F2 R D B' L B2 L' D2 B' U' R2,B
1565602072,U2 R2 B' F R2 U2 F' U2 B2 U' L F' L2 U2 F L2 U B' U2 L' B R',B
3795309001,U R2 F' U' D L' F2 L' B' U' L' D R2 F2 B2 U2 B2 U',B
1273524034,L2 D2 R2 U2 L B2 F2 R' B2 U' F L2 R' D' F2 D B R D' L2 B R,B
4540260001,L B D L' B' U2 D R U L2 U' D2 B2 D R2 B2 L U2 F2,B
594382001,B' U2 F R2 F R2 D2 B' U2 L2 U2 L' D' F' L' D' U F U2 L F,B
5179969001,L D' L2 B' U2 B' D2 F' U2 F2 U B U R U' R2 U2 B L D,B
2635806001,F U B2 U B R' D' R' U L F2 D2 R D2 R' F2 L B L,B
2794694001,L F2 R' B2 F2 L R' B2 L F2 U L' R' B' L F U2 L' R2 U,B
1840277001,R B' U2 L U2 B2 R F2 U2 L2 B' F' R' F R D' B2 R' U,B
1810080001,U L' D2 L2 B2 D' B2 U' R2 U' F' D F' L' U' B L' D2 U,B
652353001,D2 U R2 U B2 D' U2 R2 F L' U R2 D' F2 L' R2 F D B2 F,B
