# Scramble Extremes — pseudo / pseudo_xxxcross / W / bin 12 (max)
# Population in this bin: 7922
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

767923002,D2 B2 F2 D R2 F2 R2 D' R2 F' D' F D' U' L' F U' L' D B2 L B2,W
3605435003,U2 L' U D' F' D' R' B U' R' F2 L2 D' L2 B2 D F2 U D' L' F2,W
5196189001,L2 F2 D2 F' R2 D2 B' L2 B D2 U B' R2 U' R B F L D B2,W
618833024,F D2 B' L2 U2 F' D2 L2 F U R2 U' L2 F2 U2 B L' U' R B' L B2,W
1556522001,B2 R B2 R B2 L2 U2 R2 D2 R2 B' L D L2 R' B F D' U' B,W
1560478020,F' U2 B' F L2 U2 F' U2 R2 D' B' D2 U2 L' R' B L2 R' D' U2 B,W
5131855001,F2 L2 F R2 B D2 F' R2 F L2 F2 L' U' R2 D F R2 B' R F D,W
642844034,R2 D2 L' U2 B2 R' U2 B2 U2 F2 R B' L D B2 F D B2 F2 R2 D' B R,W
3513701001,L2 D B2 L' U2 B2 R2 U2 L B2 D' B2 R' U F D2 B D R2,W
4925414001,F' L2 R2 B U2 B U2 D F U2 F' L D' U' R' D B F2 L2 U',W
4534147001,D R2 D2 F2 L2 R2 D F2 L' B' R2 D2 R D B F' U' B' L',W
126629001,D2 R2 U2 R' U2 F2 R' D2 B2 L' U' B2 L' U' L' B' L' B' F D',W
3879531001,F L' D L2 U2 L2 B L2 U2 F U2 L2 D L R U R' D L D,W
2148301001,F D2 L2 B D R' F' R' L' B2 U R2 F2 D R2 U' R2 U' B2,W
661311009,F' D2 L2 B' D2 B2 L2 B2 L2 B R D' U2 F2 L2 B' R D L2 B2 F2 D',W
4818801001,R' U' F U' B L' F' U L' B U' D F L B2 R2 F R2 D2 B R2 B R' U' F,W
5149873001,U2 F' U' B2 U L2 U L2 U2 F2 R2 U' L' U' B R B F' L U',W
4036164017,D' B' D2 R F2 R2 D2 L' F2 L' U2 R' D' U L2 F2 R D2 F' R D2,W
2156421001,U2 L2 R D L2 D2 R2 F2 U R' F2 R' U' F L' R B' L2,W
4515001001,F2 U' R2 U2 B2 R F2 R2 B2 R' B2 R' D F' L' B U F2 D2,W
4231019003,F L F B' R2 L U' L2 B2 R2 B2 D2 B U2 F' L U R B2 L2,W
1314174001,L2 U2 B U2 F2 R2 F' L2 F2 D2 L2 D' B U' L U L2 R D' B',W
3006396001,D' R F2 B L U L U2 F R2 F U2 B' R2 F2 L U2 B2 D',W
3795926001,R2 U2 R U2 B2 U2 R B' D B' R2 F U R F D2 U R',W
3007917001,R F2 R' F2 B' D' L F U' D' F2 R2 L2 U' L2 D' B' R' B2,W
2376997006,B D' B2 D2 L2 B2 U2 F' D2 F R2 L U B2 F' R D2 L B2 D' L2 U2,W
4988460001,F U L' B' R2 B R2 D2 U2 F' U2 B2 L B2 D2 U2 L' B L,W
4827513001,L2 F B D2 L' U' D' R2 D2 L' D2 R U2 L' B2 R2 F2 U2 B,W
230319001,D R2 U2 L2 U L2 R2 B2 L2 U L' B U F' D2 L D F2 R2 B2,W
3817361001,U' F2 L F R' F' U' F' D B2 R2 L2 D' B2 D F2 L2 D L2 B,W
4083828001,U' R' U' F2 D F L' D' B' L' D2 R2 B U2 B' D2 R2 F' R2 F2,W
814478048,R U2 L D' B' R' U' F D F U' R2 F2 D B2 R2 D R2 U' F2,W
5186196001,F' R2 U2 R2 D L2 R2 U' L U' R U' R2 D2 U2 F2 U' B' R',W
4725150001,F U2 F2 L F R' U R B R U2 L2 F2 R2 L2 D R2 F2 D R2,W
2536692001,R2 U' B R' U2 L B2 F2 R B2 L2 R' B R2 F' L' B2 D2 B2 L B2,W
4080831001,R B2 D L2 B U' D2 F R' B F2 R2 L2 U D2 R2 U' F2 D F2,W
854503001,F D' B U' F2 L' B R F' R L2 F' L2 F' L2 B U2 F' U2 L2,W
1324243001,U' R2 D2 L2 D' F2 L2 U B D' L R D' F2 R U' B' F' L D,W
2864069001,U R' F D2 R2 D L2 R2 D B2 F2 L D' L2 D2 L B D R B' L',W
2393945001,U' B U2 B D2 R2 B F' L' D2 B U R' D' B2 U' L' B,W
1583489001,B U2 F D2 R' L B U' R L F2 D2 B2 U' F2 U' R2 F2 R2 U',W
3224581001,L' F' U2 L2 U2 B2 U2 B L2 B' F' R2 U2 R B' F2 L U R' B F2,W
940337001,B2 U2 B' D2 R' F' U B2 D F' R2 F2 L2 U2 B' U2 F D2 F2,W
4967940001,R U2 F D2 R2 U F D F L B D2 R2 F B2 D2 B' R2 D2,W
4339194001,F R' F U2 R2 U R2 B2 U2 R2 F2 B R' F' L2 U B' R' U,W
222643001,B2 L2 R2 U2 B2 D' B2 L2 U F' D' R2 F D' F2 L D2 R B' U2,W
4529741001,F' U2 R D2 R2 F2 L2 B L2 R2 F R2 B' D' B' U L' U2 F U,W
832885001,L2 R2 U2 B R2 B' L2 R2 B' F L F' U R' B L F' R2 B2 L2 U',W
5184261001,F2 R2 D' B L' U2 D R F2 D2 F2 U2 F U2 D2 F U' F' R2,W
255111001,F2 U2 F2 U B2 F2 L2 U2 F2 L B' D' U' B F2 R F2 L B' L,W
2398576088,U2 L' F U' D' R' U' B' R2 F U B2 U2 F2 U2 R D2 R U2 R B R,W
2429705001,U2 L' D R2 U' B R2 D2 L D U2 B' L2 F' R2 F' L2 D2 F R2,W
186572001,U R U' F2 R2 F2 L' F' R2 D' B2 U2 L2 U2 L F2 R2 D2 F2 R,W
544531001,U2 L' F2 U2 L' D2 R' D2 R' U2 F2 U' R' F' D2 R2 B' D' L' U,W
4442134001,U' R' B2 F2 D2 L2 B2 D' F2 D2 F D' L' B R2 F' D U' F',W
3746418001,B R2 L' U2 R D F D' F' U2 L' F2 L2 B2 L U2 R' F D L B2,W
690455001,B2 U' B2 U' F2 D R2 U B F' D' R' U' F2 R' F L' D B' R D2,W
784160001,D B2 L2 D' U' B2 R2 D' B' F U L2 U L D2 U' R' D' L2,W
1201978001,U2 B2 R' D2 F' L U' B2 D' F' R2 F2 U F2 U' D2 R2 F2 D2 B2,W
1467313001,R2 U2 F2 U B2 L2 R2 U F2 R2 U2 L' F2 D' R2 U2 B F' U' L' D,W
661107008,F2 R2 U' B2 U' R2 F2 L2 B' R2 U L B U2 B2 L' B2 L D R',W
5132553001,B' R' B2 D2 L2 B2 R' D2 L' R' U2 D B L B U F' U L B',W
3426254001,R D R2 F2 L F2 U2 L' R' F D' B D' L' B2 R U' B',W
1470949001,U F2 U F2 U' B2 F2 U' R2 F R' B2 U L2 U' F' U2 F2 L D,W
545784001,R' U' F D2 U2 L U2 R2 B2 R D2 F2 L B' R2 D2 F D' F D2 U' L B' F2 R' U' F,W
678419001,L2 U B2 U2 R2 U2 L2 U F2 U' R F D L F2 L D2 B' F2 R2 U',W
938243007,D' L2 U F2 U B2 D2 F' R U' B' D U' L' U B L R2 U L B',W
661242007,F2 D' B2 D' B2 L2 D' U2 F2 L R2 D B2 U2 L B2 F D F' D L' F,W
479671001,U R2 D U2 R2 U2 L2 B2 L F U2 L B2 R' D2 L2 B' L R' D2 L',W
3881036001,L' B' L' B R2 U2 F2 R2 B' F' U2 D' R B D2 L D F' U,W
4364216001,B U R B D' F' B2 R' U2 B R2 U2 R2 D2 R2 B R2 F' D,W
4659084001,R F U' L' F D2 F D2 F' L2 F2 L2 D U2 L2 B U L' B',W
2676833015,R' D2 L D2 R B2 R B2 U' L2 F' L' D2 R' D' L B R2 U' L' F2,W
940153001,L2 F U2 B D2 F2 L2 D2 L2 F2 D R' D2 F U' L2 F U' L',W
4813394001,D R2 B2 L F D' R' L' D2 B' U B2 R2 U2 D2 R2 F R2 F',W
618969001,F2 U' F2 L2 D B2 U2 L2 F' D L U' B' F2 D2 B L' R B,W
201530001,B2 R' B2 D2 L' F2 R D2 R' B2 F2 U F2 D' R D B' U' L F',W
1295178001,D' B2 U2 R2 B2 D' U L F2 L B2 F' D' L R' U2 L2 U' R' D2,W
1463099001,L B2 R F2 L2 F2 U2 L' U2 B2 D R D' R' B L R' D B' U F',W
2526227001,D2 B2 L' U2 L' R2 B2 R2 U' B D F R' D U B2 L' B' L,W
4579062001,F' U' B' D U2 L2 D R2 B2 D L2 F2 B' L D B2 D2 U' L U,W
1557643001,U2 L B2 R2 D2 F2 R2 D2 F2 U F' U B L2 R' B2 D' R2 U' L,W
120576001,L2 U L2 R2 D B2 L2 R2 U' R2 B' L F2 U' L2 D2 B2 U R D,W
374269001,R' U' F L2 D2 B2 L2 B2 U2 F' U2 F' R2 F' R' U' L2 F2 U F R2 U2 L U2 R' U' F,W
1756415001,F R2 D' B' R' L' B' R' D' L B2 R2 L2 D' R2 D2 B2 D R2,W
3902182001,D2 F2 U L2 R2 B2 U' R' F D L' D2 F2 D F' L U' L2 B,W
1996543001,U B2 R' F' L F2 D F R2 F R2 F2 R2 U2 B U2 B D L' F2,W
5101271001,R U2 F D2 R2 U2 F D U' F R2 U2 B' R2 F2 R' F,W
1358264001,B' U2 F2 B2 R' D2 F U' F2 R' F2 U2 B2 U2 D' L2 U' B2 U,W
695105001,U2 R' D2 U2 R2 B2 L R' F2 D' B R2 U' B F' D R U2 B U,W
3104520001,D' F U' B' L D F' D2 F R U' B2 R U2 L' F2 L D2 B2 L',W
2330071001,R' F R F2 D2 B' D' F U B' R' D2 F2 L2 D2 R F2 U2 R',W
1248521001,R' D' L' U B2 L' F R' B' R' B2 U B2 U R2 U' D' F2 B2 L2 D,W
142869001,R2 D2 L2 R2 F' R2 F' R2 F' R U' B R' B' D' L U' F2 U2 F L B',W
827194001,B R2 B L2 B2 D2 R2 F U2 F' U B' U' L' D U R2 B2 R' B2 R,W
4326850001,L F2 U' L2 D' B R' U' R' U2 L' F2 D2 R2 B2 D2 R F,W
2101122001,D B L' R2 B D2 U2 F' L2 F' L2 B2 D2 U' F' R' D U L B2,W
1252635001,B' R2 B2 L2 F R2 D2 B L2 B' R2 D' U' B' L' F R B2 U' R2 B D,W
2005228001,L2 F2 U L2 U L2 U2 B' L' D F U2 R' B U B2 D' F2 L2,W
3263974001,F D' U2 L2 R B2 L R D2 R2 D' B2 L B R2 U B' D2 L2,W
5074998001,D2 F L B2 R2 B U D' B2 D2 B2 R2 B2 L' F2 R' B' D' L',W
630467001,L2 U2 B D2 B U2 F D2 F2 D' B2 R B F R' U2 R U' R,W
3336271033,R2 F' R2 B' L2 B L2 F L2 R2 D2 F U' F' U2 R D' B' L D2 B R2,W
479520001,U2 B2 D2 U2 R2 F R2 B U2 L' D R' U F' D2 L2 U' B2 F L',W
927749001,F L2 U2 F' D2 B D2 B2 D2 R2 F2 U F' R2 D L' U L R' D F',W
4522258001,R D R' F' U2 L B' D' R' F D' U2 B2 U2 F2 L F2 R2 F2,W
2198863001,F2 L2 F L2 F' L2 U2 F' D2 B D' L F L2 D U B2 R B2 R2,W
818818001,U2 B2 R2 F L2 B D2 B2 L2 F2 L2 U' B2 D' B' R U L' D F2 L B',W
156404001,F2 R2 B2 L F' U' B' L B' R' D F B L2 U2 F D2 F U2 F',W
1379665001,B2 L D2 L F2 L' B2 U2 L U' F' L2 R2 B' R2 F' L B D',W
3574741001,D' R D2 B' L2 F2 U2 R2 B' R' U B2 U' F L U' F L2,W
4844876001,B D' L' U2 L2 B R2 B R2 F' R' F' D2 U' F R D2 U,W
4635102005,F' U2 L2 R2 F R2 D2 R B' U L D2 L2 D' F U F2 D2 B' L',W
5055221001,D2 U' B2 U' B2 L2 B2 L2 R' F R D2 F' D2 U2 L' B' D' U',W
2782133028,L2 B2 D B2 R2 U R2 D' B' R F D2 U B R' U' B U' B2 L' B R,W
1109610001,L2 R2 D2 F2 L2 R2 U' F2 R2 B D B2 L' U2 R' D L F' U2 B',W
1440351001,B2 L B2 R B' U' R' L2 B U' F' D2 R2 U2 B' U2 B' R2 F2 B L2,W
1041641001,U2 R2 B' L2 B2 R2 U2 B' D2 F2 D2 U L2 R F' D R2 B' R' B' R,W
4711152001,D' L U2 B2 R2 U2 R B R U2 L B D' B D2 B2 L2,W
2660084001,B2 D B2 R2 U2 B2 U B2 L U2 L2 F R B' F2 U' L F D',W
4924926019,F2 U F2 R2 D U L2 R2 D B F D L F2 R D' L D' F L B R,W
1568758001,F' D2 L2 B R2 D2 B D2 F2 U F L2 D F' R D B L' F U' B,W
1416524001,L2 B L2 F L2 F2 U2 L2 R2 B2 D' R' U' B2 D' U2 B' L' F2 L',W
745142001,R2 U' B2 L2 R2 U2 B2 L2 U2 F U' L U B D2 R D' B F2 D2,W
661040020,F U2 B' L2 F D2 L2 B2 U2 R F L B' R D2 U L' R' D' B2 L,W
194667001,R B2 D2 R2 B2 U2 R2 B2 D2 R2 U' B L D' F' R' B2 D B',W
1171868001,L2 R2 F2 D2 F' R2 B' F2 D' B R U2 L R' B2 F D' R B',W
661170027,B2 L' U2 F2 U2 R2 B2 R' U2 L2 D' B F R2 U' F' D' F R B' F2 D',W
592168001,U2 F D2 R2 B2 R2 B2 U2 F U2 L F2 U' B2 L F2 R U F D' R2,W
3612985001,U L2 U' F2 U B2 U' B2 L' B2 R B F2 R2 D U2 R F L B L' F',W
2980224001,B' U B2 L' U B' U' F D2 B L2 F B2 D2 B' R U' F2,W
3594448001,F R F2 R2 D B2 D2 F2 L2 U' B' D' L B' U2 R' U R2 F' L' F',W
2031894001,D' R U R2 B D' L D2 L' F U2 D' R2 D' L2 F2 U2 R2 B2 D',W
178812001,F2 D U' L2 F2 U B2 L R' D B F2 U F' R2 D L2 D U2,W
2498476048,D F' R2 B2 R' D2 U2 L F2 U2 D' B2 U' F R' B U' R D2 B',W
4549785001,D' L D2 R' U2 F2 D2 R' U2 F2 R2 U2 B D' L2 U F L2 U2 L,W
927999001,R' D2 L B' R L2 B' U2 D' B R' F2 R' U2 D2 R F2 R2 B2 R,W
4759572001,R' L F' R U' F2 U R' U L' B2 L2 D' R2 B2 U2 F2 U B2,W
5092082097,D U2 F2 L D2 L U2 F2 R2 D2 U L' B F2 D2 F U' R D F2 L' F',W
3621095001,R2 B' U2 L' U R F2 U2 B2 L2 D2 F' U2 B' U F' L2 B',W
883793001,F' D R' U2 R2 L' U R2 B R' B2 L2 D2 L F2 U2 D2 F2,W
1529205001,L U' D F' R D L' F' D F' D R2 B' U2 B L2 D2 B2,W
123694001,R' U2 F D' R' B2 L F' U L2 B L F2 U2 F2 D2 L D2 R',W
1157431001,L F2 L' F2 L2 B2 R' F2 D2 B2 U' L R F D' U B R' F L2,W
603079001,U2 R2 D' F2 D2 L2 D' R2 D' L2 B' R' U' B R2 B2 R F U' B,W
231313001,F R2 D L' U F' R2 U2 R' B U2 F2 U2 R B2 U2 L F2 R' U2 L,W
660644003,L2 D U2 L2 F2 R2 U' L' R U R F' D B F2 L2 B D2 U B R,W
985092021,D' L2 U2 F2 U B2 L2 B2 R2 D B2 R' U R2 D' B' L F' R F D L2 U2,W
727591001,R2 F2 D2 L2 B D2 F' R2 F D2 F2 R' U F U' L D F U' L',W
4655524001,B' L2 D2 U2 F' D2 F' L2 R F2 L D2 U' F2 D' F' L F2 R',W
567830001,B' U' F2 U2 R' B D2 F' L' F2 B' R2 U2 L2 U2 R2 F2 D' F2 B2,W
446355001,B' L U R U' L D L' F U2 F2 R2 L2 D' B2 L2 F2 B2 U,W
4504803001,U' L2 U2 L U2 R D2 L2 D2 F2 U' L2 B U' R' B2 F' R' D,W
952283001,L' D2 R U2 R' U2 B2 R U2 R D B R' D L2 R B' L2 U2,W
4733017001,L R' D2 U2 R' B2 D2 R F' U' B2 D U2 F' D2 B' R' D2 F,W
1158406001,D2 L2 B2 L2 F2 U2 R' D2 U2 B2 R2 U' B' R' D L F D2 L B' D2,W
580107001,U2 L2 F' L2 U2 B U2 R2 U B F L' R2 U R2 U' R U R',W
553165001,L U' F2 D B R2 L' U F2 R F' D2 L2 D' L2 U F2 D' L2 D2,W
2945340001,B2 D2 F2 U R2 B2 U2 B2 U B2 U2 L R' D' F' R' U2 L B F,W
3438865001,D' F R' L2 F R2 F' L2 B' R2 U2 R2 F2 U R F' D' F D' F,W
660654006,U' F2 R2 D R2 U' L2 U2 B' U2 B U' L2 D2 B R U L' D B L B,W
5005080026,F U2 B2 U2 F2 L B2 R2 D2 L' U R' D' R2 B2 F D' B R' U' B R',W
953105001,B U L B R' L2 U L' F2 B' U' D2 L U2 F2 L F2 L' B2 U2,W
4178079001,U' R2 D U B2 F2 L2 D F2 L D' F2 U' F D L2 F' D' B' R,W
299964001,B U' F' R' L' U L U2 F2 L' B' R' U2 R F2 D2 L2 U2,W
82338001,B2 U2 B2 L2 R2 D L2 U' F' L' D L R D F R2 F2 L F,W
4303654001,L2 B2 D' B2 R2 U L2 F2 L' U2 F L' D R' F R2 U' B D,W
2376997051,F' L2 D L2 R2 F2 R2 U' L2 U2 B D B2 F U' L R D B2 D2 L' F2,W
2116071001,F U' L' B' L D R B' D B2 D U2 F B2 R2 F' B2 R2 L2,W
5077157001,R' U' F B2 D L' F B2 D' B' L' R2 F' D2 F' D2 L2 F2 B,W
4841718001,U B2 F2 L' B2 L' B2 R2 U2 L2 R U L' B D L' U R F' U,W
2480761001,D2 F D2 F R L2 B R D' L2 D2 F' B' U2 R2 F U2 R D2,W
1456488001,U' B U B D F' B R2 L B R F2 U D2 L2 D L2 D' B2 D2,W
945328001,R F U2 B' R2 B2 U' D' B' R B D2 F' U2 B' R2 U2 B2 U2 B D2,W
1117702001,U2 F U2 B R2 F U2 F' D B2 D R2 F' R B2 U L' D' R,W
733257001,D2 L2 F2 D F2 U2 R2 B2 L2 U B' U' F2 U2 L' D U2 R' B L',W
778305001,U' R B2 R2 B2 D' F' D2 L' U' L2 D2 L2 D B2 D R2 L2 F2 U',W
838795001,D' L2 F2 L2 U2 F2 U' B2 U' R' B' F' D' R F L U' B2 D F,W
2280210030,R F2 L F' R U B' R L2 U' B' U D2 F2 L2 U' L2 D',W
1874265001,R U L2 B U2 F2 U2 L2 R D2 R2 U2 F R' D2 F' L2 R2 U,W
704289001,B L2 U2 L2 B F L2 F' U2 L2 R' D2 R2 B D L' R U2 F R',W
2107718001,R2 B U R' B2 L F B' L F' R2 U2 D2 F2 L2 U2 F' D2 B2 D',W
4294154001,U' F2 R B2 D F' L' D' F2 B R2 B2 D2 R2 B L2 D F' R,W
4015044001,R' B' D2 R D2 B' F2 L2 F U2 F2 R2 D' L R' D L2 F2 U2,W
1366440001,D' L2 B2 D2 R2 F2 R2 U' R' D' R' D' B U2 R' F L2 U L U,W
4524627001,B2 U' B' L D2 L R' U2 B2 U2 R' U2 B D' U2 L U' L2 R D',W
3126906001,U2 R D F2 U' B2 D F2 D' R2 F2 D2 L2 F' D U' B D U R',W
1041560033,B2 D L2 F U R' F D' B' R L' F2 U F2 U D F2 D' B2,W
1180456010,L2 F2 L B2 F2 R' F2 L' F2 D F L' D' B' L' R F' L' U F L' F,W
1758510006,F2 U2 R2 B D2 U2 R2 F2 D U F' U B U' F D' F L B2 L2 U',W
257456001,F2 L U2 R B2 L' R2 B2 F2 D2 U' R B' D R U R U' F',W
2796591001,D2 L' D2 F2 R2 D L2 F2 D F2 D2 R' B' F' R2 U L2 F2 R' U,W
844209001,U2 R2 F2 R' B2 R' D2 R D2 R2 U B D' L' U' L F2 L' B' R2,W
146146001,B2 L F2 R2 B2 D2 R2 F2 R' B2 U F' U' L' B' L' D F' U R,W
1552908014,R2 B2 D' U' R2 U2 L' U2 F2 D R U L' R2 U' B R2 F2 L' F',W
685530001,F' R2 D2 L2 F U2 F R2 D2 F2 U' B2 R' D' B' L' U2 L' U2 F2,W
4836322001,D' L2 B' D2 B U2 F U2 B2 D2 F D2 U L' R2 U2 B2 L2 B L,W
4533980022,B' L U2 R D2 L D2 L2 D R' F2 R D L2 F' U L2 B' L2 U2,W
785795001,F U2 B' R2 D2 B' R2 B F' R2 D2 U' F' D' F2 D2 R D' B F,W
2920383001,D2 B L B2 D' F U D2 R' U2 R2 B' D2 B' U2 L2 U2 B R2,W
