# Scramble Extremes — pseudo_pair / pseudo_xcross_pseudo_pair / BG / bin 8 (max)
# Population in this bin: 10672
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

635800001,F2 U B2 D' F U2 R' L U' B' U' B2 U F2 D' B2 D' F2 U2,B
3262232001,L' F R2 F D2 B2 L2 D2 F2 D B2 R B' U L2 F U' B2,B
264001,B2 L' R2 F2 U2 B2 F2 L B2 U' L' R B' U' B2 D' F L2 D R2,B
880290001,D' L2 F' R' U F' L2 F' R U L U2 D2 R' F2 R2 U2 L2 U2,B
190953001,L U L B' R2 F' R' U2 D B' R B2 R U2 R' F2 R F2 D2 R,B
4450485001,D' R2 F2 R D2 R' B2 U2 R F2 B' D' L B R B' U' R B',B
2018347001,R2 D B2 U R2 D B2 R2 U R2 F2 L D B' R U2 F U' L2 D L,B
1861961002,D' R' D L' U L' D B L' U' F D' F2 B2 L2 D2 F2 B2 D' L',B
3488225001,B' U' F2 D2 U' L2 B2 U' F2 R2 B F' R' F' R2 D R' U' L',B
506385001,R2 B2 D2 L U2 B2 R' D2 L2 F R2 B' D2 U F2 L2 R' B U L',B
456218001,B' D2 B D R2 F' R D' B' L' F' L2 D2 F R2 F U2 F U2 R2,B
3675729022,D F2 R' U2 L D2 F2 D2 L2 R' D2 B' L B R U L D L' F',B
1464223001,B L2 B2 U2 F L2 B R2 B2 F' R' B2 F L U B' D F2 U' F2 L B',B
4702118001,R' F L D' R2 F2 U' B2 D U2 R2 D2 L B D2 B D2 R' B2,B
1195936001,D' L U R U2 D B U' R' L' U' L' D2 B2 R2 B2 L' U2 D2,B
980370001,F B' D' L D' L2 B' D B2 R' D2 L2 D2 F2 B R2 D2 B U2 F',B
766867001,U' B2 L2 B2 D U2 L2 B2 F2 D2 U' R B' L F' D2 U F' D R B,B
5061290001,U2 R' F2 D2 B' F' R2 F' D2 L2 U F' L' R B U2 B2 D' L,B
