# Scramble Extremes — pseudo_pair / pseudo_xxxcross_pseudo_pair / G / bin 7 (3rd-smallest)
# Population in this bin: 113
# Samples listed: 113 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

31496001,R2 U' R' F' B L D2 F' B D' F U L2 D' F2 D B2 U' F2,G
41772001,D' R2 B2 D R2 B' D F D2 B' F' D2 R2 D F2,G
55145001,L2 B' F' R2 F2 L2 B' U' L2 B' U2 L' F U' F R2,G
93006001,L2 U' R2 U B2 L2 B2 F2 D2 R2 D' R' B2 U B2 R' F' U2 F' L2 U,G
146858001,U' L2 F2 U' R2 F2 D B2 R B' D' B2 L' R' B F L' U' F' L2 U,G
169406001,U2 B' R2 U2 R2 U2 B2 R2 B2 F' R' U' L2 F' D2 B2 R D',G
174508001,R2 U2 L2 F2 D F2 L2 B2 U2 R' U' F' L' F D' L2 U2 R2 D' B L2 U,G
189945001,D B2 L B' L' B' D L D B2 L' F2 U R2 U B2 U2 D',G
284507001,D B2 U2 L2 D' F2 U2 R' D' R D2 L' D2 R2 F U2 L' U2,G
315519001,B R2 B L2 U2 R2 F2 U2 F L2 F2 L' U2 L U F' D2 U' L B,G
360121001,U' L F L' D' B R F L F' R2 L B2 R U2 R2 B2,G
373322001,F2 D2 B' D2 F' U2 L2 F D2 F2 L' U' L' R U L' U B' U,G
450031001,B U2 F U D F L' U2 L F2 B2 D' R2 U2 L2 U L2 F2,G
558943001,F L2 R2 F L2 U2 R2 F' D2 U R U R' F2 R B2 U,G
627947001,L2 U2 B' D2 R2 D2 U2 F' R2 D' F D R2 B L B2 U2 B R2,G
661418191,D' U' B2 L2 U R U2 B2 L B D' B D B' F' U2 R2 D2,G
670580035,L2 F2 L2 F2 U R2 U L B D U R' D2 U B' R' U' L U2 B' L2,G
718694001,U B2 D U F2 U' L2 F2 R2 U2 B2 L' D' U2 B' L U' L' U R B' L',G
722141001,R' B2 R U2 L' B2 R2 B2 D' F2 D' F2 L R U L D,G
731584001,R F B' D2 F2 D' R L B L' B2 R2 F' U2 L2 B' U2 F' L2,G
736513001,R2 D2 R2 D F2 D' U2 R2 D R2 F' D2 F2 D B' L2 B F2 L F',G
767861001,F2 R B' U' R B L U F2 L D2 F L2 F' R2 D2 L2 D2 B',G
788791001,L2 R2 D2 B2 F' U2 F L2 B2 L B' D2 F' L' F2 R B F U',G
848934005,F2 R2 F2 D2 L2 F2 R F2 R B D' B' L2 D F2 L2 B U2 B2 L,G
855473001,L2 U2 B2 F' R2 D2 F' U2 F D' B D' B U R' D R D,G
889206027,F' R2 F2 L2 D2 F D2 F' D2 L2 U B2 F L2 R2 D' L R D2 B' L B,G
906730001,F' L D R F' U L' F D L U2 F' L2 F2 R2 L2 U2 F' R2,G
920063012,D2 F2 L2 B D2 L2 U2 F' R2 B2 L2 D F2 D' R B R2 D' L' D2 L2 U',G
953601001,F B D' B U B2 R B R L2 D2 B2 U L2 D2 F2 D',G
981107001,L2 B2 R2 U2 R2 D B2 D L2 R' B2 D2 B' L B' U F' D2 L' F2,G
1026578001,U2 F2 D2 L2 F2 L2 F D2 F' D2 R' F' D' F D B2 F' L F',G
1117178001,F2 L2 U' R2 U' L2 B2 L2 D2 R F' R D B2 R2 D U2 L' U,G
1149011003,L2 U2 R D2 R2 F2 L' F2 R B' R D2 F2 R B2 D F2 D2 B2 R2 D2,G
1194442001,B' D' L' D F' B' D' L U2 B2 U' D2 F2 L' F2 R' L2 F2 B2,G
1211719009,B2 U2 R' F2 U2 R' F2 L2 R' F2 D L F L2 D' U L2 F2 U B L' F',G
1248059001,F' L2 B2 F' D2 L2 F2 L2 F D2 R B' U2 F D2 F' D' F' R2 D',G
1260613001,R B' R U' R' F' U L U2 F2 D B2 D2 L2 B2 D' B2 U',G
1329188001,R2 U R2 B2 D U' F2 D' U' B U2 F' L B' D F D2 F2 R' F,G
1359594001,F' D2 R2 D2 R2 B2 L2 F' R D2 R F' D2 L B' L' F2 U',G
1572463001,B R' U' B U2 R L2 F D2 F R2 F2 D' R2 L2 U' F2 U' R2 B2 L2,G
1685550001,L' R B2 L R2 F2 R2 F' D L2 U L2 R2 U B' R U',G
1691708001,R B D' L2 B2 D2 B2 L' R' B2 U L' U B2 D' L',G
1756689001,F U2 R2 B F2 R2 B L U2 F' L2 R2 B2 D' L D' L U',G
1793915001,F R B L2 R2 U R2 F2 D' U2 F' R D' L B D2 B' R,G
1881736026,D R' U R2 B L2 R2 B' D2 L2 U2 L2 B2 L F' U' R' D' F' L2 B' L2,G
1965465001,B R2 F U L B R' F L2 F' B' D2 B D2 R2 B' L2 F' L2,G
2105467001,B F' U2 L2 R2 F' L2 F2 U2 R U' B D2 U B U' B' L R B,G
2134139001,L B2 D R' F2 D2 L2 U2 L U2 R2 B' R' D' F2 U L' D L',G
2170461001,L2 F' D' R2 B' F2 L2 B2 D2 R2 D2 F R' F' U' L F2 D2 F2,G
2216414001,B U F' L2 R2 U L2 U' F2 L2 R2 F' D2 L' F' L' R2 B,G
2325976001,R L' F2 D B' D2 F' R F' L2 F2 B' U2 F L2 F D2 R' U2,G
2345025001,B' L2 F R2 B' D2 F' D2 L2 U L' R F2 L B R' B L' U,G
2364461001,F2 R' U2 R2 F' R2 B D2 L2 F2 L2 F' L' B2 D2 F D2 B' D,G
2406592026,B U R F D B R2 F' R U2 R2 B' U2 B' U2 B2 R2 B,G
2408563001,F' L2 B2 D2 F2 D R2 D2 L2 R2 B2 F' D' U' R2 F2 D2 R' D2 U',G
2427943001,B2 D F' U' L2 U R2 D2 B2 D R2 F2 U' B' U F' R' B2 L U' L,G
2599479001,F U R' F2 L D' L' D' R B2 R2 F U2 B U2 B2 D2 B,G
2638983001,D2 F' D2 F L2 B L2 B' R' U2 B' F2 U' B R' U2 F L2 U',G
2649971001,B R' B' U2 L2 B2 D L2 D B2 L2 F' D L B2 L2 B2 U2,G
2821399001,B' L2 B' R2 F2 D2 R' U' L2 D R D' U2 R' U' R' D2,G
2858878001,D' R D2 L2 F U2 F' R2 F2 U' B' L2 R' U' F' D F',G
2894139001,F2 B L U B R U D R F2 B' R2 U2 B L2 U2 F R2 U2 D2 L2 U,G
2900380001,B' L2 D2 F2 R2 B' L2 U2 B' R2 F R' D' L' D' F L2 B2,G
2954589019,D2 R' U' L2 B2 U2 B L2 B L2 R D' U2 R2 D' R' F' D L',G
2992469001,F' R2 D2 U' L2 U' B2 U2 F2 R D' R' B U F L2 D2 F,G
3050381001,R F' R D2 L B L D2 F2 R2 F' D2 R2 B R2 L2 D' B2 L B,G
3055499001,F L R' D2 F2 L' R2 B2 F R' B2 R' F' U' L' R' B2 D,G
3095670001,L2 B2 L U' D' L' B' L U F2 D2 L2 D' B2 U' R2 U L2 F2,G
3115838001,B U' F R' D' B L' U2 L2 U' B2 L2 D2 R2 F L2 U2 F R',G
3124967001,F R2 D2 R2 D2 L F2 L' D2 B L D' B' L B2 L' D' B F,G
3189252001,B2 D2 U' R2 D' L B2 F' D' B' U' L' D L F' D2,G
3298245082,F' R' B D R2 U' R' F U2 F2 R2 U2 F' B R' F' U' R B' L2,G
3307831026,B2 R2 U' R2 U' R2 U F2 U' L2 U2 F2 B R B2 R' F D,G
3309719001,U R F2 R2 F2 U B D2 L' R2 F R2 F' U2 B' D2 F' L,G
3394907001,L2 D2 R2 D2 B2 L2 B U' R' F' D L2 D F R' B' L,G
3401390001,D F B' D' R2 B2 L' D2 B R2 D2 F2 L' F2 B2 D2 R B2 L F2,G
3423098001,L' D F2 U L2 D L2 U' F2 B' D B F U2 R' U2 B U2,G
3455129001,L U2 R2 D' F B R B L2 D2 R F B' D2 R2 D2 B',G
3464595001,L D2 R U F D2 L' B2 D2 R L2 B R2 F2 L2 U2 L2 F2 D' L' F2,G
3491295001,D R2 F U2 L2 F D2 F' U2 R' F2 R2 B' U2 R2 D' R' B2,G
3598238001,R2 D R2 D' F' U B' L U2 D2 F2 U D R2 D F2 B' L2,G
3614879001,L B' U2 F2 D2 L2 B2 L' U2 F2 D' U' F2 R D2 U' B2 D',G
3621398001,F2 U2 B' U2 L2 U2 F' R2 L' F' L2 R F U R' B2 D2 L' B',G
3646111001,B2 U' B2 U F2 L2 U2 B' D' B U2 B' D B2 L' F' D B,G
3659680001,B' R F' U' F' D2 L2 D B2 D L' U2 R' D2 R' U2 R B2,G
3664645001,F2 B R2 D L F' U' R' D2 L' U2 R U2 B2 L2 D2 R' D L' F2 D',G
3845467001,D2 F' D2 U2 L2 F2 U2 B U2 L F R2 D2 F2 D' U F D' R' D,G
3850491001,D2 R2 F2 D2 R2 B' D2 L' F2 D L2 D R2 F L U B D',G
3910301001,F' R U2 L2 F2 U L2 B2 U R D2 B L F' U' F' L' R,G
4008228001,F' L D B2 F2 R B2 R F2 D2 F2 U2 B' F2 D' U F' R B',G
