# Scramble samples — std / xxxcross / B / bin 8
# Population in this bin: 909
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T03:59:07.858Z
# Columns: id,scramble,bottom_color

1938373001,U2 R B2 D2 R2 D2 F2 L D2 B2 R' U' R' D B U F' L' F' R B' L',B
1836767001,F2 D2 B2 R2 B U2 F' R2 U' F2 U L2 R2 F' D' B2 L F2,B
6866001,F D2 R2 D2 F R2 F U2 F U2 F R F' D' B' F' U' B D2,B
3630965001,U R2 B U' R2 F2 D' B2 U F2 D' L B R2 D B L2 F' L',B
3373923001,F D2 L2 F2 D2 L' D2 L D2 F L B2 F D' F2 U2 R2,B
23758001,B2 F2 R2 B2 F2 D2 F L U2 L B2 L' B' D' L2 D' U2 L,B
26092001,R F' U D L2 D' L F' R' D' L' F2 B2 D2 R B2 U2 F2,B
2398576027,U' R' U F U F' L U D2 R' D' U2 B2 L2 U2 R2 U2 R' F2 D2,B
30610001,U' R2 D' R2 F2 R2 D B2 U' B L U2 L B2 U F2 L2 R2 B' U2,B
5162437001,L2 F' U2 B' U2 B R2 B' F R D' B2 D R D' R F2 L2,B
38236001,F2 B' R' F2 R' U2 B' U' L' F2 B2 L2 F2 B2 U B2 U' F2 U,B
2252365001,L' D2 F2 L' R F2 U2 L' D R B2 L' F D B D' L' B2,B
2928777001,R' D R' D2 F2 L F L' F B' U' D' L2 B2 U' F2 U B,B
2606322001,R' D R L' U2 F2 U2 B' U D2 R F2 R2 B2 L2 D2 F2 R2,B
54190001,L2 U' L2 D' B2 D L2 R2 U F' D' F2 D' U2 L F2 U' B' L2 D B,B
781003013,D2 L2 R2 U' R2 F2 D2 B2 R' F2 U2 F' R' F U' R U' B' R B R',B
833531001,L2 U R2 U' R2 B2 D' F2 U B D U2 R' B' F' U2 F2 U' L R2,B
1490856001,U2 B2 U2 R' U2 L R2 U2 L2 U B2 D' F' R2 F' L D2 L2 D',B
742961001,F' U2 B' U' D2 B2 L' B R' L2 U' L2 U2 L' D2 R' U2 R,B
