# Scramble samples — std / xxxcross / Y / bin 8
# Population in this bin: 906
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T03:59:07.858Z
# Columns: id,scramble,bottom_color

245001,L2 R' B2 U2 R F2 U2 R' B2 D U2 F' R2 F R' B R2 D2 F',Y
4864626050,U' B2 F2 U B2 D2 L2 F2 U' F2 U F' L' F' R U B R' B2 L' D',Y
4250811001,U B2 L2 B R2 B' L2 D2 B2 D R D' U B' U F2 U L2,Y
13497001,D F2 U F L2 F' L F B2 D2 R B2 U' B2 R2 U L2 D',Y
4765590001,R U2 F U2 F2 D2 R2 B U2 R2 B' L' R U2 F U R' D' U' R',Y
817023001,U' B2 U R2 U' L2 F2 D' F2 L2 U R' B' D' L R D' B' U2 R2,Y
2043513017,U2 L' B' U F2 R2 D' F2 U2 R2 D F' U B2 L' U' L B L,Y
862462001,L B2 L U' F' R2 L' F' R B2 L2 U2 B U2 B' D2 F2 D2 R2 F,Y
3151447033,U' L' U' F R2 U2 L2 D L2 B2 R2 D B' D2 L' F2 U L' D B R2,Y
2596214001,L2 D' L2 D2 B' R' B2 R2 L' F' U' B2 L' D2 F2 R D2 R2 B2,Y
32405001,U2 L F2 U2 D' L B' R F B' U D2 B2 U2 B' D2 R2 D2 R2,Y
33378001,F U L B D2 L D2 B' D2 B' U' R2 D L2 B2 U' B2 D L2,Y
33688001,D' L D2 R2 L' D R' B' D L' F D2 R2 B2 U2 B2 D2 B D2,Y
2121879001,U F R' U2 L' B2 L U2 L' B2 L B L' D' L2 B' R2 U' R2,Y
1547446001,D2 U2 R U2 L' F2 L F U B' L2 U2 F' D2 L R B' F2,Y
50539001,U2 R B2 L' U2 B2 R' U2 L2 U L' D' B' F D L2 F' L F',Y
1421156001,U' B2 R2 U' B2 D2 L2 R' D' L' B2 U2 L2 R' D B' R D',Y
984605001,F' R2 B2 R2 F2 D2 B R2 D2 U2 L F D U2 R' B L2 U R D',Y
52675001,B' R2 U' R D' R2 U D2 B U B2 D' F2 B2 D2 B2 D L2,Y
61658001,L2 U2 L2 D L2 U B2 D U2 L2 F' R' D B D2 R2 D2 B' R2,Y
1197693001,R' D L U2 B' L' U D B' U B2 D2 R2 U2 B U2 F2 R2,Y
4384422001,U' L2 B D2 L' U2 L' U' B U B' U2 D2 R B2 R' D2,Y
4225709001,B L U R2 F2 R2 U2 R2 B' D R2 U' F2 U' R' F R',Y
4595511001,R' U' F L B' U L' D' B L U L' F' R' D2 L D2 R' U2 R2 U2 L D' R' U' F,Y
3257911001,R2 D L2 U' R2 U2 L D2 F' D2 R2 B' D2 R2 U L2 R,Y
3511459001,U R F' R2 F R' B U' F' U2 F2 L2 U2 F' U2 F' L2 R F2,Y
102191001,U' R2 D' R2 F2 U' F2 U' F2 R' F' D' L' F' D F' R2 U2,Y
2184381001,L' F2 U2 R D R' U' B' L U L2 F R2 F2 D2 L2 D2 F' D2 F2 L B,Y
5107649053,F D2 B2 D B2 D' F2 R2 B2 U L' U F2 D' B U' R2 F2 R' B R,Y
105763001,F U2 F' R F R U' R B2 U' R2 F2 U2 F2 B2 R2 D2 F,Y
3384548001,R2 B2 D2 B' L2 D2 B' L' B2 U2 L' D2 U' F2 U2 R' F' U2 L' F2,Y
1019643001,L2 B2 L2 R2 D2 R2 F' R2 F2 U' F' R2 F2 L' F2 L' D' B' U2,Y
3591554001,L U2 L' D' F2 R2 D B2 R2 U B' R F' D B2 F2 U',Y
1704997001,U2 B L2 B' L2 U2 B2 U2 L B2 U2 B' D2 R U' F' D' U',Y
130042001,U R2 U2 L2 F2 R2 F2 U' F R' D' B R' B F2 D B2 U2 B2 L' F,Y
130447001,U' R' B' U' R' D2 R2 B' U' F2 U L2 U2 F2 U L2 D' R2 U2,Y
689643001,U2 F2 U2 B' D2 F L2 D2 F2 D2 L' B2 L' D2 U' R' D2 L' F' L,Y
133007001,B2 D F2 D R2 D' L2 B2 L2 B' R F R D2 B' U2 R D2 R,Y
4899202001,F2 D2 U L2 F2 R F2 U2 L2 U2 R D' U2 R' F R2 F,Y
143394001,U2 L2 D2 B2 U2 B' D2 F2 L B2 L' U2 B2 R' B' F2 U' B U',Y
144251001,L2 U2 F2 R' F2 L' R' U' L' B D' F' U2 R B2 U B2 U2,Y
3228293007,R' B' D2 L2 D L2 D' R2 B2 U' L2 R B' D2 U' L D U R2,Y
3302623001,B L R F2 R B2 D2 L B U2 F' D' R' D U2 R' D2 R2,Y
4050368001,R' U F D2 U2 B L2 R2 F U2 L' B D2 B' F' L' D',Y
2646407001,B2 L2 U L2 F2 D' L2 D' U F' R2 D' L' D' L U2 B2 L' U2,Y
1552920001,L2 D' F2 D B2 U' F2 D R' D' B' R D2 L' U' L2 D' R2 F' U2 L B,Y
3099191027,F' R2 F L' B2 U2 L2 F2 R2 F' D2 B U' F L D B' R' U' L B',Y
3700100001,D L2 U' F2 U2 L2 F2 L2 U' F' L2 D F U F R B2 D2,Y
1218116001,L2 U L2 F2 U L2 B2 D2 L' D' L2 D' L D R F R2 D,Y
5025223001,R' U D' F R D2 R2 D L2 B L2 B R2 L2 B' D2 L D2 L2,Y
2383399001,R2 U B2 D' U2 B2 F2 U' F' D2 U' B L2 U L R B' R',Y
930025001,L2 B2 L2 U' F2 R2 D2 L D' B L D2 L2 D2 L2 B2 L2 B2,Y
211938001,F' U F' B2 L' B' U D2 R2 U L' D2 R U2 D2 L',Y
4910329001,D B2 F2 U L2 F2 U F2 D R' B2 F2 D2 L' U B' D L U,Y
3172854001,L U2 F2 R D2 R U2 F2 L2 U B' U2 B' R2 U' L' B2 F2 U2,Y
223959001,U2 R2 F' L2 F U2 F L2 F L' F' D' R' D B' R' D' U2 L B',Y
686698001,R B2 U' B R B2 D2 B R' F B2 U R2 F2 D R2 L2 F2 B2 U2,Y
3660524001,B D' L U R2 D B2 U2 L2 U' B2 L R U' B D R F' D',Y
4243236001,U D2 F2 L2 U2 L D2 B2 D2 B2 F' L' R D R2 F' D2 F2 L',Y
230555001,R2 F U2 R2 F2 U2 B2 D L' D U L' U' L' F' L',Y
2249121001,D F2 D2 R B2 R' D2 F2 D L U L' B2 D' R' F R,Y
1678791001,B' R2 B2 L2 B2 D' R D' F D2 L' D' F2 D' L2 U',Y
2970061001,D L2 U2 R2 F' R2 B F R2 D F D F2 D F R U',Y
770164001,B2 U2 R2 D' R2 U' F2 L2 F' L' D' B2 F' U2 B2 U2 R F,Y
1109545001,F B L2 D' B' L D R U2 B' D' F2 L2 U' D' L2 B2 R2 F2 U',Y
247146001,U2 R2 B2 R2 U' F2 U' B2 R2 B2 L B' F2 D' F2 R U2 F,Y
3987280001,F2 U' D2 L2 B' R2 F' R2 B2 R2 U' B2 D2 F R' D2 L' B',Y
833013001,F' U2 R' U2 D' F L B R' L D' B2 U F2 R2 U L2 U L2 D',Y
