# Scramble Extremes — std / xxxxcross / G / bin 15 (max)
# Population in this bin: 38355
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1017120001,R2 F2 U2 B2 R2 B2 D L2 D2 B F L' U B' F2 L' U2 B F2,G
661248010,L2 R2 D2 B2 R2 F2 D F2 U' L2 B F2 U' R' D2 R2 U2 F' R' D' U L' F',G
574714001,F2 D B U' B D B R L F D2 R2 F' U2 B' U2 R2 B L2 F,G
1355612004,R2 U R2 D' F2 D F2 D2 F2 L' R2 B' U' F' U' R2 D L' B2 R B R,G
1289872001,B' D2 L2 B R2 B2 L2 U2 F2 U2 F' D L' B' L2 U' R B' R2 B',G
4221318025,U2 L2 U2 L' F2 D2 R' F2 B' L' R' U L2 D' L' B2 R2 D' R D',G
889750001,R2 U2 R2 B' R2 B F D2 U2 F' U L' R2 B F U2 L F R,G
2724753001,D2 R' L2 F' U' B L F' R2 F L2 F' R2 B' U2 B2 R D' R',G
660661020,R' U2 F2 U2 L' F2 R B2 F2 L U' B' F' U F' L D' B U F D L,G
1578523018,L2 U2 L F2 L' D2 R2 F2 U2 F2 U' F' D2 B' R F2 D U R' B' F2 L' F2,G
25116001,B2 D' R2 D' R2 B2 D' R2 D B2 R2 F' D F2 L' R D' F' U2 R B2,G
4134609001,F2 U' R2 U' L' F2 L' R2 D2 L R2 B2 F' L B' D F U' R,G
1756766001,U' R F2 U' R2 D2 B2 F2 U' B2 D2 F2 B D2 L B2 F' D F' L D',G
437560001,R' U L U' F L D' R B2 U F' D' F2 U' D2 R2 L2 B2 R2 F2,G
1976046001,L2 F2 U L' B2 F2 U2 R' D2 R' F2 R2 B2 D B U2 L' R U' L2,G
5136353001,D' F' U' F L U' R' D F L' U R2 F2 R2 F2 L2 D' F2,G
1264673012,F2 D F2 D U2 L2 B2 D R' D F' R U' L U L2 D U2 L2 F' L B2,G
536262001,D2 L2 D' F2 D2 F2 L2 D' L B L2 F D U2 L' B D' L,G
937672001,R2 F2 U2 R2 D2 L D2 L' D2 U B2 R' B2 L' D' L' R' F' D' B',G
2820250001,L' B U' B2 L R U2 L B2 F2 U2 B F D' L' F2 D' L' B',G
138098001,L2 B' F2 R2 U2 R2 D2 R2 F' D' U' R' U' L F2 L' B F L U2,G
4588490001,L D' L' U B' D2 F2 D2 B' L F2 B2 U D' B2 L2 D' B2 F,G
1969169008,B' L' D' R' F' R2 B' L' U R L2 F' L2 F2 B U2 L2 B2 R2 F L2 U,G
3910729043,L2 B' R2 D2 R' D' U F2 D2 U F' D2 U2 L' B U R2 B',G
1938407001,F2 L' B2 D2 R2 F2 L' D2 L R F' U2 R' F2 R B' D R' U' F',G
290208001,R F L B' L' F2 R' U' D' F' B2 D2 L U2 B2 R2 B2 L2 D2 R' D2,G
2586629001,R' F2 U' F' U2 F2 U2 F L2 R2 U2 F' D2 R2 L' U F D F' R B,G
447107001,F2 L2 R2 D2 B2 R2 U' L2 D' R2 U2 B' D2 L' D2 R U' L R D',G
1864669001,F2 D' R' B L' D' B D2 L' B' U2 R2 D2 L B2 R' F2 U2 R2 U2,G
796928001,D' R F U D' R' L B' U2 F R L2 D2 B' L2 F' D2 L2 F R2,G
661354015,U2 B2 D2 R' U2 R U2 F2 L B' R D R' F2 L D R' D F' D L2 U',G
2751800001,U2 L2 B' D R' F R D2 L2 U2 R' D R2 D2 B2 R2 B2 R2 U R2,G
2431548001,D2 F2 R2 F2 R2 U2 L2 D R2 F' D' R' D2 B2 L U L2 F2 R U',G
1179792001,D' F' R F2 B' D2 R D2 B U' B D' F2 D L2 B2 L2 D',G
655565001,F2 U R D B L F B R B' D2 R2 L2 F' R2 F' U2 R2 F U2,G
5138455001,B2 U2 F R B2 L2 U L B2 R B2 R2 F2 R D2 R' B' D B,G
1376255001,F R F2 L' F2 U B L U' D R U2 B U2 B' L2 U2 D2 F2,G
4799178001,U' F2 U L D' B2 L2 D' B2 U' R2 L' B F L' B2 R D' L B2,G
1479422001,U2 F2 L' B2 R D2 B2 R' F U' R2 B D' L R B2 D B' L,G
3821482001,U' D L F L2 D B' R2 U F2 U2 F2 L2 U' R2 B2 R F' D,G
4188192001,R' B2 D2 R' F' U' R2 U2 L2 F R2 F' U2 F' L2 U' R',G
1621528028,L2 U2 B' U2 R2 U2 R2 F R D2 U' B2 F' R F' L D' U' L' B' L',G
666337001,D2 B' F' D2 B' L2 B' U L' R2 B L F2 D' L' F' D' R',G
1425494003,D2 B' L2 R2 B D2 B' D2 U' B2 U' L' F U R U F' D2 R2 F' D,G
2511572001,B2 U R F' R2 L' F2 U2 R' U R L2 B R2 U2 B D2 F' R2,G
3759208001,D R2 D2 F D2 L2 U2 F' U2 B' D2 F' L F D' R U2 F' U' R2 B',G
2855920001,R F U' F2 L R2 F2 R B2 U2 R' B' D L2 R2 F' L2 F' L',G
2886344001,L2 D2 F R2 L' F U' R' D' L F2 L2 D2 R U2 L' D2 B2 F,G
2633710001,B2 R2 B2 R' U2 R' D2 U2 B2 D R' U2 F D' R U' F D L R,G
3115469008,B U2 R2 B2 L B2 R U2 R2 F2 R' D U' F R B D' F R' D2 B R2,G
196606001,D' L2 D F2 D L2 F2 U2 B2 L U' B U' R B F R2 B' L',G
2723347001,D F' B D2 B2 U' L B' R L' B2 U' D F2 R2 D L2 U2,G
768858001,U2 R D L' D2 F' U F2 B R D R2 D' R2 L2 F2 U' L2 B2 D,G
4476906001,U2 R2 F D2 B' F R B2 U' L' B2 F2 D2 L B L2 B2,G
3762752001,B U F' R2 L2 F U2 L' U R U R2 D2 B' D2 L2 U2 L2 F',G
6910001,U' R' U2 F' B D' R' F L' B U2 D2 F2 B2 L' U2 R F2 L2,G
3548932029,U R2 U2 R D2 B2 L2 R B2 R' F D' L2 D2 B' D L2 R' D' B' L' F,G
4105486041,B R F' L D L2 U B' D' R2 B2 D2 B2 L2 B2 R' L' U' B,G
5197585001,L2 D F2 D B2 D' R2 U' B' F' D B D2 L B' R2 F' U2 L D,G
644926001,B2 R2 D2 B' U2 L2 R2 B' D2 F' D2 R' B' U L' D F D2 B' F D',G
2137490001,U' L' U F L2 D' B2 L2 D2 B2 R2 U2 L' B' F' D B' D2 B2,G
1213454001,F R2 B' L2 F U2 R2 U2 F2 U2 F2 L B U B2 D R' U' F' R U2,G
660491012,D U R2 D2 R2 B2 D' L2 U B2 L' B2 R U' R F' R D2 L2 D2 U' B,G
1422538001,D2 B2 R2 F2 U' B2 L2 U2 R2 U2 L B L2 U L' D R2 B L R,G
2388918001,R' U' F L' D2 F2 D' R F' B' R' L2 D2 B2 R2 F2 D' B2 U2 R2 B' D R' U' F,G
1659918001,B2 R' D2 F' D' L2 F D2 B2 U' F2 L2 U F2 U' B2 L' F,G
3907124001,F' U B D L B' D R L2 B R2 L2 D2 F' D2 L2 B' D2 L',G
5017637001,F2 L' U L D' U' L2 B2 U' F2 L D2 B L2 D2 L2 D,G
4081861001,L2 R2 F D2 L2 D2 B2 F' D2 F U' L2 D2 R' U2 L' D' B R',G
1085755001,F U2 F D2 R2 B2 R2 F2 D2 L2 D' B' F D2 F R' F' L' D U L,G
4359109001,L2 D2 R F2 D2 F2 U2 R D2 U2 L D' F R' B' L' F2 U' R2 U2 L' F2,G
1132693001,L2 B' L2 B R2 B' F2 R2 B D' L2 R' B L2 F' U R B' F' R',G
2299719001,U2 B D2 R2 B2 D2 R' B2 R' F2 R2 U2 R2 U' B2 L' F' D2 U' R,G
4784679001,R' B2 R F' B2 R U' B' D2 F D' F2 D2 B2 L2 U R2 D' R2 U2,G
307887001,F2 B' U D2 L2 F' B2 D B' L U' F2 L2 U L2 U D2 B2 D2,G
3034887001,U2 R' F D' F' B' U' L U2 B' L2 F' D2 F L2 F L2 F U B,G
660998005,B2 U2 L2 B2 D L2 R2 B D' R' D' F' D2 R' D' F2 L2 F2 D2 L B2,G
33640001,D R2 B2 F2 D2 R2 F2 U2 L' U2 F D B F L2 R' B2 D' U2 R,G
579603001,R B2 D2 R D2 L F2 R F' L2 U' L' B D' U' L' B' U B',G
84255001,B2 D2 L2 F2 L2 F U2 L B2 D' B' U F L2 F2 L D R',G
1446829001,B2 D' L2 D L2 F2 R2 D2 B2 D2 R' B L2 R2 U' B D' L R' D,G
592771001,D2 B2 U2 F' L2 U2 L2 F2 R2 F R F U B2 L2 D2 R D L F',G
4644907001,F2 L2 U' R' B' U' D R' F' L U2 F2 L2 D' L2 F2 D' F2 U D2,G
3783220001,F2 R' D F2 R2 D2 R2 D' L2 R2 U2 F' D B2 D2 B U' F' L' B' L,G
653030007,L B2 U2 R' B2 F2 L D F R' F' R D2 B' F' U B' L B R2,G
4165116001,F' U' L' F2 R' U R' U2 D2 L' B' U2 F2 L2 F R2 D2 L2 R,G
295082001,L' D' B R' U R2 L F2 B L2 D B2 R2 D' F2 D2 L2 D B2 R2,G
2273441001,U2 L2 U2 D R2 L U B2 U B' D2 R B2 L' F2 B2 D2 F',G
1368787007,D2 U2 F2 L B2 L2 D2 R' B2 R' U B' R' B' L' U' R' D' F L' U L2,G
614562001,L2 D2 F2 D F2 U B2 U' B2 F2 L2 F R D2 L' D2 B2 D2 B' U' L B,G
3497330001,D' U2 B' L2 B2 U2 R2 D2 L2 B2 D' L' B2 D F2 L B F' R' D,G
114245001,L2 U2 B2 R D2 U2 L' R2 B U F D' R' B R2 F R B2 L,G
1005985033,R2 U2 B2 U' L2 B2 U' B2 L2 F' L2 B' L D B' L2 R' D B D' L2 U2,G
565105001,L2 B2 D2 R' U2 R2 F2 D2 F' D R2 F D2 B2 U' F U R' B,G
495072001,F R2 U2 B' L2 D2 R2 F2 L2 B' L' F2 D2 F R' B' D' R2 D L,G
366374001,B2 U2 R U2 L B2 F2 R U2 R D' B F R D2 F2 R B' U' B R2,G
1017755001,F2 R B2 U2 R D2 U2 B2 U2 B R2 B2 U' B2 L U F D2 F,G
1323243001,D2 L2 B' F R2 F' L2 F' U2 L' B' R D2 R' F2 D U2 R' B,G
2754302001,R2 D2 F2 R D2 R2 U2 R F2 U L' R B L' F R' U2 R U2,G
197666001,F' R F' D' F' U2 B' R2 U L F2 B U2 L2 F R2 F' R2 B2 L2,G
2110184001,R' L2 F U L' F R U' B2 D' F2 R2 D2 F2 D' F2 B2 R2 U B L',G
2074017028,F2 D2 F2 R D2 R2 D2 R U2 L' D R' B' U' L D B D2 U2 R D2,G
422752001,L2 R B2 L' D2 F2 U2 B2 L D' L D L' B' D' B U' F2 L',G
2232316001,R2 B' U F D' R2 B2 U2 B2 D' B' U B' R F L2 R2,G
623165001,R2 U2 B2 F' U2 L2 F U2 F' L2 F2 L D R' U R F R' B' F L,G
4111360001,F U' B R U F L' U' B2 L F2 R' D2 F2 U2 L2 B' R' F2,G
2101333001,D' B D2 L F2 R2 D2 R2 D R2 D L2 U2 R' F R2 F2 U2 F' L B R2,G
3459649001,D2 F D2 F R2 B' F' R2 L B2 F' D2 B L U' L2 U' L,G
4838499001,F2 L2 D' B2 D2 B2 D2 R F U R2 D U2 L' U F U' L2 R',G
1552908005,R2 D' R2 U R2 B2 U2 B2 U2 R U2 R2 B F' R' F D F D2 L2 U2 B' L',G
1250899001,D L2 R2 B2 U B2 D' L2 F2 U F' L2 R F2 L' F' D2 R2 F',G
2309495053,B' U' F' R2 D2 L D' F2 U2 R D2 L' B2 R D2 F R' U F' L' F',G
4441143001,D2 B' U F2 U2 R U2 R' F2 R F2 D U' B D' B2 U2 R2 F',G
701330022,R2 B2 F2 U2 B2 R U2 L D2 F R D2 L B2 R' D' L U F2 L2,G
3212991001,R2 B U2 F' U2 F2 D2 L2 B R2 B U' B L F' U' R' B2 U B,G
639389001,R2 D R2 U' B2 L2 D L2 R2 U' B' D' L2 R2 B2 R' D B' L R' F,G
4134443001,U2 F L' U L U' L2 D' F B' U2 L2 F' U2 D2 R2 F' R2 D,G
4679138001,L2 U2 B2 D2 B2 R' D2 L' F2 L' D' L' B2 L' B R D' U' L' B2,G
2915300001,F R F D2 U2 L' R U2 B2 L B2 L' B2 U' R2 U2 B' F' U L2,G
811991001,F2 L2 D F2 U' L2 F2 L2 B2 D2 F R2 U' B' D' F' R D L U2,G
4290756037,F L2 D' L2 U2 F2 R2 D2 B U' F2 D2 B2 U' R2 F R D' L B',G
2280994001,R U B2 D' F2 D' B2 D' U' R2 F U L B F2 L D U2 L,G
2500825001,F D2 L2 B' U2 F2 U2 F D2 R' B2 D' L' B' R' F2 D U L',G
1053425001,B' F D2 B' L2 D2 B' D2 F R2 U R' F' D L' D' F2 U2 B2 R2 B' L,G
3452262033,D B' R L' U' F D' L F2 D2 L D2 L' B2 D2 R2 B2 R D L B2,G
927411001,F' R2 B U2 F2 R2 U2 B' U' F U L B2 U' R U' L2 R2 B,G
4326606001,L U' B U2 B2 L D2 R' F2 U2 B2 F2 R U L' B2 R D2 L F2,G
302327001,U2 B' U2 R B2 D L2 U F' D' F2 B2 U' R2 B2 D2 R2 F2 D F2,G
4244536013,L B' D R2 D B2 U2 L' D' B2 L' B' R U' L2 B2 D2 L2 U',G
4081948001,F' R2 B D2 F2 R2 F' R2 F U R' U' F2 U' F' U2 L' R2 F,G
952939001,L2 R2 B2 F' U2 R2 B2 F R2 F L2 D L' D2 F U2 L' D2 B2 U' R',G
