# Scramble Extremes — std / xxxxcross / O / bin 15 (max)
# Population in this bin: 38872
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

4675646001,R' U' F R U' L D B2 L2 D' B2 D' F2 D2 R2 L' B' R F L' F R' U2 R' U' F,O
1904745020,F2 R F' R B D2 R2 D2 F D2 B' F' L F2 L2 D' R' U' B2 D2,O
850791001,R' U' F R2 B2 L2 R2 U2 F' U2 R2 B2 L2 U R D2 L' D2 U B' D' F2 R2 B R' U' F,O
4296095001,F2 L2 F2 R B2 R2 U2 R2 D2 F' L' U2 L2 U B D U2 F2 R',O
346703001,L U' R' F B L2 F2 U2 L2 D' F2 U2 R' U2 D2 F2 R2 L' U2 R',O
852262001,U' B2 D' F2 D' L2 D2 B2 L D B' F' U F2 U2 R2 U' L' R',O
1236249001,D' B2 F2 D' F2 D B2 R2 D U2 L' D R U L B' U2 F2 D' F L,O
5268290001,B2 U2 L2 B2 L2 U F2 U2 F' L' D F R B' D2 L2 B D2 U' R,O
661103011,U2 B U2 L2 B' R2 F' L2 B L' D2 R' D' U B D2 U R' B2 D L' F',O
160468001,R' F' U2 B' U' B2 R' L D2 F' R B2 D2 F2 R B2 R' F2 D2,O
537020001,D U2 L2 U' B2 U F2 L2 U' L2 R' F2 D B' F L' F R2 U' B' F2,O
23050001,U2 R' F' B' U' B L' F U' D2 F' U R2 U D B2 R2 D R2 U,O
4638234001,F D2 B2 D' F2 U2 R2 F2 B D' R B2 F2 L' R' F' U' L',O
37841001,R' D F L2 U' F D' R L' B2 L2 B2 U' R2 D' B2 L2 D' F2,O
2717245001,U2 L U2 L' D2 U2 B2 R U2 R' U B R' D2 R2 D2 F L2 U B,O
1081683001,F L' B U2 D2 L2 D B R2 D R' U2 L' B2 D2 L D2 R' F2,O
864351001,D2 L2 F U2 F' U2 L2 B2 L2 F U' L B F U' L D2 U2 B2 D',O
619975025,D2 B2 L2 U2 L B2 F2 L2 U2 R' D' B2 L2 B F2 R D R' D2 U' F' L' F,O
4292133001,F2 U2 F' R' U2 R2 F2 L' D2 B2 D2 F2 U L D' F2 L' U' R,O
2336636001,D R L' D R2 U L U2 B' L2 D R2 L2 D2 B2 R2 U' L D,O
1356431001,B R2 L' U' D R F' U2 L2 D' R2 F U2 D2 L2 D2 F U2 L2 F,O
1690059001,L2 U2 R2 F2 D F2 U' L2 U2 F U2 L' R D B U' R' B L U2,O
2572634001,B' L D' B' R2 U2 F R' D' F B' D2 R D2 L F2 R' L2,O
3341121001,D L2 B' L2 U2 B U2 R2 F2 D2 L2 F' R' U' L' F' D R2 U2,O
4014302056,U' R' B D' F' R D2 B2 L B2 R2 U2 R2 U' R2 U' L2 B2 U2 F L B2,O
1520516001,D2 B2 R B2 U2 L' F2 L2 D2 B2 D L U' R F' D' R2 U B2 R,O
2430503001,D2 L' F' L2 F2 D2 L2 B2 U L2 B2 D U2 R' D F' L U B2 D2,O
4489446001,L B2 U R2 B2 F2 D B2 U' B L' F2 D F2 R B R2 D' U',O
1826837001,U B2 D U L2 U R2 B' L U' B2 L' U' B' F U2 L R' F,O
4290237020,F D2 R2 D R2 B2 U F2 B U R U F' R D F2 D' B2 U' L',O
188173001,F' L2 U2 R2 U2 B' U2 L B D L U' F2 L D2 L2 F' U,O
3676889001,F2 D U' B2 U F2 D' B2 L2 F' R B' L' F' R D' B2 D' U2,O
4357098040,F2 R2 F' U2 B2 L2 F R2 D2 R2 D' F2 L' B F' D2 R2 D' L' U' B' L',O
402160001,R F2 L2 D2 F2 L2 R' F2 U' L2 B U' B' R' D2 B U' L2 F',O
240496001,R2 B2 R2 U' B2 U R2 U2 F2 U F' L B' D R' F' D L' D' F' U B' L',O
2312093001,U2 F R U' B2 F2 D' L2 B2 U L2 R2 B2 D2 F L U R B' L2 R2,O
889132001,B2 R2 F2 U' B2 U F2 D' U' R' U F' D' L2 U B' F D R' U2,O
4864271035,U L' F' D F2 R' U F2 R2 F2 L2 B2 D F2 D' B2 D R D' B' L2,O
2005448001,L2 R F D2 F2 R2 U2 B' D' R B F' L U' F L' F' L',O
2668026013,B2 U2 L' R U2 L' F2 R' B2 D B L' R' U' B D' L2 F' R2 D B R,O
581794001,F' L F' U2 R' L2 U' B R' F2 B D R2 D2 F2 U' L2 B2 L2 D,O
3097212001,R' F2 R' F' U B R' F2 U L B R' U2 B2 D2 L' B2 L,O
3028518001,F U2 R F2 L2 F2 D2 B2 L D2 R F2 U' F D' L2 D2 B' L,O
2181783001,L' U2 B' R2 D' R2 L' U B D2 R2 D' L2 F2 U R2 L2 U,O
2124007001,D2 F2 D B2 U' L2 U' R2 B2 R2 B2 L' F U R B' R2 D F2 R',O
347833001,B2 D' L2 D2 B2 L2 B2 R2 U L' B2 R2 F' L R U F2 D' L F2 L2 U',O
5032537001,L B2 R B' U L' B' R2 U' R2 F2 L2 U L2 B2 R F2 L U2,O
1913448001,D R U L B U B U L2 F2 B2 U2 R2 D R2 D B2 R2 F L' D,O
912123001,D2 L2 R2 U B2 R2 U2 L2 D F2 D B' D2 U L B2 F' R' D' B' R,O
4622118001,B' D2 B2 U2 B R2 F' D2 L2 U2 R2 L' D' B' F U B D2 F2 U R,O
3828326040,B D' L F' R D R2 D B2 D F' B' D2 R2 B R2 L2 F' U' L2 U',O
1909572001,D' U' B2 F2 D F2 R2 B' R2 U2 L' F' D' L' B2 R' F U' R2,O
764250001,L2 U' L2 D' B2 D F2 D2 U' F L2 R B' F2 D R B' U2 F' R',O
4054897001,D B' L2 D2 F U2 L2 F L2 R B' R' F2 L2 R' B D' L F,O
5258304005,F2 D2 F2 L' F2 R D2 L D2 B U R D F' L' U2 R' U' B2 D' B',O
5273246001,D2 B2 L' U2 B2 U2 R' U2 L2 F' U F' D F D2 L' R D2 F D,O
254491001,B' U' F2 R B' L U2 R2 L F L2 F' R2 F R2 F R2 D2 F,O
2484208001,R' U' L2 B2 R2 B D B' D L2 B' L' F2 R L' B2 U2 R2 F2,O
4629689001,B2 L F B2 D2 F2 D2 L2 R B2 R U L D F' R' B' L' R,O
4725527001,B' U' B2 D' L' D' F' R' U2 R2 D2 B2 U2 B' R2 L2 U2 F' U' R2,O
641666001,F' L D2 B2 D R2 F' R L' D' L F' R2 D2 B R2 F' L2 F2,O
4694201001,D F2 D' R2 D R2 U B' L2 F R' B D L F2 R' D' R' U2,O
1588540001,U R2 F2 D' R2 B2 D R2 F2 U L2 F R' U R2 U F U' L' B,O
1234068001,U F D R2 U B' L' U F' R' B L2 U2 L' D2 R' F2 B2 R',O
1392664001,U2 R2 B' F2 L2 B U2 F L2 D' R' D B2 D' R2 F' R2 U L F,O
1864583001,B L2 D2 L' D2 F' B L D R2 L2 B2 D2 F' R2 F R2 F' D2 B',O
4409110001,B' R2 D2 U2 B2 D2 U2 L' D2 R' D' B U' R B' F U' L' U,O
1087867001,L2 D2 F U2 F' L2 D2 F' L' D' U R F2 U' F R2 D2 U,O
