# Scramble Extremes — std / xxxxcross / R / bin 15 (max)
# Population in this bin: 39013
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

3782193001,B2 L2 B2 D' L2 D2 B2 L2 U' B2 R' B2 U F D2 U2 F R' U L,R
3989378001,F2 L2 U L2 B' D F' L U F2 R2 D F2 B2 U2 R' B2 D2,R
3205910151,B' U2 R2 D2 R2 B2 D2 B2 D' R B' L B' R2 D' L' U2 R D2 L2,R
97841001,U2 B2 D2 B' R2 U2 F' R2 U2 F2 D R' U' R' B L2 B F' R B2 L,R
2329928001,R' L' U L' B' D F' U' D2 R F' U2 D2 L2 F2 D2 B' U2 F2,R
3971839001,D2 F2 D R U F2 U F2 R2 U L2 D2 L' R2 B D' B' F L2,R
5170730001,R' U' F D2 L2 B2 D' B2 R2 B2 U' L U R2 F2 L2 F' U' B' F' D L F' R' U' F,R
539113001,R2 D' L B R F D F L2 U F' R2 B2 R2 U L2 B2 L2 D' R2,R
255463001,U2 B2 F2 U2 L' U2 L' B2 R U2 L2 B R2 D' B' R2 D2 R2 B F L' F',R
1404176001,B2 D' L2 D U2 B2 D2 R2 F' L U B2 F L2 B' D' B2 D' B' R,R
512774001,R2 U F2 L2 U' R2 U2 F2 R2 D L' D B' D2 F' D' F D' R2 U,R
702356001,B' L2 U2 B' L2 B D2 B2 L2 U' R' B L' U B D2 R B' F L,R
816834001,D L B L' F2 D R B2 U' F' R2 F2 B2 D2 L2 B2 D' B2 U' D',R
4675562001,R D B D2 B R2 L2 B R' F2 R U2 L B2 L' D2 F2 B2 L U,R
170355001,L2 U R2 D2 F2 L2 F2 U2 B' L B D' L2 D' R2 D F' R' D',R
4936838001,L' D' L D2 L' F2 L' D2 B2 R D' U F2 L' F2 L2 B L' B R',R
1394001,L2 R2 D B2 L2 D R2 D2 F2 U R' B' R' F' D F D2 L' F2 U' L B,R
1299604001,U2 F D2 B' L2 F2 R2 D2 F2 D' U F' R B2 L B' F' L B' R,R
3451152001,D2 B2 D U L2 F2 R2 B' U2 L' R' F2 L2 F D' B D U',R
2913250001,F U2 R' U R' B R D' R L2 F2 D B2 L2 F2 D B2 L2 U2,R
47998001,U' F R' B' U R2 B2 D' F2 U' B' D2 B R2 U2 L2 B2 R2 L2 B,R
5147239001,F D' R2 B2 F' L2 U2 B2 D2 F2 R' U' R D2 U2 F D' L2 F,R
3687700001,D R B U2 F2 R2 D2 U2 R' U2 B2 U2 L U B U L F' R2 U,R
1675353001,L' U2 F2 L2 B2 R B2 U2 L' R' F' L' U' L R D' L2 D2 B' U,R
2843127001,D' R' F B2 U' R L2 D' F' B L2 U2 B' D2 B' U2 D2 F2 U2,R
3944290001,L2 R2 U' R2 D B2 L2 D R2 D2 U2 B' U2 R' D' U R B R' B',R
1194580001,F2 L2 D' L2 B2 D U B L' F U R' F' L' B' D2 U L' R2,R
4950622001,F2 U2 B F2 D' F2 D' L2 B2 F2 D' U' B' D F' L' U' L' R',R
2550949030,R2 D U' L2 B2 U2 B2 R' F' D B2 L D' R2 D' L' D' B R' D',R
4121252001,L' R2 B2 R' D2 R' U2 R' B2 F2 D2 B2 F' U' L B' F2 D' F L',R
2835139001,U F' U D2 R2 B' L2 D2 F U2 B' D2 B R' D' L U B' U2 R2,R
390585001,B2 R2 B' L2 B D2 F2 D2 L2 U2 F U B' R D R F2 U2 R F L,R
4724449001,F2 L2 B2 U B2 U2 B D' L2 U2 L D' B' L2 D2 F' D F,R
4683734001,R2 D2 B2 U2 F2 R U2 R U' R' B2 R2 U R U B L2 F R',R
2514657001,D L D2 F D2 B' L2 B R2 D2 R2 F D2 U R' B' D L' F R' D2,R
2021374001,U' L2 B R F' U' B L2 D' R2 L2 D2 R2 F2 D' L U' L2 U',R
738829001,D' B2 D2 L2 D2 L2 U' F2 U2 B' D' L' B2 U R2 B D2 F U' F2 L',R
4237574001,F' B' D B2 D L' D' B U' R2 D2 F2 U2 D2 R' D2 L' B2 D2 L,R
2985228001,L' U F' L2 D2 R D' L' B2 R2 B F2 U' F2 R2 U2 R2 L2,R
4065085001,L2 R2 D2 F' U2 B' L2 D2 U2 B2 D R' U2 F' D L R2 U L2 R,R
4442408001,F L2 B' D2 L2 B' F' D2 F L' D' L B2 L2 R U' B' D' L,R
3607711001,R2 D U2 R2 F2 U L2 R2 B' F' L2 D' B U' B' L B F R,R
47661001,U L2 D' F2 R2 F2 R2 U2 B' F' L' U' L2 U' L D' F2 L2 B' D',R
3620904001,D B2 U' F2 L2 U' B2 D B L2 B' D2 U' L F D' R D2 B L2 U2,R
4223645001,D R' F' L2 U R2 D2 R2 B2 R2 D' L U R' D2 B D' B L,R
3894366001,F2 L2 B2 D2 L2 U' B2 D R2 F2 U2 L' B R2 F D2 B D B2,R
1187210001,R2 U2 R F2 R2 D2 R U2 L' D2 U2 B R2 B' F U B2 L' R' D' B',R
680211001,R' B L2 F B' R2 B2 L D F R' B2 U2 F2 U2 L2 U F2 D2,R
2710852001,R2 L' F' R' F2 D2 R2 D L' F' U D2 B' D2 R2 U2 L2 B' L2,R
5174826001,D L' R2 D R2 D B2 D U' R2 F2 U' R' F' L U B R' U B,R
222088001,R2 D2 F2 L2 D2 B2 R' U2 B2 D F U B' R F' L' R' B2 F U2,R
1818040001,F' D2 F' R2 U2 B R2 B D' R' D2 B L' U' B R U2 L F,R
1397932002,L' F2 D2 B2 U2 L R2 U2 F2 R B' F R' D U2 B F R' U2 B2 L2,R
5034940001,L F' D F U2 B' D2 B R2 B D2 F2 R2 D B' R' D2 U R' F,R
4696446001,U2 R2 F2 D2 B R2 F D2 B D' B2 R B2 L U R2 D L' U B2,R
838280001,F2 D2 U R2 D' B2 U' F U L R' F2 D' B R2 D F2 D,R
487164001,D' L2 D' F2 R2 U2 F2 U' R F D2 L' R' F U' L' B2 L U,R
4303164001,R' U R2 F2 D R2 U' F2 L2 D F L D B' D2 U L' F2 L',R
3104438001,R' B' U' L2 R F D2 B R2 B' D' F' L' F2 D' B',R
1055205001,U L2 R2 D' R2 F2 D2 U2 L2 F2 L' F2 U' R2 U' L B' L2 D' U,R
2759158001,R2 F' L B' L2 D2 L2 B L2 F2 L2 U2 F R' U' L' B2 L2 D' L,R
320717001,D' B2 R2 D' L2 D2 L2 U' B2 U' R2 B' L B2 U' B2 R F2 U' B',R
2520221001,D' R2 U2 F U2 B2 F' L2 F D' B' L' B' L R D F2 D B,R
191695001,U' L2 U' F2 L2 F2 D' B2 F' D' L' R' U B' D' U' L B' F2 D' L' F,R
4796712001,R' D2 L B2 L2 F2 D2 R U R' B' L U' L' R2 B2 F L' F2,R
2390604001,B2 R D2 U2 B' L2 F2 R2 F D2 B2 U' B2 R F' R2 U2 R2 U',R
709006001,D U' B2 D L2 B2 D' F L' B U F2 R' B D R2 D' B L D2,R
1228533001,B2 R2 U2 R2 D2 R2 B D2 F2 D' U F D2 B L2 U2 R B' L' R,R
661431047,D2 R2 U' F2 U R2 B2 L2 R' D' U R' D2 B L2 D2 F2 R' F R2 B R',R
4041464016,F B2 D2 R2 U R2 U' F L U' F' B2 U' R2 D B2 D2 R2 B R2,R
3506648001,B' R' D2 R2 D2 L B2 R2 B2 U' B' U2 L' F L F L' B' L,R
1363652009,D B2 D' F2 U B2 F2 U2 R' F2 L' D' B2 L D B' U L2 F L2 U',R
627232001,F2 R2 D2 B' U2 F2 L2 F U F' L B' R' B L B F D2 R D,R
4401666001,L2 F2 U' F2 R2 D2 U B' L' B2 D' F' L' F2 D B F R' U2,R
