# Scramble Extremes — eo / eo_cross / Y / bin 10 (max)
# Population in this bin: 1102993
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

116133,L2 D' F2 U2 B2 L2 D' F2 D' B2 U R2 F2 U' F2 R' B L2 D' B' L F' U' B' D2 L' ,Y
1036230,B2 D' F2 L2 F2 L2 U2 B2 D' F2 D L2 F2 U B' L' U F' R B' R2 U B D L' ,Y
984681,D B2 D' L2 D2 L2 D' R2 U' B2 U L2 U2 F' L F2 U' B' D' B2 L F' R' U ,Y
491185,U2 L2 D' R2 F2 U' B2 F2 U2 R2 U' R2 D U' B' R B2 U' F' D' R B' L U ,Y
580146,F2 L2 D2 B2 U R2 B2 L2 D2 F2 D B2 L2 D L' B L2 U' R' D' R2 B L' F U' ,Y
1136125,R2 D F2 D L2 D' L2 B2 D R2 L2 U2 R2 U' F' L B' R2 D R U L2 B' L' U' ,Y
759035,D' F2 D2 R2 D F2 U B2 D' F2 U' F2 U2 B2 U' B' D' L D2 F' R2 U' R' B' L' ,Y
802071,B2 U B2 U' F2 D2 R2 F2 U L2 B2 R2 D' R' F L' B2 D B U F2 L' F' ,Y
1054160,F2 D2 L2 U' R2 D' L2 B2 U2 B2 U' R2 D' R F R2 U' L' D' L2 F R' B' U2 ,Y
723936,U L2 U' B2 L2 U2 B2 L2 U B2 U R2 D' B2 D R' B2 D F' R L B D' U' F' L' ,Y
834595,U' R2 D F2 L2 B2 U' F2 L2 D F2 U F2 U2 R' B F2 D F' L' U' R' B' U ,Y
745858,B2 D2 L2 U' F2 U2 R2 D' L2 D B2 D' F2 L' B U B2 F' R' L2 U L B' ,Y
995976,U L2 D2 L2 U' R2 F2 U F2 L2 U R2 B2 U F' U' F2 L' B' L2 D R' U B' L' ,Y
541605,R2 B2 U' B2 R2 U' R2 F2 D R2 B2 D2 B2 D' L2 F' L' B R2 U' R' D' L2 B L' ,Y
1054710,B2 L2 B2 R2 U2 L2 U' L2 D' L2 U2 R2 F2 U B' R' D R2 U F' L' B' D R ,Y
860257,B2 U R2 U2 L2 U' B2 F2 D' B2 D' B2 U L2 U' L' B R U' R2 F D2 L D B' ,Y
1054218,R2 U F2 U R2 L2 F2 U' F2 D L2 F2 D2 U' R' F R2 U' L' D' L2 F R' B' U' ,Y
173445,U2 L2 U B2 U B2 L2 D R2 D2 F2 D' R2 B' L F' U' R' D' B D2 L' U2 ,Y
292168,D2 F2 R2 U' B2 L2 F2 U2 L2 U' R2 D' L2 U F' L' B' D B2 R U2 R2 F' U' L' ,Y
1026719,F2 U F2 U B2 L2 D L2 F2 R2 U' F2 D' R2 U2 F' L U F R D2 L2 B' U' F L' ,Y
1142251,D' B2 L2 U' R2 D L2 D' B2 U2 R2 U B2 U2 F' R' F2 U B D B2 R' F L U ,Y
600218,D R2 L2 B2 D' B2 L2 U' B2 F2 L2 D' U L' B' L2 D R U R2 B' L F' U' ,Y
685898,U L2 D L2 D' R2 B2 U' L2 D' F2 U B2 L2 B' L B2 D' F' U' F2 L B' R' ,Y
278888,D' B2 D' F2 U' B2 F2 U2 B2 D' F2 U' F2 D' R' B' R2 U L D L2 B' R F U2 ,Y
669433,U R2 U' B2 D L2 D' L2 D2 B2 U' R2 F2 U' L2 F' D2 L' D B U R F' L U2 ,Y
1170976,R2 B2 D F2 R2 D U B2 D L2 F2 L2 U2 L' D F U R B' L' D' F' L' ,Y
449893,D L2 D F2 U2 L2 U F2 R2 F2 U2 F2 U F2 L2 B' L F' R2 U R D L2 F' L U2 ,Y
1216009,D R2 U2 L2 B2 U' R2 D' B2 U B2 U B2 L2 B' R' F L2 U' L' D' R2 F R' U ,Y
264629,R2 L2 D' B2 R2 U L2 D R2 F2 L2 U' L2 U' B' L F' D2 R2 U' R' D' B' L' U' ,Y
315033,F2 L2 U' L2 U' R2 F2 D2 L2 B2 U' L2 F2 D B' L F L2 D' R U' R2 F L' ,Y
685129,B2 D2 F2 R2 U' L2 D B2 U' R2 U' B2 L2 B' L B2 D' F' U' F2 L B' R' ,Y
514533,U B2 U2 L2 D' L2 U' R2 B2 D' L2 U2 B2 U2 L' B' U2 F' U R D' B D2 F L' U' ,Y
1108168,R2 U F2 U R2 D F2 R2 L2 D' L2 U' L2 D' R' F' L B2 U' B' D' F2 L F' U2 ,Y
120091,D B2 D' R2 B2 D' B2 D' R2 L2 U' R2 D L2 U2 L' U2 F R2 D' R B L U F ,Y
92059,D' L2 D F2 D2 L2 F2 L2 B2 D' B2 U2 L2 U' B2 R' B2 F' D' B L U R F U2 ,Y
706040,F2 U' R2 F2 D F2 D2 F2 R2 U R2 B2 D R2 F' L F2 U' B' D' B2 L F' R ,Y
594531,D R2 B2 F2 U' B2 F2 L2 D F2 U2 L2 U F' D2 R U B L' F' D' R' U F' ,Y
361863,U R2 D B2 D2 R2 U' F2 U' B2 R2 U R2 U2 B' R' L2 D' L F U B R U' ,Y
