# Scramble Extremes — eo / eo_xxcross / O / bin 10 (2nd-smallest)
# Population in this bin: 31248
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1236727,L2 U R2 D R2 D' R2 L2 D' L2 D F2 L2 U2 F' L' D' R' B U F L' U' ,O
261372,R2 U' R2 F2 D' L2 U2 F2 U R2 B2 U' F2 R2 U F' D2 U2 R' U L' F' D' B' R' U' ,O
302321,L2 F2 D R2 D F2 L2 B2 D F2 U2 L2 D R' F L B2 F2 U' B' D' L F ,O
261603,D F2 R2 B2 U' F2 U F2 L2 U F2 D' U' B' L' F' R2 D R2 U R' B' L ,O
1110081,U F2 R2 D' R2 D2 F2 L2 F2 R2 U' F2 U' B2 U' R' F L' U2 B2 D' B' U' R' F' U ,O
1236952,U R2 D2 R2 D' R2 F2 D2 B2 D B2 D B2 R2 L2 B' L F U R D' L2 D2 F' L' ,O
378905,L2 D R2 U2 R2 B2 D F2 R2 D B2 U2 L2 U' B' U2 R' D2 L2 D B' U' L' F' R' ,O
441413,U' F2 U R2 U' L2 D R2 D R2 F2 U R2 U R' F U' F2 D' L B R U' F ,O
313864,R2 L2 D' L2 D R2 D' R2 U' R2 B2 U' L2 D B' U2 L' U F D R B' L U2 ,O
207070,R2 D' B2 F2 L2 U L2 B2 D' L2 D F2 D L' F R D' R2 U' B L F' U ,O
221934,R2 U L2 D L2 U F2 U' B2 F2 R2 U' L2 U L' U2 B F' U B2 R D L' F ,O
720032,U' L2 U' L2 B2 R2 B2 U2 R2 D' R2 U L2 U B' D2 U2 R' D L' B' U' F' R' U2 ,O
1203303,F2 U2 L2 B2 F2 U F2 D' B2 F2 U2 L2 R' B' L2 D L2 F U' R' L B' ,O
389233,B2 U2 R2 D L2 U2 B2 D' F2 U L2 U2 F2 U' R2 F' U2 L' B' R D' L2 F U2 B' R ,O
912682,D2 L2 D R2 U2 L2 U L2 U' L2 B2 R2 L2 U' F' L' D' R' B' U F' D2 U2 R ,O
195580,R2 U2 F2 R2 L2 U R2 U' F2 U F2 U' F2 U B' R' F U L D B' D2 R U ,O
488352,U2 F2 D F2 R2 D' L2 D R2 U L2 D F2 R2 U2 R' F R2 U' L' D' L2 F R' B' U' ,O
478856,U2 F2 R2 L2 U R2 D2 R2 L2 F2 U' F2 U B2 U' L B D' F' R2 U' R L' D2 F' ,O
301175,B2 F2 L2 U R2 F2 U' F2 L2 U B2 L2 U2 R' B L' U' F' D' R D2 B' U ,O
439389,B2 D R2 B2 L2 B2 L2 D' L2 F2 U' R2 D' F' L' U R' F2 L2 U B' F L' ,O
463007,F2 D U R2 D' F2 U' F2 L2 F2 U2 F2 U R2 U' R' F L B2 F2 U' B' D' L F ,O
1181123,D R2 D' F2 U R2 U B2 R2 F2 R2 F2 D' B' R F D' L2 U' L B R' U' ,O
