# Scramble Extremes — eo / eo_xxxcross / O / bin 12 (3rd-smallest)
# Population in this bin: 137005
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

789139,B2 D2 R2 L2 D L2 F2 D L2 D R2 D' F2 R' F R2 U' L' D' L2 F R' B' U2 ,O
501041,D L2 B2 D2 R2 U' R2 U2 F2 U R2 U' B2 L2 U' L' F L2 D' R' U' R2 F L' B' U ,O
179929,R2 F2 D2 L2 D' R2 B2 D B2 L2 U F2 U' F2 U2 B' R F D' L' U' B' R D2 L' ,O
566401,U R2 B2 R2 L2 U' R2 D' L2 D F2 U2 R2 U' L' B' D R2 B R' F' U B' U2 L' ,O
775231,R2 D' F2 L2 U2 L2 D F2 U F2 U' B2 U L2 U L B L2 U' R' D' R2 B L' F ,O
477483,U2 F2 U L2 F2 D L2 D2 R2 F2 L2 D' R2 L' B R D' F' U' L' B D2 F' ,O
451338,L2 D R2 F2 D B2 D' R2 U' B2 U2 B2 D B2 R' U2 F U' L' D' B' R F U' ,O
88212,B2 F2 U R2 B2 U' F2 D B2 D' F2 D F2 L2 R' U2 F U' L' D' B' R F' U' ,O
203077,B2 D L2 F2 U' R2 D2 L2 D B2 U R2 U' L2 B2 R' F' L D2 B2 U B D R F' U' ,O
648875,F2 L2 D F2 D R2 U2 F2 R2 U F2 R2 U' R2 L' F' D U B R' L' F' U' B2 L ,O
1251425,B2 U2 L2 D B2 L2 U2 R2 D' B2 R2 B2 L2 U' F' R' F2 U B' D R' F L2 U' L' ,O
394657,R2 F2 U' L2 D' R2 L2 B2 R2 U R2 D' U' F' R D L B U' B2 F' R' U ,O
1106471,L2 D' F2 U2 R2 D' R2 F2 U2 L2 F2 U' R2 U2 B' R' B2 D F U R' B L F2 U' ,O
39421,F2 R2 U2 F2 D' R2 B2 L2 B2 D L2 F2 U B' D2 U2 R' D L' B' U' F' R' U' ,O
479686,L2 D' L2 B2 U2 B2 D' L2 D' B2 D B2 R2 F2 U' F' L F2 U' B' D' B2 L F' R U ,O
805720,R2 B2 R2 L2 U B2 U2 L2 B2 F2 D' L2 D B2 L' B' F R2 D B2 R' U' L F' U' ,O
894798,U2 R2 L2 D B2 D U2 B2 U' B2 F2 R2 U' F' L' B' R2 D B2 U R' F' L ,O
362321,D' B2 R2 U' B2 U2 F2 D' R2 B2 F2 U L2 B' R F' D' L' U' B U2 R ,O
390882,R2 U B2 R2 U2 R2 D' F2 D2 R2 F2 D2 U2 B' L B2 D' F' U' F2 L B' R U2 ,O
370106,B2 U2 R2 D2 U F2 U' F2 L2 B2 U R2 F' L2 D F2 L' B R' D' F' U' L' ,O
938139,U' L2 F2 D R2 U' R2 D L2 D L2 B2 U L2 U' L' B' U' F' U R D F2 R2 F L' ,O
443246,R2 F2 U' B2 D B2 F2 U B2 U R2 D B' D2 R' D F U L B' R' U' ,O
738763,D' L2 F2 U' F2 R2 U2 L2 U' F2 L2 U' L2 B' L D' L2 U' L2 F' R B U L U' ,O
357357,F2 D L2 D' R2 F2 D' B2 U' B2 F2 L2 U2 R' F' L D2 B2 U B D R F' U' ,O
82360,D' L2 D' L2 D2 F2 U L2 U R2 L2 U L2 U' R' D B U L F' R' D' B' R ,O
764813,U2 B2 L2 F2 D' R2 U' B2 L2 B2 D' L2 D U' R' B R2 D' L' U' L2 B R' F' U' ,O
952101,L2 B2 U R2 U' L2 D F2 D2 U F2 R2 U' F2 U' B' R' L' U' F D U' B U L' ,O
181817,D' R2 U F2 U F2 L2 D2 F2 L2 F2 L2 B' L U' F2 D' F' R B D' L' ,O
1107200,L2 B2 R2 F2 L2 U L2 B2 U2 B2 U F2 D2 U2 B' R L2 U L' F' D' B' R ,O
434139,U L2 D F2 L2 F2 U R2 U2 L2 U R2 U B' D' B2 L F' U R' D L2 F' L' ,O
1256498,R2 U F2 D' R2 B2 D2 L2 F2 U' B2 U2 R2 U' L2 B' L B2 D' F' U' L B' R U2 ,O
39353,U2 R2 D B2 U' R2 D R2 B2 U L2 U R2 D' B2 L' D2 B' D R U F L' B U2 ,O
116994,F2 D B2 D B2 R2 L2 U2 L2 U' R2 U R2 B' R' D F U' R' L U2 L' B L' ,O
179118,D B2 R2 F2 R2 D' B2 U B2 U2 R2 U' L2 U B' R F D' L' U' B' R D2 L' ,O
461196,F2 U2 B2 D' F2 R2 D L2 D' L2 U L2 U F' R' U L B' L2 D F2 R' F' U' ,O
881608,L2 D' B2 U' R2 L2 D' L2 U R2 F2 D F2 U' B' R' B2 D F U R' B L' ,O
341329,F2 U F2 R2 D B2 U' F2 R2 U2 R2 D' F2 U L2 R' B' F2 U' F L D R B U ,O
559056,U2 L2 U' F2 U2 R2 U' B2 U' L2 U F2 L2 U' L' U' B R D' F2 U' F' L B ,O
450429,D F2 U F2 U L2 B2 U2 B2 U B2 U R2 U' L' B U B2 F' R' L2 U L B' ,O
761103,D2 F2 U' L2 D R2 D2 R2 B2 D' L2 B2 D U' L' B L2 U' R' D' R2 B L' F U' ,O
480863,L2 B2 U' F2 D' L2 D' R2 B2 R2 D' B2 R' B' L F2 D' F' U' B2 L B' U2 ,O
88013,U2 B2 L2 D2 L2 U R2 D' B2 R2 L2 U' B2 U' F' D2 R D' B' U' L' F R ,O
1250446,B2 U B2 U' L2 D R2 U' L2 B2 U2 R2 U' L2 R' B' F2 U' F L D R B' U' ,O
259140,L2 B2 D' R2 B2 D2 F2 U' B2 L2 D2 R2 D B2 R' U2 F U' L' D' B' R F' U' ,O
983134,D R2 B2 D2 R2 F2 D' R2 B2 D' R2 B2 U' L2 F' D2 R L' D' L2 B' U' F R' ,O
384945,F2 U' B2 D F2 L2 D' L2 D' L2 B2 L2 R' F L2 D' L2 B' U R L' F' ,O
297947,U B2 D' F2 D' B2 U F2 U' R2 U' L2 U' B2 L' F' R' B2 F2 U B D R' F' U' ,O
726703,R2 U2 B2 U F2 L2 U' F2 U' L2 U2 R2 B2 U2 L' F U2 B U' R' D F' D2 B' L ,O
563978,L2 D' F2 L2 D' B2 U F2 U' F2 U2 R2 U R2 U F' U2 L' D2 R2 D F' U' R' B' L' ,O
613030,L2 U' R2 U2 R2 F2 U' R2 U R2 U' L2 U R2 F' L B D' R2 U' R F L' U ,O
710285,B2 L2 U' L2 U B2 U B2 L2 U2 L2 D' F2 D2 U' L' B' L2 D R U R2 B' L F' U' ,O
554271,L2 F2 L2 U F2 D L2 U2 L2 B2 U R2 U' R2 U' F' L' B U R D F' D2 L ,O
661401,B2 F2 R2 B2 U' B2 D' U2 R2 D' B2 U' B2 U2 R' B D' F' L F2 U' R2 B R ,O
444505,F2 U2 F2 U' L2 D F2 U2 F2 R2 B2 R2 U' L' F R' L2 D2 U' F D L' B' U' ,O
824724,U2 R2 U' F2 U' F2 U R2 U B2 R2 U2 R' B R2 D' L' U' B R' F' U2 ,O
883110,B2 R2 F2 R2 D' L2 D L2 D' B2 U F2 D' F' R D L' F2 R2 B' D F R' ,O
378501,D2 F2 D' R2 U2 B2 D L2 F2 L2 F2 D L2 U F' U2 R L' D L2 F U B' R' ,O
398138,L2 D' F2 D' B2 D B2 U F2 D2 R2 F2 U' L2 U' F' D2 R U B L' F' D' R' U F' ,O
444796,F2 U' R2 U2 L2 D R2 F2 U2 F2 U' L' F R' L2 D2 U' F D L' B' U' ,O
872425,F2 U B2 D R2 D R2 U R2 F2 R2 D2 L' B' D' F' R' U R2 L B ,O
