# Scramble Extremes — eo / eo_xxxcross / WY / bin 13 (3rd-smallest)
# Population in this bin: 1082889
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

966126,L2 D2 R2 U' R2 U' F2 D R2 U' L2 D' L2 B2 U' R' F R2 U' L' D' F R' B' ,W
1215239,L2 U2 F2 D' B2 F2 D2 L2 F2 U' F2 U2 B' D2 L D' F' U' R' B L' ,Y
801568,D R2 L2 U' R2 U' F2 R2 U B2 D2 U' R2 B' L' F R2 D' R' U' L2 F L U' ,Y
637253,L2 B2 U' R2 U R2 L2 F2 L2 D' L2 U2 F2 U2 L' U F R B' R2 D' L' U' B' ,W
839209,R2 B2 D B2 D F2 D' R2 F2 D' R2 D2 U' B' D' B2 L F' U R' D L2 F' L' ,W
9833,U' R2 U L2 U2 B2 U' L2 F2 U L2 F2 R2 L2 U F' L' D L2 U B' R' F' D L ,W
590335,R2 D' L2 U2 R2 F2 D' F2 L2 D F2 D' B2 U R' F' R2 D L U L2 F' R B' U ,W
563081,D' R2 L2 F2 U R2 U2 F2 D' B2 U' B2 U R2 U' R' B' L2 D L2 F U' R' L B' ,W
564015,R2 D F2 D' B2 D' R2 L2 U2 R2 D' F2 U F2 L' B' U2 F' U R D' B D2 F L ,W
135170,R2 D B2 U2 R2 U' L2 F2 D' R2 D B2 L2 B' L D R U' B' U F' U' L' ,W
478084,B2 U2 L2 F2 U L2 D L2 B2 U2 R2 L2 B2 U' R' B' F' U R2 F2 U R' L' F' U' ,W
1129470,B2 D' F2 U B2 U F2 R2 B2 D2 B2 L2 U2 R' B L' F2 U F D B2 L' B' U ,W
270791,L2 F2 U R2 U L2 D' L2 U R2 L2 F2 R2 B' R B2 U' F' D' R B' L U2 ,W
1061644,F2 R2 D' U2 F2 U R2 L2 U L2 D' F2 L2 U' F' L U' R' B R2 D' F2 L F U' ,W
594446,D2 B2 U R2 U2 F2 L2 D' L2 B2 R2 L2 U2 L' F' R B2 D' B' U' F2 R F' U2 ,W
448222,D' F2 D B2 U F2 U B2 F2 L2 U' F2 U R2 D2 L' F' U' B' R D L F' U2 ,W
913965,B2 D B2 U2 B2 U' F2 L2 D' F2 D B2 U F' L B2 D' B2 R' U B' F L' ,W
290822,R2 L2 D L2 U B2 D U2 F2 D2 F2 U' B' R B2 U' F' D' R B' L' U2 ,Y
472997,F2 U' B2 R2 B2 U2 F2 D F2 D B2 D' L2 B' D' L' D2 F' R2 U R' B' L' ,W
715344,D' F2 U2 R2 D' R2 U R2 U' B2 R2 L2 U B2 L2 B' U L U2 F R2 D' R B L U' ,Y
667913,F2 U F2 D L2 U2 R2 F2 U B2 U R2 U' R2 U' B' L' F' R2 D R2 U R' B' L' ,Y
136610,R2 U' B2 U' L2 U F2 R2 L2 U R2 L2 U2 F2 U2 R' B D F U' R' U L' U' B ,W
44813,D' R2 D' R2 U L2 B2 F2 D' B2 R2 F2 R2 D' B' U' R F D' L2 U' L' B R ,W
25588,L2 D2 R2 U' R2 D' R2 F2 D2 B2 D' L2 D' B2 U2 F' L F2 U' B' D' L F' R' ,Y
477283,B2 D2 B2 U L2 B2 D' B2 D2 B2 L2 B2 D' U' B' L D F2 U F R' U B' L ,W
813391,U' L2 D2 L2 B2 D' L2 F2 D2 F2 U R2 U F2 U R' B L' F2 U F D B2 L' B' U ,W
517754,F2 D2 F2 D' F2 R2 B2 R2 U' F2 L2 U F2 U' B' L' F R2 D' R' U' L2 F L ,Y
447791,U F2 U' B2 L2 U' B2 F2 U' R2 B2 U' R2 U2 R2 L' D B R F' R2 U' L' D' F' ,W
802058,D2 F2 U B2 U R2 D' F2 L2 U2 R2 D' B2 F' U' R' L' B D R' F' D2 U L' ,W
363577,F2 L2 D2 U R2 U R2 B2 R2 L2 D B2 L2 U' F' L B L2 U' R D' R2 B L' ,W
