# Scramble Extremes — eo / eo_xxxxcross / BGORWY / bin 12 (2nd-smallest)
# Population in this bin: 372
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

2283,R2 L2 F2 U' F2 D' U2 B2 R2 B2 U' F' R' L' U F2 L2 U B' F' L' ,G
2284,D F2 D B2 U' R2 B2 D' F2 R2 F2 L2 D' U2 F2 L' B F2 U F' R' D' L' B ,G
916736,L2 B2 F2 D' F2 U F2 U' L2 U F2 U L2 U2 B' U2 R' F2 D F' L' B' U' R' ,W
2923,U2 F2 D F2 L2 D2 F2 U' L2 D' F2 D F2 R2 U2 B' R' D F' U B2 R' B' L2 D' L' ,R
2932,R2 B2 D F2 L2 U L2 U R2 B2 L2 F2 D L2 U2 B' U L D' L2 U2 F R B D' L' ,R
3564,R2 L2 B2 D' B2 U2 L2 F2 L2 U B2 D B2 U2 F' R2 L U R' B' D' F' L ,R
3573,B2 L2 D F2 D2 F2 D B2 U F2 U' F2 R2 U L' B' D' F' R' U R2 L B' ,R
3582,B2 U2 R2 D' R2 B2 L2 U' F2 U B2 D R2 U2 F' L B' R2 D R U L2 B' L' U ,R
885206,U' R2 D' B2 D' B2 R2 U' L2 D L2 F2 U L2 U2 F' R' U' L' B D F R' U2 ,Y
7229,R2 B2 F2 D' B2 U' L2 F2 U2 F2 D' R2 B2 U2 L' D F' D B R' U' L' F' R' ,R
7309,B2 F2 L2 D' B2 U R2 F2 D2 L2 U2 L2 B2 U2 B' R D' F2 U' F' L B U' R' U' ,R
888201,U' B2 U' L2 U B2 U2 B2 R2 D L2 F2 R2 U' B' L F' D2 R2 U' R' D' B' L' U2 ,W
26179,U' F2 U B2 R2 U' B2 L2 U' B2 R2 U' L2 B' U2 L' U F D R B' L U' ,G
918268,U2 F2 U' R2 F2 U R2 D2 R2 F2 D' R2 U' F' L U R B' D' F' L' U' ,B
29127,D' R2 D2 R2 B2 D' U' F2 L2 U2 L2 U' B' F' D' U' R' L' ,B
29138,D' R2 U2 L2 F2 D U F2 L2 U2 L2 U' B' F' D' U' R' L' ,B
53678,L2 D' L2 U2 R2 L2 B2 U' B2 U' B2 U F2 U' F' D' R' D2 B' L2 U L' F' R' U' ,G
53679,D' L2 B2 D U2 R2 L2 F2 D B2 F2 R2 U' B2 F' L F2 U' B' D' L F' R ,G
55911,U R2 U' L2 F2 U L2 D R2 D2 R2 U' L2 B' U' R' F L D B' D2 U' R ,G
1058213,B2 R2 D2 L2 U' R2 F2 D F2 D' F2 U' R2 U' F' L F2 U' B' D' B2 L F' R' U ,O
919794,U F2 R2 D L2 D2 R2 L2 B2 D' L2 B2 U2 F' R2 L U R' B D' B2 F' L ,Y
1048925,L2 U2 B2 U R2 B2 R2 L2 U2 B2 F2 U' L2 F' R' B D' L' U' R2 B R U2 ,O
