# Scramble Extremes — eo / eo_xxxxcross / BGOR / bin 16 (max)
# Population in this bin: 1208
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1261410,U2 L2 U' F2 U L2 B2 U' F2 R2 U2 L2 U' F2 L' D2 B' U' R' F L D B U' L' ,B
1139044,U2 F2 U B2 L2 U B2 R2 U B2 U L2 U L' B' L2 D R U R2 B' L F U ,B
900177,L2 F2 R2 B2 D R2 F2 D2 B2 D R2 D B2 U F' U' L' B' R D F' L2 D2 L' U' ,B
977,B2 U F2 D' R2 F2 D' R2 U' L2 U' B2 D2 F2 R' U2 B' L D F U R' U2 B U2 ,B
1135,R2 U' R2 D F2 U R2 L2 F2 U' B2 D' B2 U' B' R D R U F' L' D B R' U' ,B
894301,B2 U F2 L2 B2 U2 B2 D R2 U B2 L2 U2 L' B R D' F' U' L' B D2 F' ,B
1263659,R2 F2 L2 D B2 D F2 D2 F2 R2 U2 R2 D2 U' R' B L2 F U' R' B' L' D F' U' L' ,B
1050257,U2 B2 L2 U' F2 D' F2 U2 R2 U R2 F2 U' L2 F' R' B L2 D' L' U' R2 B R' U2 ,B
951296,R2 D' B2 F2 D L2 U R2 U B2 U R2 L2 U2 F' R B U' L' D' F' R U2 L' ,B
201845,L2 D B2 L2 U B2 U' F2 D' U2 L2 U2 L2 F' R' U' L F2 R2 B U' F' R' U2 ,B
893796,F2 R2 L2 U2 F2 R2 F2 U B2 F2 U2 R2 L2 U' L' B F D R' L D U' L' D' U' F' ,B
1166479,U R2 F2 U L2 F2 U R2 U' F2 L2 F2 R2 U2 R' B' D' U' F R L B' U F2 L ,B
1150911,L2 U' R2 D L2 D' L2 U' F2 D' R2 F2 R2 D U' B' L' F D' R' U' L2 F L' U' ,B
5940,D L2 B2 F2 D R2 D L2 B2 U2 B2 U R2 D R2 L' D' U2 F R' B L2 D' U2 L' U' ,B
950518,R2 L2 F2 D' F2 U R2 B2 L2 B2 D F2 D U2 B' R' L F2 D R2 F' U' B L ,B
1026536,D F2 U R2 D2 L2 B2 D L2 U' F2 R2 B2 U2 R' B' L F2 D' F' U' B2 L B' ,B
929022,L2 D' B2 D' F2 L2 F2 D B2 D' F2 R2 D' U' F' R L U B' F D' U F' D' U' L' ,B
6010,D B2 U L2 D2 R2 B2 U L2 F2 D' L2 D2 L2 U' L' B F D R' L D U' L' D' U' F' ,B
1020628,R2 D' F2 U F2 R2 D R2 U' F2 D' F2 U' B' R' B2 D F U F2 R' B L U2 ,B
1142473,R2 D R2 B2 U2 R2 F2 U F2 U' B2 D' B2 U' B' D2 F' L' U R' B' D' R2 F' L' ,B
1113661,R2 U' F2 R2 F2 R2 F2 U' R2 D F2 D' U' B' L D' L2 U' L2 F' R B U L ,B
1163763,U2 B2 D2 F2 R2 U' R2 U' L2 D R2 U' R2 U F' D L B R U' R2 F D2 L' U' ,B
1156266,F2 U L2 U' L2 U F2 L2 D' U2 F2 U R2 L' B2 F' U' B R D L F U ,B
370876,F2 U L2 F2 U' B2 U' B2 L2 U2 L2 F2 D B2 R' B' F' U R2 F2 U R' L' F' ,B
324734,U' L2 U' L2 B2 U' R2 U' B2 U B2 U2 F' L U R B D' B2 F' L' U ,B
915527,D' F2 U R2 D' L2 U2 B2 U' F2 U' R2 U F' R' B F2 D U2 R' U' F L U' ,B
1103243,D R2 U' R2 F2 D2 B2 U R2 U' R2 L2 D' B2 D R' F2 U B' R L F D' U' B' L' ,B
1012228,B2 U2 L2 B2 D' L2 B2 L2 B2 U' R2 D2 F' L' B' D' B2 R' U2 F U' L' U' ,B
720666,R2 D' B2 D R2 U2 F2 R2 D' R2 D2 F2 D' R' B' L' U' L2 F' D2 R D' B' U2 ,B
1234869,F2 D' R2 U F2 D' L2 F2 U' R2 B2 D' B2 R2 U F' R2 L' D' R B' U B2 F L' U' ,B
542256,U' R2 D L2 U L2 B2 L2 F2 L2 U' B2 R2 U L' F' R B2 D' B' U' F2 R F U ,B
950530,R2 U R2 D2 L2 F2 U' F2 R2 L2 D2 L2 D L2 B2 F' R' B D' L' U' R2 B R' U' ,B
1261829,L2 U R2 D' B2 F2 U B2 U B2 U' R2 U2 B' L' U L2 D L2 F R' B' D' L' ,B
1066845,D F2 R2 U2 L2 D' R2 U2 L2 B2 L2 U B2 L2 U' L' U' F' D' R' B L U F L ,B
12236,U2 F2 R2 D' B2 U L2 F2 U' F2 U L2 B2 F' U2 R' U B D L F' R ,B
916748,F2 D2 R2 D' R2 D L2 D2 B2 L2 U B2 R2 U2 B' R B2 U' F' D' R B' L U2 ,B
1265123,R2 U' L2 U' F2 D F2 R2 L2 U F2 R2 D2 F2 R' F L' U2 B2 D' B' U' R' F' U2 ,B
956189,R2 D' B2 R2 D' R2 D2 U F2 U' B2 R2 U2 F' R' B' U' B2 L' D2 F D' R' U2 ,B
890685,F2 D F2 D2 F2 U' F2 D' L2 D' B2 R2 L2 F' U' F2 L B' D R' U L2 B' L' ,B
13122,R2 U L2 U' F2 L2 F2 L2 U2 B2 L2 U B' D R U L2 B L' F' D' R ,B
815304,B2 D' B2 U2 R2 U R2 D' B2 R2 F2 L2 U' F2 U' L' B' R F2 U' F' D' B2 R B U ,B
1212035,B2 D' F2 R2 U L2 F2 L2 F2 D B2 D' B2 U2 R' F L' U2 B2 D' B' U' R' F' U2 ,B
13389,D2 L2 U' F2 R2 U2 B2 L2 U' L2 B2 D B' R L' F2 U' R2 F D B' L U' ,B
724502,D2 R2 D R2 B2 U' F2 U2 B2 L2 U F2 U2 R2 U2 B' R' D F' U B2 R' B' L2 D' L' ,B
13394,F2 D' B2 R2 D2 B2 R2 D' L2 U B2 U' F2 U' B' D' U2 L' U F R B' D' L' ,B
467844,U B2 U' R2 D' B2 U B2 D' F2 U' F2 U' F2 U R' F' D' B F2 R2 L D' R' F' ,B
865935,B2 D L2 U2 R2 U B2 L2 B2 F2 D' L2 D2 R' B' L' D F U R B' D2 F' ,B
1270257,B2 R2 U' L2 D F2 D' B2 D L2 F2 U' F2 U' B2 R' B2 D F' R L B D' U' F' L' U' ,B
994577,U B2 U' F2 R2 D F2 D U2 F2 L2 U' B' L' D' F' U F2 D2 R' B' L' U' ,B
1259087,B2 F2 L2 U L2 D' R2 F2 D' R2 U F2 D' R2 F D L B R' F2 D' F2 U' F L' U' ,B
13518,D' R2 F2 U R2 F2 D F2 D' B2 D B2 L2 U2 F' R D' R2 U' B L F D' R' ,B
13519,L2 D2 F2 D' B2 D' R2 D2 L2 F2 D' U2 R2 U' F' L F2 U' B' D' L F' R' F2 ,B
528605,R2 D2 R2 F2 U' L2 U F2 U F2 L2 U' L2 R' B' D' U' F R L B' U F2 L' ,B
244186,L2 U2 F2 U' F2 L2 D R2 D' F2 D2 U' R2 U L' D2 F U R B' L' D' F' U L' ,B
15576,B2 F2 R2 U R2 D2 F2 L2 U' F2 U2 L2 U' F' L D' B2 U' B' R F U' L' ,B
15579,R2 U2 R2 U R2 D' L2 D L2 B2 U L2 U L2 U L' D2 B F' U' B2 L' D' R F' ,B
883774,R2 U B2 L2 U2 B2 R2 D L2 U2 F2 U' L2 R' B' F' U F2 R2 U R' L' F' ,B
1247541,L2 D' B2 L2 U' R2 B2 L2 D R2 U R2 D L2 U2 B' L' U L2 D L2 F R' B' D' L' ,B
16716,U' F2 D' R2 U B2 R2 D2 R2 L2 U' L2 U' L2 U' L' D2 B F' U' B2 L' D' R F' ,B
1057753,R2 B2 L2 D2 L2 D' F2 D B2 L2 U L2 U L' D2 F U R B' L' D' F' U L' ,B
19387,R2 U B2 U F2 U2 L2 U F2 U2 L2 B2 D' F2 U2 B' R' L B2 D R2 F' U' B L ,B
890558,F2 L2 F2 D F2 U R2 D F2 D B2 F2 D2 F' R D' B' R' D2 U L B' R' ,B
341521,D' F2 L2 D' F2 U B2 D' R2 U' B2 L2 F2 D' U L' D2 F D' R' U' B' L F U' ,B
1233995,U B2 F2 U B2 U B2 D2 L2 D2 U' B2 L' F' U' B' R D L F' U2 ,B
881192,U2 L2 F2 R2 U' L2 U B2 D2 L2 D' F2 U2 R2 U' L' D2 F D' R' U' B' L F ,B
725533,U2 L2 B2 D2 U' B2 U F2 L2 U L2 U' R' B' D U F R' L' B' U' F2 R' ,B
559677,D F2 U B2 L2 D' B2 R2 D' L2 B2 D' F2 U B' U2 L F2 D' F R B R2 U L' ,B
982085,F2 U F2 R2 D L2 D2 B2 D' B2 F2 R2 U' L2 F' R' B D' L' U' R2 B R U2 ,B
1204899,L2 D' B2 U L2 U R2 B2 L2 B2 D2 R2 U F2 U2 R' B' L' F U F2 R' D2 B L' U' L' ,B
927799,R2 D' B2 F2 U2 R2 L2 U' F2 R2 D2 L2 D' U' L' B F D R' L D U' L' D' U' F' ,B
858264,F2 U' F2 U F2 D R2 D2 B2 U' B2 F2 R2 B2 F2 L' U2 B D R F' L' U' B' D L' ,B
29775,B2 F2 D2 R2 D L2 B2 F2 D' L2 U' F2 L2 U B' R' D' L' F' U B F2 R ,B
1007888,B2 D F2 R2 B2 D2 L2 U' B2 D' R2 U L' B' L2 D R U R2 B' L F ,B
283546,R2 B2 U' B2 D' R2 B2 U2 F2 D B2 R2 U' B2 U2 F' R' U' L F2 R2 B U' F' R' U2 ,B
1212395,R2 D R2 U L2 F2 R2 U' F2 U' B2 R2 L' B' D' F' R U L B' ,B
1159208,B2 U' B2 U' L2 D B2 L2 D2 B2 R2 U' F2 U' L' F R' B2 U B D F2 R' F' U' ,B
32357,B2 D' L2 D2 B2 F2 R2 B2 D2 U F2 R2 U2 L2 B' U L U2 F R2 D' R B L ,B
1084451,D' F2 D B2 F2 U F2 U' R2 U R2 U2 B2 U' R' F' R2 D L U L2 F' R B U2 ,B
821292,U2 B2 D B2 D' R2 D2 R2 B2 R2 D F2 L2 U2 F' R F2 D' B' U' B2 R F' L' U ,B
947177,U2 F2 U' L2 D' F2 U2 R2 F2 R2 B2 U' R2 U2 R' B' L F2 D' F' U' B2 L B' U' ,B
345778,R2 B2 D L2 U R2 B2 F2 U' B2 U' R2 D2 U' F' L' F2 D B U B2 L' F R' U' ,B
311581,R2 F2 U2 R2 D' F2 L2 U2 R2 D' F2 R2 U2 B' R' F U' L D U2 B F2 L ,B
1183036,R2 U' B2 R2 L2 D' R2 U2 L2 D R2 D B2 U2 L2 R' B' D U F R' L' B' U' F2 R ,B
1073982,U F2 U R2 D R2 D' L2 B2 D' B2 D' R2 D' U' F' U' L' B' R F2 U F2 D F' L' U' ,B
1210477,D B2 D' F2 U' F2 R2 U L2 D2 R2 D U' B' F' R' B2 L2 D U' F' R' L' ,B
588306,F2 U2 B2 U' R2 F2 U' F2 R2 U' L2 U' F2 L2 B' L' U' R L2 B2 F U' B' L' ,B
