# Scramble Extremes — eo / eo_xxxxcross / BGWY / bin 13 (3rd-smallest)
# Population in this bin: 16527
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

606208,B2 U' B2 F2 L2 U R2 D2 L2 D L2 F2 D2 B' U L' F' R U R2 D B' L' ,B
704128,B2 D' L2 B2 D' U2 R2 U R2 L2 U' R2 B' R' L2 D' L F U B R ,B
252007,D' F2 D F2 D' B2 D2 F2 L2 U' F2 U L2 U L' F D B R' U' L' F' U ,Y
570908,U' F2 R2 F2 U' R2 D' B2 R2 U L2 U' R' F R2 U' L' D' L2 F R' B U ,B
1238106,L2 U2 B2 U' R2 D R2 L2 F2 D B2 F2 U2 R' B' L F2 D' F' U' B2 L B' U ,G
847568,U R2 D2 L2 B2 D F2 R2 U2 L2 D F2 R2 L2 U' R' D F L B' U' R F2 U2 F ,Y
466412,L2 B2 R2 B2 D' B2 F2 R2 B2 U2 B2 D R2 D F' L' D' R' B' U B2 F L' U' ,W
603414,U2 R2 L2 F2 L2 U' B2 U' B2 U2 L2 D' F' L F2 U' B' D' B2 L F' R U ,Y
1025461,D2 F2 U B2 D F2 L2 F2 U' B2 D F2 R2 U' F' L' D' R' B' U F' D2 U2 R' ,G
623370,D B2 D R2 D L2 D' F2 R2 D2 B2 L2 U' L2 R' D2 L2 B' F U' R L' F2 U2 F' ,G
266668,R2 L2 F2 D' L2 D L2 D2 F2 U' B2 R2 F2 L2 U' B' R F L2 D' L2 U' L B R' U2 ,B
831897,R2 B2 D' F2 R2 U2 F2 L2 D2 U' R2 D2 B2 R' B' R2 U L D L2 B' R F' U2 ,B
828818,F2 D U2 B2 U' B2 R2 F2 L2 F2 L2 D' R' B' L' D F2 U F' R' B' U ,G
160454,B2 F2 R2 D' U2 R2 F2 L2 F2 D' L2 U R2 F' R L' D' B' R U B2 F' L' U' ,Y
1203828,D2 L2 F2 L2 U' R2 D2 R2 L2 D F2 D F2 R' B' F2 U' F L D R B' U' ,G
1064014,R2 D U B2 D' B2 R2 D' R2 F2 U' L2 U L2 U' R F L' D' B' U' R U2 F' U ,G
340081,U2 R2 U' L2 F2 U' B2 D' B2 R2 B2 R2 D' U' B' R' D' L' F' U B' D2 U2 L' U2 ,G
402484,L2 B2 D L2 D' F2 L2 D F2 R2 D R2 U' F2 U B' R B2 U' F' D' F2 R B' L U2 ,G
714082,R2 D' B2 D' B2 L2 U2 L2 F2 U' F2 D2 L2 U' F2 R' B' D U F R' L' B' U' F2 R ,B
715163,F2 U2 L2 B2 R2 U' B2 U2 B2 L2 D2 U' F2 L' F2 U' B' R' L' F D U B' L' ,W
1209868,D2 B2 U F2 U2 F2 U B2 D L2 U' F2 R2 L' U2 F' U R D B L' F U ,B
1055785,U' R2 L2 B2 D U2 F2 D B2 U' F2 L2 F2 L2 B' R' L' U B2 R2 U B' F' R' ,B
797638,D2 L2 B2 D F2 L2 U' B2 U2 B2 L2 D U' R' F R2 U' L' D' L2 F R' B ,G
190653,D B2 U' B2 L2 B2 R2 U2 B2 U' L2 U R2 D F' R' F2 U B D R' F L F2 U' ,G
118658,F2 U2 F2 U' L2 U B2 F2 D' F2 U L' B' R' D' R2 F' U2 L U' B ,B
884294,B2 D' B2 D B2 U' L2 U' R2 D L2 U2 R2 B' L F' D2 R2 U' R' D' B' L' U' ,Y
152152,D F2 D' F2 L2 U' R2 U2 B2 U' L2 F2 U2 B' L' F' U' F2 R' D2 B D' L' U2 ,G
236924,R2 L2 D R2 U L2 F2 D L2 U L2 F2 U2 R2 F' R' F2 U B D R' F L ,G
274723,F2 U2 F2 R2 D' R2 U' R2 U L2 F2 U L2 U L2 F' R F2 D' B' U' R F' L U ,W
399615,D' F2 U2 B2 D' F2 U' R2 F2 U R2 U' F2 U B' L F' R2 U R D L2 F' L ,G
466405,L2 B2 R2 L2 D' L2 D F2 U' L2 D' B2 R2 U2 F' L' U' B' D B2 U2 R' F' L ,W
1051687,F2 U F2 R2 F2 D2 L2 U' B2 U B2 D2 L2 U2 B' L D' L2 U' L2 F' R B U L ,G
554631,R2 F2 D2 F2 D L2 U' B2 D F2 R2 L2 U' R2 L' D' F' R' B' U B2 L' D2 F' ,G
242266,F2 D F2 U' L2 F2 U' B2 F2 L2 D2 U' B2 U2 F' R' L U' B' L D B2 F' R' U' ,W
252021,U2 B2 U' L2 D R2 L2 F2 L2 D2 U' F2 U2 B' L U' R F2 R2 D B F' L' ,Y
314697,R2 B2 L2 U R2 F2 D' F2 D' L2 B2 U' F2 L' B' F2 D' F R U L B ,W
806596,R2 D R2 U' F2 D' F2 L2 D' R2 U L2 D B2 L' U B D R F' L' U' B' L' ,B
752834,D' L2 B2 F2 D2 F2 R2 U R2 D R2 F2 D F' D2 R U B L' F' D' R' U F' ,G
723514,R2 U L2 B2 F2 U2 F2 R2 U L2 U2 B2 L2 F' D L B R' F2 D' F2 U' F L' U' ,B
1014490,L2 D2 F2 U L2 B2 F2 U' F2 D R2 D' F2 R2 U' F' L' D' R' B U F L' U2 ,G
313147,R2 U2 F2 D' U2 R2 F2 L2 B2 U F2 L2 U2 L' F' R' U' R2 B' D2 L D' F' U' ,B
387198,B2 U' F2 D' R2 L2 B2 D U B2 F2 U' B' R' D L F' L2 U B2 R' B' U' ,W
904927,R2 L2 D2 U F2 U F2 R2 U F2 U R2 B' L' U' R' F' D B F2 L U2 ,G
814522,L2 F2 U' F2 D' L2 D F2 U' B2 F2 R2 D' L2 U2 R' B L' F2 U F D B2 L' B U ,B
392576,U2 F2 D R2 D' R2 U2 B2 R2 B2 R2 U' L2 U B R' B2 F D2 U R' D' B L ,W
828310,L2 D B2 U2 F2 L2 U' B2 L2 F2 L2 U R2 D' R' D2 F' D L U B R' F U' ,Y
338104,B2 F2 D2 B2 D' B2 U F2 L2 U F2 U' L2 F2 U R' U' F L D' B2 U' B' R F ,G
292826,B2 F2 D F2 U F2 U2 B2 R2 U R2 D B2 L2 F' L U' L2 D' B R F U' L' ,G
817239,R2 U R2 L2 D F2 D' L2 B2 D2 R2 B2 D R2 U R' D2 F' D L U B R' F' U' ,W
787447,U' B2 R2 U B2 F2 R2 U2 B2 U B2 D B2 U2 F' L' F2 D B U L' F R' ,G
1225299,B2 L2 U2 B2 D' F2 U' R2 U R2 F2 D' R2 U L' B' D' F' R U L B' U' ,G
931214,D2 B2 L2 U' R2 U F2 U2 F2 U' R2 F2 R2 B' L' U' R' F' D B' D2 U2 R' ,W
250426,L2 U' R2 D R2 U R2 U2 F2 D' R2 U R2 F' R2 L' U B R' D' B F' L' U' ,Y
553737,U2 L2 F2 D' B2 U' L2 U' R2 D' R2 L2 F2 L2 U' F' U2 R' U B D L F' R U2 ,G
447644,B2 D F2 D' R2 U2 B2 D L2 F2 U B2 R2 L2 U' R' U2 F U' L' D' B' R F' U' ,B
579786,U2 R2 B2 F2 D R2 L2 D2 B2 D' L2 U B2 U' F' U2 R L' D' R2 F' U' B L' ,Y
