# Scramble Extremes — pair / cross_pair / BGOR / bin 6 (2nd-smallest)
# Population in this bin: 36060
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

292936,R2 D2 B2 R2 D' L2 D L2 B2 D2 U2 F' R F2 D' B' U' B2 R F' L U ,O
1245171,B2 D' L2 D2 F2 D B2 U L2 U F2 R2 F2 D' F' R' U' L F2 R2 B U' F' R' U2 ,G
292964,U2 B2 D' U2 R2 D' B2 U F2 R2 B2 U R' B2 F' D' B L U R F U' ,O
874218,D F2 U R2 D B2 U' B2 D L2 D L2 D L2 U' R' F L2 D' L2 B' U R L' F' U' ,R
1187008,R2 L2 U' F2 D U2 B2 D2 R2 B2 L2 F2 U L2 F' R L' D' B' R U B2 F' L' U' ,B
1186255,L2 U2 F2 L2 D' R2 D2 F2 D F2 U L2 D' F2 U B' D2 U L D' F' R' B U L U' ,G
1044514,D' R2 D' L2 U' B2 L2 B2 U L2 U' L2 U B2 L2 B' L B2 F' D2 U' L D B' R' U' ,R
770980,R2 F2 D' R2 U L2 U2 L2 B2 D' R2 B2 U2 L2 F' R' L F2 U R2 B' D' F L ,G
1192558,D B2 R2 F2 D2 R2 F2 U' R2 U L2 B2 U2 F' L U R B D' F D2 U2 R' ,G
914244,B2 R2 U R2 B2 U R2 B2 D' R2 F2 U' R2 U' R' F' L' D L2 U B' R' F' U2 ,B
1217915,U' R2 D2 L2 U' F2 D2 R2 U' F2 U R2 L2 F2 L2 B' D2 L D' F' U' F2 R' B L' ,G
324235,U B2 U F2 R2 D' R2 U2 F2 R2 D' B2 U' R2 D2 F' U2 R L' D L2 F U B' R ,G
1189712,U2 F2 R2 U' F2 U F2 U2 L2 U2 R2 D' R' F U B D' R' D L' D' F ,R
116397,B2 D R2 L2 B2 D F2 U2 R2 B2 U L2 U L2 U2 F' L B' U2 R2 D' R' U' F' L' U2 ,O
873027,U R2 B2 L2 U2 B2 U R2 U' B2 U R2 D' B' L' F' R2 D R2 U R' B' L' ,R
1209709,R2 D' F2 D2 R2 F2 R2 B2 D' R2 U2 B2 U' R2 U L' U2 F' U R D B L' F U ,B
920905,L2 U B2 R2 D2 R2 D R2 U' L2 U2 L2 U' R2 U F' R' B D L U F U2 F2 R' ,B
921333,L2 B2 L2 D2 U' L2 D2 U' F2 R2 B2 R2 B' R' D R2 U F' L' B' D R U2 ,B
817556,D2 L2 F2 U' R2 D L2 D' R2 D' L2 U F2 R' F L' B2 D B U F2 L' F' ,R
1132813,D2 L2 U R2 U R2 B2 D2 L2 F2 U F2 R2 U F' R' B D L U F U2 F2 R' U' ,G
914108,D' R2 U' F2 U F2 U' R2 F2 D' R2 D' L2 B' R' F' U L D B R' U2 L' ,B
313308,U B2 D' F2 L2 U2 B2 D' B2 L2 B2 R2 D F2 U' F' D2 R F2 D' B' U' R' F' L' ,G
980434,B2 D F2 U2 L2 U R2 U' B2 U L2 F2 U' L2 R' D B' D F L' U' R' B' L' ,R
6477,U2 R2 D' F2 D' R2 B2 U' R2 D R2 U B2 F' D' R' B L F' L2 D' R U' ,G
1204854,L2 B2 L2 D B2 L2 U2 F2 D F2 R2 F2 U2 L' F R' L2 D2 U' F D L' B' U' ,R
923981,L2 F2 D2 R2 U B2 R2 U L2 D2 L2 F2 U R2 U' F' L' D' R' B U F L' U' ,B
879356,B2 L2 D R2 B2 D R2 U2 B2 U' R2 U' L2 D B2 F' R2 L' F D' R B U F U L' ,G
879120,L2 U' B2 U R2 F2 U2 L2 D' R2 U' R2 U L' D2 F D' R' U' B' L F' U' ,G
887937,U' R2 U L2 D2 R2 F2 L2 B2 D' B2 U2 L2 U B' R U F2 D F L' D B' R ,R
980659,L2 D R2 L2 F2 U' B2 L2 D2 L2 U' F2 U L2 D' F' R L2 U' B' L D B' F R' U' ,R
1205363,B2 R2 D' L2 D L2 F2 D' F2 U2 R2 U' L2 F2 R' F' D' L2 U' L' B U' R F' ,R
262695,L2 U F2 U B2 F2 U R2 U' F2 L2 U F2 U' L' B' F' U L2 B2 U R' L' B' U' ,B
960677,B2 R2 D L2 D' F2 L2 U' R2 L2 U' F2 U2 L' D2 F D' R' U' B' L F' U' ,G
1012089,D B2 U' B2 R2 D' B2 F2 R2 D F2 R2 D2 L2 R' U2 F U' L' D' B' R F U' ,R
746319,B2 F2 D B2 D F2 U' F2 R2 U F2 R2 D F' D2 R L' D' L2 B' U' F R' ,G
1093294,F2 L2 F2 L2 U R2 D B2 D' R2 U B2 R2 U2 F' U R B' L' D' F D2 U R' ,R
464891,U2 F2 L2 B2 D R2 U' F2 L2 U2 F2 R2 D L2 R' F L' D' B' U' R U2 F ,R
920692,F2 D2 F2 U' F2 D' B2 D B2 L2 B2 U2 R2 U2 F' L' D' R' B' U F' D2 U2 R' ,B
746289,B2 R2 U' B2 U L2 D B2 L2 B2 U2 F2 D' L2 D F' U2 R' U B D L F' R U2 ,G
846725,B2 R2 D R2 D' L2 D F2 D' R2 B2 U R2 U2 L2 R' F L D' B2 U' B R F' U2 ,G
293539,U2 F2 U L2 F2 U' B2 D2 B2 R2 D' L2 U' R2 L' U' B' R F D L' D2 U' B ,O
