# Scramble Extremes — pair / cross_pair / BG / bin 7 (3rd-smallest)
# Population in this bin: 239295
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

927630,B2 U' L2 D' B2 D F2 U' L2 U B2 D R2 B2 U' B' R' D' F2 U' F' L U' B R' ,B
1173725,D R2 U L2 D B2 L2 D2 L2 U R2 F2 D F' L' B' D' B2 R' U2 F U' L' U' ,B
95828,L2 F2 D' R2 F2 U2 R2 L2 U R2 L2 B2 F' D2 U2 R D' L F U B R' ,B
433201,D' L2 U' F2 U2 L2 U L2 B2 R2 F2 L2 U' F' D2 R' U2 L2 U F' D' L' B' R' ,B
614791,F2 R2 D F2 R2 L2 U L2 U2 R2 B2 D B2 D2 R' F D' B' L2 U' R L' U2 F' U' ,B
387130,U R2 U' F2 D' B2 U' F2 U2 B2 L2 D L2 U2 F' D2 R D' B' U' L' F R ,B
924345,U L2 F2 U L2 U B2 F2 U' L2 U B2 D2 B' R' D' L' F' U B F2 R' ,B
929510,F2 D' L2 U' R2 D B2 R2 F2 L2 U2 B2 U F' U2 R L' D L2 F U B' R' ,B
926029,D F2 U' L2 F2 U2 L2 B2 U R2 U' B2 U2 L' F D B R U' R2 L' F' U2 L2 ,B
1206299,F2 U' B2 U2 L2 D' L2 D' L2 B2 U' L2 U L2 F' D2 U2 L U' R F D B L' ,B
315309,B2 L2 D L2 D R2 B2 U2 B2 U R2 D R2 U' B' D2 R' D F U L B' R U ,B
331923,L2 F2 U' F2 U2 L2 B2 D2 F2 L2 U2 B' R F D L U' R2 U2 F' R' U' ,B
459579,D2 R2 L2 D' L2 D' B2 U F2 D2 B2 R2 L2 U' L' B' R' D' R2 F' U2 L U' B ,G
684435,R2 B2 D' R2 U' L2 D' F2 R2 U' B2 F2 U2 R' B D' L' B' D2 U F L' B' ,B
443393,U B2 U B2 L2 F2 D' B2 U' L2 U L2 D2 B' L F U R D' L2 D2 F' L' U' ,B
880032,U2 F2 U F2 D' B2 L2 D' F2 U F2 D' R2 L2 U' L' U B D R F' L' U' B' L' ,B
380871,U R2 D2 F2 R2 U' B2 D' L2 U' L2 F2 D2 F' R' L2 U' L B D F R ,B
640768,F2 U R2 L2 F2 D' U2 F2 D' R2 U' F2 U' L2 U' R' U2 B F' D F2 R U L' B' ,B
416997,R2 B2 L2 U' B2 U B2 R2 B2 F2 D' L2 U2 B2 F' R' U' L' B D F R' U' ,B
883445,D2 R2 B2 D' R2 U' L2 F2 D' L2 B2 D' F2 U' L2 F' U R L' D F' L B D2 L' ,B
892385,D2 R2 U' L2 B2 U' B2 F2 L2 U F2 L2 U2 R2 U' B' L' F D R U B' U2 L U ,B
463576,U L2 B2 R2 D' L2 U' L2 F2 D' L2 D2 L2 F' R L U B' D' U F' U' L' ,B
328669,R2 F2 D2 R2 F2 D2 R2 D' L2 D' B2 U F2 U' L' U2 F R2 D' R B L U F ,B
72789,F2 U' F2 U B2 U' F2 U2 B2 L2 D' F2 R2 U2 L2 B' L' U' R' F' D B F2 L ,B
654041,D U B2 D2 B2 R2 D F2 U B2 L2 U R2 B' L' F' R2 D R2 U R' B' L' ,B
400195,D' R2 F2 D' R2 U R2 F2 U R2 D2 B2 U' R2 L' F' R U2 B2 D B U L F' ,B
917870,U' B2 R2 D F2 D2 F2 U' L2 B2 F2 U' R2 U2 F' L' D L2 U B' R' F' D L U2 ,B
272538,F2 U R2 U L2 F2 D2 F2 U B2 L2 D F2 L2 U2 F' L' U R' F2 L2 U B' F L' ,B
881016,D2 F2 U R2 B2 R2 D' B2 D2 U' R2 U' L' D2 F D' R' U' B' L F ,B
624977,D2 F2 D R2 U' R2 D2 B2 U R2 U R2 L' B U' F' R F2 D' L2 B L ,G
244212,B2 F2 D2 R2 U F2 R2 F2 D F2 D B' L B2 D' F' U' L B' R' ,B
891569,F2 D' B2 U' F2 D F2 U' R2 D L2 D F2 R2 U' B' D2 U2 R U' L B D F R' ,B
525960,L2 B2 D' L2 D2 L2 U F2 L2 U' F2 L2 D B' U2 R' D U2 F U' B2 R' B' L' ,B
1121311,D R2 B2 D' L2 U2 B2 U F2 U B2 R2 B2 L2 F' R D B2 U B L' U F' R' ,G
878681,R2 D2 L2 D' F2 D2 B2 L2 B2 D L2 U2 B2 R' B R2 L' D2 U' B D R' F' ,B
251616,L2 F2 U2 F2 D' R2 D L2 F2 D R2 F2 U' L' F' R B2 D' B' U' F2 R F' ,B
244185,F2 D' L2 B2 L2 B2 L2 D' L2 U F2 D' B2 L2 U' F' U' L' B' R F2 U F2 D F' L' U' ,B
893298,B2 R2 U F2 U B2 R2 L2 D' R2 U B2 R2 B' R B2 F' D' U2 R U B' L' U' ,B
1131058,F2 R2 D2 R2 F2 D L2 U F2 U' R2 D B2 R2 D B' L U F D' F2 U2 R B L' ,G
915164,B2 L2 U' B2 F2 R2 D R2 D2 B2 D R2 U F2 L' B L2 U' R' D' R2 B L' F' U ,B
880496,L2 D F2 R2 U' F2 R2 D' F2 U B2 D F2 R2 B' R' L D' F' L U B' F2 R' U' ,B
147111,D2 R2 F2 U B2 R2 U2 R2 L2 U' F2 R2 L' B' R U' F' D' B2 R B' ,B
404668,U' R2 L2 D' B2 L2 B2 F2 U F2 L2 U' F' L D' B2 U' B' R F U' L' U' ,G
880144,U' B2 R2 L2 D2 U' B2 R2 U2 L2 R' B L D' L2 U' F R B' ,B
465809,D R2 F2 D2 B2 U' B2 D R2 F2 U B2 U B' U2 L' U F D R B' L ,B
632286,B2 D2 L2 U F2 D B2 U' R2 B2 F2 D2 U2 F' L' B R2 U' R' D' L2 B L U ,G
1044739,F2 R2 D' F2 D' L2 B2 L2 B2 D' U' L2 U' B' L' U' R L2 B2 F U' B' L' ,B
640527,R2 B2 F2 U R2 D' R2 B2 U' B2 U' B2 U2 R2 U' L' B' F2 D' F R U L B' ,B
526198,R2 D F2 L2 B2 L2 U' L2 F2 D R2 U' F2 U' B' U L F R D' R2 B U2 L' U' ,G
464151,F2 D2 F2 D' L2 F2 R2 B2 D U2 F2 D B2 F' R D L B U' B2 F' R' U ,B
904067,D' R2 D R2 D' R2 F2 D' B2 U R2 L2 F2 D' B' D2 L B2 D' F' U' L' B' R' ,B
875511,U' F2 U2 R2 D L2 U' R2 U2 F2 L2 F2 L2 U' B' R' L D F R' U' B F2 L' U' ,B
453470,B2 U' L2 B2 F2 L2 F2 U L2 U' R2 D2 U' R' F' L' D' R' U2 F' U B L' ,B
1180932,U2 B2 U L2 U R2 B2 F2 D' R2 U L2 D R2 F' R' B D L U F' U2 R U' ,B
875892,R2 F2 U R2 B2 D B2 D2 F2 R2 D' L2 U' B2 R' B' L D F U R' U2 B U' ,G
898322,L2 D F2 U' F2 U L2 B2 L2 B2 D2 R2 U R2 U' R' F' L' D' L2 B' U2 R U' F' U' ,G
893204,D B2 L2 F2 U' L2 D F2 D2 B2 F2 R2 U B2 U F' L F2 U' B' D' L F' R' U2 ,B
375147,B2 F2 U F2 R2 D L2 F2 D2 B2 D F2 U' L2 U2 B' L F' U R D L2 F' L ,G
477950,U2 F2 U' L2 B2 U R2 F2 D B2 R2 F2 R2 D2 U2 L' U F L' D' R' B' U F U L ,G
1212617,U B2 D' L2 B2 R2 F2 U' R2 B2 D' F2 U F' R' U' L' B D F R' U ,B
596071,F2 U R2 D F2 U' L2 D' F2 D' F2 U L2 F' D2 U2 R' U L' F' D' B' R' U2 ,B
898492,B2 D' R2 B2 U B2 L2 F2 U2 R2 U B2 U L' U2 B U' R' D' F' L B ,B
